"GO.ID","Term","Annotated","Significant","Expected","Rank in p.value_classic","p.value_elim","p.value_classic","genes"
"GO:0072348","sulfur compound transport",53,6,0.86,9,0.00022,0.00022,"CTNS,SLC16A6,SLC19A3,SLC26A2,SLC26A5,SLC6A6"
"GO:0001886","endothelial cell morphogenesis",10,3,0.16,17,0.00047,0.00047,"COL18A1,COL27A1,MET"
"GO:0035725","sodium ion transmembrane transport",177,10,2.89,19,0.00067,0.00067,"DLG1,FXYD2,GLRX,PTPN3,SLC12A3,SLC17A1,SLC17A3,SLC5A5,SLC6A14,SLC6A6"
"GO:0140115","export across plasma membrane",68,6,1.11,23,0.00084,0.00084,"DLG1,FXYD2,KCNQ1,SLC17A3,SLC22A5,TMEM163"
"GO:0046415","urate metabolic process",12,3,0.2,24,0.00085,0.00085,"CARMIL1,SLC17A1,SLC17A3"
"GO:0006575","cellular modified amino acid metabolic process",125,8,2.04,26,0.00103,0.00103,"BHMT,CPT1B,CRYM,CTNS,HOGA1,MFSD2A,SLC5A5,VNN1"
"GO:0050667","homocysteine metabolic process",13,3,0.21,27,0.00109,0.00109,"BHMT,CPS1,DPEP1"
"GO:0002430","complement receptor mediated signaling pathway",13,3,0.21,28,0.00109,0.00109,"C5AR1,CMKLR1,FPR2"
"GO:0006633","fatty acid biosynthetic process",157,9,2.56,29,0.00112,0.00112,"ABHD3,ACSM3,ACSM6,CYP2C9,ELOVL3,ELOVL7,FA2H,OLAH,PTGES"
"GO:0006656","phosphatidylcholine biosynthetic process",29,4,0.47,30,0.00119,0.00119,"ABHD3,CEPT1,MFSD2A,SLC44A3"
"GO:0120162","positive regulation of cold-induced thermogenesis",101,7,1.65,31,0.00133,0.00133,"ACHE,CMKLR1,ELOVL3,EPAS1,IL4R,OMA1,PRLR"
"GO:0009158","ribonucleoside monophosphate catabolic process",14,3,0.23,33,0.00137,0.00137,"GDA,UPP1,XDH"
"GO:0009159","deoxyribonucleoside monophosphate catabolic process",14,3,0.23,34,0.00137,0.00137,"GDA,UPP1,XDH"
"GO:0046133","pyrimidine ribonucleoside catabolic process",14,3,0.23,35,0.00137,0.00137,"AICDA,APOBEC3H,UPP1"
"GO:0032328","alanine transport",18,3,0.29,56,0.00292,0.00292,"SLC36A2,SLC6A14,SLC6A6"
"GO:0001580","detection of chemical stimulus involved in sensory perception of bitter taste",37,4,0.6,58,0.003,0.003,"CA6,PIGR,PLCB2,TAS2R5"
"GO:0007565","female pregnancy",182,9,2.97,59,0.00307,0.00307,"ACVR1B,AMBP,LNPEP,PAPPA,PCSK5,PRLR,PSG5,PTHLH,SPP1"
"GO:0032196","transposition",38,4,0.62,62,0.00331,0.00331,"APOBEC3H,PGBD5,TDRD9,ZNF91"
