"GO.ID","Term","Annotated","Significant","Expected","Rank in p.value_classic","p.value_elim","p.value_classic","genes"
"GO:0048513","animal organ development",3014,85,40.09,5,3.1e-05,1.1e-12,"A2M,ADAMTS6,AKAP6,ANGPT1,ANK2,ASXL3,AXIN2,CACNA1C,CDO1,CHRNA9,CLRN1,CNTN1,CNTNAP1,COL11A1,COL1A2,COL3A1,COL5A2,CRB1,DACT1,DCN,DIO3,DLX2,DMP1,EPHA3,EPHA7,ERRFI1,ETV1,FEZ1,FGL1,FNDC3A,FOXN3,FTO,FZD3,GNB4,GPM6B,GZF1,HCN1,HERC1,HHIP,HOXB13,HOXC8,HSF4,ILDR2,KERA,KRAS,LAMA2,LHX9,MAB21L1,MAP2K6,MEF2C,MEIS2,MEX3C,MGARP,NARS1,NDNF,NEFL,NR4A2,NR4A3,PAX6,PAX9,PCDH18,PCM1,PGAP1,PPP2R3C,PRKCH,PTPRC,RBM20,ROBO1,ROBO2,RPGRIP1L,SERPINF1,SIX1,SIX3,SIX4,SLITRK6,SOX11,SPRY3,TBX2,TCF12,TNFRSF19,TWIST1,VGF,VGLL4,WIF1,YAP1"
"GO:0043524","negative regulation of neuron apoptotic process",159,10,2.11,55,5.4e-05,5.4e-05,"ANGPT1,KRAS,MEF2C,NDNF,NEFL,NR4A2,OXR1,SIX1,SIX4,SNCA"
"GO:0007411","axon guidance",233,12,3.1,63,7e-05,7e-05,"CNTN1,EPHA3,EPHA7,ETV1,FEZ1,FZD3,LAMA2,LHX9,PAX6,ROBO1,ROBO2,RPS6KA5"
"GO:0042472","inner ear morphogenesis",105,8,1.4,72,8e-05,8e-05,"CHRNA9,CLRN1,COL11A1,FZD3,SIX1,SIX4,SLITRK6,TBX2"
"GO:0035633","maintenance of blood-brain barrier",38,5,0.51,89,0.00014,0.00014,"ANGPT1,JAM2,JAM3,LAMA2,ZEB2"
"GO:0035904","aorta development",61,6,0.81,91,0.00016,0.00016,"ADAMTS6,COL3A1,ROBO1,ROBO2,SIX1,TBX2"
"GO:0034394","protein localization to cell surface",66,6,0.88,104,0.00024,0.00024,"ANGPT1,ANK2,GPM6B,JAM3,MAP1A,TMEM35A"
"GO:0060788","ectodermal placode formation",12,3,0.16,124,0.00047,0.00047,"SIX1,SIX4,TBX2"
"GO:0061303","cornea development in camera-type eye",12,3,0.16,125,0.00047,0.00047,"KERA,PAX6,SOX11"
"GO:0051093","negative regulation of developmental process",911,25,12.12,132,0.00049,0.00049,"AXIN2,COL5A2,DCN,DLX2,EPHA7,GRIN3A,KRAS,MAEL,MEIS2,MGARP,NKX6-3,PAX6,PCM1,PLPP7,ROBO2,SERPINF1,SIX3,SIX4,SOX11,SPRY3,TBX2,THBS2,TWIST1,VGLL4,YAP1"
"GO:0051899","membrane depolarization",77,6,1.02,137,0.00056,0.00056,"ANK2,CACNA1C,CHRNA9,DCN,HCN1,PPP2R3C"
"GO:0050804","modulation of chemical synaptic transmission",471,16,6.27,139,0.00059,0.00059,"BEGAIN,CACNA1A,CBLN2,DLGAP1,EPHA7,GRIA2,GRIN3A,KRAS,LAMA2,MAP1A,MEF2C,NEFL,SNCA,SYT1,UNC13A,VGF"
"GO:0001764","neuron migration",176,9,2.34,140,0.00059,0.00059,"ADGRL3,COL3A1,FZD3,MEF2C,NDNF,NR4A2,PAX6,PCM1,TWIST1"
"GO:0060441","epithelial tube branching involved in lung morphogenesis",30,4,0.4,143,0.00064,0.00064,"HHIP,KRAS,TBX2,YAP1"
"GO:0051963","regulation of synapse assembly",112,9,1.49,43,0.00065,1.9e-05,"CBLN2,EPHA7,MEF2C,ROBO2,SIX1,SIX4,SLITRK6,SNCA,THBS2"
"GO:0048596","embryonic camera-type eye morphogenesis",26,5,0.35,44,0.00092,2.1e-05,"PAX6,SIX3,SOX11,TBX2,TWIST1"
"GO:0051591","response to cAMP",85,6,1.13,158,0.00095,0.00095,"AKAP6,BCKDHB,CDO1,FDX1,HCN1,VGF"
"GO:0043584","nose development",16,3,0.21,164,0.00114,0.00114,"RPGRIP1L,SIX1,SIX4"
"GO:0061548","ganglion development",17,3,0.23,177,0.00138,0.00138,"FZD3,SIX1,SIX4"
"GO:0030199","collagen fibril organization",63,5,0.84,182,0.0015,0.0015,"COL11A1,COL1A2,COL3A1,COL5A2,COLGALT2"
"GO:0045666","positive regulation of neuron differentiation",93,6,1.24,183,0.00151,0.00151,"DLX2,MEF2C,PAX6,SOX11,TCF12,TCF4"
"GO:0003180","aortic valve morphogenesis",38,4,0.51,186,0.00158,0.00158,"AXIN2,ROBO1,ROBO2,TWIST1"
"GO:0019896","axonal transport of mitochondrion",18,3,0.24,187,0.00164,0.00164,"FEZ1,MGARP,NEFL"
"GO:1901654","response to ketone",207,9,2.75,191,0.00185,0.00185,"A2M,AXIN2,FDX1,HOXB13,NEFL,PAX6,PTPRC,SERPINF1,YAP1"
"GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules",168,8,2.23,192,0.00187,0.00187,"CADM2,CDH19,HMCN1,PCDH18,PCDHA1,PCDHB14,ROBO1,ROBO2"
"GO:1903115","regulation of actin filament-based movement",40,4,0.53,193,0.00192,0.00192,"ANK2,CACNA1C,PDE4B,ZEB2"
"GO:2001014","regulation of skeletal muscle cell differentiation",19,3,0.25,194,0.00192,0.00192,"MEF2C,SIX1,SIX4"
"GO:0060602","branch elongation of an epithelium",19,3,0.25,195,0.00192,0.00192,"SIX1,SIX4,YAP1"
"GO:0048731","system development",3915,107,52.08,1,0.00199,1.1e-15,"A2M,ADAMTS6,ADGRL3,AKAP6,ANGPT1,ANK2,ASB4,ATCAY,AXIN2,CACNA1C,CBLN2,CLRN1,CNTN1,CNTNAP1,COL11A1,COL1A2,COL3A1,COL5A2,CRB1,DACT1,DCN,DIO3,DLX2,DOCK10,EPHA3,EPHA7,ERRFI1,ETV1,FABP7,FEZ1,FGL1,FNDC3A,FOXN3,FZD3,GNB4,GPM6B,GRIN3A,GZF1,HCN1,HERC1,HHIP,HOXB13,HOXC6,HOXC8,HSF4,ITGA4,JAM2,JAM3,KERA,KRAS,LAMA2,LHX9,MAB21L1,MAP1A,MAP2K6,MEF2C,MEIS2,MEX3C,MGARP,NARS1,NAV3,NCAM2,NDNF,NEFL,NR2F1,NR4A2,PAX6,PCDH18,PCDHA1,PCDHB14,PCM1,PGAP1,PLEKHA5,PPP2R3C,PRKCH,PTPRC,RBM20,ROBO1,ROBO2,RPGRIP1L,RPS6KA5,SCG2,SCLT1,SERPINF1,SIX1,SIX3,SIX4,SLC23A2,SLITRK6,SNCA,SOX11,SPRY3,SYT1,TBX2,TCF12,TCF4,THBS2,TWIST1,UNC13A,VGF,VGLL4,WASF1,WIF1,YAP1,ZDHHC15,ZEB2,ZNF521"
"GO:0045944","positive regulation of transcription by RNA polymerase II",1236,29,16.44,196,0.00206,0.00206,"ASXL3,CARF,CREM,DCN,DLX2,ETV1,GTF2A1,KLF14,MEF2C,MEIS2,NKX6-3,NR2F1,NR4A2,NR4A3,PAX6,PAX9,RPS6KA5,SIX1,SIX3,SIX4,SOX11,TBX2,TCF12,TCF4,TNKS,TWIST1,YAP1,ZEB2,ZNF521"
"GO:0001709","cell fate determination",42,4,0.56,199,0.0023,0.0023,"MEF2C,NKX6-3,PAX6,TBX2"
"GO:0007601","visual perception",216,9,2.87,203,0.00247,0.00247,"CLRN1,COL11A1,CRB1,EYS,HMCN1,KERA,PAX6,SIX3,SLITRK6"
"GO:0003128","heart field specification",17,4,0.23,60,0.00251,6.3e-05,"AXIN2,MEF2C,ROBO1,ROBO2"
"GO:0051130","positive regulation of cellular component organization",1101,28,14.64,150,0.00252,0.00075,"ABCB7,ANGPT1,BAG4,CBLN2,CLRN1,CNTN1,DCN,DDHD2,EPHA3,FEZ1,MGARP,NAV3,NDNF,NEFL,PTPRC,RAB3GAP2,ROBO1,ROBO2,SERPINF1,SLAIN1,SLITRK6,SNCA,SYT1,THBS2,TNKS,TNKS2,WASF1,ZDHHC15"
"GO:0071495","cellular response to endogenous stimulus",1442,36,19.18,94,0.00259,0.00018,"AKAP6,AXIN2,BAG4,CACNA1A,COL1A2,COL3A1,COL5A2,DCN,FDX1,FEZ1,FGFBP3,GCG,HCN1,HHIP,ITGA4,MEF2C,MGARP,NDNF,NPFFR2,NR4A2,NR4A3,PAX6,PAX9,PDE4B,ROBO1,ROBO2,SERPINF1,SIX1,SNCA,SOX11,SPRY3,TBX2,TWIST1,WASF1,YAP1,ZEB2"
"GO:0090263","positive regulation of canonical Wnt signaling pathway",104,6,1.38,209,0.00267,0.00267,"DACT1,DKK2,TNKS,TNKS2,YAP1,ZEB2"
"GO:0048705","skeletal system morphogenesis",225,12,2.99,54,0.00271,5e-05,"AXIN2,COL11A1,COL3A1,DLX2,FOXN3,HHIP,HOXC8,MEF2C,SIX1,SIX4,SOX11,TWIST1"
"GO:0009582","detection of abiotic stimulus",140,7,1.86,211,0.00271,0.00271,"ANO3,CHRNA9,COL11A1,CRB1,ELOVL4,EYS,NPFFR2"
