"GO.ID","Term","Annotated","Significant","Expected","Rank in p.value_classic","p.value_elim","p.value_classic","genes"
"GO:0032543","mitochondrial translation",130,41,11.59,2,2.4e-13,2.4e-13,"AURKAIP1,GADD45GIP1,GATC,MRPL11,MRPL12,MRPL14,MRPL2,MRPL20,MRPL21,MRPL22,MRPL34,MRPL35,MRPL36,MRPL37,MRPL4,MRPL41,MRPL46,MRPL48,MRPL49,MRPL51,MRPL52,MRPL53,MRPL54,MRPL55,MRPL58,MRPL9,MRPS11,MRPS12,MRPS16,MRPS18A,MRPS2,MRPS23,MRPS24,MRPS33,MRPS6,NGRN,SHMT2,TACO1,TARS2,TRUB2,UQCC2"
"GO:0061644","protein localization to CENP-A containing chromatin",18,13,1.6,15,1.2e-10,1.2e-10,"CENPA,H2AC4,H2AC8,H2BC11,H4C11,H4C14,H4C15,H4C2,H4C3,H4C4,H4C6,H4C8,H4C9"
"GO:0042776","proton motive force-driven mitochondrial ATP synthesis",58,22,5.17,22,1.7e-09,1.7e-09,"ATP5F1B,ATP5ME,ATP5MF,ATP5PO,NDUFA1,NDUFA11,NDUFA3,NDUFA8,NDUFA9,NDUFB11,NDUFB2,NDUFB4,NDUFB7,NDUFB9,NDUFC2,NDUFS3,NDUFS5,NDUFS6,NDUFS7,NDUFS8,NDUFV1,STOML2"
"GO:0032981","mitochondrial respiratory chain complex I assembly",55,19,4.9,37,1.2e-07,1.2e-07,"ACAD9,DMAC1,ECSIT,NDUFA1,NDUFA11,NDUFA3,NDUFA8,NDUFA9,NDUFAF4,NDUFB11,NDUFB2,NDUFB4,NDUFB7,NDUFB9,NDUFC2,NDUFS3,NDUFS5,NDUFS7,NDUFS8"
"GO:0071276","cellular response to cadmium ion",37,15,3.3,39,2.4e-07,2.4e-07,"AKT1,CYP1A2,DAXX,HSF1,JUN,MMP9,MT1A,MT1B,MT1F,MT1G,MT1H,MT1M,MT1X,MT2A,MT3"
"GO:0002181","cytoplasmic translation",156,35,13.9,40,2.5e-07,2.5e-07,"EIF2B3,EIF3I,EIF3K,EIF4G1,FAU,FTSJ1,MCTS1,PKM,RBM4,RPL10,RPL10A,RPL15,RPL18A,RPL21,RPL24,RPL26L1,RPL30,RPL35,RPL35A,RPL36A,RPL37,RPL39,RPL8,RPL9,RPLP0P6,RPS10,RPS14,RPS17,RPS18,RPS29,RPS5,RPSA,SARS1,YBX1,YBX3"
"GO:0071280","cellular response to copper ion",26,12,2.32,43,7.1e-07,7.1e-07,"CYP1A1,DAXX,HSF1,MT1A,MT1B,MT1F,MT1G,MT1H,MT1M,MT1X,MT2A,MT3"
"GO:0006334","nucleosome assembly",118,28,10.52,46,1.2e-06,1.2e-06,"ASF1B,CHRAC1,DAXX,GRWD1,H1-10,H1-3,H1-4,H2AX,H2BC11,H2BC17,H2BC21,H2BC8,H3C12,H3C14,H3C15,H3C7,H3C8,H4C11,H4C14,H4C15,H4C2,H4C3,H4C4,H4C6,H4C8,H4C9,MCM2,POLE3"
"GO:0010273","detoxification of copper ion",16,9,1.43,49,2.2e-06,2.2e-06,"MT1A,MT1B,MT1F,MT1G,MT1H,MT1M,MT1X,MT2A,MT3"
"GO:0006120","mitochondrial electron transport, NADH to ubiquinone",43,15,3.83,51,2.3e-06,2.3e-06,"NDUFA1,NDUFA3,NDUFA8,NDUFA9,NDUFB2,NDUFB4,NDUFB7,NDUFB9,NDUFC2,NDUFS3,NDUFS5,NDUFS6,NDUFS7,NDUFS8,NDUFV1"
"GO:0006122","mitochondrial electron transport, ubiquinol to cytochrome c",13,8,1.16,55,3.3e-06,3.3e-06,"CYC1,UQCC3,UQCR10,UQCRC1,UQCRFS1,UQCRFS1P1,UQCRH,UQCRQ"
"GO:0045653","negative regulation of megakaryocyte differentiation",19,9,1.69,68,1.4e-05,1.4e-05,"H4C11,H4C14,H4C15,H4C2,H4C3,H4C4,H4C6,H4C8,H4C9"
"GO:0071294","cellular response to zinc ion",24,10,2.14,69,1.9e-05,1.9e-05,"MT1A,MT1B,MT1F,MT1G,MT1H,MT1M,MT1X,MT2A,MT3,PARP1"
"GO:0061621","canonical glycolysis",18,8,1.6,82,7.6e-05,7.6e-05,"ENO1,GCK,HK1,PFKL,PGAM1,PGK1,PKM,TPI1"
"GO:1902600","proton transmembrane transport",152,27,13.55,101,4e-04,4e-04,"ATP5F1B,ATP5MC1,ATP5MC3,ATP5ME,ATP5MF,ATP5PO,ATP6V0B,ATP6V1F,COA8,COX17,COX4I1,COX5A,COX5B,COX7A2L,COX7B,COX8A,CYC1,NDUFS7,PHB2,PPIF,SLC25A5,UCP2,UQCR10,UQCRC1,UQCRFS1,UQCRFS1P1,UQCRH"
"GO:0006123","mitochondrial electron transport, cytochrome c to oxygen",22,8,1.96,102,4e-04,4e-04,"COX4I1,COX5A,COX5B,COX6A1,COX7A2,COX7A2L,COX7B,COX8A"
"GO:0051101","regulation of DNA binding",85,18,7.58,103,0.00042,0.00042,"CDT1,CPNE1,CSNK2B,E2F1,EDF1,HJURP,IGF1,ILRUN,JUN,MMP9,NFKBIA,NGF,NME1,RNF220,SOX11,SUMO3,TXN,ZNF593"
"GO:0009133","nucleoside diphosphate biosynthetic process",13,6,1.16,108,0.00049,0.00049,"AK1,AK2,AK4,DTYMK,GUK1,UMPS"
"GO:0001682","tRNA 5'-leader removal",13,6,1.16,109,0.00049,0.00049,"POP4,POP7,PRORP,RPP21,RPP25,RPP25L"
