"GO.ID","Term","Annotated","Significant","Expected","Rank in p.value_classic","p.value_elim","p.value_classic","genes"
"GO:0006869","lipid transport",433,12,3.3,2,0.00012,0.00012,"ABCA10,ABCA6,ABCA8,APOD,APOH,ATP10B,ATP8A1,CHKA,CROT,CRY2,LRAT,SLC22A9"
"GO:0006958","complement activation, classical pathway",42,4,0.32,4,0.00029,0.00029,"C4A,C4B,C4BPA,C4BPB"
"GO:0051923","sulfation",22,3,0.17,14,6e-04,6e-04,"HS3ST5,SULT1E1,SULT2A1"
"GO:0034220","monoatomic ion transmembrane transport",1011,17,7.7,21,0.00175,0.00175,"ATP13A4,ATP1A4,ATP8A1,CABP4,GABRA4,GLRA3,GPM6A,GRIK2,KCNAB1,LIME1,NOX1,PKD1L3,SLC15A2,SLC30A8,SLC39A5,SLC6A4,TF"
"GO:0060351","cartilage development involved in endochondral bone morphogenesis",33,3,0.25,23,0.00199,0.00199,"COL2A1,COMP,SMPD3"
"GO:0009311","oligosaccharide metabolic process",70,4,0.53,24,0.002,0.002,"B3GALT2,FUT3,ST8SIA4,TREH"
"GO:0042445","hormone metabolic process",240,7,1.83,26,0.00244,0.00244,"CYP2W1,IYD,LRAT,SLC30A8,SULT1E1,SULT2A1,UGT2B15"
"GO:2000425","regulation of apoptotic cell clearance",10,2,0.08,27,0.00249,0.00249,"C4A,C4B"
"GO:1903027","regulation of opsonization",11,2,0.08,28,0.00303,0.00303,"C4BPA,C4BPB"
"GO:0002924","negative regulation of humoral immune response mediated by circulating immunoglobulin",11,2,0.08,29,0.00303,0.00303,"C4BPA,C4BPB"
"GO:1990961","xenobiotic detoxification by transmembrane export across the plasma membrane",11,2,0.08,30,0.00303,0.00303,"RALBP1,SLC15A2"
"GO:0009605","response to external stimulus",2699,33,20.56,31,0.00329,0.00329,"ADAM8,APOH,ASCL1,C4A,C4B,C4BPA,C4BPB,CABP4,CRY2,DAP,DNASE1,ELAPOR1,GKN2,GPM6A,GRIK2,HLA-G,HPX,LGALS2,LRAT,NRXN1,PAGE4,PKD1L3,PRSS3,RALBP1,SLC15A2,SLC30A8,SLC39A5,SLC6A4,TF,TRIM31,UCN3,VIL1,ZG16"
"GO:0006068","ethanol catabolic process",12,2,0.09,33,0.00362,0.00362,"SULT1E1,SULT2A1"
"GO:0045916","negative regulation of complement activation",13,2,0.1,36,0.00425,0.00425,"C4BPA,C4BPB"
"GO:0043252","sodium-independent organic anion transport",14,2,0.11,38,0.00494,0.00494,"SLC22A9,SLCO4C1"
"GO:1903543","positive regulation of exosomal secretion",15,2,0.11,43,0.00567,0.00567,"SMPD3,TSG101"
"GO:0051791","medium-chain fatty acid metabolic process",15,2,0.11,44,0.00567,0.00567,"ABHD2,CROT"
"GO:0000041","transition metal ion transport",99,4,0.75,51,0.00694,0.00694,"HPX,SLC30A8,SLC39A5,TF"
"GO:0071468","cellular response to acidic pH",17,2,0.13,52,0.00727,0.00727,"NOX1,PKD1L3"
"GO:0050427","3'-phosphoadenosine 5'-phosphosulfate metabolic process",17,2,0.13,53,0.00727,0.00727,"SULT1E1,SULT2A1"
"GO:0050817","coagulation",228,6,1.74,62,0.00806,0.00806,"APOH,C4BPB,COMP,HS3ST5,MPIG6B,SLC6A4"
"GO:0045780","positive regulation of bone resorption",18,2,0.14,63,0.00813,0.00813,"ADAM8,TF"
"GO:0033875","ribonucleoside bisphosphate metabolic process",124,6,0.94,8,0.00865,0.00037,"ACSBG1,CROT,HMGCS1,MVD,SULT1E1,SULT2A1"
