"GO.ID","Term","Annotated","Significant","Expected","Rank in p.value_classic","p.value_elim","p.value_classic","genes"
"GO:0051897","positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction",160,8,1.42,1,9.1e-05,9.1e-05,"AKR1C2,FLT1,FSHR,HCLS1,MYOC,PDGFA,PDGFRB,PIK3CB"
"GO:0098742","cell-cell adhesion via plasma-membrane adhesion molecules",278,10,2.47,4,0.00019,0.00019,"CDH17,CDHR1,CELSR1,CLDN15,CLDN2,CRB1,KIRREL3,PIK3CB,PSG5,SLITRK2"
"GO:0035791","platelet-derived growth factor receptor-beta signaling pathway",14,3,0.12,5,0.00023,0.00023,"PDGFA,PDGFRB,PTPN1"
"GO:0051014","actin filament severing",16,3,0.14,6,0.00035,0.00035,"DSTN,SCIN,VIL1"
"GO:0072224","metanephric glomerulus development",17,3,0.15,7,0.00042,0.00042,"AQP1,PAX2,PDGFRB"
"GO:0072234","metanephric nephron tubule development",22,3,0.2,14,0.00093,0.00093,"AQP1,PAX2,POU3F3"
"GO:0045197","establishment or maintenance of epithelial cell apical/basal polarity",53,4,0.47,16,0.00124,0.00124,"CRB1,LIN7A,PARD6B,PRKCI"
"GO:0006833","water transport",29,3,0.26,28,0.00211,0.00211,"AQP1,AQP7,SLC5A1"
"GO:0008643","carbohydrate transport",155,6,1.37,31,0.00261,0.00261,"AQP1,AQP7,PRKCI,SLC45A4,SLC5A1,VIL1"
"GO:0018212","peptidyl-tyrosine modification",272,8,2.41,35,0.00299,0.00299,"ADNP,ENPP2,FLT1,HCLS1,PDGFA,PDGFRB,PTPN1,TPST1"
"GO:0015868","purine ribonucleotide transport",33,3,0.29,37,0.00307,0.00307,"ABCC5,SLC17A9,SLC33A1"
"GO:1901388","regulation of transforming growth factor beta activation",10,2,0.09,38,0.00336,0.00336,"LRRC32,LTBP1"
"GO:0048194","Golgi vesicle budding",10,2,0.09,39,0.00336,0.00336,"ARFGAP3,PRKCI"
"GO:0006024","glycosaminoglycan biosynthetic process",72,4,0.64,41,0.00383,0.00383,"ABCC5,CHSY3,DSEL,ST3GAL4"
"GO:0051503","adenine nucleotide transport",36,3,0.32,42,0.00394,0.00394,"ABCC5,SLC17A9,SLC33A1"
"GO:0009247","glycolipid biosynthetic process",73,4,0.65,43,0.00403,0.00403,"GAL3ST1,GAL3ST3,SCCPDH,ST3GAL4"
"GO:0009101","glycoprotein biosynthetic process",286,8,2.54,44,0.00405,0.00405,"A4GNT,CHSY3,DPY19L2P2,DSEL,GAL3ST1,GAL3ST3,ITM2B,ST3GAL4"
"GO:0042045","epithelial fluid transport",11,2,0.1,45,0.00408,0.00408,"AQP1,SLC5A1"
"GO:0071918","urea transmembrane transport",11,2,0.1,46,0.00408,0.00408,"AQP7,POU3F3"
"GO:2000644","regulation of receptor catabolic process",11,2,0.1,47,0.00408,0.00408,"MYLIP,PTPN1"
"GO:2000392","regulation of lamellipodium morphogenesis",11,2,0.1,48,0.00408,0.00408,"ENPP2,VIL1"
"GO:1903897","regulation of PERK-mediated unfolded protein response",11,2,0.1,49,0.00408,0.00408,"NCK1,PTPN1"
"GO:1905522","negative regulation of macrophage migration",12,2,0.11,56,0.00486,0.00486,"C5,MMP28"
"GO:0006995","cellular response to nitrogen starvation",12,2,0.11,57,0.00486,0.00486,"MAP1LC3B2,MAP1LC3C"
"GO:0015791","polyol transmembrane transport",12,2,0.11,58,0.00486,0.00486,"AQP1,AQP7"
