cell_line	patient_id	wes_passage	cnv_sample_id	complete_md_cram	published_recal_cram	cnv_input_recal_cram	cnv_input_bam	target_only_cnr	corrected_cns	target_only_cnr_sha256	corrected_cns_sha256	msi_pilot	ascn_pilot	observation
OV1369-R2	1369	P66	OV1369_R2_P66	/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/preprocessing/markduplicates/OV1369_R2_P66/OV1369_R2_P66.md.cram	/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/preprocessing/recalibrated/OV1369_R2_P66/OV1369_R2_P66.recal.cram	/project/6090753/active/ovcan_gq_analysis/work/d0/613f050ec629725c37e4d3f2589e67/OV1369_R2_P66.recal.cram	/project/6090753/active/ovcan_gq_analysis/work/a5/a947cdda816a6ac440c35f5a99d7c7/OV1369_R2_P66.recal.bam	/project/6090753/active/ovcan_human/wes/molecular_extension_2026-09-06/inputs/target_only_cnr/OV1369_R2_P66.targetonly.cnr	repo:output/wes_cnv_target_only/OV1369-R2.cns	13704ad8f979bfe7332b7810b28ce733f380c42c9300a3d7c94176a59e287117	7869856ed9acf9b50650c8716462dc2b8a1609c79b3612ce8951cd415da24284	false	true	cluster return 2026-09-06; recheck readability/index/RG before execution
OV2085	OV2085	P64	OV2085_P64	/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/preprocessing/markduplicates/OV2085_P64/OV2085_P64.md.cram	/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/preprocessing/recalibrated/OV2085_P64/OV2085_P64.recal.cram	/project/6090753/active/ovcan_gq_analysis/work/33/922deb9286570f183f220b24cef0b7/OV2085_P64.recal.cram	/project/6090753/active/ovcan_gq_analysis/work/9d/5053b19362a37673e25e6137ef2449/OV2085_P64.recal.bam	/project/6090753/active/ovcan_human/wes/molecular_extension_2026-09-06/inputs/target_only_cnr/OV2085_P64.targetonly.cnr	repo:output/wes_cnv_target_only/OV2085.cns	a7c48bea5703ffa494a9fef6783ab4becdc3548326940009772a76c34f85f8dd	5aa4bcc1c6e51feafc4fe8c04d5aa95461b6e40d3296d8bb66079d3bb305b6d4	false	true	cluster return 2026-09-06; recheck readability/index/RG before execution
OV2295	2295	P61	OV2295_P61	/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/preprocessing/markduplicates/OV2295_P61/OV2295_P61.md.cram	/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/preprocessing/recalibrated/OV2295_P61/OV2295_P61.recal.cram	/project/6090753/active/ovcan_gq_analysis/work/5e/abe220274b68448e8782d058885e77/OV2295_P61.recal.cram	/project/6090753/active/ovcan_gq_analysis/work/82/d4b4833ef8e3c2d4e18fb540d9357e/OV2295_P61.recal.bam	/project/6090753/active/ovcan_human/wes/molecular_extension_2026-09-06/inputs/target_only_cnr/OV2295_P61.targetonly.cnr	repo:output/wes_cnv_target_only/OV2295.cns	d6c595a1ab01ea520565e35ff82269810ee6d89f47dcd010f19c005f1a1f5f91	4aa5f3ae4cff10ae57a7841a0ed5bc712edab79db80ed43b33ffb1a585dc4ec1	false	false	cluster return 2026-09-06; recheck readability/index/RG before execution
OV2295-R2	2295	P70	OV2295_R2_P70	/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/preprocessing/markduplicates/OV2295_R2_P70/OV2295_R2_P70.md.cram	/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/preprocessing/recalibrated/OV2295_R2_P70/OV2295_R2_P70.recal.cram	/project/6090753/active/ovcan_gq_analysis/work/11/21e6f0bc535b4beff8de3148e324b5/OV2295_R2_P70.recal.cram	/project/6090753/active/ovcan_gq_analysis/work/2a/25a0a6a1570955ea5a4fb75b685db4/OV2295_R2_P70.recal.bam	/project/6090753/active/ovcan_human/wes/molecular_extension_2026-09-06/inputs/target_only_cnr/OV2295_R2_P70.targetonly.cnr	repo:output/wes_cnv_target_only/OV2295-R2.cns	521ae55d7531893410a882967d001587dc37376dd6b82d29409f1df17b1464e7	064b83590cbe68544eeb6f6dbf992fb4341c49c6789eea8640e3ba36df666e40	false	false	cluster return 2026-09-06; recheck readability/index/RG before execution
OV3133-R	3133	P71	OV3133_R_P71	/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/preprocessing/markduplicates/OV3133_R_P71/OV3133_R_P71.md.cram	/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/preprocessing/recalibrated/OV3133_R_P71/OV3133_R_P71.recal.cram	/project/6090753/active/ovcan_gq_analysis/work/d0/27e0b1505913cf6edb13baa912602b/OV3133_R_P71.recal.cram	/project/6090753/active/ovcan_gq_analysis/work/53/397412953e1df8497ab40f69c887f2/OV3133_R_P71.recal.bam	/project/6090753/active/ovcan_human/wes/molecular_extension_2026-09-06/inputs/target_only_cnr/OV3133_R_P71.targetonly.cnr	repo:output/wes_cnv_target_only/OV3133-R.cns	e41397bf7351224afae092c6cab63449ebaf4ecacafe48e8b0830e2b017cc3b9	adee942b18ee2b1161f42b8ff11251110d65ce301f38b1c19dd94d86802920da	false	false	cluster return 2026-09-06; recheck readability/index/RG before execution
OV3133-R2	3133	P58	OV3133_R2_P58	/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/preprocessing/markduplicates/OV3133_R2_P58/OV3133_R2_P58.md.cram	/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/preprocessing/recalibrated/OV3133_R2_P58/OV3133_R2_P58.recal.cram	/project/6090753/active/ovcan_gq_analysis/work/86/ff83a4365815ca3dae42c5278ab822/OV3133_R2_P58.recal.cram	/project/6090753/active/ovcan_gq_analysis/work/5d/8af0742f66349abbb6ec65e3e6b075/OV3133_R2_P58.recal.bam	/project/6090753/active/ovcan_human/wes/molecular_extension_2026-09-06/inputs/target_only_cnr/OV3133_R2_P58.targetonly.cnr	repo:output/wes_cnv_target_only/OV3133-R2.cns	adbc0a8152abccd69c09e237fb3ff48e431e5bc9120e383060bad71bfc2cda3b	72e942126c92298c0f14733ec298305cae480dffb4bd0948273a28a6a4265d9e	false	false	cluster return 2026-09-06; recheck readability/index/RG before execution
OV3291	3291	P46	OV3291_P46	/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/preprocessing/markduplicates/OV3291_P46/OV3291_P46.md.cram	/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/preprocessing/recalibrated/OV3291_P46/OV3291_P46.recal.cram	/project/6090753/active/ovcan_gq_analysis/work/ad/d194010792c7140805c7a44427e549/OV3291_P46.recal.cram	/project/6090753/active/ovcan_gq_analysis/work/67/391aefcedee5cff0359f87fc37879a/OV3291_P46.recal.bam	/project/6090753/active/ovcan_human/wes/molecular_extension_2026-09-06/inputs/target_only_cnr/OV3291_P46.targetonly.cnr	repo:output/wes_cnv_target_only/OV3291.cns	e629620b5d7bbacf139d5218a08bd1880621f699b4cfcdfe75ebcc8cd6a02ee5	99d476a8334619ca6f912157bedf9fae286149d73ea4a81ebad13d4a977b88c6	false	false	cluster return 2026-09-06; recheck readability/index/RG before execution
OV3331	OV3331	P54	OV3331_P54	/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/preprocessing/markduplicates/OV3331_P54/OV3331_P54.md.cram	/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/preprocessing/recalibrated/OV3331_P54/OV3331_P54.recal.cram	/project/6090753/active/ovcan_gq_analysis/work/f7/38d848dce83a33e1f75ad503e9da02/OV3331_P54.recal.cram	/project/6090753/active/ovcan_gq_analysis/work/9f/bf3df6338ee821bd70926534d54dee/OV3331_P54.recal.bam	/project/6090753/active/ovcan_human/wes/molecular_extension_2026-09-06/inputs/target_only_cnr/OV3331_P54.targetonly.cnr	repo:output/wes_cnv_target_only/OV3331.cns	59813ef240c5684eed6f48d5096c1192a8cf6550883201be22dad052de434b0d	f012ffdb3e7dae00dbe861f88152c83fcbc8a6b5f3f738909f33b671b3651d43	true	true	cluster return 2026-09-06; recheck readability/index/RG before execution
OV90	OV90	P63	OV90_P63	/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/preprocessing/markduplicates/OV90_P63/OV90_P63.md.cram	/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/preprocessing/recalibrated/OV90_P63/OV90_P63.recal.cram	/project/6090753/active/ovcan_gq_analysis/work/fb/3f59c81ddc1f5b0513c789fed28795/OV90_P63.recal.cram	/project/6090753/active/ovcan_gq_analysis/work/5a/9c55f01b9d9f3b937491fab0ee693c/OV90_P63.recal.bam	/project/6090753/active/ovcan_human/wes/molecular_extension_2026-09-06/inputs/target_only_cnr/OV90_P63.targetonly.cnr	repo:output/wes_cnv_target_only/OV90.cns	a7b1326e1fe263fe02af1579306bec36737d0b479f6b690ad23b2ec3a6efecc6	c627a89f81fa1f1f9b4d9d20ad6c783c930bdb1d30732c00b501c88bae7e244c	false	false	cluster return 2026-09-06; recheck readability/index/RG before execution
TOV112D	TOV112D	P83	TOV112D_P83	/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/preprocessing/markduplicates/TOV112D_P83/TOV112D_P83.md.cram	/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/preprocessing/recalibrated/TOV112D_P83/TOV112D_P83.recal.cram	/project/6090753/active/ovcan_gq_analysis/work/31/111b177225c27ccef0795d03544f32/TOV112D_P83.recal.cram	/project/6090753/active/ovcan_gq_analysis/work/42/00815049b9b01a26e84c3b4fb82f65/TOV112D_P83.recal.bam	/project/6090753/active/ovcan_human/wes/molecular_extension_2026-09-06/inputs/target_only_cnr/TOV112D_P83.targetonly.cnr	repo:output/wes_cnv_target_only/TOV112D.cns	63225b4da0218ab825da8f8e61f80380687b7ca12513fe046904680bdc77f8df	66516103f733ad22e61bb2d5deeff802fd808de4c5fbfea029925894cabed04e	false	false	cluster return 2026-09-06; recheck readability/index/RG before execution
