record_id	model_or_reference	sample_id	passage	run_id	role	original_path	resolved_path	status	bytes	checksum_algorithm	checksum	checksum_evidence	copied_relative_path	source_evidence	observed_at	notes
C00001					CNV output	/project/6090753/active/ovcan_gq_analysis/cnvkit/OV1369_R2_P66_new/OV1369_R2_P66-diagram.pdf	/project/6090753/active/ovcan_human/wes/cnvkit_0.9.10_manual/OV1369_R2_P66_new/OV1369_R2_P66-diagram.pdf	copied	4930693	sha256	db70ef3a099f46cb55793c32492ec70d3ba5e5c4635fc626051282e4db7157c3	computed 2026-09-05 on the copy (cp -p/rsync -t preserve mtime); original not re-hashed	wes/cnvkit_0.9.10_manual/OV1369_R2_P66_new/OV1369_R2_P66-diagram.pdf	MANIFEST.sha256	2026-09-05T18:55Z	
C00002					CNV output	/project/6090753/active/ovcan_gq_analysis/cnvkit/OV1369_R2_P66_new/OV1369_R2_P66-scatter.png	/project/6090753/active/ovcan_human/wes/cnvkit_0.9.10_manual/OV1369_R2_P66_new/OV1369_R2_P66-scatter.png	copied	179752	sha256	2e9b1140bb4362709f5881f24fb105a500e568f5ebd7e7f683fe53fb8c927dc5	computed 2026-09-05 on the copy (cp -p/rsync -t preserve mtime); original not re-hashed	wes/cnvkit_0.9.10_manual/OV1369_R2_P66_new/OV1369_R2_P66-scatter.png	MANIFEST.sha256	2026-09-05T18:55Z	
C00003					CNV output	/project/6090753/active/ovcan_gq_analysis/cnvkit/OV1369_R2_P66_new/OV1369_R2_P66.antitargetcoverage.cnn	/project/6090753/active/ovcan_human/wes/cnvkit_0.9.10_manual/OV1369_R2_P66_new/OV1369_R2_P66.antitargetcoverage.cnn	copied	1745733	sha256	d37e487792274f3230a79791653fa2fae343a1ca3acf71e6a719f8c354453b15	computed 2026-09-05 on the copy (cp -p/rsync -t preserve mtime); original not re-hashed	wes/cnvkit_0.9.10_manual/OV1369_R2_P66_new/OV1369_R2_P66.antitargetcoverage.cnn	MANIFEST.sha256	2026-09-05T18:55Z	
C00004					CNV output	/project/6090753/active/ovcan_gq_analysis/cnvkit/OV1369_R2_P66_new/OV1369_R2_P66.bintest.cns	/project/6090753/active/ovcan_human/wes/cnvkit_0.9.10_manual/OV1369_R2_P66_new/OV1369_R2_P66.bintest.cns	copied	550719	sha256	b9b06be1c5ecf75d612b5c6805a2041849f664c03c6fb5382b29530d7f16b535	computed 2026-09-05 on the copy (cp -p/rsync -t preserve mtime); original not re-hashed	wes/cnvkit_0.9.10_manual/OV1369_R2_P66_new/OV1369_R2_P66.bintest.cns	MANIFEST.sha256	2026-09-05T18:55Z	
C00005					CNV output	/project/6090753/active/ovcan_gq_analysis/cnvkit/OV1369_R2_P66_new/OV1369_R2_P66.call.cns	/project/6090753/active/ovcan_human/wes/cnvkit_0.9.10_manual/OV1369_R2_P66_new/OV1369_R2_P66.call.cns	copied	4253922	sha256	ce56bb5b0a2e6c82035bb563b923bf0a7663dd5ecde2bec3168f207175551f3d	computed 2026-09-05 on the copy (cp -p/rsync -t preserve mtime); original not re-hashed	wes/cnvkit_0.9.10_manual/OV1369_R2_P66_new/OV1369_R2_P66.call.cns	MANIFEST.sha256	2026-09-05T18:55Z	
C00006					CNV output	/project/6090753/active/ovcan_gq_analysis/cnvkit/OV1369_R2_P66_new/OV1369_R2_P66.cnr	/project/6090753/active/ovcan_human/wes/cnvkit_0.9.10_manual/OV1369_R2_P66_new/OV1369_R2_P66.cnr	copied	17414409	sha256	6592582eb3f33b934fa34b3cc207b78f40d906e05d4b5956895170b814937883	computed 2026-09-05 on the copy (cp -p/rsync -t preserve mtime); original not re-hashed	wes/cnvkit_0.9.10_manual/OV1369_R2_P66_new/OV1369_R2_P66.cnr	MANIFEST.sha256	2026-09-05T18:55Z	
C00007					CNV output	/project/6090753/active/ovcan_gq_analysis/cnvkit/OV1369_R2_P66_new/OV1369_R2_P66.cns	/project/6090753/active/ovcan_human/wes/cnvkit_0.9.10_manual/OV1369_R2_P66_new/OV1369_R2_P66.cns	copied	4262448	sha256	8db5ae3d3f19553a5bf3a4368965a47ae1a67264112c849a60c0da91ae63cfda	computed 2026-09-05 on the copy (cp -p/rsync -t preserve mtime); original not re-hashed	wes/cnvkit_0.9.10_manual/OV1369_R2_P66_new/OV1369_R2_P66.cns	MANIFEST.sha256	2026-09-05T18:55Z	
C00008					CNV output	/project/6090753/active/ovcan_gq_analysis/cnvkit/OV1369_R2_P66_new/OV1369_R2_P66.targetcoverage.cnn	/project/6090753/active/ovcan_human/wes/cnvkit_0.9.10_manual/OV1369_R2_P66_new/OV1369_R2_P66.targetcoverage.cnn	copied	18501417	sha256	47b10700303c1bc3b3d836f35ff6f90068d624e285d08cd6760fba6d066da1ca	computed 2026-09-05 on the copy (cp -p/rsync -t preserve mtime); original not re-hashed	wes/cnvkit_0.9.10_manual/OV1369_R2_P66_new/OV1369_R2_P66.targetcoverage.cnn	MANIFEST.sha256	2026-09-05T18:55Z	
C00009	SRR4039087				CNV output	/project/6090753/active/ovcan_gq_analysis/cnvkit/OV1369_R2_P66_new/SRR4039087.sorted.antitargetcoverage.cnn	/project/6090753/active/ovcan_human/wes/cnvkit_0.9.10_manual/OV1369_R2_P66_new/SRR4039087.sorted.antitargetcoverage.cnn	copied	2240395	sha256	42eb9e52469bf4997f52c67a629e3fec17d1af9eaef73592c572c708bb7a1ee2	computed 2026-09-05 on the copy (cp -p/rsync -t preserve mtime); original not re-hashed	wes/cnvkit_0.9.10_manual/OV1369_R2_P66_new/SRR4039087.sorted.antitargetcoverage.cnn	MANIFEST.sha256	2026-09-05T18:55Z	
C00010	SRR4039087				CNV output	/project/6090753/active/ovcan_gq_analysis/cnvkit/OV1369_R2_P66_new/SRR4039087.sorted.targetcoverage.cnn	/project/6090753/active/ovcan_human/wes/cnvkit_0.9.10_manual/OV1369_R2_P66_new/SRR4039087.sorted.targetcoverage.cnn	copied	18164074	sha256	1e12a7b4427c7c1173bdcf4f00ee26d17cb3983ac87522e469770f1fa363f162	computed 2026-09-05 on the copy (cp -p/rsync -t preserve mtime); original not re-hashed	wes/cnvkit_0.9.10_manual/OV1369_R2_P66_new/SRR4039087.sorted.targetcoverage.cnn	MANIFEST.sha256	2026-09-05T18:55Z	
