cell_line	histotype	patient_id	wes_sample_id	wes_passage	flowcell_lane_PU	read_group_evidence	provider_bam_path	provider_bam_bytes	provider_bam_status	run_producing_retained_vcfs	mutect2_filtered_vcf_present	vep_annotated_vcf_present	annotated_vcf_sha256_matches_repo_manifest	annotated_vcf_sha256_uncompressed	recal_cram_path	recal_cram_bytes	recal_cram_mtime_utc	recal_cram_status	recal_crai_status	run_producing_current_recal_cram	md_cram_path	md_cram_bytes	md_cram_status	cnvkit_input_bam_workdir_path	cnvkit_input_bam_bytes	cnvkit_input_bam_status	manual_cnvkit_call_cns_present	contamination_estimate	mosdepth_md_mean_target_depth_x	fraction_target_ge_30x	duplication_fraction	qc_coverage	unresolved_items
OV1369-R2	HGS	1369	OV1369_R2_P66	P66	6	@RG ID:OV1369_R2_P66_6 PU:6 SM:OV1369_R2_P66_OV1369_R2_P66 LB:OV1369_R2_P66 PL:ILLUMINA (404 read groups after FASTQ splitting)	/project/6090753/active/ovcan_gq/ammmasson_OvCAN_WES_bioinformatics_analysis_R004741/bam/OV1369(R2)_P66.bam	7247823134	accessible	nf-core/sarek 3.5.1 run angry_allen (session 26cf85bf-0ac3-4237-8f48-c36b2ab20bd2, Slurm 3273686, completed 2025-10-23 23:48:40 EDT)	yes	yes	True	6ee40ee9d92eaa1bdd81f631326dd8f82262b5a5f797c14bf81a37fe2344a012	/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/preprocessing/recalibrated/OV1369_R2_P66/OV1369_R2_P66.recal.cram	5278431543	2025-10-31T17:58Z	accessible	accessible	nf-core/sarek 3.5.1 run disturbed_kilby (session 1d80816f-4d0e-4a07-8fa8-818e7b7f9db6, Slurm 3731446, 2025-10-31, killed by 12h59m walltime)	/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/preprocessing/markduplicates/OV1369_R2_P66/OV1369_R2_P66.md.cram	3569942479	accessible	/project/6090753/active/ovcan_gq_analysis/work/a5/a947cdda816a6ac440c35f5a99d7c7/OV1369_R2_P66.recal.bam	8094734244	accessible	yes	0.004492365865977324	84.41	0.77		yes (MultiQC 2025-10-23; fastp, FastQC, MarkDuplicates, samtools stats, mosdepth, bcftools/vcftools stats)	retained recal CRAM is a re-execution (Oct-31 partial run), not the byte-identical Oct-23 CRAM that fed the retained VCF; sequencing run/flowcell/date and library kit lot: not in cluster records; see WES 2014/2017/2018 spreadsheets and USB QC report (not parsed here)
OV2085	HGS	OV2085	OV2085_P64	P64	7	@RG ID:OV2085_P64_7 PU:7 SM:OV2085_P64_OV2085_P64 LB:OV2085_P64 PL:ILLUMINA (404 read groups after FASTQ splitting)	/project/6090753/active/ovcan_gq/ammmasson_OvCAN_WES_bioinformatics_analysis_R004741/bam/OV2085_P64.bam	6926161656	accessible	nf-core/sarek 3.5.1 run angry_allen (session 26cf85bf-0ac3-4237-8f48-c36b2ab20bd2, Slurm 3273686, completed 2025-10-23 23:48:40 EDT)	yes	yes	True	f7e46fa89e31757ea4e55f6a3b72d7305b80759a5855888aebf8e45a4258f1e5	/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/preprocessing/recalibrated/OV2085_P64/OV2085_P64.recal.cram	4409793222	2025-10-31T17:59Z	accessible	accessible	nf-core/sarek 3.5.1 run disturbed_kilby (session 1d80816f-4d0e-4a07-8fa8-818e7b7f9db6, Slurm 3731446, 2025-10-31, killed by 12h59m walltime)	/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/preprocessing/markduplicates/OV2085_P64/OV2085_P64.md.cram	3284484833	accessible	/project/6090753/active/ovcan_gq_analysis/work/9d/5053b19362a37673e25e6137ef2449/OV2085_P64.recal.bam	6765777072	accessible	yes	0.0039035532372166996	75.20	0.79		yes (MultiQC 2025-10-23; fastp, FastQC, MarkDuplicates, samtools stats, mosdepth, bcftools/vcftools stats)	retained recal CRAM is a re-execution (Oct-31 partial run), not the byte-identical Oct-23 CRAM that fed the retained VCF; sequencing run/flowcell/date and library kit lot: not in cluster records; see WES 2014/2017/2018 spreadsheets and USB QC report (not parsed here)
OV2295	HGS	2295	OV2295_P61	P61	5	@RG ID:OV2295_P61_5 PU:5 SM:OV2295_P61_OV2295_P61 LB:OV2295_P61 PL:ILLUMINA (404 read groups after FASTQ splitting)	/project/6090753/active/ovcan_gq/ammmasson_OvCAN_WES_bioinformatics_analysis_R004741/bam/OV2295_P61.bam	6424564955	accessible	nf-core/sarek 3.5.1 run angry_allen (session 26cf85bf-0ac3-4237-8f48-c36b2ab20bd2, Slurm 3273686, completed 2025-10-23 23:48:40 EDT)	yes	yes	True	03cd3c66d5ab5d7584fa6ac4e7da6fa4c957bbf6b781780f6c871f7f6a912e41	/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/preprocessing/recalibrated/OV2295_P61/OV2295_P61.recal.cram	4648860250	2025-10-31T17:33Z	accessible	accessible	nf-core/sarek 3.5.1 run disturbed_kilby (session 1d80816f-4d0e-4a07-8fa8-818e7b7f9db6, Slurm 3731446, 2025-10-31, killed by 12h59m walltime)	/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/preprocessing/markduplicates/OV2295_P61/OV2295_P61.md.cram	3077879757	accessible	/project/6090753/active/ovcan_gq_analysis/work/82/d4b4833ef8e3c2d4e18fb540d9357e/OV2295_P61.recal.bam	7141426364	accessible	yes	0.0037675920478241988	74.42	0.75		yes (MultiQC 2025-10-23; fastp, FastQC, MarkDuplicates, samtools stats, mosdepth, bcftools/vcftools stats)	retained recal CRAM is a re-execution (Oct-31 partial run), not the byte-identical Oct-23 CRAM that fed the retained VCF; sequencing run/flowcell/date and library kit lot: not in cluster records; see WES 2014/2017/2018 spreadsheets and USB QC report (not parsed here)
OV2295-R2	HGS	2295	OV2295_R2_P70	P70	5	@RG ID:OV2295_R2_P70_5 PU:5 SM:OV2295_R2_P70_OV2295_R2_P70 LB:OV2295_R2_P70 PL:ILLUMINA (404 read groups after FASTQ splitting)	/project/6090753/active/ovcan_gq/ammmasson_OvCAN_WES_bioinformatics_analysis_R004741/bam/OV2295(R2)_P70.bam	7201937242	accessible	nf-core/sarek 3.5.1 run angry_allen (session 26cf85bf-0ac3-4237-8f48-c36b2ab20bd2, Slurm 3273686, completed 2025-10-23 23:48:40 EDT)	yes	yes	True	ba4ee76295f53d902e4e4e4570e1c41548ccd77cdabd648fec5fd170053b4d02	/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/preprocessing/recalibrated/OV2295_R2_P70/OV2295_R2_P70.recal.cram	5229447850	2025-10-31T17:57Z	accessible	accessible	nf-core/sarek 3.5.1 run disturbed_kilby (session 1d80816f-4d0e-4a07-8fa8-818e7b7f9db6, Slurm 3731446, 2025-10-31, killed by 12h59m walltime)	/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/preprocessing/markduplicates/OV2295_R2_P70/OV2295_R2_P70.md.cram	3536443767	accessible	/project/6090753/active/ovcan_gq_analysis/work/2a/25a0a6a1570955ea5a4fb75b685db4/OV2295_R2_P70.recal.bam	8056562382	accessible	yes	0.0045907653999520725	81.22	0.77		yes (MultiQC 2025-10-23; fastp, FastQC, MarkDuplicates, samtools stats, mosdepth, bcftools/vcftools stats)	retained recal CRAM is a re-execution (Oct-31 partial run), not the byte-identical Oct-23 CRAM that fed the retained VCF; sequencing run/flowcell/date and library kit lot: not in cluster records; see WES 2014/2017/2018 spreadsheets and USB QC report (not parsed here)
OV3133-R	HGS	3133	OV3133_R_P71	P71	5	@RG ID:OV3133_R_P71_5 PU:5 SM:OV3133_R_P71_OV3133_R_P71 LB:OV3133_R_P71 PL:ILLUMINA (404 read groups after FASTQ splitting)	/project/6090753/active/ovcan_gq/ammmasson_OvCAN_WES_bioinformatics_analysis_R004741/bam/OV3133(R)_P71.bam	7341067219	accessible	nf-core/sarek 3.5.1 run angry_allen (session 26cf85bf-0ac3-4237-8f48-c36b2ab20bd2, Slurm 3273686, completed 2025-10-23 23:48:40 EDT)	yes	yes	True	cd1d6f698d369e9b9e0eb244315ab239ca2603589494245e621dd5b55d1ad972	/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/preprocessing/recalibrated/OV3133_R_P71/OV3133_R_P71.recal.cram	5359322389	2025-10-31T20:23Z	accessible	accessible	nf-core/sarek 3.5.1 run disturbed_kilby (session 1d80816f-4d0e-4a07-8fa8-818e7b7f9db6, Slurm 3731446, 2025-10-31, killed by 12h59m walltime)	/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/preprocessing/markduplicates/OV3133_R_P71/OV3133_R_P71.md.cram	3574211695	accessible	/project/6090753/active/ovcan_gq_analysis/work/53/397412953e1df8497ab40f69c887f2/OV3133_R_P71.recal.bam	8209969808	accessible	yes	0.0015181893314937939	83.14	0.79		yes (MultiQC 2025-10-23; fastp, FastQC, MarkDuplicates, samtools stats, mosdepth, bcftools/vcftools stats)	retained recal CRAM is a re-execution (Oct-31 partial run), not the byte-identical Oct-23 CRAM that fed the retained VCF; sequencing run/flowcell/date and library kit lot: not in cluster records; see WES 2014/2017/2018 spreadsheets and USB QC report (not parsed here)
OV3133-R2	HGS	3133	OV3133_R2_P58	P58	6	@RG ID:OV3133_R2_P58_6 PU:6 SM:OV3133_R2_P58_OV3133_R2_P58 LB:OV3133_R2_P58 PL:ILLUMINA (404 read groups after FASTQ splitting)	/project/6090753/active/ovcan_gq/ammmasson_OvCAN_WES_bioinformatics_analysis_R004741/bam/OV3133(R2)_P58.bam	7811081450	accessible	nf-core/sarek 3.5.1 run angry_allen (session 26cf85bf-0ac3-4237-8f48-c36b2ab20bd2, Slurm 3273686, completed 2025-10-23 23:48:40 EDT)	yes	yes	True	eca0e95e6714daa3aa9c784ecc331533abf2e6227d5591717ea6599708f1821e	/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/preprocessing/recalibrated/OV3133_R2_P58/OV3133_R2_P58.recal.cram	5630217262	2025-10-31T17:59Z	accessible	accessible	nf-core/sarek 3.5.1 run disturbed_kilby (session 1d80816f-4d0e-4a07-8fa8-818e7b7f9db6, Slurm 3731446, 2025-10-31, killed by 12h59m walltime)	/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/preprocessing/markduplicates/OV3133_R2_P58/OV3133_R2_P58.md.cram	3806914789	accessible	/project/6090753/active/ovcan_gq_analysis/work/5d/8af0742f66349abbb6ec65e3e6b075/OV3133_R2_P58.recal.bam	8602861990	accessible	yes	0.0013868997151307986	88.75	0.78		yes (MultiQC 2025-10-23; fastp, FastQC, MarkDuplicates, samtools stats, mosdepth, bcftools/vcftools stats)	retained recal CRAM is a re-execution (Oct-31 partial run), not the byte-identical Oct-23 CRAM that fed the retained VCF; sequencing run/flowcell/date and library kit lot: not in cluster records; see WES 2014/2017/2018 spreadsheets and USB QC report (not parsed here)
OV3291	HGS	3291	OV3291_P46	P46	7	@RG ID:OV3291_P46_7 PU:7 SM:OV3291_P46_OV3291_P46 LB:OV3291_P46 PL:ILLUMINA (404 read groups after FASTQ splitting)	/project/6090753/active/ovcan_gq/ammmasson_OvCAN_WES_bioinformatics_analysis_R004741/bam/OV3291_P46.bam	6821425584	accessible	nf-core/sarek 3.5.1 run angry_allen (session 26cf85bf-0ac3-4237-8f48-c36b2ab20bd2, Slurm 3273686, completed 2025-10-23 23:48:40 EDT)	yes	yes	True	26e837b0ff29e60cb9e889252df170eafdd5cbe0fdce8865732afb79182bda48	/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/preprocessing/recalibrated/OV3291_P46/OV3291_P46.recal.cram	4489042876	2025-10-31T17:59Z	accessible	accessible	nf-core/sarek 3.5.1 run disturbed_kilby (session 1d80816f-4d0e-4a07-8fa8-818e7b7f9db6, Slurm 3731446, 2025-10-31, killed by 12h59m walltime)	/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/preprocessing/markduplicates/OV3291_P46/OV3291_P46.md.cram	3251136298	accessible	/project/6090753/active/ovcan_gq_analysis/work/67/391aefcedee5cff0359f87fc37879a/OV3291_P46.recal.bam	6897789105	accessible	yes	0.004884553576225901	76.23	0.81		yes (MultiQC 2025-10-23; fastp, FastQC, MarkDuplicates, samtools stats, mosdepth, bcftools/vcftools stats)	retained recal CRAM is a re-execution (Oct-31 partial run), not the byte-identical Oct-23 CRAM that fed the retained VCF; sequencing run/flowcell/date and library kit lot: not in cluster records; see WES 2014/2017/2018 spreadsheets and USB QC report (not parsed here)
OV3331	HGS	OV3331	OV3331_P54	P54	6	@RG ID:OV3331_P54_6 PU:6 SM:OV3331_P54_OV3331_P54 LB:OV3331_P54 PL:ILLUMINA (404 read groups after FASTQ splitting)	/project/6090753/active/ovcan_gq/ammmasson_OvCAN_WES_bioinformatics_analysis_R004741/bam/OV3331_P54.bam	6827996470	accessible	nf-core/sarek 3.5.1 run angry_allen (session 26cf85bf-0ac3-4237-8f48-c36b2ab20bd2, Slurm 3273686, completed 2025-10-23 23:48:40 EDT)	yes	yes	True	d426bee14957fc0ed63c9e61b0f9c9e957aed2eb1cef36bcce6975aaf95d4e52	/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/preprocessing/recalibrated/OV3331_P54/OV3331_P54.recal.cram	4883509108	2025-10-31T17:57Z	accessible	accessible	nf-core/sarek 3.5.1 run disturbed_kilby (session 1d80816f-4d0e-4a07-8fa8-818e7b7f9db6, Slurm 3731446, 2025-10-31, killed by 12h59m walltime)	/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/preprocessing/markduplicates/OV3331_P54/OV3331_P54.md.cram	3312630036	accessible	/project/6090753/active/ovcan_gq_analysis/work/9f/bf3df6338ee821bd70926534d54dee/OV3331_P54.recal.bam	7490850879	accessible	yes	0.0026676910600337196	78.43	0.73		yes (MultiQC 2025-10-23; fastp, FastQC, MarkDuplicates, samtools stats, mosdepth, bcftools/vcftools stats)	retained recal CRAM is a re-execution (Oct-31 partial run), not the byte-identical Oct-23 CRAM that fed the retained VCF; sequencing run/flowcell/date and library kit lot: not in cluster records; see WES 2014/2017/2018 spreadsheets and USB QC report (not parsed here)
OV90	HGS	OV90	OV90_P63	P63	8	@RG ID:OV90_P63_8 PU:8 SM:OV90_P63_OV90_P63 LB:OV90_P63 PL:ILLUMINA (404 read groups after FASTQ splitting)	/project/6090753/active/ovcan_gq/ammmasson_OvCAN_WES_bioinformatics_analysis_R004741/bam/OV90_P63.bam	6768114220	accessible	nf-core/sarek 3.5.1 run angry_allen (session 26cf85bf-0ac3-4237-8f48-c36b2ab20bd2, Slurm 3273686, completed 2025-10-23 23:48:40 EDT)	yes	yes	True	0ec397cc47d0a90232713c24a5cb5f8bc7682d28635e9399f3ed451be72593a4	/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/preprocessing/recalibrated/OV90_P63/OV90_P63.recal.cram	4513987142	2025-10-31T17:45Z	accessible	accessible	nf-core/sarek 3.5.1 run disturbed_kilby (session 1d80816f-4d0e-4a07-8fa8-818e7b7f9db6, Slurm 3731446, 2025-10-31, killed by 12h59m walltime)	/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/preprocessing/markduplicates/OV90_P63/OV90_P63.md.cram	3281811147	accessible	/project/6090753/active/ovcan_gq_analysis/work/5a/9c55f01b9d9f3b937491fab0ee693c/OV90_P63.recal.bam	6913215859	accessible	yes	0.001982510747686391	70.88	0.80		yes (MultiQC 2025-10-23; fastp, FastQC, MarkDuplicates, samtools stats, mosdepth, bcftools/vcftools stats)	retained recal CRAM is a re-execution (Oct-31 partial run), not the byte-identical Oct-23 CRAM that fed the retained VCF; sequencing run/flowcell/date and library kit lot: not in cluster records; see WES 2014/2017/2018 spreadsheets and USB QC report (not parsed here)
TOV112D	EC	TOV112D	TOV112D_P83	P83	7	@RG ID:TOV112D_P83_7 PU:7 SM:TOV112D_P83_TOV112D_P83 LB:TOV112D_P83 PL:ILLUMINA (404 read groups after FASTQ splitting)	/project/6090753/active/ovcan_gq/ammmasson_OvCAN_WES_bioinformatics_analysis_R004741/bam/TOV112D_P83.bam	6878215568	accessible	nf-core/sarek 3.5.1 run angry_allen (session 26cf85bf-0ac3-4237-8f48-c36b2ab20bd2, Slurm 3273686, completed 2025-10-23 23:48:40 EDT)	yes	yes	True	a70e38a06a7b24777962877efe6c0264eb1d95bf4c31662b2a7a778ef8f14ff6	/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/preprocessing/recalibrated/TOV112D_P83/TOV112D_P83.recal.cram	4752612943	2025-10-24T22:58Z	accessible	accessible	nf-core/sarek 3.5.1 run angry_kilby (session 26cf85bf, Slurm 3377445, 2025-10-24, failed at GETPILEUPSUMMARIES TOV3133D_P66)	/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/preprocessing/markduplicates/TOV112D_P83/TOV112D_P83.md.cram	3332387511	accessible	/project/6090753/active/ovcan_gq_analysis/work/42/00815049b9b01a26e84c3b4fb82f65/TOV112D_P83.recal.bam	7368921508	accessible	yes	0.002750233426062037	80.61	0.78		yes (MultiQC 2025-10-23; fastp, FastQC, MarkDuplicates, samtools stats, mosdepth, bcftools/vcftools stats)	retained recal CRAM is a re-execution (Oct-24 run), not the byte-identical Oct-23 CRAM that fed the retained VCF; sequencing run/flowcell/date and library kit lot: not in cluster records; see WES 2014/2017/2018 spreadsheets and USB QC report (not parsed here)
