model_or_reference	run_id	metric	value	unit	denominator	target_file_id	source_path	status	notes
OV1369_R2_P66	nf-core/sarek 3.5.1 run angry_allen (session 26cf85bf-0ac3-4237-8f48-c36b2ab20bd2, Slurm 3273686, completed 2025-10-23 23:48:40 EDT)	fastp_total_reads_before_filtering	130562922	reads (R1+R2)	all reads in provider BAM converted to FASTQ		wes/sarek_3.5.1_run/reports/fastp/OV1369_R2_P66/OV1369_R2_P66-6.fastp.json	found	
OV1369_R2_P66	nf-core/sarek 3.5.1 run angry_allen (session 26cf85bf-0ac3-4237-8f48-c36b2ab20bd2, Slurm 3273686, completed 2025-10-23 23:48:40 EDT)	fastp_total_reads_after_filtering	129094148	reads (R1+R2)	reads passing fastp --length_required 15 (adapter trimming disabled)		wes/sarek_3.5.1_run/reports/fastp/OV1369_R2_P66/OV1369_R2_P66-6.fastp.json	found	
OV1369_R2_P66	nf-core/sarek 3.5.1 run angry_allen (session 26cf85bf-0ac3-4237-8f48-c36b2ab20bd2, Slurm 3273686, completed 2025-10-23 23:48:40 EDT)	fastp_q30_rate_after_filtering	0.9238	fraction of bases	bases after filtering		wes/sarek_3.5.1_run/reports/fastp/OV1369_R2_P66/OV1369_R2_P66-6.fastp.json	found	
OV1369_R2_P66	nf-core/sarek 3.5.1 run angry_allen (session 26cf85bf-0ac3-4237-8f48-c36b2ab20bd2, Slurm 3273686, completed 2025-10-23 23:48:40 EDT)	fastp_gc_content_after_filtering	0.431	fraction	bases after filtering		wes/sarek_3.5.1_run/reports/fastp/OV1369_R2_P66/OV1369_R2_P66-6.fastp.json	found	
OV1369_R2_P66	nf-core/sarek 3.5.1 run angry_allen (session 26cf85bf-0ac3-4237-8f48-c36b2ab20bd2, Slurm 3273686, completed 2025-10-23 23:48:40 EDT)	fastp_duplication_rate	0.1284	fraction of reads	fastp sequence-level estimate before alignment		wes/sarek_3.5.1_run/reports/fastp/OV1369_R2_P66/OV1369_R2_P66-6.fastp.json	found	
OV1369_R2_P66	nf-core/sarek 3.5.1 run angry_allen (session 26cf85bf-0ac3-4237-8f48-c36b2ab20bd2, Slurm 3273686, completed 2025-10-23 23:48:40 EDT)	fastp_insert_size_peak	169	bp	fastp overlap-based estimate		wes/sarek_3.5.1_run/reports/fastp/OV1369_R2_P66/OV1369_R2_P66-6.fastp.json	found	
OV1369_R2_P66	nf-core/sarek 3.5.1 run angry_allen (session 26cf85bf-0ac3-4237-8f48-c36b2ab20bd2, Slurm 3273686, completed 2025-10-23 23:48:40 EDT)	fastp_read_length_mean_R1	100	bp			wes/sarek_3.5.1_run/reports/fastp/OV1369_R2_P66/OV1369_R2_P66-6.fastp.json	found	
OV1369_R2_P66	nf-core/sarek 3.5.1 run angry_allen (session 26cf85bf-0ac3-4237-8f48-c36b2ab20bd2, Slurm 3273686, completed 2025-10-23 23:48:40 EDT)	samtools_stats_md_raw_total_sequences	129094148	reads	all reads, genome-wide (duplicate-marked CRAM)		wes/sarek_3.5.1_run/reports/samtools/OV1369_R2_P66/OV1369_R2_P66.md.cram.stats	found	
OV1369_R2_P66	nf-core/sarek 3.5.1 run angry_allen (session 26cf85bf-0ac3-4237-8f48-c36b2ab20bd2, Slurm 3273686, completed 2025-10-23 23:48:40 EDT)	samtools_stats_md_reads_mapped	129050201	reads	all reads, genome-wide (duplicate-marked CRAM)		wes/sarek_3.5.1_run/reports/samtools/OV1369_R2_P66/OV1369_R2_P66.md.cram.stats	found	
OV1369_R2_P66	nf-core/sarek 3.5.1 run angry_allen (session 26cf85bf-0ac3-4237-8f48-c36b2ab20bd2, Slurm 3273686, completed 2025-10-23 23:48:40 EDT)	samtools_stats_md_reads_mapped_and_paired	129047494	reads	all reads, genome-wide (duplicate-marked CRAM)		wes/sarek_3.5.1_run/reports/samtools/OV1369_R2_P66/OV1369_R2_P66.md.cram.stats	found	
OV1369_R2_P66	nf-core/sarek 3.5.1 run angry_allen (session 26cf85bf-0ac3-4237-8f48-c36b2ab20bd2, Slurm 3273686, completed 2025-10-23 23:48:40 EDT)	samtools_stats_md_reads_properly_paired	128048344	reads	all reads, genome-wide (duplicate-marked CRAM)		wes/sarek_3.5.1_run/reports/samtools/OV1369_R2_P66/OV1369_R2_P66.md.cram.stats	found	
OV1369_R2_P66	nf-core/sarek 3.5.1 run angry_allen (session 26cf85bf-0ac3-4237-8f48-c36b2ab20bd2, Slurm 3273686, completed 2025-10-23 23:48:40 EDT)	samtools_stats_md_reads_duplicated	25523028	reads	all reads, genome-wide (duplicate-marked CRAM)		wes/sarek_3.5.1_run/reports/samtools/OV1369_R2_P66/OV1369_R2_P66.md.cram.stats	found	
OV1369_R2_P66	nf-core/sarek 3.5.1 run angry_allen (session 26cf85bf-0ac3-4237-8f48-c36b2ab20bd2, Slurm 3273686, completed 2025-10-23 23:48:40 EDT)	samtools_stats_md_reads_MQ0	18091465	reads	all reads, genome-wide (duplicate-marked CRAM)		wes/sarek_3.5.1_run/reports/samtools/OV1369_R2_P66/OV1369_R2_P66.md.cram.stats	found	
OV1369_R2_P66	nf-core/sarek 3.5.1 run angry_allen (session 26cf85bf-0ac3-4237-8f48-c36b2ab20bd2, Slurm 3273686, completed 2025-10-23 23:48:40 EDT)	samtools_stats_md_reads_unmapped	43947	reads	all reads, genome-wide (duplicate-marked CRAM)		wes/sarek_3.5.1_run/reports/samtools/OV1369_R2_P66/OV1369_R2_P66.md.cram.stats	found	
OV1369_R2_P66	nf-core/sarek 3.5.1 run angry_allen (session 26cf85bf-0ac3-4237-8f48-c36b2ab20bd2, Slurm 3273686, completed 2025-10-23 23:48:40 EDT)	samtools_stats_md_error_rate	4.653094e-03	fraction	all reads, genome-wide (duplicate-marked CRAM)		wes/sarek_3.5.1_run/reports/samtools/OV1369_R2_P66/OV1369_R2_P66.md.cram.stats	found	
