cell_line	sample	cluster_cnr	cluster_cnr_sha256	matches_repo_source_cnr	reconstructed_target_only_sha256	matches_repo_target_only	n_rows	n_antitarget_dropped
OV1369-R2	OV1369_R2_P66	wes/cnvkit_0.9.10_manual/OV1369_R2_P66_new/OV1369_R2_P66.cnr	6592582eb3f33b934fa34b3cc207b78f40d906e05d4b5956895170b814937883	True	13704ad8f979bfe7332b7810b28ce733f380c42c9300a3d7c94176a59e287117	True	204706	40923
OV2085	OV2085_P64	wes/cnvkit_0.9.10_manual/OV2085_P64_new/OV2085_P64.cnr	f77f13fbf2eec08d767f069f5ad02d2196a13b2c592ee93826dc89e0af148990	True	a7c48bea5703ffa494a9fef6783ab4becdc3548326940009772a76c34f85f8dd	True	204706	40923
OV2295	OV2295_P61	wes/cnvkit_0.9.10_manual/OV2295_P61_new/OV2295_P61.cnr	e0fdda8e7d744067f11ce8dab639cd4596eaeb5afcc1a4403d28efb4fdba18bb	True	d6c595a1ab01ea520565e35ff82269810ee6d89f47dcd010f19c005f1a1f5f91	True	204706	40923
OV2295-R2	OV2295_R2_P70	wes/cnvkit_0.9.10_manual/OV2295_R2_P70_new/OV2295_R2_P70.cnr	c030d116172c7d7d622bda2bc42cff0dd6ef0a09a5551a49818d8535f6bcb56e	True	521ae55d7531893410a882967d001587dc37376dd6b82d29409f1df17b1464e7	True	204706	40923
OV3133-R	OV3133_R_P71	wes/cnvkit_0.9.10_manual/OV3133_R_P71_new/OV3133_R_P71.cnr	c35ecc0fc6743759bcadf79f2f87247030e56b571f7d0b3f4135d3ac51c1da11	True	e41397bf7351224afae092c6cab63449ebaf4ecacafe48e8b0830e2b017cc3b9	True	204706	40923
OV3133-R2	OV3133_R2_P58	wes/cnvkit_0.9.10_manual/OV3133_R2_P58_new/OV3133_R2_P58.cnr	8e5bb742f296d726d7251c9644a78602461930d6178dca52d395ab63a18615d4	True	adbc0a8152abccd69c09e237fb3ff48e431e5bc9120e383060bad71bfc2cda3b	True	204706	40923
OV3291	OV3291_P46	wes/cnvkit_0.9.10_manual/OV3291_P46_new/OV3291_P46.cnr	cd970e62866bf472e4e70a74fe30b98ba961e1e873b1932f40e45a6ede6740db	True	e629620b5d7bbacf139d5218a08bd1880621f699b4cfcdfe75ebcc8cd6a02ee5	True	204706	40923
OV3331	OV3331_P54	wes/cnvkit_0.9.10_manual/OV3331_P54_new/OV3331_P54.cnr	8ec384a3b641262c80464b65f9ff3c1fbe4591a8fc2e0199c14816e44f0d0357	True	59813ef240c5684eed6f48d5096c1192a8cf6550883201be22dad052de434b0d	True	204706	40923
OV90	OV90_P63	wes/cnvkit_0.9.10_manual/OV90_P63_new/OV90_P63.cnr	6f90c24bb229ffd2082efb7cb95d40d5ee10f46700f6fb7668d52cb482d63deb	True	a7b1326e1fe263fe02af1579306bec36737d0b479f6b690ad23b2ec3a6efecc6	True	204706	40923
TOV112D	TOV112D_P83	wes/cnvkit_0.9.10_manual/TOV112D_P83_new/TOV112D_P83.cnr	8c77565e8f5fa28fd545f20ad6168494ea04ae5dc4668b0ea436e2fba941daa7	True	63225b4da0218ab825da8f8e61f80380687b7ca12513fe046904680bdc77f8df	True	204706	40923
TOV1369	TOV1369_P65	wes/cnvkit_0.9.10_manual/TOV1369_P65_new/TOV1369_P65.cnr	7defb72bc889e9ee6b6e5ad12312e593376e3222a6c3465831c29c379c8559a4	True	2d302428de485d09a9b01e6eccc2c5d9bd374bb861cd5d32d4950a063bf462ce	True	204706	40923
TOV21G	TOV21G_P59	wes/cnvkit_0.9.10_manual/TOV21G_P59_new/TOV21G_P59.cnr	71735f53193e3461d691761cbf80084eae9d82a2b87d7da8c3c510d012f1a7e2	True	c8b4324f1c937c59b332b0fcf6fd4cbc1aa136beafa12e34eda79643c70c04ec	True	204706	40923
TOV2295-R	TOV2295_R_P57	wes/cnvkit_0.9.10_manual/TOV2295_R_P57_new/TOV2295_R_P57.cnr	9af1782172c9e10be57ae2cd37ea094212e0130fd964064ccabff9d4937c1bac	True	7b549732ad800d6d8cf61930f413fbc1415a6adf3d9e5f6cb995d0116995f5f3	True	204706	40923
TOV2414	TOV2414_P65	wes/cnvkit_0.9.10_manual/TOV2414_P65_new/TOV2414_P65.cnr	f2a9b6ff1406dcbb5766730a0d5d13c72052e71f8b9d8e471e46698580b56c1c	True	4b77f12cd9a901729b02826faa4d93cb312f50bde4d92104ace34b7573db3835	True	204706	40923
TOV2835EP	TOV2835EP_P64	wes/cnvkit_0.9.10_manual/TOV2835EP_P64_new/TOV2835EP_P64.cnr	65d79c8e363c84b17e491cca1db4a28e22b055fa92b82165c0fc785244da485b	True	80f27bae2f68d054433bfc919349d43be7133ed1f94f7d0c620add74e705ea0e	True	204706	40923
TOV2881EP	TOV2881EP_P64	wes/cnvkit_0.9.10_manual/TOV2881EP_P64_new/TOV2881EP_P64.cnr	95fb29083a2e1bfa1d75d728f35eaa7cb45b0b6aaff28db1b8b7553c920ea611	True	f8b631eddd9b30a5fef07d4ce10e52ad75aacee85e980b1bddde8f17c18109aa	True	204706	40923
TOV2929D	TOV2929D_P57	wes/cnvkit_0.9.10_manual/TOV2929D_P57_new/TOV2929D_P57.cnr	e144674db27560f8ff4790debc50cf0c7a9e77261978790f7eb8388d4b725ebf	True	d0ce695348c9a82488d29735b4503b4e1072694fb8cc6e4d3de7ee434252798f	True	204706	40923
TOV3121D	TOV3121D_P68	wes/cnvkit_0.9.10_manual/TOV3121D_P68_new/TOV3121D_P68.cnr	0481e72c8039383eedaff86a07dfa8c855e6b40c2f58ddd41d2a9036b3a83c04	True	3121362efda106dbcc7908b72d20716f2c3867d36f78097dd27c3dfb4ecfb70c	True	204706	40923
TOV3121EP	TOV3121EP_P68	wes/cnvkit_0.9.10_manual/TOV3121EP_P68_new/TOV3121EP_P68.cnr	fe5e352e1fa556287e37352b9182bf287c356cdd82888c81f7cc81f1026e3f8b	True	76b1cbbfb37495298631299e741c557fcd7adf8d829accbeff50a4df04e32e2d	True	204706	40923
TOV3133D	TOV3133D_P66	wes/cnvkit_0.9.10_manual/TOV3133D_P66_new/TOV3133D_P66.cnr	112a4464e5dc5b8820c7981bc06fb7dac32e70d7c491125886edcc79e652cf93	True	c78567d321f69b278b41dcf80b503c645b29f2f1dfaa9c63e759c7e4a1f62872	True	204706	40923
TOV3133G	TOV3133G_P65	wes/cnvkit_0.9.10_manual/TOV3133G_P65_new/TOV3133G_P65.cnr	f074d0331a7bc90055ff1181bb6991d21e1844ede15ab7cbe2b8bbec7cc345ad	True	b0001886859e96590793ef7263de541aa63e85e2be6e8e3718d572fac2410027	True	204706	40923
TOV3392D	TOV3392D_P69	wes/cnvkit_0.9.10_manual/TOV3392D_P69_new/TOV3392D_P69.cnr	345647140419dbb707ec77d3d67e63e9fa8e86043a2ca3f1fa002432bfe4fdbe	True	2433eac2dfa8cf57dff1dc766ad1993178e1ed638e0277db9a93b515d61d2bbe	True	204706	40923
TOV81D	TOV81D_P23	wes/cnvkit_0.9.10_manual/TOV81D_P23_new/TOV81D_P23.cnr	039ed164eaa683e7176728be7b2ab3a503b7b38822072a2338e9636b160942dd	True	51bc3935b4febfbe3cc358745b93ca41919525d6f94d05ca1625990496564597	True	204706	40923
