"cell_line","subtype","source_site","patient_id","family","n_lines_in_family","is_multiline_family","patient_representative","has_rna","has_prot","has_wes_cnv","has_wes_maf"
"OV1369-R2","HGS","Mes-Masson","1369","1369",2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"TOV1369","HGS","Mes-Masson","1369","1369",2,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
"OV2295","HGS","Mes-Masson","2295","2295",3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"OV2295-R2","HGS","Mes-Masson","2295","2295",3,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
"TOV2295-R","HGS","Mes-Masson","2295","2295",3,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
"TOV3121D","HGS","Mes-Masson","3121","3121",2,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
"TOV3121EP","HGS","Mes-Masson","3121","3121",2,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
"OV3133-R","HGS","Mes-Masson","3133","3133",4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"OV3133-R2","HGS","Mes-Masson","3133","3133",4,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
"TOV3133D","HGS","Mes-Masson","3133","3133",4,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
"TOV3133G","HGS","Mes-Masson","3133","3133",4,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
"OV3291","HGS","Mes-Masson","3291","3291",2,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
"TOV3291G","HGS","Mes-Masson","3291","3291",2,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"BIN67","SCCOHT","Huntsman/Vanderhyden","BIN67",NA,1,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
"COV434","SCCOHT","Huntsman","COV434",NA,1,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
"OV1946","HGS","Mes-Masson","OV1946",NA,1,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
"OV2085","HGS","Mes-Masson","OV2085",NA,1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
"OV3331","HGS","Mes-Masson","OV3331",NA,1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
"OV4453","HGS","Mes-Masson","OV4453",NA,1,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
"OV4485","HGS","Mes-Masson","OV4485",NA,1,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
"OV866-2","HGS","Mes-Masson","OV866-2",NA,1,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
"OV90","HGS","Mes-Masson","OV90",NA,1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
"TOV112D","EC","Mes-Masson","TOV112D",NA,1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
"TOV21G","CC","Mes-Masson","TOV21G",NA,1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
"TOV2414","MC","Mes-Masson","TOV2414",NA,1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
"TOV2835EP","HGS","Mes-Masson","TOV2835EP",NA,1,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
"TOV2881EP","HGS","Mes-Masson","TOV2881EP",NA,1,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
"TOV2929D","HGS","Mes-Masson","TOV2929D",NA,1,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
"TOV3041G","HGS","Mes-Masson","TOV3041G",NA,1,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
"TOV3392D","CC","Mes-Masson","TOV3392D",NA,1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
"TOV81D","LGS","Mes-Masson","TOV81D",NA,1,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
"VOA10816","CC","Huntsman","VOA10816",NA,1,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
"VOA12539","CC","Huntsman","VOA12539",NA,1,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
"VOA14993","CC","Huntsman","VOA14993",NA,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
"VOA295","CC","Huntsman","VOA295",NA,1,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
"VOA4395","EC","Huntsman","VOA4395",NA,1,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
"VOA4841","CC","Huntsman","VOA4841",NA,1,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
"VOA5217","MMMT","Huntsman","VOA5217",NA,1,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
"VOA5436","MMMT","Huntsman","VOA5436",NA,1,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
"VOA6861","CC","Huntsman","VOA6861",NA,1,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"VOA8762","MC","Huntsman","VOA8762",NA,1,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
"VOA8771","MC","Huntsman","VOA8771",NA,1,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
