cell_line,histotype_code,histotype_label,histotype_note,contributing_centre,patient_id,models_from_same_patient,selected_patient_model,rna_available,protein_available,copy_number_available,variants_available,rna_sample_id,rna_passage,wes_passage,tmt_plex,tmt_channel,stock_str_documentation,stock_mycoplasma_documentation,rna_pseudoalign_pct,rna_sequenced_fragments_M,rna_assigned_gene_counts_M,rna_genes_detected,prot_n_detected,prot_pct_missing,wes_n_coding,fga_autosome,cellosaurus_accession,str_profile_documented,problematic_flag
OV1369-R2,HGS,High-grade serous carcinoma,consensus,CHUM,1369,2,TRUE,TRUE,TRUE,TRUE,TRUE,OV1369R2p69,p69,P66,1,ch2,Awaiting contributing-laboratory confirmation,Awaiting contributing-laboratory confirmation,93.1,81.3,75.7,19767,7738,8.2,280,0.859,CVCL_9T12,TRUE,
OV1946,HGS,High-grade serous carcinoma,consensus,CHUM,OV1946,1,TRUE,TRUE,TRUE,FALSE,FALSE,OV1946p64,p64,,5,ch2,Awaiting contributing-laboratory confirmation,Awaiting contributing-laboratory confirmation,92.1,48.5,44.6,20074,7653,9.2,,,CVCL_4375,TRUE,
OV2085,HGS,High-grade serous carcinoma,consensus,CHUM,OV2085,1,TRUE,TRUE,TRUE,TRUE,TRUE,OV2085p68,p68,P64,2,ch2,Awaiting contributing-laboratory confirmation,Awaiting contributing-laboratory confirmation,92.2,87.7,80.8,20470,7758,7.9,207,0.681,CVCL_A1SI,TRUE,
OV2295,HGS,High-grade serous carcinoma,consensus,CHUM,2295,3,TRUE,TRUE,TRUE,TRUE,TRUE,OV2295p64,p64,P61,5,ch4,Awaiting contributing-laboratory confirmation,Awaiting contributing-laboratory confirmation,91.9,55.8,51.2,20174,7653,9.2,170,0.396,CVCL_9T13,TRUE,
OV2295-R2,HGS,High-grade serous carcinoma,consensus,CHUM,2295,3,FALSE,TRUE,TRUE,TRUE,TRUE,OV2295R2p67,p67,P70,3,ch2,Awaiting contributing-laboratory confirmation,Awaiting contributing-laboratory confirmation,90,97,87.3,19526,7562,10.3,272,0.669,CVCL_9T14,TRUE,
OV3133-R,HGS,High-grade serous carcinoma,consensus,CHUM,3133,4,TRUE,TRUE,TRUE,TRUE,TRUE,OV3133Rp64,p64,P71,1,ch3,Awaiting contributing-laboratory confirmation,Awaiting contributing-laboratory confirmation,91.2,60,54.8,19761,7738,8.2,186,0.626,CVCL_9T15,TRUE,
OV3133-R2,HGS,High-grade serous carcinoma,consensus,CHUM,3133,4,FALSE,FALSE,FALSE,TRUE,TRUE,,,P58,,,Awaiting contributing-laboratory confirmation,Awaiting contributing-laboratory confirmation,,,,,,,166,0.685,CVCL_9T16,TRUE,
OV3291,HGS,High-grade serous carcinoma,consensus,CHUM,3291,2,FALSE,FALSE,FALSE,TRUE,TRUE,,,P46,,,Awaiting contributing-laboratory confirmation,Awaiting contributing-laboratory confirmation,,,,,,,207,0.668,CVCL_A1SP,TRUE,
OV4453,HGS,High-grade serous carcinoma,consensus,CHUM,OV4453,1,TRUE,TRUE,TRUE,FALSE,FALSE,OV4453p60,p60,,4,ch2,Awaiting contributing-laboratory confirmation,Awaiting contributing-laboratory confirmation,89.6,85,76.2,21292,7694,8.7,,,CVCL_9T20,TRUE,
OV4485,HGS,High-grade serous carcinoma,consensus,CHUM,OV4485,1,TRUE,TRUE,TRUE,FALSE,FALSE,OV4485p60,p60,,2,ch3,Awaiting contributing-laboratory confirmation,Awaiting contributing-laboratory confirmation,92.5,52.1,48.2,19696,7758,7.9,,,CVCL_9T21,TRUE,
