cell_line,subtype,subtype_status,source_site,rna_seq,rna_sample_id,rna_passage,rna_pseudoalign_pct,rna_status,proteomics,tmt_plex,tmt_channel,wes_cnv,wes_mut,wes_passage,wes_mut_note,n_omics,all_three,analysis_include,exclusion_reason,provenance,notes
OV1369-R2,HGS,consensus,Mes-Masson,Y,OV1369R2p69,p69,93.1,OK,Y,1,ch2,Y,Y,P66,,3,Y,Y,,generated,1369 family (w/ TOV1369); ConsensusOV:DIF
OV1946,HGS,consensus,Mes-Masson,Y,OV1946p64,p64,92.1,OK,Y,5,ch2,-,-,,,2,-,Y,,generated,ConsensusOV:MES
OV2085,HGS,consensus,Mes-Masson,Y,OV2085p68,p68,92.2,OK,Y,2,ch2,Y,Y,P64,,3,Y,Y,,generated,ConsensusOV:IMR
OV2295,HGS,consensus,Mes-Masson,Y,OV2295p64,p64,91.9,OK,Y,5,ch4,Y,Y,P61,,3,Y,Y,,generated,2295 family (OV2295/OV2295-R2/TOV2295-R); ConsensusOV:DIF
OV2295-R2,HGS,consensus,Mes-Masson,Y,OV2295R2p67,p67,90.0,OK,Y,3,ch2,Y,Y,P70,,3,Y,Y,,generated,2295 family (OV2295/OV2295-R2/TOV2295-R); ConsensusOV:IMR
OV3133-R,HGS,consensus,Mes-Masson,Y,OV3133Rp64,p64,91.2,OK,Y,1,ch3,Y,Y,P71,,3,Y,Y,,generated,3133 family (OV3133-R/OV3133-R2/TOV3133D/TOV3133G); ConsensusOV:DIF
OV3133-R2,HGS,consensus,Mes-Masson,-,,,,,-,,,Y,Y,P58,,1,-,Y,,generated,3133 family (OV3133-R/OV3133-R2/TOV3133D/TOV3133G); WES-only
OV3291,HGS,consensus,Mes-Masson,-,,,,,-,,,Y,Y,P46,,1,-,Y,,generated,3291 family (OV3291 vs TOV3291G - distinct OV/TOV isolates); WES-only
OV4453,HGS,consensus,Mes-Masson,Y,OV4453p60,p60,89.6,OK,Y,4,ch2,-,-,,,2,-,Y,,generated,ConsensusOV:PRO
OV4485,HGS,consensus,Mes-Masson,Y,OV4485p60,p60,92.5,OK,Y,2,ch3,-,-,,,2,-,Y,,generated,ConsensusOV:DIF
OV866-2,HGS,consensus,Mes-Masson,Y,OV866-2p67,p67,93.0,OK,Y,1,ch4,-,-,,,2,-,Y,,generated,ConsensusOV:MES
TOV1369,HGS,consensus,Mes-Masson,Y,TOV1369p65,p65,93.1,OK,Y,2,ch4,Y,Y,P65,,3,Y,Y,,generated,1369 family (w/ OV1369-R2); ConsensusOV:DIF; also inter-plex TMT bridge (plex3 ch10)
TOV2295-R,HGS,consensus,Mes-Masson,-,,,,,-,,,Y,Y,P57,,1,-,Y,,generated,2295 family (OV2295/OV2295-R2/TOV2295-R); WES-only
TOV2835EP,HGS,consensus,Mes-Masson,-,,,,,-,,,Y,Y,P64,,1,-,Y,,generated,WES-only
TOV2881EP,HGS,consensus,Mes-Masson,-,,,,,-,,,Y,Y,P64,,1,-,Y,,generated,WES-only
TOV2929D,HGS,consensus,Mes-Masson,-,,,,,-,,,Y,Y,P57,,1,-,Y,,generated,WES-only
TOV3041G,HGS,consensus,Mes-Masson,Y,TOV3041Gp67,p67,92.8,OK,Y,3,ch4,-,-,,,2,-,Y,,generated,ConsensusOV:MES
TOV3121D,HGS,consensus,Mes-Masson,-,,,,,-,,,Y,Y,P68,MAF recovered from archived VEP113-annotated filtered VCF on 2026-09-05 using vcf2maf1.6.22 --inhibit-vep; 158 retained coding candidates,1,-,Y,,generated,3121 family (TOV3121D/TOV3121EP); WES-only
TOV3121EP,HGS,consensus,Mes-Masson,-,,,,,-,,,Y,Y,P68,,1,-,Y,,generated,3121 family (TOV3121D/TOV3121EP); WES-only
TOV3133D,HGS,consensus,Mes-Masson,-,,,,,-,,,Y,Y,P66,,1,-,Y,,generated,3133 family (OV3133-R/OV3133-R2/TOV3133D/TOV3133G); WES-only
TOV3133G,HGS,consensus,Mes-Masson,Y,TOV3133Gp61,p61,89.3,OK,Y,4,ch4,Y,Y,P65,,3,Y,Y,,generated,3133 family (OV3133-R/OV3133-R2/TOV3133D/TOV3133G); ConsensusOV:DIF; also inter-plex TMT bridge (plex5 ch10)
TOV3291G,HGS,consensus,Mes-Masson,Y,TOV3291Gp62,p62,92.4,OK,Y,2,ch8,-,-,,,2,-,Y,,generated,3291 family (OV3291 vs TOV3291G - distinct OV/TOV isolates); ConsensusOV:MES
OV3331,HGS,"CONFLICT: Adenocarcinoma (annotation_cleaned/TMT layout/Cell lines Subtypes.xlsx) vs HGS (annotation.csv/updated, summary, ConsensusOV)",Mes-Masson,Y,OV3331p71,p71,93.0,OK,Y,4,ch3,Y,Y,P54,,3,Y,Y,,generated,ConsensusOV:PRO
OV90,HGS,"CONFLICT: Adenocarcinoma (annotation_cleaned/TMT layout/Cell lines Subtypes.xlsx) vs HGS (annotation.csv/updated, summary, ConsensusOV)",Mes-Masson,Y,OV90p70,p70,91.3,OK,Y,5,ch3,Y,Y,P63,,3,Y,Y,,generated,ConsensusOV:IMR
LGSOC_P1,LGS,consensus,Carey,Y,LGSOC_P1,,20.1,CORRUPTED_reprocess,-,,,-,-,,,1,-,N,EXTERNAL: LGSC/Carey data from published Carey/OVCARE source (not generated by this project) - removed from resource,external,Carey LGS cohort; cross-assay identity to proteomics VOA-Carey LGS UNCONFIRMED
LGSOC_P10,LGS,consensus,Carey,Y,LGSOC_P10,,19.6,CORRUPTED_reprocess,-,,,-,-,,,1,-,N,EXTERNAL: LGSC/Carey data from published Carey/OVCARE source (not generated by this project) - removed from resource,external,Carey LGS cohort; cross-assay identity to proteomics VOA-Carey LGS UNCONFIRMED
