cell_line,subtype,symbol,common,adc_example,expected_subtype,assay,log2_expr
TOV21G,CC,CD276,B7-H3,ifinatamab deruxtecan,NA,RNA,6.308
TOV3392D,CC,CD276,B7-H3,ifinatamab deruxtecan,NA,RNA,5.028
VOA10816,CC,CD276,B7-H3,ifinatamab deruxtecan,NA,RNA,5.523
VOA12539,CC,CD276,B7-H3,ifinatamab deruxtecan,NA,RNA,7.123
VOA295,CC,CD276,B7-H3,ifinatamab deruxtecan,NA,RNA,6.647
VOA4841,CC,CD276,B7-H3,ifinatamab deruxtecan,NA,RNA,5.903
VOA6861,CC,CD276,B7-H3,ifinatamab deruxtecan,NA,RNA,6.668
TOV112D,EC,CD276,B7-H3,ifinatamab deruxtecan,NA,RNA,5.555
VOA4395,EC,CD276,B7-H3,ifinatamab deruxtecan,NA,RNA,6.54
OV1369-R2,HGS,CD276,B7-H3,ifinatamab deruxtecan,NA,RNA,4.468
OV1946,HGS,CD276,B7-H3,ifinatamab deruxtecan,NA,RNA,5.612
OV2085,HGS,CD276,B7-H3,ifinatamab deruxtecan,NA,RNA,5.568
OV2295,HGS,CD276,B7-H3,ifinatamab deruxtecan,NA,RNA,5.454
OV2295-R2,HGS,CD276,B7-H3,ifinatamab deruxtecan,NA,RNA,7.735
OV3133-R,HGS,CD276,B7-H3,ifinatamab deruxtecan,NA,RNA,4.12
OV3331,HGS,CD276,B7-H3,ifinatamab deruxtecan,NA,RNA,6.926
OV4453,HGS,CD276,B7-H3,ifinatamab deruxtecan,NA,RNA,6.483
OV4485,HGS,CD276,B7-H3,ifinatamab deruxtecan,NA,RNA,5.255
OV866-2,HGS,CD276,B7-H3,ifinatamab deruxtecan,NA,RNA,6.686
OV90,HGS,CD276,B7-H3,ifinatamab deruxtecan,NA,RNA,6.471
TOV1369,HGS,CD276,B7-H3,ifinatamab deruxtecan,NA,RNA,5.291
TOV3041G,HGS,CD276,B7-H3,ifinatamab deruxtecan,NA,RNA,6.161
TOV3133G,HGS,CD276,B7-H3,ifinatamab deruxtecan,NA,RNA,4.252
TOV3291G,HGS,CD276,B7-H3,ifinatamab deruxtecan,NA,RNA,6.447
TOV2414,MC,CD276,B7-H3,ifinatamab deruxtecan,NA,RNA,6.218
VOA8762,MC,CD276,B7-H3,ifinatamab deruxtecan,NA,RNA,7.274
