symbol,common,assay,top_mean_subtype,top_val,top_n_measured,top_n_lines_in_modality,second,second_val,second_n_measured,max_line_subtype,expected,expected_mean_rank,top_mean_matches,top_line_in_expected
CD276,B7-H3,RNA,MC,6.87,3,3,SCCOHT,6.34,2,HGS,NA,NA,NA,NA
CD276,B7-H3,protein,MC,11.63,3,3,SCCOHT,11.37,2,MC,NA,NA,NA,NA
CDH6,CDH6,RNA,HGS,4.73,15,15,MC,3.5,3,HGS,NA,NA,NA,NA
CDH6,CDH6,protein,HGS,13.37,15,15,MC,12.9,3,HGS,NA,NA,NA,NA
DPEP3,DPEP3,RNA,HGS,0.46,15,15,CC,0,7,HGS,NA,NA,NA,NA
ERBB2,HER2,RNA,CC,6.56,7,7,MC,6.26,3,CC,CC/MC,1,TRUE,TRUE
ERBB2,HER2,protein,MC,13.52,3,3,CC,13.47,7,CC,CC/MC,1,TRUE,TRUE
FOLR1,FRalpha,RNA,MC,6.36,3,3,CC,5.86,7,HGS,HGS,3,FALSE,TRUE
FOLR1,FRalpha,protein,MC,12.66,3,3,CC,12.26,7,CC,HGS,3,FALSE,FALSE
MSLN,mesothelin,RNA,HGS,5.69,15,15,CC,4.82,7,HGS,HGS,1,TRUE,TRUE
MSLN,mesothelin,protein,HGS,12.39,15,15,CC,12.03,7,HGS,HGS,1,TRUE,TRUE
SLC34A2,NaPi2b,RNA,HGS,5.47,15,15,CC,5.32,7,CC,NA,NA,NA,NA
SLC34A2,NaPi2b,protein,HGS,12,15,15,CC,11.8,7,CC,NA,NA,NA,NA
TACSTD2,TROP2,RNA,MC,8.54,3,3,HGS,6.46,15,HGS,NA,NA,NA,NA
TACSTD2,TROP2,protein,HGS,13.79,15,15,MC,13.47,3,HGS,NA,NA,NA,NA
VTCN1,B7-H4,RNA,CC,3.9,7,7,MC,3.6,3,HGS,NA,NA,NA,NA
VTCN1,B7-H4,protein,HGS,11.67,15,15,CC,11.64,7,HGS,NA,NA,NA,NA
