symbol,group,ovarian_dir,cell_line,is_mucinous_line,assay,unit,value,z,rank_low_is_lowest,n_lines_in_assay,percentile,panel_min,panel_median,panel_max,z_reference_set,note
CDX2,intestinal (shared),n/a,VOA8771,TRUE,RNA,log2(TPM+1),5.38551041775111,3.6416947480758384,31,31,98.4,0,0.006781912613620252,5.38551041775111,z per gene across all 31 RNA lines (log2 TPM+1),intestinal TF; in BOTH MOC and GI (not discriminating alone)
CDX2,intestinal (shared),n/a,VOA8762,TRUE,RNA,log2(TPM+1),3.9205753319103276,2.518900139207384,30,31,95.2,0,0.006781912613620252,5.38551041775111,z per gene across all 31 RNA lines (log2 TPM+1),intestinal TF; in BOTH MOC and GI (not discriminating alone)
CDX2,intestinal (shared),n/a,OV90,FALSE,RNA,log2(TPM+1),2.9935493771054453,1.8083841891175796,29,31,91.9,0,0.006781912613620252,5.38551041775111,z per gene across all 31 RNA lines (log2 TPM+1),intestinal TF; in BOTH MOC and GI (not discriminating alone)
CDX2,intestinal (shared),n/a,OV3331,FALSE,RNA,log2(TPM+1),2.3085181498611935,1.2833442905647077,28,31,88.7,0,0.006781912613620252,5.38551041775111,z per gene across all 31 RNA lines (log2 TPM+1),intestinal TF; in BOTH MOC and GI (not discriminating alone)
CDX2,intestinal (shared),n/a,TOV3291G,FALSE,RNA,log2(TPM+1),1.6039503030551203,0.7433306151315195,27,31,85.5,0,0.006781912613620252,5.38551041775111,z per gene across all 31 RNA lines (log2 TPM+1),intestinal TF; in BOTH MOC and GI (not discriminating alone)
CDX2,intestinal (shared),n/a,OV4453,FALSE,RNA,log2(TPM+1),1.0686770010000266,0.3330721786809127,26,31,82.3,0,0.006781912613620252,5.38551041775111,z per gene across all 31 RNA lines (log2 TPM+1),intestinal TF; in BOTH MOC and GI (not discriminating alone)
CDX2,intestinal (shared),n/a,TOV2414,TRUE,RNA,log2(TPM+1),0.90518297335392806,0.20776272668026555,25,31,79,0,0.006781912613620252,5.38551041775111,z per gene across all 31 RNA lines (log2 TPM+1),intestinal TF; in BOTH MOC and GI (not discriminating alone)
CDX2,intestinal (shared),n/a,VOA6861,FALSE,RNA,log2(TPM+1),0.33466437586222403,-0.22950934886376867,24,31,75.8,0,0.006781912613620252,5.38551041775111,z per gene across all 31 RNA lines (log2 TPM+1),intestinal TF; in BOTH MOC and GI (not discriminating alone)
CDX2,intestinal (shared),n/a,OV2295,FALSE,RNA,log2(TPM+1),0.24518774143756278,-0.2980884167847497,23,31,72.6,0,0.006781912613620252,5.38551041775111,z per gene across all 31 RNA lines (log2 TPM+1),intestinal TF; in BOTH MOC and GI (not discriminating alone)
CDX2,intestinal (shared),n/a,TOV21G,FALSE,RNA,log2(TPM+1),0.2234454104461125,-0.314752753831072,22,31,69.4,0,0.006781912613620252,5.38551041775111,z per gene across all 31 RNA lines (log2 TPM+1),intestinal TF; in BOTH MOC and GI (not discriminating alone)
CDX2,intestinal (shared),n/a,TOV1369,FALSE,RNA,log2(TPM+1),0.21612577828816582,-0.3203628614769857,21,31,66.1,0,0.006781912613620252,5.38551041775111,z per gene across all 31 RNA lines (log2 TPM+1),intestinal TF; in BOTH MOC and GI (not discriminating alone)
CDX2,intestinal (shared),n/a,VOA12539,FALSE,RNA,log2(TPM+1),0.19758110085232322,-0.3345763676244053,20,31,62.9,0,0.006781912613620252,5.38551041775111,z per gene across all 31 RNA lines (log2 TPM+1),intestinal TF; in BOTH MOC and GI (not discriminating alone)
CDX2,intestinal (shared),n/a,OV1369-R2,FALSE,RNA,log2(TPM+1),0.11704269067073066,-0.396304763396173,19,31,59.7,0,0.006781912613620252,5.38551041775111,z per gene across all 31 RNA lines (log2 TPM+1),intestinal TF; in BOTH MOC and GI (not discriminating alone)
CDX2,intestinal (shared),n/a,VOA4395,FALSE,RNA,log2(TPM+1),0.11385702708504022,-0.39874640462263655,18,31,56.5,0,0.006781912613620252,5.38551041775111,z per gene across all 31 RNA lines (log2 TPM+1),intestinal TF; in BOTH MOC and GI (not discriminating alone)
CDX2,intestinal (shared),n/a,TOV112D,FALSE,RNA,log2(TPM+1),0.01174121959059315,-0.4770127245730589,17,31,53.2,0,0.006781912613620252,5.38551041775111,z per gene across all 31 RNA lines (log2 TPM+1),intestinal TF; in BOTH MOC and GI (not discriminating alone)
CDX2,intestinal (shared),n/a,OV3133-R,FALSE,RNA,log2(TPM+1),0.006781912613620252,-0.4808137688591086,16,31,50,0,0.006781912613620252,5.38551041775111,z per gene across all 31 RNA lines (log2 TPM+1),intestinal TF; in BOTH MOC and GI (not discriminating alone)
CDX2,intestinal (shared),n/a,OV2085,FALSE,RNA,log2(TPM+1),0.005029273493134381,-0.4821570732654223,15,31,46.8,0,0.006781912613620252,5.38551041775111,z per gene across all 31 RNA lines (log2 TPM+1),intestinal TF; in BOTH MOC and GI (not discriminating alone)
CDX2,intestinal (shared),n/a,OV1946,FALSE,RNA,log2(TPM+1),0,-0.48601174315434464,1,31,1.6,0,0.006781912613620252,5.38551041775111,z per gene across all 31 RNA lines (log2 TPM+1),intestinal TF; in BOTH MOC and GI (not discriminating alone)
CDX2,intestinal (shared),n/a,OV2295-R2,FALSE,RNA,log2(TPM+1),0,-0.48601174315434464,1,31,1.6,0,0.006781912613620252,5.38551041775111,z per gene across all 31 RNA lines (log2 TPM+1),intestinal TF; in BOTH MOC and GI (not discriminating alone)
CDX2,intestinal (shared),n/a,OV4485,FALSE,RNA,log2(TPM+1),0,-0.48601174315434464,1,31,1.6,0,0.006781912613620252,5.38551041775111,z per gene across all 31 RNA lines (log2 TPM+1),intestinal TF; in BOTH MOC and GI (not discriminating alone)
CDX2,intestinal (shared),n/a,OV866-2,FALSE,RNA,log2(TPM+1),0,-0.48601174315434464,1,31,1.6,0,0.006781912613620252,5.38551041775111,z per gene across all 31 RNA lines (log2 TPM+1),intestinal TF; in BOTH MOC and GI (not discriminating alone)
CDX2,intestinal (shared),n/a,TOV3041G,FALSE,RNA,log2(TPM+1),0,-0.48601174315434464,1,31,1.6,0,0.006781912613620252,5.38551041775111,z per gene across all 31 RNA lines (log2 TPM+1),intestinal TF; in BOTH MOC and GI (not discriminating alone)
CDX2,intestinal (shared),n/a,TOV3133G,FALSE,RNA,log2(TPM+1),0,-0.48601174315434464,1,31,1.6,0,0.006781912613620252,5.38551041775111,z per gene across all 31 RNA lines (log2 TPM+1),intestinal TF; in BOTH MOC and GI (not discriminating alone)
CDX2,intestinal (shared),n/a,TOV3392D,FALSE,RNA,log2(TPM+1),0,-0.48601174315434464,1,31,1.6,0,0.006781912613620252,5.38551041775111,z per gene across all 31 RNA lines (log2 TPM+1),intestinal TF; in BOTH MOC and GI (not discriminating alone)
CDX2,intestinal (shared),n/a,VOA10816,FALSE,RNA,log2(TPM+1),0,-0.48601174315434464,1,31,1.6,0,0.006781912613620252,5.38551041775111,z per gene across all 31 RNA lines (log2 TPM+1),intestinal TF; in BOTH MOC and GI (not discriminating alone)
CDX2,intestinal (shared),n/a,VOA295,FALSE,RNA,log2(TPM+1),0,-0.48601174315434464,1,31,1.6,0,0.006781912613620252,5.38551041775111,z per gene across all 31 RNA lines (log2 TPM+1),intestinal TF; in BOTH MOC and GI (not discriminating alone)
CDX2,intestinal (shared),n/a,VOA4841,FALSE,RNA,log2(TPM+1),0,-0.48601174315434464,1,31,1.6,0,0.006781912613620252,5.38551041775111,z per gene across all 31 RNA lines (log2 TPM+1),intestinal TF; in BOTH MOC and GI (not discriminating alone)
CDX2,intestinal (shared),n/a,VOA5217,FALSE,RNA,log2(TPM+1),0,-0.48601174315434464,1,31,1.6,0,0.006781912613620252,5.38551041775111,z per gene across all 31 RNA lines (log2 TPM+1),intestinal TF; in BOTH MOC and GI (not discriminating alone)
CDX2,intestinal (shared),n/a,VOA5436,FALSE,RNA,log2(TPM+1),0,-0.48601174315434464,1,31,1.6,0,0.006781912613620252,5.38551041775111,z per gene across all 31 RNA lines (log2 TPM+1),intestinal TF; in BOTH MOC and GI (not discriminating alone)
CDX2,intestinal (shared),n/a,BIN67,FALSE,RNA,log2(TPM+1),0,-0.48601174315434464,1,31,1.6,0,0.006781912613620252,5.38551041775111,z per gene across all 31 RNA lines (log2 TPM+1),intestinal TF; in BOTH MOC and GI (not discriminating alone)
CDX2,intestinal (shared),n/a,COV434,FALSE,RNA,log2(TPM+1),0,-0.48601174315434464,1,31,1.6,0,0.006781912613620252,5.38551041775111,z per gene across all 31 RNA lines (log2 TPM+1),intestinal TF; in BOTH MOC and GI (not discriminating alone)
KRT20,intestinal (shared),n/a,TOV2414,TRUE,RNA,log2(TPM+1),6.585219247535173,5.1866134547020275,31,31,98.4,0,0,6.585219247535173,z per gene across all 31 RNA lines (log2 TPM+1),intestinal keratin; shared
KRT20,intestinal (shared),n/a,TOV112D,FALSE,RNA,log2(TPM+1),1.2924908254683427,0.7923807961939113,30,31,95.2,0,0,6.585219247535173,z per gene across all 31 RNA lines (log2 TPM+1),intestinal keratin; shared
KRT20,intestinal (shared),n/a,VOA8762,TRUE,RNA,log2(TPM+1),1.2415402670301507,0.7500796256058122,29,31,91.9,0,0,6.585219247535173,z per gene across all 31 RNA lines (log2 TPM+1),intestinal keratin; shared
KRT20,intestinal (shared),n/a,VOA8771,TRUE,RNA,log2(TPM+1),0.5403626023075282,0.16793417092982743,28,31,88.7,0,0,6.585219247535173,z per gene across all 31 RNA lines (log2 TPM+1),intestinal keratin; shared
KRT20,intestinal (shared),n/a,VOA295,FALSE,RNA,log2(TPM+1),0.32558720357177995,-0.01038086738460412,27,31,85.5,0,0,6.585219247535173,z per gene across all 31 RNA lines (log2 TPM+1),intestinal keratin; shared
KRT20,intestinal (shared),n/a,OV90,FALSE,RNA,log2(TPM+1),0.26921751229791696,-0.057181216579339555,26,31,82.3,0,0,6.585219247535173,z per gene across all 31 RNA lines (log2 TPM+1),intestinal keratin; shared
KRT20,intestinal (shared),n/a,VOA10816,FALSE,RNA,log2(TPM+1),0.12511068405573023,-0.17682441012308736,25,31,79,0,0,6.585219247535173,z per gene across all 31 RNA lines (log2 TPM+1),intestinal keratin; shared
KRT20,intestinal (shared),n/a,OV2085,FALSE,RNA,log2(TPM+1),0.03715896480495886,-0.2498454091776269,24,31,75.8,0,0,6.585219247535173,z per gene across all 31 RNA lines (log2 TPM+1),intestinal keratin; shared
KRT20,intestinal (shared),n/a,TOV3041G,FALSE,RNA,log2(TPM+1),0.0281413721341172,-0.25733217159115385,23,31,72.6,0,0,6.585219247535173,z per gene across all 31 RNA lines (log2 TPM+1),intestinal keratin; shared
KRT20,intestinal (shared),n/a,VOA6861,FALSE,RNA,log2(TPM+1),0.01900148054512189,-0.2649204714079623,22,31,69.4,0,0,6.585219247535173,z per gene across all 31 RNA lines (log2 TPM+1),intestinal keratin; shared
KRT20,intestinal (shared),n/a,TOV1369,FALSE,RNA,log2(TPM+1),0.01698040798211218,-0.2665984458576931,21,31,66.1,0,0,6.585219247535173,z per gene across all 31 RNA lines (log2 TPM+1),intestinal keratin; shared
KRT20,intestinal (shared),n/a,OV1369-R2,FALSE,RNA,log2(TPM+1),0,-0.2806962527655056,1,31,1.6,0,0,6.585219247535173,z per gene across all 31 RNA lines (log2 TPM+1),intestinal keratin; shared
KRT20,intestinal (shared),n/a,OV1946,FALSE,RNA,log2(TPM+1),0,-0.2806962527655056,1,31,1.6,0,0,6.585219247535173,z per gene across all 31 RNA lines (log2 TPM+1),intestinal keratin; shared
KRT20,intestinal (shared),n/a,OV2295,FALSE,RNA,log2(TPM+1),0,-0.2806962527655056,1,31,1.6,0,0,6.585219247535173,z per gene across all 31 RNA lines (log2 TPM+1),intestinal keratin; shared
KRT20,intestinal (shared),n/a,OV2295-R2,FALSE,RNA,log2(TPM+1),0,-0.2806962527655056,1,31,1.6,0,0,6.585219247535173,z per gene across all 31 RNA lines (log2 TPM+1),intestinal keratin; shared
KRT20,intestinal (shared),n/a,OV3133-R,FALSE,RNA,log2(TPM+1),0,-0.2806962527655056,1,31,1.6,0,0,6.585219247535173,z per gene across all 31 RNA lines (log2 TPM+1),intestinal keratin; shared
KRT20,intestinal (shared),n/a,OV4453,FALSE,RNA,log2(TPM+1),0,-0.2806962527655056,1,31,1.6,0,0,6.585219247535173,z per gene across all 31 RNA lines (log2 TPM+1),intestinal keratin; shared
KRT20,intestinal (shared),n/a,OV4485,FALSE,RNA,log2(TPM+1),0,-0.2806962527655056,1,31,1.6,0,0,6.585219247535173,z per gene across all 31 RNA lines (log2 TPM+1),intestinal keratin; shared
KRT20,intestinal (shared),n/a,OV866-2,FALSE,RNA,log2(TPM+1),0,-0.2806962527655056,1,31,1.6,0,0,6.585219247535173,z per gene across all 31 RNA lines (log2 TPM+1),intestinal keratin; shared
KRT20,intestinal (shared),n/a,TOV3133G,FALSE,RNA,log2(TPM+1),0,-0.2806962527655056,1,31,1.6,0,0,6.585219247535173,z per gene across all 31 RNA lines (log2 TPM+1),intestinal keratin; shared
KRT20,intestinal (shared),n/a,TOV3291G,FALSE,RNA,log2(TPM+1),0,-0.2806962527655056,1,31,1.6,0,0,6.585219247535173,z per gene across all 31 RNA lines (log2 TPM+1),intestinal keratin; shared
KRT20,intestinal (shared),n/a,OV3331,FALSE,RNA,log2(TPM+1),0,-0.2806962527655056,1,31,1.6,0,0,6.585219247535173,z per gene across all 31 RNA lines (log2 TPM+1),intestinal keratin; shared
KRT20,intestinal (shared),n/a,TOV21G,FALSE,RNA,log2(TPM+1),0,-0.2806962527655056,1,31,1.6,0,0,6.585219247535173,z per gene across all 31 RNA lines (log2 TPM+1),intestinal keratin; shared
KRT20,intestinal (shared),n/a,TOV3392D,FALSE,RNA,log2(TPM+1),0,-0.2806962527655056,1,31,1.6,0,0,6.585219247535173,z per gene across all 31 RNA lines (log2 TPM+1),intestinal keratin; shared
KRT20,intestinal (shared),n/a,VOA12539,FALSE,RNA,log2(TPM+1),0,-0.2806962527655056,1,31,1.6,0,0,6.585219247535173,z per gene across all 31 RNA lines (log2 TPM+1),intestinal keratin; shared
KRT20,intestinal (shared),n/a,VOA4841,FALSE,RNA,log2(TPM+1),0,-0.2806962527655056,1,31,1.6,0,0,6.585219247535173,z per gene across all 31 RNA lines (log2 TPM+1),intestinal keratin; shared
KRT20,intestinal (shared),n/a,VOA4395,FALSE,RNA,log2(TPM+1),0,-0.2806962527655056,1,31,1.6,0,0,6.585219247535173,z per gene across all 31 RNA lines (log2 TPM+1),intestinal keratin; shared
KRT20,intestinal (shared),n/a,VOA5217,FALSE,RNA,log2(TPM+1),0,-0.2806962527655056,1,31,1.6,0,0,6.585219247535173,z per gene across all 31 RNA lines (log2 TPM+1),intestinal keratin; shared
KRT20,intestinal (shared),n/a,VOA5436,FALSE,RNA,log2(TPM+1),0,-0.2806962527655056,1,31,1.6,0,0,6.585219247535173,z per gene across all 31 RNA lines (log2 TPM+1),intestinal keratin; shared
KRT20,intestinal (shared),n/a,BIN67,FALSE,RNA,log2(TPM+1),0,-0.2806962527655056,1,31,1.6,0,0,6.585219247535173,z per gene across all 31 RNA lines (log2 TPM+1),intestinal keratin; shared
KRT20,intestinal (shared),n/a,COV434,FALSE,RNA,log2(TPM+1),0,-0.2806962527655056,1,31,1.6,0,0,6.585219247535173,z per gene across all 31 RNA lines (log2 TPM+1),intestinal keratin; shared
KRT20,intestinal (shared),n/a,TOV2414,TRUE,protein,log2 TMT relative abundance,15.66298836985533,4.165733361840096,31,31,98.4,10.50587753198828,11.07976790315773,15.66298836985533,z per gene across all 31 protein lines (log2 TMT relative abundance),intestinal keratin; shared
KRT20,intestinal (shared),n/a,VOA8771,TRUE,protein,log2 TMT relative abundance,12.5604930486822,1.0561699122108952,30,31,95.2,10.50587753198828,11.07976790315773,15.66298836985533,z per gene across all 31 protein lines (log2 TMT relative abundance),intestinal keratin; shared
KRT20,intestinal (shared),n/a,OV90,FALSE,protein,log2 TMT relative abundance,12.54860580970337,1.04425559163374,29,31,91.9,10.50587753198828,11.07976790315773,15.66298836985533,z per gene across all 31 protein lines (log2 TMT relative abundance),intestinal keratin; shared
KRT20,intestinal (shared),n/a,OV2295,FALSE,protein,log2 TMT relative abundance,12.52417426958425,1.019768391393955,28,31,88.7,10.50587753198828,11.07976790315773,15.66298836985533,z per gene across all 31 protein lines (log2 TMT relative abundance),intestinal keratin; shared
KRT20,intestinal (shared),n/a,TOV21G,FALSE,protein,log2 TMT relative abundance,12.47666534282057,0.972151229431697,27,31,85.5,10.50587753198828,11.07976790315773,15.66298836985533,z per gene across all 31 protein lines (log2 TMT relative abundance),intestinal keratin; shared
KRT20,intestinal (shared),n/a,VOA5436,FALSE,protein,log2 TMT relative abundance,12.41589066555481,0.9112380948335891,26,31,82.3,10.50587753198828,11.07976790315773,15.66298836985533,z per gene across all 31 protein lines (log2 TMT relative abundance),intestinal keratin; shared
KRT20,intestinal (shared),n/a,OV1946,FALSE,protein,log2 TMT relative abundance,12.34500529613834,0.8401912338289526,25,31,79,10.50587753198828,11.07976790315773,15.66298836985533,z per gene across all 31 protein lines (log2 TMT relative abundance),intestinal keratin; shared
KRT20,intestinal (shared),n/a,OV4485,FALSE,protein,log2 TMT relative abundance,11.93352030812209,0.4277687975808891,24,31,75.8,10.50587753198828,11.07976790315773,15.66298836985533,z per gene across all 31 protein lines (log2 TMT relative abundance),intestinal keratin; shared
KRT20,intestinal (shared),n/a,TOV1369,FALSE,protein,log2 TMT relative abundance,11.93217780365603,0.4264232346109364,23,31,72.6,10.50587753198828,11.07976790315773,15.66298836985533,z per gene across all 31 protein lines (log2 TMT relative abundance),intestinal keratin; shared
KRT20,intestinal (shared),n/a,TOV3291G,FALSE,protein,log2 TMT relative abundance,11.59373646937277,0.08721086070378611,22,31,69.4,10.50587753198828,11.07976790315773,15.66298836985533,z per gene across all 31 protein lines (log2 TMT relative abundance),intestinal keratin; shared
KRT20,intestinal (shared),n/a,VOA8762,TRUE,protein,log2 TMT relative abundance,11.46987558830953,-0.03693220116148912,21,31,66.1,10.50587753198828,11.07976790315773,15.66298836985533,z per gene across all 31 protein lines (log2 TMT relative abundance),intestinal keratin; shared
KRT20,intestinal (shared),n/a,OV866-2,FALSE,protein,log2 TMT relative abundance,11.21245774793796,-0.29493649281639006,20,31,62.9,10.50587753198828,11.07976790315773,15.66298836985533,z per gene across all 31 protein lines (log2 TMT relative abundance),intestinal keratin; shared
KRT20,intestinal (shared),n/a,VOA14993,FALSE,protein,log2 TMT relative abundance,11.18313829254695,-0.32432274401384326,19,31,59.7,10.50587753198828,11.07976790315773,15.66298836985533,z per gene across all 31 protein lines (log2 TMT relative abundance),intestinal keratin; shared
KRT20,intestinal (shared),n/a,OV2295-R2,FALSE,protein,log2 TMT relative abundance,11.1578902406433,-0.3496283162215223,18,31,56.5,10.50587753198828,11.07976790315773,15.66298836985533,z per gene across all 31 protein lines (log2 TMT relative abundance),intestinal keratin; shared
KRT20,intestinal (shared),n/a,VOA12539,FALSE,protein,log2 TMT relative abundance,11.08867754607438,-0.41899869167803794,17,31,53.2,10.50587753198828,11.07976790315773,15.66298836985533,z per gene across all 31 protein lines (log2 TMT relative abundance),intestinal keratin; shared
KRT20,intestinal (shared),n/a,VOA5217,FALSE,protein,log2 TMT relative abundance,11.07976790315773,-0.42792863261099734,16,31,50,10.50587753198828,11.07976790315773,15.66298836985533,z per gene across all 31 protein lines (log2 TMT relative abundance),intestinal keratin; shared
KRT20,intestinal (shared),n/a,OV1369-R2,FALSE,protein,log2 TMT relative abundance,11.07889913432883,-0.42879938067565593,15,31,46.8,10.50587753198828,11.07976790315773,15.66298836985533,z per gene across all 31 protein lines (log2 TMT relative abundance),intestinal keratin; shared
KRT20,intestinal (shared),n/a,TOV3392D,FALSE,protein,log2 TMT relative abundance,11.03652041796846,-0.471274644550215,14,31,43.5,10.50587753198828,11.07976790315773,15.66298836985533,z per gene across all 31 protein lines (log2 TMT relative abundance),intestinal keratin; shared
