cell_line,subtype,source_site,gene,assay,unit,value,z,rank_low_is_lowest,rank_of,z_reference_set,has_wes,wes_class,wes_hgvsp,wes_tier_best,wes_trunc_admitted
OV3133-R,HGS,Mes-Masson,ARID1A,RNA,log2(TPM+1),2.9441953469667133,-1.837650907977573,1,31,z across all 31 RNA lines,TRUE,NA,NA,NA,NA
TOV3392D,CC,Mes-Masson,ARID1A,RNA,log2(TPM+1),3.0906750982925923,-1.6538289419706016,2,31,z across all 31 RNA lines,TRUE,NA,NA,NA,NA
VOA5217,MMMT,Huntsman,ARID1A,RNA,log2(TPM+1),3.333517577412889,-1.3490784113488776,3,31,z across all 31 RNA lines,FALSE,NA,NA,NA,NA
VOA5436,MMMT,Huntsman,ARID1A,RNA,log2(TPM+1),3.358846358730002,-1.317292541041698,4,31,z across all 31 RNA lines,FALSE,NA,NA,NA,NA
OV1369-R2,HGS,Mes-Masson,ARID1A,RNA,log2(TPM+1),3.5560112491991966,-1.0698642278070254,5,31,z across all 31 RNA lines,TRUE,NA,NA,NA,NA
OV2295-R2,HGS,Mes-Masson,ARID1A,RNA,log2(TPM+1),3.6328437039133266,-0.9734448063453391,6,31,z across all 31 RNA lines,TRUE,missense,S674R,3,FALSE
TOV21G,CC,Mes-Masson,ARID1A,RNA,log2(TPM+1),3.6669899601714495,-0.9305936142841121,7,31,z across all 31 RNA lines,TRUE,truncating,548_549fs;N756fs,1,TRUE
VOA10816,CC,Huntsman,ARID1A,RNA,log2(TPM+1),3.808155735569565,-0.7534403208650813,8,31,z across all 31 RNA lines,FALSE,NA,NA,NA,NA
TOV1369,HGS,Mes-Masson,ARID1A,RNA,log2(TPM+1),3.8577178434530084,-0.6912433002658623,9,31,z across all 31 RNA lines,TRUE,NA,NA,NA,NA
TOV3291G,HGS,Mes-Masson,ARID1A,RNA,log2(TPM+1),4.010607940169308,-0.49937679375561506,10,31,z across all 31 RNA lines,FALSE,NA,NA,NA,NA
TOV2414,MC,Mes-Masson,ARID1A,RNA,log2(TPM+1),4.018031887038269,-0.4900602534377135,11,31,z across all 31 RNA lines,TRUE,NA,NA,NA,NA
TOV3133G,HGS,Mes-Masson,ARID1A,RNA,log2(TPM+1),4.030816113988883,-0.4740169320184072,12,31,z across all 31 RNA lines,TRUE,NA,NA,NA,NA
TOV3041G,HGS,Mes-Masson,ARID1A,RNA,log2(TPM+1),4.114664304448986,-0.368793246990345,13,31,z across all 31 RNA lines,FALSE,NA,NA,NA,NA
OV1946,HGS,Mes-Masson,ARID1A,RNA,log2(TPM+1),4.426541376697643,0.022590927643474576,14,31,z across all 31 RNA lines,FALSE,NA,NA,NA,NA
OV2085,HGS,Mes-Masson,ARID1A,RNA,log2(TPM+1),4.450855673730349,0.053103690275668844,15,31,z across all 31 RNA lines,TRUE,NA,NA,NA,NA
OV866-2,HGS,Mes-Masson,ARID1A,RNA,log2(TPM+1),4.521017754353783,0.1411522531834941,16,31,z across all 31 RNA lines,FALSE,NA,NA,NA,NA
OV4485,HGS,Mes-Masson,ARID1A,RNA,log2(TPM+1),4.555968022617444,0.18501242475358481,17,31,z across all 31 RNA lines,FALSE,NA,NA,NA,NA
