cell_line,subtype,source_site,has_rna,has_prot,has_wes,SMARCA4_rna_z,SMARCA4_rna_rank,SMARCA4_prot_z,SMARCA4_prot_rank,SMARCA4_wes,SMARCA4_prot_rank_of,SMARCA4_rna_rank_of,SMARCA2_rna_z,SMARCA2_rna_rank,SMARCA2_prot_z,SMARCA2_prot_rank,SMARCA2_wes,ARID1A_rna_z,ARID1A_rna_rank,ARID1A_prot_z,ARID1A_prot_rank,ARID1A_wes,SMARCB1_rna_z,SMARCB1_rna_rank,SMARCB1_prot_z,SMARCB1_prot_rank,SMARCB1_wes,SMARCA4_rna_log2tpm,SMARCA4_prot_log2,SMARCA2_rna_log2tpm,SMARCA2_prot_log2,SMARCA4_trunc_tier12,SMARCA2_trunc_tier12,ARID1A_trunc_tier12,SMARCB1_trunc_tier12,SMARCA4_loss,SMARCA2_loss,ARID1A_loss,SMARCB1_loss,swisnf_deficient,swisnf_tier3_only_calls,swisnf_evidence
OV1369-R2,HGS,Mes-Masson,TRUE,TRUE,TRUE,0.02,14,-0.46,10,no retained candidate,31,31,0.12,15,-0.26,14,no retained candidate,-1.07,5,-0.54,10,no retained candidate,0.04,17,-1.42,2,no retained candidate,5.96,13.83,3.42,11.69,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,SWI/SNF intact (by available layers)
OV1946,HGS,Mes-Masson,TRUE,TRUE,FALSE,0.16,16,0.13,16,NA,31,31,0.99,27,0.68,22,NA,0.02,14,0.03,13,NA,-0.41,10,-0.36,14,NA,6.1,14.03,5.01,12.07,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,SWI/SNF intact (by available layers)
OV2085,HGS,Mes-Masson,TRUE,TRUE,TRUE,0.77,29,2.48,31,no retained candidate,31,31,-1.66,3,-2.01,1,no retained candidate,0.05,15,1.87,31,no retained candidate,-0.03,15,2.21,31,no retained candidate,6.74,14.83,0.16,10.96,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,NA,SMARCA2 loss[RNA rank=3/31]
OV2295,HGS,Mes-Masson,TRUE,TRUE,TRUE,-0.45,6,0.92,25,no retained candidate,31,31,-0.15,13,1.1,28,truncating (P874fs) [Tier3],0.26,20,1.43,30,no retained candidate,0.05,18,1.53,29,no retained candidate,5.46,14.3,2.92,12.24,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,SMARCA2,[NOT counted: Tier-3 truncating call in SMARCA2 — germline not excludable]
OV2295-R2,HGS,Mes-Masson,TRUE,TRUE,TRUE,0.42,21,0.92,26,no retained candidate,31,31,-0.66,9,0.22,18,no retained candidate,-0.97,6,0.96,29,missense (S674R) [Tier3],2.93,31,0.75,23,no retained candidate,6.37,14.3,1.99,11.88,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,SWI/SNF intact (by available layers)
OV3133-R,HGS,Mes-Masson,TRUE,TRUE,TRUE,-0.83,5,1.08,29,no retained candidate,31,31,-0.77,7,2.23,31,no retained candidate,-1.84,1,0.95,27,no retained candidate,-1.28,5,1.73,30,no retained candidate,5.07,14.36,1.8,12.71,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,SWI/SNF intact (by available layers)
OV3133-R2,HGS,Mes-Masson,FALSE,FALSE,TRUE,NA,NA,NA,NA,no retained candidate,31,31,NA,NA,NA,NA,no retained candidate,NA,NA,NA,NA,no retained candidate,NA,NA,NA,NA,no retained candidate,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,SWI/SNF intact (by available layers)
OV3291,HGS,Mes-Masson,FALSE,FALSE,TRUE,NA,NA,NA,NA,no retained candidate,31,31,NA,NA,NA,NA,no retained candidate,NA,NA,NA,NA,no retained candidate,NA,NA,NA,NA,no retained candidate,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,SWI/SNF intact (by available layers)
OV3331,HGS,Mes-Masson,TRUE,TRUE,TRUE,0.26,19,0.79,23,no retained candidate,31,31,0.28,16,0.26,19,no retained candidate,0.69,25,0.95,28,no retained candidate,-1.32,4,0.87,27,no retained candidate,6.21,14.26,3.71,11.9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,SWI/SNF intact (by available layers)
OV4453,HGS,Mes-Masson,TRUE,TRUE,FALSE,1.04,30,0.95,27,NA,31,31,0.43,20,0.74,24,NA,0.67,24,0.85,26,NA,0.07,19,0.7,22,NA,7.02,14.31,3.98,12.1,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,SWI/SNF intact (by available layers)
OV4485,HGS,Mes-Masson,TRUE,TRUE,FALSE,-0.34,8,1.03,28,NA,31,31,-0.58,10,0.22,17,NA,0.19,17,0.78,24,NA,-0.39,11,0.66,21,NA,5.57,14.34,2.14,11.88,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,SWI/SNF intact (by available layers)
OV866-2,HGS,Mes-Masson,TRUE,TRUE,FALSE,0.65,24,0.47,21,NA,31,31,-0.72,8,-0.3,13,NA,0.14,16,0.47,20,NA,1.33,29,0.31,19,NA,6.62,14.15,1.89,11.67,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,SWI/SNF intact (by available layers)
OV90,HGS,Mes-Masson,TRUE,TRUE,TRUE,-0.44,7,0.31,19,no retained candidate,31,31,-1.43,5,-1.49,2,no retained candidate,0.3,21,0.16,14,no retained candidate,-0.44,8,-0.13,17,no retained candidate,5.47,14.09,0.58,11.17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,SWI/SNF intact (by available layers)
TOV1369,HGS,Mes-Masson,TRUE,TRUE,TRUE,-0.22,9,0.53,22,no retained candidate,31,31,-0.3,12,0.74,23,no retained candidate,-0.69,9,0.82,25,no retained candidate,0.91,27,0.44,20,no retained candidate,5.7,14.17,2.65,12.1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,SWI/SNF intact (by available layers)
TOV2295-R,HGS,Mes-Masson,FALSE,FALSE,TRUE,NA,NA,NA,NA,no retained candidate,31,31,NA,NA,NA,NA,no retained candidate,NA,NA,NA,NA,no retained candidate,NA,NA,NA,NA,no retained candidate,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,SWI/SNF intact (by available layers)
TOV2835EP,HGS,Mes-Masson,FALSE,FALSE,TRUE,NA,NA,NA,NA,no retained candidate,31,31,NA,NA,NA,NA,no retained candidate,NA,NA,NA,NA,no retained candidate,NA,NA,NA,NA,no retained candidate,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,SWI/SNF intact (by available layers)
TOV2881EP,HGS,Mes-Masson,FALSE,FALSE,TRUE,NA,NA,NA,NA,no retained candidate,31,31,NA,NA,NA,NA,no retained candidate,NA,NA,NA,NA,no retained candidate,NA,NA,NA,NA,no retained candidate,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,SWI/SNF intact (by available layers)
TOV2929D,HGS,Mes-Masson,FALSE,FALSE,TRUE,NA,NA,NA,NA,no retained candidate,31,31,NA,NA,NA,NA,missense (P4S) [Tier3],NA,NA,NA,NA,no retained candidate,NA,NA,NA,NA,no retained candidate,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,SWI/SNF intact (by available layers)
TOV3041G,HGS,Mes-Masson,TRUE,TRUE,FALSE,-0.06,11,0.25,18,NA,31,31,0.49,21,0.95,27,NA,-0.37,13,0.32,16,NA,1.23,28,0.83,25,NA,5.87,14.07,4.08,12.18,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,SWI/SNF intact (by available layers)
TOV3121D,HGS,Mes-Masson,FALSE,FALSE,TRUE,NA,NA,NA,NA,no retained candidate,31,31,NA,NA,NA,NA,no retained candidate,NA,NA,NA,NA,no retained candidate,NA,NA,NA,NA,no retained candidate,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,SWI/SNF intact (by available layers)
TOV3121EP,HGS,Mes-Masson,FALSE,FALSE,TRUE,NA,NA,NA,NA,no retained candidate,31,31,NA,NA,NA,NA,no retained candidate,NA,NA,NA,NA,no retained candidate,NA,NA,NA,NA,no retained candidate,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,SWI/SNF intact (by available layers)
TOV3133D,HGS,Mes-Masson,FALSE,FALSE,TRUE,NA,NA,NA,NA,no retained candidate,31,31,NA,NA,NA,NA,no retained candidate,NA,NA,NA,NA,no retained candidate,NA,NA,NA,NA,no retained candidate,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,SWI/SNF intact (by available layers)
TOV3133G,HGS,Mes-Masson,TRUE,TRUE,TRUE,-0.02,13,0.21,17,no retained candidate,31,31,-0.92,6,0.48,21,no retained candidate,-0.47,12,0.74,23,no retained candidate,0.03,16,0.23,18,no retained candidate,5.91,14.06,1.52,11.99,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,SWI/SNF intact (by available layers)
TOV3291G,HGS,Mes-Masson,TRUE,TRUE,FALSE,0.32,20,0.37,20,NA,31,31,0.79,26,2.02,30,NA,-0.5,10,0.71,22,NA,0.73,25,0.83,26,NA,6.27,14.11,4.64,12.63,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,SWI/SNF intact (by available layers)
TOV81D,LGS,Mes-Masson,FALSE,FALSE,TRUE,NA,NA,NA,NA,no retained candidate,31,31,NA,NA,NA,NA,no retained candidate,NA,NA,NA,NA,no retained candidate,NA,NA,NA,NA,no retained candidate,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,SWI/SNF intact (by available layers)
TOV21G,CC,Mes-Masson,TRUE,TRUE,TRUE,0.66,25,-0.53,9,no retained candidate,31,31,1.15,29,-0.23,15,inframe/other (Q250del) [Tier3],-0.93,7,-1.15,7,truncating (548_549fs;N756fs) [Tier1],0.34,23,-0.98,5,no retained candidate,6.62,13.8,5.29,11.69,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,NA,"ARID1A truncating(WES, Tier1-2)"
TOV3392D,CC,Mes-Masson,TRUE,TRUE,TRUE,0.1,15,-0.64,8,no retained candidate,31,31,-0.33,11,-0.49,11,no retained candidate,-1.65,2,-0.91,8,no retained candidate,1.66,30,-0.78,8,no retained candidate,6.04,13.76,2.59,11.59,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,SWI/SNF intact (by available layers)
VOA10816,CC,Huntsman,TRUE,TRUE,FALSE,-0.87,4,-0.97,5,NA,31,31,0.3,17,-1.42,3,NA,-0.75,8,-1.16,6,NA,-1.91,1,-0.87,7,NA,5.02,13.65,3.74,11.2,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,SWI/SNF intact (by available layers)
VOA12539,CC,Huntsman,TRUE,TRUE,FALSE,2.2,31,-0.33,12,NA,31,31,0.36,18,-1.26,4,NA,1.57,29,-1.79,2,NA,-0.71,7,-0.47,12,NA,8.25,13.87,3.84,11.27,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,SWI/SNF intact (by available layers)
VOA14993,CC,Huntsman,FALSE,TRUE,FALSE,NA,NA,-0.46,11,NA,31,31,NA,NA,-0.79,8,NA,NA,NA,-1.34,5,NA,NA,NA,-0.77,10,NA,NA,13.83,NA,11.46,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,SWI/SNF intact (by available layers)
VOA295,CC,Huntsman,TRUE,TRUE,FALSE,0.74,27,-0.73,7,NA,31,31,0.53,23,-0.2,16,NA,0.2,18,-1.61,3,NA,-0.37,12,-0.37,13,NA,6.71,13.74,4.16,11.71,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,SWI/SNF intact (by available layers)
VOA4841,CC,Huntsman,TRUE,TRUE,FALSE,-3.19,1,-1.98,1,NA,31,31,0.69,24,0.77,25,NA,0.48,22,-0.11,12,NA,-1.37,2,-1.22,4,NA,2.58,13.31,4.46,12.11,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,TRUE,NA,SMARCA4 loss[prot z=-2.0 (rank 1/31)]
VOA6861,CC,Huntsman,TRUE,FALSE,FALSE,-0.06,12,NA,NA,NA,31,31,1.03,28,NA,NA,NA,1.33,28,NA,NA,NA,-1.35,3,NA,NA,NA,5.87,NA,5.07,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,SWI/SNF intact (by available layers)
