cell_line,subtype,source_site,in_cellosaurus,cellosaurus_accession,cellosaurus_identifier,str_profile_documented,n_str_markers,str_source,problematic_flag,match_confidence,rrid_matches_depmap,current_stock_str_status,current_stock_mycoplasma_status
OV1369-R2,HGS,Mes-Masson,TRUE,CVCL_9T12,OV-1369(R2),TRUE,10,"STR profile from personal communication of Mes-Masson, Anne-Marie",NA,high (exact name match),NA,documentation pending author confirmation,documentation pending author confirmation
OV1946,HGS,Mes-Masson,TRUE,CVCL_4375,OV-1946,TRUE,10,"STR profile from personal communication of Mes-Masson, Anne-Marie",NA,high (exact name match),NA,documentation pending author confirmation,documentation pending author confirmation
OV2085,HGS,Mes-Masson,TRUE,CVCL_A1SI,OV-2085,TRUE,10,"STR profile from personal communication of Mes-Masson, Anne-Marie",NA,high (exact name match),NA,documentation pending author confirmation,documentation pending author confirmation
OV2295,HGS,Mes-Masson,TRUE,CVCL_9T13,OV-2295,TRUE,10,"STR profile from personal communication of Mes-Masson, Anne-Marie",NA,high (exact name match),NA,documentation pending author confirmation,documentation pending author confirmation
OV2295-R2,HGS,Mes-Masson,TRUE,CVCL_9T14,OV-2295(R2),TRUE,10,"STR profile from personal communication of Mes-Masson, Anne-Marie",NA,high (exact name match),NA,documentation pending author confirmation,documentation pending author confirmation
OV3133-R,HGS,Mes-Masson,TRUE,CVCL_9T15,OV-3133(R),TRUE,10,"STR profile from personal communication of Mes-Masson, Anne-Marie",NA,high (exact name match),NA,documentation pending author confirmation,documentation pending author confirmation
OV3133-R2,HGS,Mes-Masson,TRUE,CVCL_9T16,OV-3133(R2),TRUE,10,"STR profile from personal communication of Mes-Masson, Anne-Marie",NA,high (exact name match),NA,documentation pending author confirmation,documentation pending author confirmation
OV3291,HGS,Mes-Masson,TRUE,CVCL_A1SP,OV-3291,TRUE,10,"STR profile from personal communication of Mes-Masson, Anne-Marie",NA,high (exact name match),NA,documentation pending author confirmation,documentation pending author confirmation
OV4453,HGS,Mes-Masson,TRUE,CVCL_9T20,OV-4453,TRUE,10,"STR profile from personal communication of Mes-Masson, Anne-Marie",NA,high (exact name match),NA,documentation pending author confirmation,documentation pending author confirmation
OV4485,HGS,Mes-Masson,TRUE,CVCL_9T21,OV-4485,TRUE,10,"STR profile from personal communication of Mes-Masson, Anne-Marie",NA,high (exact name match),NA,documentation pending author confirmation,documentation pending author confirmation
OV866-2,HGS,Mes-Masson,TRUE,CVCL_9T22,OV-866(2),TRUE,10,"STR profile from personal communication of Mes-Masson, Anne-Marie",NA,high (exact name match),NA,documentation pending author confirmation,documentation pending author confirmation
TOV1369,HGS,Mes-Masson,TRUE,CVCL_9T17,TOV-1369,TRUE,10,"STR profile from personal communication of Mes-Masson, Anne-Marie",NA,high (exact name match),NA,documentation pending author confirmation,documentation pending author confirmation
TOV2295-R,HGS,Mes-Masson,TRUE,CVCL_9T18,TOV-2295(R),TRUE,10,"STR profile from personal communication of Mes-Masson, Anne-Marie",NA,high (exact name match),NA,documentation pending author confirmation,documentation pending author confirmation
TOV2835EP,HGS,Mes-Masson,TRUE,CVCL_A1SJ,TOV-2835EP,TRUE,10,"STR profile from personal communication of Mes-Masson, Anne-Marie",NA,high (exact name match),NA,documentation pending author confirmation,documentation pending author confirmation
TOV2881EP,HGS,Mes-Masson,TRUE,CVCL_A1SK,TOV-2881EP,TRUE,10,"STR profile from personal communication of Mes-Masson, Anne-Marie",NA,high (exact name match),NA,documentation pending author confirmation,documentation pending author confirmation
