cell_line,subtype,source_site,has_rna,applicable,consensusov_call_inherited,consensusov_call,prob_top,prob_second,margin_top_vs_second,second_call,prob_IMR,prob_DIF,prob_PRO,prob_MES,call_all_set,margin_all_set,call_stable_across_input_sets,agrees_with_inherited,consensusov_version,consensusov_settings,consensusov_provenance
OV1369-R2,HGS,Mes-Masson,TRUE,TRUE,DIF,MES,0.372,0.284,0.08800000000000002,DIF,0.222,0.284,0.122,0.372,MES,0.19199999999999998,TRUE,FALSE,1.30.0,concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults),COMPUTED by scripts/18_external_benchmarking.R with consensusOV 1.30.0 on log2(TPM+1) Entrez-collapsed expression of the 15 HGSC RNA lines; seed 1234; concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults). Inherited labels from samples.csv `notes` retained for comparison.
OV1946,HGS,Mes-Masson,TRUE,TRUE,MES,MES,0.484,0.284,0.2,IMR,0.284,0.09,0.142,0.484,MES,0.08599999999999997,TRUE,TRUE,1.30.0,concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults),COMPUTED by scripts/18_external_benchmarking.R with consensusOV 1.30.0 on log2(TPM+1) Entrez-collapsed expression of the 15 HGSC RNA lines; seed 1234; concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults). Inherited labels from samples.csv `notes` retained for comparison.
OV2085,HGS,Mes-Masson,TRUE,TRUE,IMR,IMR,0.318,0.296,0.02200000000000002,PRO,0.318,0.238,0.296,0.148,PRO,0.016000000000000014,FALSE,TRUE,1.30.0,concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults),COMPUTED by scripts/18_external_benchmarking.R with consensusOV 1.30.0 on log2(TPM+1) Entrez-collapsed expression of the 15 HGSC RNA lines; seed 1234; concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults). Inherited labels from samples.csv `notes` retained for comparison.
OV2295,HGS,Mes-Masson,TRUE,TRUE,DIF,DIF,0.456,0.298,0.15800000000000003,IMR,0.298,0.456,0.16,0.086,DIF,0.21400000000000002,TRUE,TRUE,1.30.0,concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults),COMPUTED by scripts/18_external_benchmarking.R with consensusOV 1.30.0 on log2(TPM+1) Entrez-collapsed expression of the 15 HGSC RNA lines; seed 1234; concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults). Inherited labels from samples.csv `notes` retained for comparison.
OV2295-R2,HGS,Mes-Masson,TRUE,TRUE,IMR,IMR,0.368,0.25,0.118,DIF,0.368,0.25,0.198,0.184,IMR,0.05199999999999999,TRUE,TRUE,1.30.0,concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults),COMPUTED by scripts/18_external_benchmarking.R with consensusOV 1.30.0 on log2(TPM+1) Entrez-collapsed expression of the 15 HGSC RNA lines; seed 1234; concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults). Inherited labels from samples.csv `notes` retained for comparison.
OV3133-R,HGS,Mes-Masson,TRUE,TRUE,DIF,DIF,0.54,0.372,0.16800000000000004,IMR,0.372,0.54,0.026,0.062,DIF,0.36800000000000005,TRUE,TRUE,1.30.0,concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults),COMPUTED by scripts/18_external_benchmarking.R with consensusOV 1.30.0 on log2(TPM+1) Entrez-collapsed expression of the 15 HGSC RNA lines; seed 1234; concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults). Inherited labels from samples.csv `notes` retained for comparison.
OV3133-R2,HGS,Mes-Masson,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.30.0,concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults),COMPUTED by scripts/18_external_benchmarking.R with consensusOV 1.30.0 on log2(TPM+1) Entrez-collapsed expression of the 15 HGSC RNA lines; seed 1234; concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults). Inherited labels from samples.csv `notes` retained for comparison.
OV3291,HGS,Mes-Masson,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.30.0,concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults),COMPUTED by scripts/18_external_benchmarking.R with consensusOV 1.30.0 on log2(TPM+1) Entrez-collapsed expression of the 15 HGSC RNA lines; seed 1234; concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults). Inherited labels from samples.csv `notes` retained for comparison.
OV4453,HGS,Mes-Masson,TRUE,TRUE,PRO,PRO,0.402,0.312,0.09000000000000002,MES,0.112,0.174,0.402,0.312,PRO,0.08799999999999997,TRUE,TRUE,1.30.0,concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults),COMPUTED by scripts/18_external_benchmarking.R with consensusOV 1.30.0 on log2(TPM+1) Entrez-collapsed expression of the 15 HGSC RNA lines; seed 1234; concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults). Inherited labels from samples.csv `notes` retained for comparison.
OV4485,HGS,Mes-Masson,TRUE,TRUE,DIF,DIF,0.598,0.164,0.43399999999999994,IMR,0.164,0.598,0.132,0.106,DIF,0.36800000000000005,TRUE,TRUE,1.30.0,concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults),COMPUTED by scripts/18_external_benchmarking.R with consensusOV 1.30.0 on log2(TPM+1) Entrez-collapsed expression of the 15 HGSC RNA lines; seed 1234; concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults). Inherited labels from samples.csv `notes` retained for comparison.
OV866-2,HGS,Mes-Masson,TRUE,TRUE,MES,MES,0.55,0.208,0.3420000000000001,IMR,0.208,0.114,0.128,0.55,MES,0.38600000000000007,TRUE,TRUE,1.30.0,concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults),COMPUTED by scripts/18_external_benchmarking.R with consensusOV 1.30.0 on log2(TPM+1) Entrez-collapsed expression of the 15 HGSC RNA lines; seed 1234; concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults). Inherited labels from samples.csv `notes` retained for comparison.
