our_line,our_subtype,depmap_name,depmap_ACH,depmap_RRID,depmap_oncotree_subtype,spearman_hvg,pearson_hvg,is_selfpair,self_rank_of67,margin_self_vs_next
OV1369-R2,HGS,OV90,ACH-000291,CVCL_3768,Serous Ovarian Cancer,0.25731140313688555,0.2791203927198666,FALSE,NA,NA
OV1369-R2,HGS,TOV21G,ACH-000885,CVCL_3613,Clear Cell Ovarian Cancer,0.5382212396487516,0.5582199119612927,FALSE,NA,NA
OV1369-R2,HGS,TOV112D,ACH-000048,CVCL_3612,Endometrioid Ovarian Cancer,0.31875109148914965,0.3024943166389404,FALSE,NA,NA
OV1369-R2,HGS,BIN67,ACH-001278,CVCL_S987,Small Cell Carcinoma of the Ovary,0.266563072589357,0.2745601107025084,FALSE,NA,NA
OV1369-R2,HGS,COV434,ACH-000123,CVCL_2010,Small Cell Carcinoma of the Ovary,0.26219348804268866,0.24443418745703657,FALSE,NA,NA
OV1946,HGS,OV90,ACH-000291,CVCL_3768,Serous Ovarian Cancer,0.30112675712769366,0.28874703046396527,FALSE,NA,NA
OV1946,HGS,TOV21G,ACH-000885,CVCL_3613,Clear Cell Ovarian Cancer,0.42765902223965224,0.4420195712725922,FALSE,NA,NA
OV1946,HGS,TOV112D,ACH-000048,CVCL_3612,Endometrioid Ovarian Cancer,0.4160400758781449,0.36572374821451903,FALSE,NA,NA
OV1946,HGS,BIN67,ACH-001278,CVCL_S987,Small Cell Carcinoma of the Ovary,0.3004792910678709,0.2886846594343223,FALSE,NA,NA
OV1946,HGS,COV434,ACH-000123,CVCL_2010,Small Cell Carcinoma of the Ovary,0.3228330175451209,0.27023252011389676,FALSE,NA,NA
OV2085,HGS,OV90,ACH-000291,CVCL_3768,Serous Ovarian Cancer,0.2503892553139185,0.28374431811866796,FALSE,NA,NA
OV2085,HGS,TOV21G,ACH-000885,CVCL_3613,Clear Cell Ovarian Cancer,0.3164715963545285,0.3342641104542714,FALSE,NA,NA
OV2085,HGS,TOV112D,ACH-000048,CVCL_3612,Endometrioid Ovarian Cancer,0.30046669119869535,0.27296472080612866,FALSE,NA,NA
OV2085,HGS,BIN67,ACH-001278,CVCL_S987,Small Cell Carcinoma of the Ovary,0.28990695016839696,0.2556203366739805,FALSE,NA,NA
OV2085,HGS,COV434,ACH-000123,CVCL_2010,Small Cell Carcinoma of the Ovary,0.28504619316863883,0.2687761527215801,FALSE,NA,NA
OV2295,HGS,OV90,ACH-000291,CVCL_3768,Serous Ovarian Cancer,0.27168727834353307,0.2917289565685553,FALSE,NA,NA
OV2295,HGS,TOV21G,ACH-000885,CVCL_3613,Clear Cell Ovarian Cancer,0.2626515062576864,0.28347122007257736,FALSE,NA,NA
OV2295,HGS,TOV112D,ACH-000048,CVCL_3612,Endometrioid Ovarian Cancer,0.2306505591774683,0.22627876851164327,FALSE,NA,NA
OV2295,HGS,BIN67,ACH-001278,CVCL_S987,Small Cell Carcinoma of the Ovary,0.215290720320358,0.189126570126719,FALSE,NA,NA
OV2295,HGS,COV434,ACH-000123,CVCL_2010,Small Cell Carcinoma of the Ovary,0.19978853301758387,0.19507911738662906,FALSE,NA,NA
OV2295-R2,HGS,OV90,ACH-000291,CVCL_3768,Serous Ovarian Cancer,0.29673352747708426,0.3239934606953834,FALSE,NA,NA
OV2295-R2,HGS,TOV21G,ACH-000885,CVCL_3613,Clear Cell Ovarian Cancer,0.32056354816681176,0.35624393390087855,FALSE,NA,NA
OV2295-R2,HGS,TOV112D,ACH-000048,CVCL_3612,Endometrioid Ovarian Cancer,0.21276951950282147,0.2099275374684021,FALSE,NA,NA
OV2295-R2,HGS,BIN67,ACH-001278,CVCL_S987,Small Cell Carcinoma of the Ovary,0.2312062557005029,0.212602184379643,FALSE,NA,NA
OV2295-R2,HGS,COV434,ACH-000123,CVCL_2010,Small Cell Carcinoma of the Ovary,0.21990926958566076,0.20892735771600512,FALSE,NA,NA
OV3133-R,HGS,OV90,ACH-000291,CVCL_3768,Serous Ovarian Cancer,0.24940869586917086,0.28297042370736897,FALSE,NA,NA
OV3133-R,HGS,TOV21G,ACH-000885,CVCL_3613,Clear Cell Ovarian Cancer,0.2440954395510507,0.2837558699684541,FALSE,NA,NA
