our_line,depmap_ACH,spearman_hvg,spearman_allgenes,depmap_name,depmap_subtype,our_subtype,is_selfpair,our_line_has_depmap_namesake
BIN67,ACH-001278,0.7392612108800652,0.9170015945080374,BIN67,Small Cell Carcinoma of the Ovary,SCCOHT,TRUE,TRUE
BIN67,ACH-000123,0.7035357677971757,0.9097635518446904,COV434,Small Cell Carcinoma of the Ovary,SCCOHT,FALSE,TRUE
BIN67,ACH-001279,0.5978164651846286,0.8872963757669019,SCCOHT1,Small Cell Carcinoma of the Ovary,SCCOHT,FALSE,TRUE
BIN67,ACH-000048,0.5757061875754681,0.8902667216098281,TOV112D,Endometrioid Ovarian Cancer,SCCOHT,FALSE,TRUE
BIN67,ACH-000657,0.5338149618730368,0.8750421554963698,A2780,Endometrioid Ovarian Cancer,SCCOHT,FALSE,TRUE
BIN67,ACH-000947,0.5108323995506311,0.8766341245401359,OVK18,Endometrioid Ovarian Cancer,SCCOHT,FALSE,TRUE
BIN67,ACH-001374,0.3996349774523282,0.8377586675524656,PA1,Mixed Germ Cell Tumor,SCCOHT,FALSE,TRUE
BIN67,ACH-000696,0.3763153221087684,0.8496824726916364,OVCAR8,High-Grade Serous Ovarian Cancer,SCCOHT,FALSE,TRUE
BIN67,ACH-001145,0.3579004034983536,0.8572742743362525,OC316,Serous Ovarian Cancer,SCCOHT,FALSE,TRUE
BIN67,ACH-000574,0.3474399032793527,0.8438957949053344,FUOV1,High-Grade Serous Ovarian Cancer,SCCOHT,FALSE,TRUE
BIN67,ACH-000962,0.3473819650267339,0.8561336381451548,OC314,Serous Ovarian Cancer,SCCOHT,FALSE,TRUE
BIN67,ACH-000430,0.346677794913592,0.8424366045799057,TYKNU,High-Grade Serous Ovarian Cancer,SCCOHT,FALSE,TRUE
BIN67,ACH-000704,0.3339411142313508,0.8459311485957031,OAW42,Serous Ovarian Cancer,SCCOHT,FALSE,TRUE
BIN67,ACH-001403,0.3312091214323818,0.8317970683858712,TO14,Serous Ovarian Cancer,SCCOHT,FALSE,TRUE
BIN67,ACH-001719,0.32119202288896914,0.838535788888837,OCIC4P,Clear Cell Ovarian Cancer,SCCOHT,FALSE,TRUE
BIN67,ACH-000966,0.31630466253546663,0.849448997973067,IGROV1,Endometrioid Ovarian Cancer,SCCOHT,FALSE,TRUE
BIN67,ACH-000324,0.31180951943461294,0.8423497875722828,JHOC5,Clear Cell Ovarian Cancer,SCCOHT,FALSE,TRUE
BIN67,ACH-000885,0.30692718125292323,0.8429423184312038,TOV21G,Clear Cell Ovarian Cancer,SCCOHT,FALSE,TRUE
BIN67,ACH-000256,0.30106504492236125,0.8369450022115715,COV318,High-Grade Serous Ovarian Cancer,SCCOHT,FALSE,TRUE
BIN67,ACH-002486,0.2972776226012186,0.838567923480594,MESOV,Serous Ovarian Cancer,SCCOHT,FALSE,TRUE
BIN67,ACH-000936,0.2929686545615825,0.8481574894776146,EFO27,Mucinous Ovarian Cancer,SCCOHT,FALSE,TRUE
