hallmark,cluster1,cluster2,cluster3
ADIPOGENESIS,-0.596,0.05,0.646
ALLOGRAFT_REJECTION,-0.437,-0.229,1.801
ANDROGEN_RESPONSE,-0.176,-0.241,1.468
ANGIOGENESIS,0.568,-0.423,1.261
APICAL_JUNCTION,-0.978,0.293,0.001
APICAL_SURFACE,-0.636,0.083,0.537
APOPTOSIS,0.84,-0.528,1.379
BILE_ACID_METABOLISM,-0.619,-0.108,1.469
CHOLESTEROL_HOMEOSTASIS,-1.073,0.155,0.834
COAGULATION,-0.012,-0.364,1.839
COMPLEMENT,0.248,-0.366,1.459
DNA_REPAIR,0.743,0.089,-1.557
E2F_TARGETS,0.09,0.037,-0.32
EPITHELIAL_MESENCHYMAL_TRANSITION,1.238,-0.441,0.35
ESTROGEN_RESPONSE_EARLY,-1.241,0.447,-0.371
ESTROGEN_RESPONSE_LATE,-1.459,0.455,-0.085
FATTY_ACID_METABOLISM,-0.838,0.04,1.055
G2M_CHECKPOINT,0.435,-0.168,0.185
GLYCOLYSIS,-0.209,-0.02,0.413
HEDGEHOG_SIGNALING,-0.125,0.058,-0.104
HEME_METABOLISM,-0.723,0.073,0.718
HYPOXIA,0.332,-0.193,0.464
IL2_STAT5_SIGNALING,0.754,-0.496,1.35
IL6_JAK_STAT3_SIGNALING,0.365,-0.278,0.842
INFLAMMATORY_RESPONSE,0.537,-0.46,1.495
INTERFERON_ALPHA_RESPONSE,-0.147,0.097,-0.263
INTERFERON_GAMMA_RESPONSE,-0.181,0.006,0.24
KRAS_SIGNALING_DN,-1.512,0.458,-0.023
KRAS_SIGNALING_UP,0.321,-0.386,1.448
MITOTIC_SPINDLE,0.82,-0.498,1.26
MTORC1_SIGNALING,0.3,-0.365,1.376
MYC_TARGETS_V1,1.012,-0.379,0.375
MYC_TARGETS_V2,0.612,0.126,-1.55
MYOGENESIS,-1.17,0.293,0.291
NOTCH_SIGNALING,-0.526,0.204,-0.23
OXIDATIVE_PHOSPHORYLATION,-0.866,0.301,-0.205
P53_PATHWAY,-1.308,0.217,0.877
PANCREAS_BETA_CELLS,-0.837,0.155,0.481
PEROXISOME,-0.73,0.097,0.612
PI3K_AKT_MTOR_SIGNALING,-0.604,-0.185,1.832
PROTEIN_SECRETION,0.341,-0.43,1.64
REACTIVE_OXYGEN_SPECIES_PATHWAY,0.386,-0.265,0.746
SPERMATOGENESIS,-0.891,0.025,1.21
TGF_BETA_SIGNALING,0.725,-0.41,0.962
TNFA_SIGNALING_VIA_NFKB,1.009,-0.467,0.821
UNFOLDED_PROTEIN_RESPONSE,0.597,-0.438,1.293
UV_RESPONSE_DN,1.245,-0.524,0.753
UV_RESPONSE_UP,-0.516,0.026,0.642
WNT_BETA_CATENIN_SIGNALING,-0.59,0.035,0.713
XENOBIOTIC_METABOLISM,-0.383,-0.28,1.974
