cell_line,cluster,cluster_label,cluster_k2,cluster_k4,proliferation_z,inflammatory_z,hypoxic_glycolytic_z,patient_id,patient_representative,interpretation,progeny_Androgen,progeny_EGFR,progeny_Estrogen,progeny_Hypoxia,progeny_JAK-STAT,progeny_MAPK,progeny_NFkB,progeny_p53,progeny_PI3K,progeny_TGFb,progeny_TNFa,progeny_Trail,progeny_VEGF,progeny_WNT
OV1369-R2,1,Hypoxic-glycolytic,1,1,0.796,0.494,0.798,1369,TRUE,exploratory k=3 pathway-score partition; not a validated molecular subtype,0.044,1.458,1.215,0.583,-0.851,0.963,0.377,-0.432,0.842,0.08,0.575,-0.725,1.717,0.321
OV1946,1,Hypoxic-glycolytic,1,1,0.402,1.064,-0.046,OV1946,TRUE,exploratory k=3 pathway-score partition; not a validated molecular subtype,1.229,0.5,1.102,1.402,1.466,1.878,2.534,0.595,0.155,-0.482,2.209,0.688,-0.271,-0.355
OV866-2,1,Hypoxic-glycolytic,1,1,0.569,0.304,-0.568,OV866-2,TRUE,exploratory k=3 pathway-score partition; not a validated molecular subtype,-0.174,1.201,0.56,0.706,-0.839,1.145,1.162,-0.894,1.822,0.784,1.078,-0.418,1.643,-0.547
OV2085,2,Low-signaling,2,2,-1.729,-1.027,-1.511,OV2085,TRUE,exploratory k=3 pathway-score partition; not a validated molecular subtype,-1.539,-1.092,-0.305,-1.2,-1.147,-1.08,-1.069,-0.222,-0.527,-0.372,-1.306,1.725,0.434,-2.502
OV2295,2,Low-signaling,2,3,-0.234,-1.215,-0.317,2295,TRUE,exploratory k=3 pathway-score partition; not a validated molecular subtype,-0.301,-1.279,1.607,-0.927,1.198,-1.329,-1.373,-0.357,-1.745,-0.285,-1.584,-0.472,-1.061,-0.54
OV2295-R2,2,Low-signaling,2,3,1.115,0.7,-0.268,2295,FALSE,exploratory k=3 pathway-score partition; not a validated molecular subtype,-0.354,1.071,-0.72,-0.467,1.888,0.605,0.048,-0.393,1.387,-0.284,0.274,0.358,-0.171,0.331
OV3133-R,2,Low-signaling,2,3,-0.201,-0.07,-0.348,3133,TRUE,exploratory k=3 pathway-score partition; not a validated molecular subtype,-1.28,-1.176,-1.559,-1.037,1.05,-1.45,-0.714,-1.107,0.317,-1.007,-0.686,-0.635,0.364,-0.851
OV3331,2,Low-signaling,2,3,-0.232,-0.194,1.052,OV3331,TRUE,exploratory k=3 pathway-score partition; not a validated molecular subtype,0.538,-0.426,0.771,1.01,0.517,-0.519,-0.737,0.804,-1.393,1.981,-0.656,1.325,-0.235,0.674
OV4485,2,Low-signaling,2,2,-1.659,-1.437,-1.006,OV4485,TRUE,exploratory k=3 pathway-score partition; not a validated molecular subtype,-0.835,-1.015,0.632,-0.981,-1.06,-1.048,-0.337,-0.265,-1.368,-1.069,-0.43,-1.163,0.465,-0.172
TOV1369,2,Low-signaling,2,3,-0.459,-0.191,0.549,1369,FALSE,exploratory k=3 pathway-score partition; not a validated molecular subtype,-0.344,0.805,-1.324,-1.094,-0.959,-0.027,-0.442,-0.713,-0.222,-0.599,-0.416,-0.521,-0.461,1.226
TOV3041G,2,Low-signaling,2,3,0.487,0.421,0.439,TOV3041G,TRUE,exploratory k=3 pathway-score partition; not a validated molecular subtype,0.503,1.015,-0.357,-0.263,-0.517,0.366,0.522,-0.473,0.414,0.371,0.798,-1.081,-1.255,0.701
TOV3133G,2,Low-signaling,2,3,0.318,-0.063,-0.397,3133,FALSE,exploratory k=3 pathway-score partition; not a validated molecular subtype,-0.902,-1.047,-0.843,0.026,-0.176,-0.586,-0.378,-0.574,-0.456,-0.937,-0.406,-1.303,0.483,-0.69
TOV3291G,2,Low-signaling,2,3,0.075,-0.483,0.748,3291,TRUE,exploratory k=3 pathway-score partition; not a validated molecular subtype,0.198,0.708,-1.254,0.549,-0.271,-0.205,-0.754,-0.08,-0.064,0.969,-0.655,1.249,0.994,0.057
OV4453,3,Inflammatory/NF-kB-EMT,1,4,1.235,0.928,1.572,OV4453,TRUE,exploratory k=3 pathway-score partition; not a validated molecular subtype,2.261,-0.559,0.46,1.991,0.225,0.407,0.706,2.713,0.369,1.856,0.851,1.125,-1.214,1.609
OV90,3,Inflammatory/NF-kB-EMT,1,4,-0.486,0.772,-0.695,OV90,TRUE,exploratory k=3 pathway-score partition; not a validated molecular subtype,0.955,-0.165,0.014,-0.3,-0.523,0.881,0.455,1.399,0.471,-1.005,0.353,-0.152,-1.431,0.735
