level,id,subtype,n,spearman,pearson,p_value,q_value,inference_note
per_line,OV1369-R2,HGS,7682,0.4017,0.4107,NA,NA,NA
per_line,OV1946,HGS,7599,0.4353,0.432,NA,NA,NA
per_line,OV2085,HGS,7704,0.3348,0.3479,NA,NA,NA
per_line,OV2295,HGS,7599,0.3572,0.3711,NA,NA,NA
per_line,OV2295-R2,HGS,7509,0.384,0.3967,NA,NA,NA
per_line,OV3133-R,HGS,7682,0.3832,0.3943,NA,NA,NA
per_line,OV4453,HGS,7643,0.4275,0.4322,NA,NA,NA
per_line,OV4485,HGS,7704,0.3326,0.3462,NA,NA,NA
per_line,OV866-2,HGS,7682,0.3825,0.3968,NA,NA,NA
per_line,TOV1369,HGS,7704,0.3404,0.362,NA,NA,NA
per_line,TOV3041G,HGS,7509,0.3721,0.3839,NA,NA,NA
per_line,TOV3133G,HGS,7643,0.3535,0.3701,NA,NA,NA
per_line,TOV3291G,HGS,7704,0.364,0.3791,NA,NA,NA
per_line,OV3331,HGS,7643,0.3628,0.3789,NA,NA,NA
per_line,OV90,HGS,7599,0.4418,0.445,NA,NA,NA
per_line,TOV21G,CC,7599,0.405,0.4171,NA,NA,NA
per_line,TOV3392D,CC,7682,0.3801,0.3912,NA,NA,NA
per_line,VOA10816,CC,7682,0.468,0.4691,NA,NA,NA
per_line,VOA12539,CC,7704,0.4525,0.4545,NA,NA,NA
per_line,VOA295,CC,7704,0.4432,0.4383,NA,NA,NA
per_line,VOA4841,CC,7509,0.4211,0.4252,NA,NA,NA
per_line,TOV112D,EC,7643,0.4745,0.4515,NA,NA,NA
per_line,VOA4395,EC,7682,0.4536,0.4416,NA,NA,NA
per_line,TOV2414,MC,7599,0.3383,0.3601,NA,NA,NA
per_line,VOA8762,MC,7643,0.4382,0.4451,NA,NA,NA
per_line,VOA8771,MC,7599,0.4476,0.4449,NA,NA,NA
per_line,VOA5217,MMMT,7643,0.4456,0.4478,NA,NA,NA
per_line,VOA5436,MMMT,7599,0.4385,0.4369,NA,NA,NA
per_line,BIN67,SCCOHT,7509,0.44,0.431,NA,NA,NA
per_line,COV434,SCCOHT,7682,0.4804,0.4588,NA,NA,NA
per_gene,A1CF,NA,13,0.3626,0.8246,0.2233,0.3102,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,A2M,NA,30,0.2561,0.4812,0.1719,0.2516,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,AAAS,NA,30,0.2071,0.2195,0.2721,0.3641,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,AACS,NA,30,0.4509,0.4133,0.01238,0.03046,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,AAGAB,NA,30,0.6214,0.6403,2.477e-4,0.001372,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,AAK1,NA,30,0.4158,0.4551,0.0223,0.0484,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,AAMDC,NA,30,0.62,0.7178,2.577e-4,0.001422,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,AAMP,NA,30,0.2022,0.1743,0.2839,0.3762,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,AAR2,NA,30,0.0785,0.2222,0.68,0.7463,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,AARS,NA,30,0.1577,0.1915,0.4052,0.4976,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,AARS2,NA,30,0.4999,0.5527,0.004911,0.01441,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,AARSD1,NA,30,0.4496,0.4123,0.01268,0.03099,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,AASDHPPT,NA,30,0.7882,0.8449,2.323e-7,6.616e-6,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,AASS,NA,30,0.6254,0.7818,2.197e-4,0.001251,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,AATF,NA,30,0.2992,0.3129,0.1082,0.1721,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ABAT,NA,30,0.7717,0.7924,5.931e-7,1.35e-5,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ABCA1,NA,20,0.2496,0.2304,0.2885,0.3809,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ABCA3,NA,17,-0.0588,-0.0528,0.8226,0.8627,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ABCB1,NA,30,0.0867,0.6958,0.6486,0.7183,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ABCB10,NA,30,0.6681,0.6958,5.479e-5,4.224e-4,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ABCB4,NA,17,0.2269,0.0424,0.3812,0.4751,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ABCB6,NA,30,0.7406,0.727,2.877e-6,4.386e-5,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ABCB7,NA,30,-0.1177,-0.0164,0.5357,0.6176,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ABCB8,NA,30,0.3419,0.3065,0.06439,0.1138,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ABCC1,NA,30,0.3357,0.2896,0.06973,0.1209,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ABCC2,NA,14,0.5824,0.8739,0.02885,0.05979,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ABCC3,NA,23,0.5702,0.5913,0.004504,0.01342,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ABCC4,NA,30,0.5266,0.591,0.002795,0.009191,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ABCC5,NA,30,0.0474,0.2034,0.8036,0.8483,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ABCD1,NA,30,0.6289,0.5843,1.973e-4,0.001155,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ABCD3,NA,30,0.3317,0.373,0.07334,0.1258,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ABCD4,NA,30,0.4527,0.434,0.012,0.02975,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ABCE1,NA,30,0.7099,0.7547,1.115e-5,1.23e-4,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ABCF1,NA,30,0.5199,0.5743,0.003232,0.01029,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ABCF2,NA,30,0.1435,0.2551,0.4494,0.5408,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ABCF3,NA,30,0.2952,0.3822,0.1132,0.1786,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ABHD10,NA,30,0.0461,0.254,0.8091,0.8527,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ABHD11,NA,30,0.6752,0.7272,4.254e-5,3.459e-4,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ABHD12,NA,30,0.7023,0.7052,1.517e-5,1.554e-4,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ABHD13,NA,30,0.038,0.0231,0.8418,0.8787,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ABHD14B,NA,30,0.6578,0.6327,7.795e-5,5.522e-4,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ABHD16A,NA,30,0.3771,0.8346,0.03996,0.07812,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ABHD17B,NA,30,0.3855,0.3491,0.03537,0.07047,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ABHD3,NA,19,0.3509,0.3586,0.1408,0.2134,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ABHD6,NA,30,0.3326,0.3193,0.07253,0.1249,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ABI1,NA,30,0.1333,0.2162,0.4827,0.5712,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ABI2,NA,30,0.6703,0.6699,5.066e-5,3.951e-4,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ABL1,NA,30,0.3495,0.3833,0.05834,0.1055,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ABL2,NA,11,0.5364,0.4997,0.08895,0.1473,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ABLIM1,NA,30,0.8959,0.8781,2.256e-11,1.0660000000000001e-08,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ABR,NA,30,0.5737,0.6044,9.169e-4,0.003824,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ABRAXAS1,NA,30,-0.2761,-0.2513,0.1397,0.2121,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ABRAXAS2,NA,30,0.4852,0.4207,0.006573,0.01829,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ABT1,NA,30,0.6445,0.7199,1.211e-4,7.869e-4,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ABTB2,NA,13,0.8571,0.8161,1.809e-4,0.001082,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ACAA1,NA,30,0.7753,0.7084,4.875e-7,1.169e-5,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ACAA2,NA,30,0.6396,0.6443,1.416e-4,8.898e-4,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ACACA,NA,30,0.3188,0.3816,0.08597,0.1431,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
