gene,n_paired,rna_min,rna_max,rna_range,rna_iqr,rna_sd,prot_min,prot_max,prot_range,prot_iqr,prot_sd,range_ratio_floor_sensitive,range_ratio,iqr_ratio,sd_ratio,complete30,rna_n_zero_lines,rna_has_zero,concord_spearman,is_adc_target
A1CF,13,0.002765115638822506,2.7316956146255675,2.728930498986745,1.0333589291583773,1.099905226465281,10.41936992279106,13.05023375086873,2.63086382807767,0.8822554703223897,0.7406131163534622,0.9640640643118294,0.9640640643118294,0.8537744683165854,0.6733426649253583,FALSE,0,FALSE,0.3626,FALSE
A2M,30,0,9.27898507721581,9.27898507721581,1.3107629650260515,2.2642517055586766,11.13346289269031,14.02656677114889,2.8931038784585787,0.6896690565392447,0.70296361276104,0.3117909829990441,0.3117909829990441,0.5261584855088864,0.31046177906603023,TRUE,2,TRUE,0.2561,FALSE
AAAS,30,4.875654721035175,6.419384230023457,1.5437295089882825,0.5423908003049736,0.35961232685033817,12.50787863868163,13.11471905232023,0.6068404136386008,0.19745064901779408,0.14568558549427266,0.39310022261368,0.39310022261368,0.36403760702941906,0.40511844176827516,TRUE,0,FALSE,0.2071,FALSE
AACS,30,3.003570846028889,5.918335052214397,2.914764206185508,0.6199794521276765,0.6335693078044167,12.42820472580516,13.48804473780286,1.0598400119977,0.14713781516176105,0.22628206085366057,0.3636108916627225,0.3636108916627225,0.2373269221371872,0.3571543918972698,TRUE,0,FALSE,0.4509,FALSE
AAGAB,30,3.4418632341421684,6.429068908361903,2.9872056742197346,0.8435431911595215,0.6934547907450118,9.986152989131396,11.19106804166917,1.2049150525377748,0.4803940830061286,0.34451471676183026,0.40335858455829343,0.40335858455829343,0.5694955374434193,0.4968091955810148,TRUE,0,FALSE,0.6214,FALSE
AAK1,30,2.437023565536925,5.254060627965811,2.817037062428886,0.815069446794153,0.6544604343289031,11.84028000368539,12.61206474565727,0.7717847419718797,0.3097847191820531,0.22162298829275376,0.2739703897635045,0.2739703897635045,0.38007156371828726,0.3386346624911106,TRUE,0,FALSE,0.4158,FALSE
AAMDC,30,3.0921798967046716,7.06908310846511,3.976903211760438,0.8165897855432327,0.7550421933168189,11.14500258211712,12.62324326709499,1.4782406849778695,0.4585354251038751,0.36723525695845916,0.3717064776951168,0.3717064776951168,0.5615248111373773,0.486377132574849,TRUE,0,FALSE,0.62,FALSE
AAMP,30,6.094879226547913,8.589581951665902,2.49470272511799,0.4828970938021362,0.49940100276681065,11.51504194638152,12.84823890460277,1.333196958221249,0.4888136284476783,0.3809596507090718,0.5344111523982057,0.5344111523982057,1.0122521645325253,0.7628331713361745,TRUE,0,FALSE,0.2022,FALSE
AAR2,30,3.388112219307071,6.9994808745295805,3.6113686552225093,0.8600540765561311,0.7334606995686725,10.72456597787137,11.89124477999766,1.16667880212629,0.37998009136896194,0.3051426353363128,0.323057243252948,0.323057243252948,0.4418095346870467,0.4160313368061282,TRUE,0,FALSE,0.0785,FALSE
AARS,30,5.516525643347346,8.649397533146487,3.1328718897991417,0.8113232707501199,0.7056605763586176,15.39980411719887,16.27925786293252,0.8794537457336506,0.32323568917132306,0.2321445064048981,0.28071806849083614,0.28071806849083614,0.3984055441580902,0.3289747425069726,TRUE,0,FALSE,0.1577,FALSE
