row,symbol,uniprot,symbol_representative,n_peptides,n_unique_peptides,npeptides_quant,qvalue,cv_replicates,isoDoping,present_n_lines,present_n_plex,pass_presence50,complete_case,zero_plex
SMIM26,SMIM26,A0A096LP01,TRUE,3,3,3,0.001,3.901432735566392,FALSE,31,5,TRUE,TRUE,FALSE
GATD3B,GATD3B,A0A0B4J2D5,TRUE,18,18,18,0,NA,FALSE,0,0,FALSE,FALSE,TRUE
UBE2L5,UBE2L5,A0A1B0GUS4,TRUE,9,1,1,0,NA,FALSE,7,1,FALSE,FALSE,FALSE
RBM47,RBM47,A0AV96,TRUE,26,24,24,0,8.90035903379825,FALSE,31,5,TRUE,TRUE,FALSE
TMEM129,TMEM129,A0AVI4,TRUE,2,2,2,0.003,3.681085041599413,FALSE,18,3,TRUE,FALSE,FALSE
UBA6,UBA6,A0AVT1,TRUE,44,44,44,0,4.288818218344494,FALSE,31,5,TRUE,TRUE,FALSE
ESYT2,ESYT2,A0FGR8,TRUE,49,48,48,0,7.731460861592129,FALSE,31,5,TRUE,TRUE,FALSE
MED19,MED19,A0JLT2,TRUE,4,4,4,0,5.555037181862072,FALSE,31,5,TRUE,TRUE,FALSE
UHRF1BP1L,UHRF1BP1L,A0JNW5,TRUE,9,6,6,0,12.75776091673607,FALSE,31,5,TRUE,TRUE,FALSE
SHTN1,SHTN1,A0MZ66,TRUE,49,49,49,0,1.1677325706001629,FALSE,31,5,TRUE,TRUE,FALSE
TMEM223,TMEM223,A0PJW6,TRUE,3,3,3,0,2.062729347438923,FALSE,31,5,TRUE,TRUE,FALSE
TMEM120B,TMEM120B,A0PK00,TRUE,2,2,2,0.001,12.99141554169038,FALSE,31,5,TRUE,TRUE,FALSE
ARHGAP10,ARHGAP10,A1A4S6,TRUE,9,8,8,0,4.914125994970319,FALSE,24,4,TRUE,FALSE,FALSE
MEX3A,MEX3A,A1L020,TRUE,5,3,3,0,26.82871903533686,FALSE,13,2,FALSE,FALSE,FALSE
ILVBL,ILVBL,A1L0T0,TRUE,30,30,30,0,4.008584646662338,FALSE,31,5,TRUE,TRUE,FALSE
C1orf226,C1orf226,A1L170,TRUE,5,5,5,0,41.07730369392443,FALSE,13,2,FALSE,FALSE,FALSE
NDUFAF8,NDUFAF8,A1L188,TRUE,3,3,3,0,9.070410090475225,FALSE,31,5,TRUE,TRUE,FALSE
PLEKHG3,PLEKHG3,A1L390,TRUE,22,21,21,0,3.951571379358492,FALSE,31,5,TRUE,TRUE,FALSE
SH3PXD2B,SH3PXD2B,A1X283,TRUE,24,21,21,0,4.368516417252096,FALSE,31,5,TRUE,TRUE,FALSE
BCLAF3,BCLAF3,A2AJT9,TRUE,2,2,2,0.008,16.85991511991415,FALSE,11,2,FALSE,FALSE,FALSE
NBAS,NBAS,A2RRP1,TRUE,53,53,53,0,2.839171674757604,FALSE,31,5,TRUE,TRUE,FALSE
TARSL2,TARSL2,A2RTX5,TRUE,5,1,1,0,NA,FALSE,6,1,FALSE,FALSE,FALSE
DENND3,DENND3,A2RUS2,TRUE,2,2,2,0.009,38.57262275727233,FALSE,11,2,FALSE,FALSE,FALSE
VWA8,VWA8,A3KMH1,TRUE,77,77,77,0,1.33656001258208,FALSE,31,5,TRUE,TRUE,FALSE
SBNO1,SBNO1,A3KN83,TRUE,21,21,21,0,2.99260689451309,FALSE,31,5,TRUE,TRUE,FALSE
GTPBP10,GTPBP10,A4D1E9,TRUE,24,24,24,0,4.249129828604109,FALSE,31,5,TRUE,TRUE,FALSE
WDR91,WDR91,A4D1P6,TRUE,17,17,17,0,10.93827710989093,FALSE,31,5,TRUE,TRUE,FALSE
KLRG2,KLRG2,A4D1S0,TRUE,10,10,10,0,11.6546651371941,FALSE,31,5,TRUE,TRUE,FALSE
RAB19,RAB19,A4D1S5,TRUE,6,5,5,0,14.1837158754548,FALSE,31,5,TRUE,TRUE,FALSE
LCHN,LCHN,A4D1U4,TRUE,3,3,3,0,14.07449439061418,FALSE,31,5,TRUE,TRUE,FALSE
MBLAC1,MBLAC1,A4D2B0,TRUE,2,2,2,0.009,102.8515236047782,FALSE,13,2,FALSE,FALSE,FALSE
MTMR11,MTMR11,A4FU01,TRUE,2,1,2,0.003,8.768454095543998,FALSE,31,5,TRUE,TRUE,FALSE
POTEF,POTEF,A5A3E0,TRUE,17,2,2,0,NA,FALSE,0,0,FALSE,FALSE,TRUE
VPS37C,VPS37C,A5D8V6,TRUE,3,3,3,0,5.060519475114416,FALSE,31,5,TRUE,TRUE,FALSE
TMEM189,TMEM189,A5PLL7,TRUE,7,7,7,0,15.41680410257923,FALSE,31,5,TRUE,TRUE,FALSE
TRAPPC13,TRAPPC13,A5PLN9,TRUE,12,12,12,0,4.624655802742085,FALSE,31,5,TRUE,TRUE,FALSE
CNOT1,CNOT1,A5YKK6,TRUE,65,65,65,0,3.327395642426058,FALSE,31,5,TRUE,TRUE,FALSE
C2orf72,C2orf72,A6NCS6,TRUE,6,6,6,0,4.379021043842754,FALSE,20,3,TRUE,FALSE,FALSE
FAM83G,FAM83G,A6ND36,TRUE,2,2,2,0.007,19.33107799938412,FALSE,11,2,FALSE,FALSE,FALSE
PALM3,PALM3,A6NDB9,TRUE,6,6,6,0,6.983164355101261,FALSE,19,3,TRUE,FALSE,FALSE
PGP,PGP,A6NDG6,TRUE,16,16,16,0,1.463787187811086,FALSE,31,5,TRUE,TRUE,FALSE
C5orf51,C5orf51,A6NDU8,TRUE,7,7,7,0,7.400751947827521,FALSE,31,5,TRUE,TRUE,FALSE
RCCD1,RCCD1,A6NED2,TRUE,2,2,2,0.003,NA,FALSE,6,1,FALSE,FALSE,FALSE
PLEKHD1,PLEKHD1,A6NEE1,TRUE,3,3,3,0.003,1.884137658321263,FALSE,20,3,TRUE,FALSE,FALSE
ZNF316,ZNF316,A6NFI3,TRUE,5,5,5,0,3.854210109825503,FALSE,31,5,TRUE,TRUE,FALSE
TUBAL3,TUBAL3,A6NHL2,TRUE,7,1,1,0,12.2849033808512,FALSE,31,5,TRUE,TRUE,FALSE
FBLL1,FBLL1,A6NHQ2,TRUE,7,4,5,0,35.69110342621205,FALSE,19,3,TRUE,FALSE,FALSE
SMCHD1,SMCHD1,A6NHR9,TRUE,121,120,121,0,1.319578120882822,FALSE,31,5,TRUE,TRUE,FALSE
CASTOR2,CASTOR2,A6NHX0,TRUE,2,2,2,0.003,NA,FALSE,12,2,FALSE,FALSE,FALSE
UNC119B,UNC119B,A6NIH7,TRUE,8,7,7,0,4.514806531013913,FALSE,31,5,TRUE,TRUE,FALSE
METTL15,METTL15,A6NJ78,TRUE,13,13,13,0,2.956424488226946,FALSE,31,5,TRUE,TRUE,FALSE
LIPT2,LIPT2,A6NK58,TRUE,5,5,5,0,10.10438489695806,FALSE,24,4,TRUE,FALSE,FALSE
CCDC85C,CCDC85C,A6NKD9,TRUE,9,9,9,0,7.995521489372944,FALSE,31,5,TRUE,TRUE,FALSE
SAC3D1,SAC3D1,A6NKF1,TRUE,2,2,2,0.004,5.837433097569116,FALSE,31,5,TRUE,TRUE,FALSE
RTL1,RTL1,A6NKG5,TRUE,12,12,12,0,NA,FALSE,7,1,FALSE,FALSE,FALSE
RTL8C,RTL8C,A6ZKI3,TRUE,3,3,3,0.003,4.6998386062932624,FALSE,31,5,TRUE,TRUE,FALSE
ZSWIM8,ZSWIM8,A7E2V4,TRUE,5,5,5,0,33.93844446773203,FALSE,26,4,TRUE,FALSE,FALSE
ARHGAP32,ARHGAP32,A7KAX9,TRUE,6,6,6,0,NA,FALSE,5,1,FALSE,FALSE,FALSE
POM121C,POM121C,A8CG34,TRUE,22,5,5,0,4.516649680291729,FALSE,31,5,TRUE,TRUE,FALSE
CLCA1,CLCA1,A8K7I4,TRUE,28,28,28,0,NA,FALSE,7,1,FALSE,FALSE,FALSE
DDX11L8,DDX11L8,A8MPP1,TRUE,3,1,1,0.001,NA,FALSE,0,0,FALSE,FALSE,TRUE
LYRM9,LYRM9,A8MSI8,TRUE,2,2,2,0.003,9.115863308021058,FALSE,31,5,TRUE,TRUE,FALSE
CEBPZOS,CEBPZOS,A8MTT3,TRUE,4,4,4,0,1.737122519042158,FALSE,31,5,TRUE,TRUE,FALSE
ZNF724,ZNF724,A8MTY0,TRUE,6,1,1,0,NA,FALSE,0,0,FALSE,FALSE,TRUE
FAM171A2,FAM171A2,A8MVW0,TRUE,2,2,2,0.003,11.81522860032448,FALSE,25,4,TRUE,FALSE,FALSE
PHF20L1,PHF20L1,A8MW92,TRUE,10,10,10,0,3.594566296296733,FALSE,31,5,TRUE,TRUE,FALSE
SNRPGP15,SNRPGP15,A8MWD9,TRUE,6,1,1,0,NA,FALSE,6,1,FALSE,FALSE,FALSE
NUDT19,NUDT19,A8MXV4,TRUE,15,15,15,0,2.750355828228821,FALSE,31,5,TRUE,TRUE,FALSE
MIF4GD,MIF4GD,A9UHW6,TRUE,2,2,2,0.002,4.063610354677627,FALSE,25,4,TRUE,FALSE,FALSE
FER1L4,FER1L4,A9Z1Z3,TRUE,3,2,2,0.004,NA,FALSE,19,3,TRUE,FALSE,FALSE
MYO1G,MYO1G,B0I1T2,TRUE,2,1,1,0,NA,FALSE,5,1,FALSE,FALSE,FALSE
IQCJ-SCHIP1,IQCJ-SCHIP1,B3KU38,TRUE,2,2,2,0.003,NA,FALSE,0,0,FALSE,FALSE,TRUE
RABGAP1L,RABGAP1L,B7ZAP0,TRUE,8,6,6,0,3.01409049275596,FALSE,31,5,TRUE,TRUE,FALSE
PPP1R3G,PPP1R3G,B7ZBB8,TRUE,6,6,6,0,6.08387728581283,FALSE,13,2,FALSE,FALSE,FALSE
RASA4B,RASA4B,C9J798,TRUE,2,1,1,0.005,NA,FALSE,0,0,FALSE,FALSE,TRUE
TMEM238,TMEM238,C9JI98,TRUE,3,3,3,0.001,9.189133771364123,FALSE,31,5,TRUE,TRUE,FALSE
MCRIP1,MCRIP1,C9JLW8,TRUE,8,8,8,0,4.637694561213956,FALSE,31,5,TRUE,TRUE,FALSE
STMP1,STMP1,E0CX11,TRUE,2,2,2,0.003,5.320962807339756,FALSE,31,5,TRUE,TRUE,FALSE
UPK3BL2,UPK3BL2,E5RIL1,TRUE,3,3,3,0.001,3.665051640725335,FALSE,17,3,TRUE,FALSE,FALSE
C11orf98,C11orf98,E9PRG8,TRUE,3,3,3,0,16.63593363583476,FALSE,31,5,TRUE,TRUE,FALSE
CROCC2,CROCC2,H7BZ55,TRUE,3,2,2,0.003,31.38646587500823,FALSE,25,4,TRUE,FALSE,FALSE
SLC35A4,SLC35A4,L0R6Q1,TRUE,8,8,8,0,5.366226016394735,FALSE,31,5,TRUE,TRUE,FALSE
ASDURF,ASDURF,L0R819,TRUE,6,6,6,0,8.229373240927542,FALSE,31,5,TRUE,TRUE,FALSE
MIEF1,MIEF1,L0R8F8,TRUE,5,5,5,0,5.657709279290636,FALSE,31,5,TRUE,TRUE,FALSE
DNASE2,DNASE2,O00115,TRUE,11,11,11,0,3.420687599934762,FALSE,31,5,TRUE,TRUE,FALSE
AGPS,AGPS,O00116,TRUE,47,47,47,0,3.562799999609871,FALSE,31,5,TRUE,TRUE,FALSE
UBXN8,UBXN8,O00124,TRUE,5,5,5,0,22.56445590792394,FALSE,31,5,TRUE,TRUE,FALSE
KIF2A,KIF2A,O00139,TRUE,35,31,31,0,4.528774664821553,FALSE,31,5,TRUE,TRUE,FALSE
TK2,TK2,O00142,TRUE,7,7,7,0,5.12817260515661,FALSE,31,5,TRUE,TRUE,FALSE
DDX39A,DDX39A,O00148,TRUE,36,14,14,0,1.922307827623849,FALSE,31,5,TRUE,TRUE,FALSE
PDLIM1,PDLIM1,O00151,TRUE,28,28,28,0,2.571599409384414,FALSE,31,5,TRUE,TRUE,FALSE
ACOT7,ACOT7,O00154,TRUE,29,29,29,0,7.3463752640967,FALSE,31,5,TRUE,TRUE,FALSE
MYO1C,MYO1C,O00159,TRUE,88,86,86,0,3.451231447226821,FALSE,31,5,TRUE,TRUE,FALSE
SNAP23,SNAP23,O00161,TRUE,22,22,22,0,4.118437245374741,FALSE,31,5,TRUE,TRUE,FALSE
HAX1,HAX1,O00165,TRUE,8,8,8,0,1.502595653085907,FALSE,31,5,TRUE,TRUE,FALSE
AIP,AIP,O00170,TRUE,22,22,22,0,2.651139671170787,FALSE,31,5,TRUE,TRUE,FALSE
GTPBP1,GTPBP1,O00178,TRUE,19,19,19,0,6.104567111568858,FALSE,31,5,TRUE,TRUE,FALSE
LGALS9,LGALS9,O00182,TRUE,4,4,4,0,22.98277300066018,FALSE,31,5,TRUE,TRUE,FALSE
STXBP3,STXBP3,O00186,TRUE,46,46,46,0,3.553826409125749,FALSE,31,5,TRUE,TRUE,FALSE
AP4M1,AP4M1,O00189,TRUE,2,2,2,0.006,0.1578052306360702,FALSE,13,2,FALSE,FALSE,FALSE
ARVCF,ARVCF,O00192,TRUE,20,20,20,0,4.280766754337932,FALSE,31,5,TRUE,TRUE,FALSE
SMAP,SMAP,O00193,TRUE,8,8,8,0,2.395215480333392,FALSE,31,5,TRUE,TRUE,FALSE
RAB27B,RAB27B,O00194,TRUE,4,2,2,0,23.68044136886526,FALSE,24,4,TRUE,FALSE,FALSE
AP3B1,AP3B1,O00203,TRUE,43,36,36,0,3.90602307232535,FALSE,31,5,TRUE,TRUE,FALSE
RHOD,RHOD,O00212,TRUE,3,3,3,0,12.70698957668948,FALSE,24,4,TRUE,FALSE,FALSE
APBB1,APBB1,O00213,TRUE,3,1,1,0.003,NA,FALSE,6,1,FALSE,FALSE,FALSE
LGALS8,LGALS8,O00214,TRUE,9,9,9,0,5.218910991799454,FALSE,31,5,TRUE,TRUE,FALSE
NDUFS8,NDUFS8,O00217,TRUE,16,16,16,0,3.112622108572843,FALSE,31,5,TRUE,TRUE,FALSE
TNFRSF10A,TNFRSF10A,O00220,TRUE,8,8,8,0,7.832589925693403,FALSE,24,4,TRUE,FALSE,FALSE
NFKBIE,NFKBIE,O00221,TRUE,4,4,4,0,14.37767957734287,FALSE,31,5,TRUE,TRUE,FALSE
PSMD11,PSMD11,O00231,TRUE,39,39,39,0,3.136984736169167,FALSE,31,5,TRUE,TRUE,FALSE
PSMD12,PSMD12,O00232,TRUE,46,46,46,0,6.14389373820091,FALSE,31,5,TRUE,TRUE,FALSE
PSMD9,PSMD9,O00233,TRUE,17,17,17,0,4.68668345816403,FALSE,31,5,TRUE,TRUE,FALSE
SIRPB1,SIRPB1,O00241,TRUE,5,2,2,0,NA,FALSE,12,2,FALSE,FALSE,FALSE
ATOX1,ATOX1,O00244,TRUE,8,8,8,0,4.780984153556222,FALSE,31,5,TRUE,TRUE,FALSE
MEN1,MEN1,O00255,TRUE,8,8,8,0,6.460309429462693,FALSE,31,5,TRUE,TRUE,FALSE
CBX4,CBX4,O00257,TRUE,16,16,16,0,8.196327720964419,FALSE,31,5,TRUE,TRUE,FALSE
WRB,WRB,O00258,TRUE,2,2,2,0.001,2.819027295408143,FALSE,31,5,TRUE,TRUE,FALSE
PGRMC1,PGRMC1,O00264,TRUE,23,20,20,0,1.300165918098009,FALSE,31,5,TRUE,TRUE,FALSE
SUPT5H,SUPT5H,O00267,TRUE,70,70,70,0,3.708518271599971,FALSE,31,5,TRUE,TRUE,FALSE
TAF4,TAF4,O00268,TRUE,25,25,25,0,2.156415907161739,FALSE,31,5,TRUE,TRUE,FALSE
DFFA,DFFA,O00273,TRUE,20,20,20,0,3.583226974453199,FALSE,31,5,TRUE,TRUE,FALSE
RFXAP,RFXAP,O00287,TRUE,6,6,6,0,2.240812197494572,FALSE,31,5,TRUE,TRUE,FALSE
HIP1,HIP1,O00291,TRUE,44,41,41,0,2.014966019067886,FALSE,31,5,TRUE,TRUE,FALSE
CLIC1,CLIC1,O00299,TRUE,25,24,24,0,0.5090066888731987,FALSE,31,5,TRUE,TRUE,FALSE
TNFRSF11B,TNFRSF11B,O00300,TRUE,10,10,10,0,12.25972718344562,FALSE,31,5,TRUE,TRUE,FALSE
EIF3F,EIF3F,O00303,TRUE,15,15,15,0,2.780384373404813,FALSE,31,5,TRUE,TRUE,FALSE
WWP2,WWP2,O00308,TRUE,5,4,4,0,22.29383062209773,FALSE,25,4,TRUE,FALSE,FALSE
PDHX,PDHX,O00330,TRUE,26,26,26,0,1.701380656100409,FALSE,31,5,TRUE,TRUE,FALSE
SULT1C2,SULT1C2,O00338,TRUE,4,4,4,0,15.63820262877983,FALSE,20,3,TRUE,FALSE,FALSE
MATN2,MATN2,O00339,TRUE,19,19,19,0,3.839612138972807,FALSE,31,5,TRUE,TRUE,FALSE
QSOX1,QSOX1,O00391,TRUE,25,25,25,0,1.606674736631542,FALSE,31,5,TRUE,TRUE,FALSE
DCTN6,DCTN6,O00399,TRUE,4,4,4,0,15.39473913413236,FALSE,31,5,TRUE,TRUE,FALSE
SLC33A1,SLC33A1,O00400,TRUE,6,6,6,0,11.79052640707392,FALSE,31,5,TRUE,TRUE,FALSE
WASL,WASL,O00401,TRUE,19,19,19,0,7.397592281240618,FALSE,31,5,TRUE,TRUE,FALSE
PDE2A,PDE2A,O00408,TRUE,4,4,4,0,18.52014172149426,FALSE,13,2,FALSE,FALSE,FALSE
IPO5,IPO5,O00410,TRUE,50,47,47,0,2.502318985725128,FALSE,31,5,TRUE,TRUE,FALSE
POLRMT,POLRMT,O00411,TRUE,22,22,22,0,4.920768763755278,FALSE,31,5,TRUE,TRUE,FALSE
EEF2K,EEF2K,O00418,TRUE,20,20,20,0,4.318932097765437,FALSE,31,5,TRUE,TRUE,FALSE
SAP18,SAP18,O00422,TRUE,19,19,19,0,2.195765694072893,FALSE,31,5,TRUE,TRUE,FALSE
EML1,EML1,O00423,TRUE,16,15,15,0,11.82604195403395,FALSE,31,5,TRUE,TRUE,FALSE
IGF2BP3,IGF2BP3,O00425,TRUE,53,42,42,0,3.328990274306239,FALSE,31,5,TRUE,TRUE,FALSE
DNM1L,DNM1L,O00429,TRUE,52,52,52,0,0.8467312658071082,FALSE,31,5,TRUE,TRUE,FALSE
RTCA,RTCA,O00442,TRUE,19,19,19,0,4.893628066430047,FALSE,31,5,TRUE,TRUE,FALSE
PIK3C2A,PIK3C2A,O00443,TRUE,42,42,42,0,3.574688908860534,FALSE,31,5,TRUE,TRUE,FALSE
IFRD1,IFRD1,O00458,TRUE,11,11,11,0,8.915521141721566,FALSE,19,3,TRUE,FALSE,FALSE
PIK3R2,PIK3R2,O00459,TRUE,6,4,4,0,8.5574922092241,FALSE,31,5,TRUE,TRUE,FALSE
GOLIM4,GOLIM4,O00461,TRUE,24,24,24,0,3.376427230368878,FALSE,31,5,TRUE,TRUE,FALSE
MANBA,MANBA,O00462,TRUE,24,23,23,0,2.049518045126245,FALSE,31,5,TRUE,TRUE,FALSE
AGRN,AGRN,O00468,TRUE,92,92,92,0,3.611063632374981,FALSE,31,5,TRUE,TRUE,FALSE
PLOD2,PLOD2,O00469,TRUE,46,46,46,0,4.155347781701868,FALSE,31,5,TRUE,TRUE,FALSE
MEIS1,MEIS1,O00470,TRUE,8,8,8,0,3.760683407965384,FALSE,31,5,TRUE,TRUE,FALSE
EXOC5,EXOC5,O00471,TRUE,39,38,38,0,4.845986348516075,FALSE,31,5,TRUE,TRUE,FALSE
BTN3A3,BTN3A3,O00478,TRUE,4,4,4,0,15.52872835644227,FALSE,25,4,TRUE,FALSE,FALSE
HMGN4,HMGN4,O00479,TRUE,12,10,10,0,6.949929171295744,FALSE,31,5,TRUE,TRUE,FALSE
NDUFA4,NDUFA4,O00483,TRUE,7,7,7,0,5.76782041348497,FALSE,31,5,TRUE,TRUE,FALSE
PSMD14,PSMD14,O00487,TRUE,18,18,18,0,2.89699514946284,FALSE,31,5,TRUE,TRUE,FALSE
ZNF593,ZNF593,O00488,TRUE,5,5,5,0,11.32545989248861,FALSE,31,5,TRUE,TRUE,FALSE
BIN1,BIN1,O00499,TRUE,24,24,24,0,2.840271372654011,FALSE,31,5,TRUE,TRUE,FALSE
KPNA3,KPNA3,O00505,TRUE,20,12,12,0,7.339180098337096,FALSE,31,5,TRUE,TRUE,FALSE
STK25,STK25,O00506,TRUE,14,8,8,0,4.771640547489248,FALSE,31,5,TRUE,TRUE,FALSE
BCL9,BCL9,O00512,TRUE,10,10,10,0,13.51254495986368,FALSE,31,5,TRUE,TRUE,FALSE
LAD1,LAD1,O00515,TRUE,47,46,46,0,5.191641246847993,FALSE,31,5,TRUE,TRUE,FALSE
FAAH,FAAH,O00519,TRUE,9,9,9,0,9.600932774752629,FALSE,31,5,TRUE,TRUE,FALSE
KRIT1,KRIT1,O00522,TRUE,7,7,7,0,7.673090637100755,FALSE,31,5,TRUE,TRUE,FALSE
UPK2,UPK2,O00526,TRUE,3,3,3,0,2.022047601998441,FALSE,13,2,FALSE,FALSE,FALSE
VWA5A,VWA5A,O00534,TRUE,4,4,4,0,2.512800214553407,FALSE,13,2,FALSE,FALSE,FALSE
PES1,PES1,O00541,TRUE,44,43,43,0,2.410949363483509,FALSE,31,5,TRUE,TRUE,FALSE
EBAG9,EBAG9,O00559,TRUE,3,3,3,0,7.074997846539034,FALSE,31,5,TRUE,TRUE,FALSE
SDCBP,SDCBP,O00560,TRUE,18,18,18,0,5.008479206062098,FALSE,31,5,TRUE,TRUE,FALSE
PITPNM1,PITPNM1,O00562,TRUE,17,17,17,0,6.690369035901234,FALSE,31,5,TRUE,TRUE,FALSE
MPHOSPH10,MPHOSPH10,O00566,TRUE,40,40,40,0,5.225477232282605,FALSE,31,5,TRUE,TRUE,FALSE
NOP56,NOP56,O00567,TRUE,46,46,46,0,2.491008958605947,FALSE,31,5,TRUE,TRUE,FALSE
