cell_line,subtype,site,plex,channel,data_col,provenance
OV1369-R2,HGS,Mes-Masson,1,ch2,OV1369_R2,generated
OV1946,HGS,Mes-Masson,5,ch2,OV1946,generated
OV2085,HGS,Mes-Masson,2,ch2,OV2085,generated
OV2295,HGS,Mes-Masson,5,ch4,OV2295,generated
OV2295-R2,HGS,Mes-Masson,3,ch2,OV2295_R2,generated
OV3133-R,HGS,Mes-Masson,1,ch3,OV3133_R,generated
OV3331,HGS,Mes-Masson,4,ch3,OV3331,generated
OV4453,HGS,Mes-Masson,4,ch2,OV4453,generated
OV4485,HGS,Mes-Masson,2,ch3,OV4485,generated
OV866-2,HGS,Mes-Masson,1,ch4,OV866_2,generated
OV90,HGS,Mes-Masson,5,ch3,OV90,generated
TOV1369,HGS,Mes-Masson,2,ch4,TOV1369,generated
TOV3041G,HGS,Mes-Masson,3,ch4,TOV3041G,generated
TOV3133G,HGS,Mes-Masson,4,ch4,TOV3133G,generated
TOV3291G,HGS,Mes-Masson,2,ch8,TOV3291G,generated
TOV21G,CC,Mes-Masson,5,ch5,TOV21G,generated
TOV3392D,CC,Mes-Masson,1,ch7,TOV3392D,generated
VOA10816,CC,Huntsman,1,ch6,VOA10816,generated
VOA12539,CC,Huntsman,2,ch7,VOA12539,generated
VOA14993,CC,Huntsman,3,ch6,VOA14993,generated
VOA295,CC,Huntsman,2,ch6,VOA295,generated
VOA4841,CC,Huntsman,3,ch7,VOA4841,generated
TOV112D,EC,Mes-Masson,4,ch6,TOV112D,generated
VOA4395,EC,Huntsman,1,ch8,VOA4395,generated
TOV2414,MC,Mes-Masson,5,ch6,TOV2414,generated
VOA8762,MC,Huntsman,4,ch7,VOA8762,generated
VOA8771,MC,Huntsman,5,ch8,VOA8771,generated
VOA5217,MMMT,Huntsman,4,ch8,VOA5217,generated
VOA5436,MMMT,Huntsman,5,ch7,VOA5436,generated
BIN67,SCCOHT,Huntsman/Vanderhyden,3,ch3,BIN67,generated
COV434,SCCOHT,Huntsman,1,ch10,COV434,generated
