cell_line,subtype,site,plex,channel,n_detected,pct_missing
OV1369-R2,HGS,Mes-Masson,1,ch2,7738,8.176100628930815
OV1946,HGS,Mes-Masson,5,ch2,7653,9.18476326094696
OV2085,HGS,Mes-Masson,2,ch2,7758,7.938768244927019
OV2295,HGS,Mes-Masson,5,ch4,7653,9.18476326094696
OV2295-R2,HGS,Mes-Masson,3,ch2,7562,10.264625608164234
OV3133-R,HGS,Mes-Masson,1,ch3,7738,8.176100628930815
OV3331,HGS,Mes-Masson,4,ch3,7694,8.698231873739172
OV4453,HGS,Mes-Masson,4,ch2,7694,8.698231873739172
OV4485,HGS,Mes-Masson,2,ch3,7758,7.938768244927019
OV866-2,HGS,Mes-Masson,1,ch4,7738,8.176100628930815
OV90,HGS,Mes-Masson,5,ch3,7653,9.18476326094696
TOV1369,HGS,Mes-Masson,2,ch4,7758,7.938768244927019
TOV3041G,HGS,Mes-Masson,3,ch4,7562,10.264625608164234
TOV3133G,HGS,Mes-Masson,4,ch4,7694,8.698231873739172
TOV3291G,HGS,Mes-Masson,2,ch8,7758,7.938768244927019
TOV21G,CC,Mes-Masson,5,ch5,7653,9.18476326094696
TOV3392D,CC,Mes-Masson,1,ch7,7738,8.176100628930815
VOA10816,CC,Huntsman,1,ch6,7738,8.176100628930815
VOA12539,CC,Huntsman,2,ch7,7758,7.938768244927019
VOA14993,CC,Huntsman,3,ch6,7562,10.264625608164234
VOA295,CC,Huntsman,2,ch6,7758,7.938768244927019
VOA4841,CC,Huntsman,3,ch7,7562,10.264625608164234
TOV112D,EC,Mes-Masson,4,ch6,7694,8.698231873739172
VOA4395,EC,Huntsman,1,ch8,7738,8.176100628930815
TOV2414,MC,Mes-Masson,5,ch6,7653,9.18476326094696
VOA8762,MC,Huntsman,4,ch7,7694,8.698231873739172
VOA8771,MC,Huntsman,5,ch8,7653,9.18476326094696
VOA5217,MMMT,Huntsman,4,ch8,7694,8.698231873739172
VOA5436,MMMT,Huntsman,5,ch7,7653,9.18476326094696
BIN67,SCCOHT,Huntsman/Vanderhyden,3,ch3,7562,10.264625608164234
COV434,SCCOHT,Huntsman,1,ch10,7738,8.176100628930815
