row,symbol,uniprot,symbol_representative,n_peptides,n_unique_peptides,npeptides_quant,qvalue,cv_replicates,isoDoping,present_n_lines,present_n_plex
GATD3B,GATD3B,A0A0B4J2D5,TRUE,18,18,18,0,NA,FALSE,0,0
POTEF,POTEF,A5A3E0,TRUE,17,2,2,0,NA,FALSE,0,0
DDX11L8,DDX11L8,A8MPP1,TRUE,3,1,1,0.001,NA,FALSE,0,0
ZNF724,ZNF724,A8MTY0,TRUE,6,1,1,0,NA,FALSE,0,0
IQCJ-SCHIP1,IQCJ-SCHIP1,B3KU38,TRUE,2,2,2,0.003,NA,FALSE,0,0
RASA4B,RASA4B,C9J798,TRUE,2,1,1,0.005,NA,FALSE,0,0
MYL12B,MYL12B,O14950,TRUE,17,8,8,0,NA,FALSE,0,0
TOX3,TOX3,O15405,TRUE,7,1,1,0,NA,FALSE,0,0
HIST1H2BK,HIST1H2BK,O60814,TRUE,31,1,1,0,NA,FALSE,0,0
HBD,HBD,P02042,TRUE,2,1,1,0,NA,FALSE,0,0
KRT6B,KRT6B,P04259,TRUE,54,1,1,0,NA,FALSE,0,0
GSTM1,GSTM1,P09488,TRUE,9,2,2,0,NA,FALSE,0,0
C4A,C4A,P0C0L4,TRUE,14,14,14,0,NA,FALSE,0,0
GSTT2B,GSTT2B,P0CG30,TRUE,3,2,2,0.002,NA,FALSE,0,0
ZNF286B,ZNF286B,P0CG31,TRUE,4,1,1,0.001,NA,FALSE,0,0
UBB,UBB,P0CG47,TRUE,16,1,1,0,NA,FALSE,0,0
CT45A6,CT45A6,P0DMU7,TRUE,7,1,1,0,NA,FALSE,0,0
CSB-PGBD3,CSB-PGBD3,P0DP91,TRUE,12,1,1,0,NA,FALSE,0,0
MYH8,MYH8,P13535,TRUE,7,1,1,0,NA,FALSE,0,0
ZNF43,ZNF43,P17038,TRUE,5,1,1,0,NA,FALSE,0,0
HLA-B|P18465,HLA-B,P18465,FALSE,20,2,2,0,NA,FALSE,0,0
HLA-A|P30455,HLA-A,P30455,FALSE,26,3,3,0,NA,FALSE,0,0
HLA-A|P30456,HLA-A,P30456,FALSE,22,2,2,0,NA,FALSE,0,0
HIST1H2BB,HIST1H2BB,P33778,TRUE,30,2,2,0,NA,FALSE,0,0
DLX5,DLX5,P56178,TRUE,3,1,1,0.001,NA,FALSE,0,0
ARF3,ARF3,P61204,TRUE,13,8,8,0,NA,FALSE,0,0
MAGOH,MAGOH,P61326,TRUE,17,17,17,0,NA,FALSE,0,0
RPL39,RPL39,P62891,TRUE,3,3,3,0,NA,FALSE,0,0
ACTC1,ACTC1,P68032,TRUE,40,3,3,0,NA,FALSE,0,0
HBG1,HBG1,P69891,TRUE,3,2,2,0,NA,FALSE,0,0
CYP4F8,CYP4F8,P98187,TRUE,2,1,1,0.006,NA,FALSE,0,0
PAX5,PAX5,Q02548,TRUE,6,1,1,0,NA,FALSE,0,0
ZNF92,ZNF92,Q03936,TRUE,6,1,1,0,NA,FALSE,0,0
ZNF616,ZNF616,Q08AN1,TRUE,7,1,1,0,NA,FALSE,0,0
NACA,NACA,Q13765,TRUE,9,8,8,0,NA,FALSE,0,0
GTF2H2,GTF2H2,Q13888,TRUE,8,8,8,0,NA,FALSE,0,0
ZNF267,ZNF267,Q14586,TRUE,3,1,1,0,NA,FALSE,0,0
ZNF235,ZNF235,Q14590,TRUE,4,1,1,0,NA,FALSE,0,0
HLA-B|Q29836,HLA-B,Q29836,FALSE,25,2,2,0,NA,FALSE,0,0
HLA-DRB5,HLA-DRB5,Q30154,TRUE,6,1,1,0,NA,FALSE,0,0
HLA-B|Q31612,HLA-B,Q31612,FALSE,20,3,3,0,NA,FALSE,0,0
