gene_id,OV1369-R2,OV1946,OV2085,OV2295,OV2295-R2,OV3133-R,OV4453,OV4485,OV866-2,TOV1369,TOV3041G,TOV3133G,TOV3291G,OV3331,OV90,TOV21G,TOV3392D,VOA10816,VOA12539,VOA295,VOA4841,VOA6861,TOV112D,VOA4395,TOV2414,VOA8762,VOA8771,VOA5217,VOA5436,BIN67,COV434
ENSG00000000003,2355,2592,2762,2472,8381,4576,6851,2937,949,965,2630,3860,1813,2482,1916,5105,2336,3204,5958,9856,8995,7881,1492,2048,2233,18570,12269,1418,237,1933,1198
ENSG00000000419,1184,1951,2674,1031,2915,1363,1910,597,3189,596,1994,1545,1076,1248,2400,815,1218,2598,2576,2718,3587,6683,2233,2529,483,5975,4605,4014,9849,732,2519
ENSG00000000457,390,846,761,322,243,317,723,330,212,439,506,252,282,225,727,479,254,846,851,791,722,1020,891,344,316,1416,994,321,777,379,494
ENSG00000000460,2577,610,945,1133,1892,943,3013,617,1019,2389,3854,514,1585,1057,518,1446,209,670,590,1306,540,2903,994,478,724,1642,1947,412,551,666,5152
ENSG00000000938,0,0,6,11,0,3,2,0,0,0,1,2,2,1,0,1,2,23,2,2,1,1,0,0,28,3,2,1,0,0,1
ENSG00000000971,1,102,10,30,181,22,17,4,29,338,100,105,7,11,734,462,0,2,9,27,61,301,661,1708,157,5366,8280,224,7,3499,1262
ENSG00000001036,14870,5001,5187,8743,11300,3168,12056,8813,3357,4234,6916,2368,3546,3012,11499,13267,3609,5789,11138,10610,12895,10638,823,9617,6857,15248,13005,10317,12031,6,6
ENSG00000001084,1558,4441,1409,1053,1432,1119,4736,1665,766,497,2824,2208,772,1372,8695,1618,1096,2218,1494,3258,1915,4100,891,1499,886,5880,2713,613,1721,975,1092
ENSG00000001167,3265,2223,3386,1091,1252,900,6866,1386,2245,912,1491,1496,794,1318,1422,3261,536,2035,2410,2395,3088,2545,4251,1746,1022,3083,2385,1686,3344,1653,2181
ENSG00000001460,234,724,1118,667,993,283,588,662,144,387,1118,411,384,675,742,858,620,450,395,1151,783,548,792,334,1519,856,381,244,253,393,268
ENSG00000001461,1116,1635,2699,2587,6804,2100,1861,3303,391,2715,4918,1652,1536,2005,1191,1132,1910,1469,363,3292,6092,3055,1042,811,7320,2229,1574,421,1966,695,643
ENSG00000001497,11133,2516,1967,2585,6503,4284,4849,5466,4846,6822,10977,4597,4905,3311,1514,3430,1776,1963,3336,3756,3050,4183,4786,2588,4284,3244,4685,3217,6533,2407,3802
ENSG00000001561,126,252,641,93,998,148,1459,78,49,112,119,300,22,552,50,322,27,1149,443,1879,1378,2497,1215,3,34,1624,1275,576,3569,1808,563
ENSG00000001617,11974,54,23505,394,3847,5225,10224,7488,1156,20360,14011,9759,199,6980,272,3168,1035,729,926,1601,210,11338,940,96,1292,3342,1893,3282,12867,3293,823
ENSG00000001626,30,6,6,3,15,7,376,0,11,88,25,13,20,6,524,50,630,4,17,17,18447,20,1,10,2,2246,11915,3,18,8,28
ENSG00000001629,2967,2320,835,717,630,1856,2722,453,501,605,1031,2673,1143,1307,4224,3119,661,9992,5048,5563,4907,9108,4634,3057,946,4884,6456,4039,9243,3985,2758
ENSG00000001630,17215,2385,1889,956,1873,4617,6440,2094,1130,5485,4649,4946,2149,2279,1340,5492,2506,11190,1702,5039,16056,16744,3950,7062,10845,7096,32612,7519,8869,9131,5980
