gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol,subtype,n_group,evidence
ENSG00000164588,141.32658602673328,8.206600902868628,0.6325870834060919,12.973076937772955,1.7390646169652642e-38,3.407871023405132e-34,HCN1,EC,2,"descriptive; model-level, source-confounded"
ENSG00000180921,7673.696023402979,-11.94829928810333,1.116462976282045,-10.70192164176603,9.968907793358514e-27,6.511690570621782e-23,FAM83H,EC,2,"descriptive; model-level, source-confounded"
ENSG00000273889,7673.696023402979,-11.94829928810333,1.116462976282045,-10.70192164176603,9.968907793358514e-27,6.511690570621782e-23,FAM83H,EC,2,"descriptive; model-level, source-confounded"
ENSG00000163347,20491.0419813787,-12.257628300244885,1.190021661870572,-10.300340483699564,7.021234461589402e-25,3.439702762732648e-21,CLDN1,EC,2,"descriptive; model-level, source-confounded"
ENSG00000184292,23262.117584062813,-27.789919039477535,2.760940180494395,-10.065382522884383,7.858125711108132e-24,3.0797566286974994e-20,TACSTD2,EC,2,"descriptive; model-level, source-confounded"
ENSG00000163735,2189.9563049163016,-28.052518528568406,2.891812791700119,-9.70066893994065,2.9952832172691297e-22,9.782594987600978e-19,CXCL5,EC,2,"descriptive; model-level, source-confounded"
ENSG00000142273,2533.40994997313,-26.93298306954306,2.809620413904517,-9.585986397398932,9.157833780118729e-22,2.563670153645809e-18,CBLC,EC,2,"descriptive; model-level, source-confounded"
ENSG00000108244,1797.1000478040855,-26.45451333047646,2.838662160993306,-9.31935955394547,1.170446521398379e-20,2.2936070033322636e-17,KRT23,EC,2,"descriptive; model-level, source-confounded"
ENSG00000185187,1980.6544557740094,-6.919905804537143,0.7419391301223826,-9.326783726039233,1.091322493440813e-20,2.2936070033322636e-17,SIGIRR,EC,2,"descriptive; model-level, source-confounded"
ENSG00000263309,1797.1000478040855,-26.45451333047646,2.838662160993306,-9.31935955394547,1.170446521398379e-20,2.2936070033322636e-17,KRT23,EC,2,"descriptive; model-level, source-confounded"
ENSG00000175315,2481.6537779070636,-26.692865647701773,2.8854415727286318,-9.250877196747233,2.2265775890904668e-20,3.966546766892435e-17,CST6,EC,2,"descriptive; model-level, source-confounded"
ENSG00000111321,11180.279225259981,-8.985354375441867,0.9974771274208164,-9.008080615016567,2.09694200023787e-19,3.424306286388442e-16,LTBR,EC,2,"descriptive; model-level, source-confounded"
ENSG00000135269,6874.001960436979,-7.571310071611426,0.8497011391757232,-8.910556573992817,5.077701153003095e-19,7.654048599557588e-16,TES,EC,2,"descriptive; model-level, source-confounded"
ENSG00000134516,463.98150030332766,-24.413735110896987,2.7817293964894843,-8.77645940029497,1.6870163344578314e-18,2.3613408635739762e-15,DOCK2,EC,2,"descriptive; model-level, source-confounded"
ENSG00000132329,715.8933546907585,-25.158564983848965,2.8818161763305334,-8.73010748932772,2.544306976163654e-18,3.323882633660198e-15,RAMP1,EC,2,"descriptive; model-level, source-confounded"
ENSG00000274577,723.4933405143847,-25.07382185872879,2.8833033248751105,-8.696213694344786,3.431419517218461e-18,4.20263105371331e-15,LHX1,EC,2,"descriptive; model-level, source-confounded"
ENSG00000276194,419.05215329484804,-24.47713884006559,2.82774169331174,-8.656073112321275,4.882954935775012e-18,5.628610877732184e-15,HNF1B,EC,2,"descriptive; model-level, source-confounded"
ENSG00000086548,484.7326726934037,-24.637178151339857,2.8517787103454135,-8.639232091172932,5.6592106226632525e-18,5.8367311243004794e-15,CEACAM6,EC,2,"descriptive; model-level, source-confounded"
ENSG00000174721,1705.171547695216,7.550511030469351,0.8738406942342655,8.640603579449637,5.591681937265579e-18,5.8367311243004794e-15,FGFBP3,EC,2,"descriptive; model-level, source-confounded"
ENSG00000106541,1870.2139077818615,-26.49858869650478,3.072409605071611,-8.624692701377997,6.426498314095428e-18,6.2966830481507e-15,AGR2,EC,2,"descriptive; model-level, source-confounded"
ENSG00000125618,13764.054585076396,-13.294265188171934,1.5506075211063195,-8.573584873809208,1.0031254214647837e-17,9.360593218582811e-15,PAX8,EC,2,"descriptive; model-level, source-confounded"
ENSG00000205420,604.8801256585144,-24.947410085702558,2.9215289759489984,-8.539162298603904,1.3519837113682104e-17,1.2042487639987023e-14,KRT6A,EC,2,"descriptive; model-level, source-confounded"
ENSG00000148702,412.8002562573106,-24.290699223846318,2.8642180123814254,-8.480743825659436,2.2375879112802815e-17,1.9064249004107998e-14,HABP2,EC,2,"descriptive; model-level, source-confounded"
ENSG00000167642,67421.33936017983,-9.644805152957174,1.144589559048119,-8.4264311837495125,3.5636723586893316e-17,2.909738480869839e-14,SPINT2,EC,2,"descriptive; model-level, source-confounded"
ENSG00000060718,5380.340966023499,12.418174178533388,1.4912428453995068,8.327398999326991,8.263785365412186e-17,6.349927944555854e-14,COL11A1,EC,2,"descriptive; model-level, source-confounded"
ENSG00000101160,14115.109022374561,-10.816010232628358,1.299203383182228,-8.325109349804771,8.425093210780373e-17,6.349927944555854e-14,CTSZ,EC,2,"descriptive; model-level, source-confounded"
ENSG00000169594,441.054935355044,-24.454708822131995,2.939844859341603,-8.318367122137452,8.918340795398841e-17,6.47273356394947e-14,BNC1,EC,2,"descriptive; model-level, source-confounded"
ENSG00000105974,9426.976431195162,-11.205201072887471,1.3482845272008332,-8.310709532616631,9.513152646022653e-17,6.657847830409283e-14,CAV1,EC,2,"descriptive; model-level, source-confounded"
ENSG00000188643,16533.83571347625,-10.835973286753283,1.3098677708226905,-8.272570352614691,1.3110145571672811e-16,8.858841814568981e-14,S100A16,EC,2,"descriptive; model-level, source-confounded"
ENSG00000170477,491.5964654162369,-24.388098757174436,2.9937494599869594,-8.146339258890645,3.751068058061655e-16,2.4501976555258733e-13,KRT4,EC,2,"descriptive; model-level, source-confounded"
ENSG00000167644,7538.884296074361,-11.862372665422699,1.4588254469220145,-8.131454445390432,4.2416993039322375e-16,2.681301276124391e-13,C19orf33,EC,2,"descriptive; model-level, source-confounded"
ENSG00000170421,134536.76443525378,-11.396258376742685,1.406448771411671,-8.10286062911777,5.368172368786787e-16,3.2873345543358084e-13,KRT8,EC,2,"descriptive; model-level, source-confounded"
ENSG00000050327,2951.5781674110344,-13.94602619424132,1.770403761259026,-7.87731392093495,3.344937874524994e-15,1.9862849269452056e-12,ARHGEF5,EC,2,"descriptive; model-level, source-confounded"
ENSG00000013588,20825.82481906568,-11.452929099827854,1.460789856837914,-7.840230438496702,4.4972035936636325e-15,2.5919765182774277e-12,GPRC5A,EC,2,"descriptive; model-level, source-confounded"
ENSG00000197632,201.60137441525674,-23.45247200444986,2.99749924231731,-7.824012654735217,5.116566066527551e-15,2.864692246847825e-12,SERPINB2,EC,2,"descriptive; model-level, source-confounded"
ENSG00000129538,246.06193747894164,-23.724712324854888,3.0363003906624204,-7.813690765846438,5.553725392196329e-15,3.023077855152202e-12,RNASE1,EC,2,"descriptive; model-level, source-confounded"
ENSG00000007038,467.49057151505514,-24.603540553747642,3.1560326810364647,-7.79571792826545,6.404330436703896e-15,3.302612085201304e-12,PRSS21,EC,2,"descriptive; model-level, source-confounded"
ENSG00000282838,467.49057151505514,-24.603540553747642,3.1560326810364647,-7.79571792826545,6.404330436703896e-15,3.302612085201304e-12,PRSS21,EC,2,"descriptive; model-level, source-confounded"
ENSG00000102243,794.1449716224994,-24.8800616796025,3.197654453340534,-7.7807224147095475,7.21115661914723e-15,3.623328848943824e-12,VGLL1,EC,2,"descriptive; model-level, source-confounded"
ENSG00000107611,393.92530325961206,7.414075804516641,0.9536628809136629,7.774315172478494,7.585665851821767e-15,3.716217700807484e-12,CUBN,EC,2,"descriptive; model-level, source-confounded"
ENSG00000021355,2504.9984081596604,-9.2296627751569,1.1942325352512833,-7.728530669460324,1.0879497494734297e-14,5.199869095288129e-12,SERPINB1,EC,2,"descriptive; model-level, source-confounded"
ENSG00000164400,166.6133892583549,-23.223246433992596,3.010483164675202,-7.714125993625388,1.2181409250880481e-14,5.6834975161965215e-12,CSF2,EC,2,"descriptive; model-level, source-confounded"
ENSG00000118298,456.04194261574196,6.883150634047097,0.8939573906110171,7.699640616363701,1.3644944314606287e-14,6.218286716023833e-12,CA14,EC,2,"descriptive; model-level, source-confounded"
ENSG00000173376,241.199555037854,10.074079603088311,1.3130718469274578,7.67214652165554,1.6914157725899973e-14,7.532950790834906e-12,NDNF,EC,2,"descriptive; model-level, source-confounded"
