gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol,subtype,n_group,evidence
ENSG00000156521,2384.3754570978526,-6.525149686310592,0.6211005802346327,-10.505785848478183,8.124328445602412e-26,1.5920434022002487e-21,TYSND1,MMMT,2,"descriptive; model-level, source-confounded"
ENSG00000163735,2189.9563049163016,-27.877637879684034,2.895141168726597,-9.62911176174037,6.0247999774619e-22,5.903099017917169e-18,CXCL5,MMMT,2,"descriptive; model-level, source-confounded"
ENSG00000073756,750.797716897191,-25.014990308515657,2.743905349136431,-9.116564576977277,7.75434038382604e-20,5.06513513871517e-16,PTGS2,MMMT,2,"descriptive; model-level, source-confounded"
ENSG00000166670,739.2660605547026,-25.371762203788062,2.8513388757049793,-8.898192501764639,5.676350442591016e-19,2.6780083071632812e-15,MMP10,MMMT,2,"descriptive; model-level, source-confounded"
ENSG00000235941,6986.278228219604,-28.401306309197142,3.199217042106172,-8.877580337750212,6.833048344466425e-19,2.6780083071632812e-15,HSPA1A,MMMT,2,"descriptive; model-level, source-confounded"
ENSG00000240583,10248.88187164125,10.428528668578435,1.2121463863293835,8.603357470839855,7.7417376034989055e-18,2.5284515013027424e-14,AQP1,MMMT,2,"descriptive; model-level, source-confounded"
ENSG00000108244,1797.1000478040855,-24.2547726193126,2.8429250062475635,-8.531625901496074,1.4430505087959784e-17,3.534752221295749e-14,KRT23,MMMT,2,"descriptive; model-level, source-confounded"
ENSG00000263309,1797.1000478040855,-24.2547726193126,2.8429250062475635,-8.531625901496074,1.4430505087959784e-17,3.534752221295749e-14,KRT23,MMMT,2,"descriptive; model-level, source-confounded"
ENSG00000198093,521.8505210239238,-5.451713229281442,0.6450023850295383,-8.452237318520577,2.857729786249709e-17,6.222230321261034e-14,ZNF649,MMMT,2,"descriptive; model-level, source-confounded"
ENSG00000139329,436.2243614497798,-24.628579087756922,2.974493345840243,-8.279924082600283,1.2325383193187673e-16,2.415282090537056e-13,LUM,MMMT,2,"descriptive; model-level, source-confounded"
ENSG00000156253,1091.8128689504626,-10.104907267818044,1.234706938943628,-8.184053194406964,2.744528349340748e-16,4.889252503061935e-13,RWDD2B,MMMT,2,"descriptive; model-level, source-confounded"
ENSG00000268916,231.74982569780136,-23.43252093347884,2.8690379402355597,-8.167379247537918,3.1516094006288036e-16,5.146578151226837e-13,CSAG3,MMMT,2,"descriptive; model-level, source-confounded"
ENSG00000170315,32868.70884526349,-17.488907674934104,2.172021522619798,-8.05190348843309,8.151617759523987e-16,1.2287623201202465e-12,UBB,MMMT,2,"descriptive; model-level, source-confounded"
ENSG00000114200,831.5036673228334,-25.484049445336154,3.2038983558935636,-7.954075508812039,1.804740373012037e-15,2.526120882110277e-12,BCHE,MMMT,2,"descriptive; model-level, source-confounded"
ENSG00000260549,503.73406719376527,-24.8640829635282,3.1328796308036178,-7.936494820629381,2.0797504843895146e-15,2.716986032806462e-12,MT1L,MMMT,2,"descriptive; model-level, source-confounded"
ENSG00000188293,173.93433977140035,-23.05821119231031,2.911631708367147,-7.9193433448495565,2.3876818065274937e-15,2.924313292544548e-12,IGFL1,MMMT,2,"descriptive; model-level, source-confounded"
ENSG00000198759,235.49454226416032,-23.57289890003018,2.9972343461491833,-7.86488348177259,3.694411569368407e-15,4.2585699478437236e-12,EGFL6,MMMT,2,"descriptive; model-level, source-confounded"
ENSG00000206501,317.6622696920985,-24.226663159699797,3.092907113522385,-7.832974696776148,4.764602285558235e-15,5.1870636882110656e-12,PPP1R11,MMMT,2,"descriptive; model-level, source-confounded"
ENSG00000102243,794.1449716224994,-24.98989481996762,3.2036263289550475,-7.800502385095197,6.166120211303977e-15,6.3595416663533025e-12,VGLL1,MMMT,2,"descriptive; model-level, source-confounded"
ENSG00000197632,201.60137441525674,-23.292357766250227,3.001548148225486,-7.760114652840287,8.48526412469633e-15,8.313861789377464e-12,SERPINB2,MMMT,2,"descriptive; model-level, source-confounded"
ENSG00000164400,166.6133892583549,-23.30912662450925,3.014356781528237,-7.732703297547892,1.0528649076804445e-14,9.824733681383805e-12,CSF2,MMMT,2,"descriptive; model-level, source-confounded"
ENSG00000237599,1324.328290059529,-29.99011250584973,3.885120028022046,-7.719224191155298,1.1703988462513596e-14,1.0425061723246202e-11,TAP2,MMMT,2,"descriptive; model-level, source-confounded"
ENSG00000235657,10703.233905328992,-28.995166842060584,3.7873564274935703,-7.655779802390888,1.9214270986363784e-14,1.6370558880381945e-11,HLA-A,MMMT,2,"descriptive; model-level, source-confounded"
ENSG00000168702,252.8160328283626,-23.580585142149232,3.1257336670576117,-7.544016110734942,4.557148053901087e-14,3.6094142303945967e-11,LRP1B,MMMT,2,"descriptive; model-level, source-confounded"
ENSG00000206478,1615.5792190295695,-24.96866634207462,3.3103261071843595,-7.542660612163084,4.6047844335509756e-14,3.6094142303945967e-11,IER3,MMMT,2,"descriptive; model-level, source-confounded"
ENSG00000239927,405.0219676030097,-24.41896543326956,3.2745046641098647,-7.457300550191021,8.831310089543718e-14,6.656090481334566e-11,RPP21,MMMT,2,"descriptive; model-level, source-confounded"
ENSG00000172936,2547.865549194864,-8.799271763704729,1.1838155431768673,-7.432975360410586,1.0618168634805942e-13,7.706430835839158e-11,MYD88,MMMT,2,"descriptive; model-level, source-confounded"
ENSG00000132965,261.2490484082037,-23.95538094599423,3.229741693551919,-7.417119763422696,1.196947058640269e-13,8.376919486112398e-11,ALOX5AP,MMMT,2,"descriptive; model-level, source-confounded"
ENSG00000227715,10012.773837446872,-15.774047783675169,2.134357342063552,-7.390537410396522,1.4623654728302861e-13,9.881556484683548e-11,HLA-A,MMMT,2,"descriptive; model-level, source-confounded"
ENSG00000115263,759.5600815040121,-25.394228177463418,3.443147191760527,-7.375295554669276,1.6398086007393136e-13,1.0354824575891388e-10,GCG,MMMT,2,"descriptive; model-level, source-confounded"
ENSG00000206287,692.5538134037515,-23.380310234987565,3.17184380777794,-7.37120477926901,1.6909286917152706e-13,1.0354824575891388e-10,RING1,MMMT,2,"descriptive; model-level, source-confounded"
ENSG00000235107,692.5538134037515,-23.380310234987565,3.17184380777794,-7.37120477926901,1.6909286917152706e-13,1.0354824575891388e-10,RING1,MMMT,2,"descriptive; model-level, source-confounded"
