pathway,pval,padj,log2err,ES,NES,size,leadingEdge,subtype,n_group,evidence,go_id,term
GO:0032543 mitochondrial translation,3.144109397535689e-33,1.9119329246414524e-29,1.4954793262997708,0.7041743015994023,3.487585512362934,129,MRPL2;MRPL11;MRPL21;MRPL14;MRPL51;MRPL37;AURKAIP1;MRPS18A;MRPL12;GATC;MRPL48;MRPL20;TARS2;MRPS22;MRPL9;MRPL55;MRPL35;MRPL4;MRPS2;MRPS33;MRPS14;MRPS16;MRPL49;MRPL36;MRPS23;MRPL52;NGRN;MRPL3;SHMT2;DAP3;MRPL46;UQCC2;MRPS6;ALKBH1;TACO1;MRPL22;MRPL41;MRPS24;TSFM;MRPS11;GADD45GIP1;YARS2;MRPL58;MRPS17;CHCHD1;TRUB2;CDK5RAP1;MRPS34;MRPS15;MRPS12;MRPL53;MRPS18B;MRPS18C;MRPL34;MRPL54;MPV17L2;MRPL24;MRPS5;MRPL15;MRPL18;MRPS7;AARS2;MRPS30;MRPS26;MRPL38;MRPL27;DARS2;GATB;MRPS21;RARS2;TUFM;MRPL28;RCC1L;MRPL47;MRPL57;MRPL17;C1QBP;MRPS10;MRPL43;MRPL45;QRSL1;MRPL30;MTG2;MRPL23;RPUSD3;MRPL33;MRPL13,HGS,15,"descriptive; model-level, source-confounded",GO:0032543,mitochondrial translation
GO:0140053 mitochondrial gene expression,1.439490196108279e-32,4.376769941267223e-29,1.4815675883363268,0.6387864150425953,3.298433627208024,171,MRPL2;MRPL11;MRPL21;MRPL14;MRPL51;MRPL37;HSD17B10;AURKAIP1;MRPS18A;MRPL12;GATC;MRPL48;MRPL20;TARS2;MRPS22;MRPL9;MRPL55;MRPL35;MRPL4;MRPS2;MRPS33;MRPS14;MRPS16;MRPL49;MRPL36;MRPS23;MRPL52;NGRN;MRPL3;SHMT2;SLC25A33;DAP3;MRPL46;UQCC2;MRPS6;ALKBH1;TACO1;MRPL22;MRPL41;MRPS24;TSFM;MRPS11;POLR3A;GADD45GIP1;YARS2;SUPV3L1;MRPL58;MRPS17;CHCHD1;TRUB2;CDK5RAP1;MRPS34;MRPS15;TBRG4;MRPS12;MRPL53;MRPS18B;MRPS18C;MRPL34;MRPL54;MPV17L2;TWNK;MRPL24;MRPS5;MRPL15;MRPL18;MRPS7;AARS2;MRPS30;FASTKD5;MRPS26;POLR1A;MRPL38;THAP11;MRPL27;DARS2;GATB;MRPS21;RARS2;TUFM;MRPL28;RCC1L;PPARGC1B;MRPL47;MRPL57;MRPL17;ELAC2;C1QBP;MRPS10;MRPL43;PUS1;MRPL45;FASTK;QRSL1;MRPL30;MTG2;MRPL23;CHCHD10;KAT8;RPUSD3;MRPL33;MRPL13,HGS,15,"descriptive; model-level, source-confounded",GO:0140053,mitochondrial gene expression
GO:0022613 ribonucleoprotein complex biogenesis,8.151557259556106e-32,1.6523206565120228e-28,1.4675239767129606,0.4687494425245927,2.710079081349249,448,ISG20L2;ISY1;PUF60;POP7;EXOSC4;ABT1;WDR74;PRPF19;RUVBL1;BYSL;SNRPG;RRP36;NOP2;RPL35A;USP39;SF3B2;SART1;MRPS2;SNRPC;RPL7L1;EMG1;SF3B4;EIF4A3;CLP1;RPS17;FAU;NHP2;SUV39H1;RPS27A;RPP30;SNRPB;RPL35;LSG1;TSR2;NOC2L;RPUSD2;DDX49;NOP16;DDX39B;SF3A3;NGRN;PNO1;RRP1;SF3B5;DDX47;EXOSC5;MRTO4;GRWD1;BOP1;NOP9;RPS27;IMP4;DDX56;PRPF31;RUVBL2;LSM2;PRMT5;RBM10;POP4;AGO2;WDR77;TRMT112;GEMIN7;RPUSD1;TSSC4;EXOSC1;RPL26L1;RPL24;UTP14A;GEMIN6;AAR2;U2AF2;MCTS1;ZNF622;DKC1;HSP90AB1;RPSA;GNL3L;NSUN5;YJU2;GTF3A;RAN;EIF3I;LSM4;GEMIN4;PPAN;SNRPD2;RPS14;CDKN2A;TSR3;UTP4;ZNF593;BUD13;EIF3K;LAS1L;FBL;TXNL4A;RPLP0P6;PA2G4;SNIP1;WBP11;URB2;NOP10;MPV17L2;SRSF9;IMP3;POP5;RBMX2;RPS5;RPL38;TRMT2B;PRPF6;SNRNP200;RPS8;NOL7;MRPS7;DHX37;PIN4;RPS12;RPLP0;EIF3CL;EIF6;DDX28;XAB2;RPS7;NOC4L;REXO4;RPS25;EBNA1BP2;NSUN4;RPS28;RPL5;WDR46;DDX54;NOL6;TARBP2;SF3B3;RPL7A;EXOSC3;RPP25;ERAL1;RPS9;TBL3;RPP38;PHF5A;DDX23;EIF4H;LSM6;CELF4;CD2BP2;RCC1L;PRMT7;SF1;RPS15A;MRM3;RRP8;AATF;NOP56;RPS3A;CINP;USP4;NOL9;STRAP;NOP14;RPS21;C1QBP;NUDT16;RPS11;EIF3B;USP36;BUD23;PTGES3;RPL11;ERCC2;SNRPE;RPL13A;EXOSC2;RCL1;RPS6;PES1;RPP40;RPL26;MTG2;ADAR;PRKRA;RPS15;EIF3G;RPS19;RPS23;PDCD11;PELP1;RPS19BP1;MCAT;GEMIN5;RRP9;PIH1D1;FTSJ3;SURF6;UTP25;NAT10;PWP1;PRPF8;NOLC1;NPM3;RRP7A;SNU13;RBFA;SNRPB2;NIP7;DDX31;AGO1;SF3B6;SIRT7;METTL17;RPL27;SNRPA1;PRPF3;RRS1;PAK1IP1;SF3A2;METTL5;SART3;NGDN;NUP88;EIF2D;MRM2;SF3A1;RPS24;MYBBP1A;EIF3H;DHX30;SNRPF;XRCC5;YTHDF2;CLNS1A;GAR1,HGS,15,"descriptive; model-level, source-confounded",GO:0022613,ribonucleoprotein complex biogenesis
GO:0002181 cytoplasmic translation,5.319922750844383e-25,8.087612561971173e-22,1.2951230874100392,0.5978292885034258,3.067181430053386,164,YBX1;RBM4;RPL35A;RPS10;EIF4G1;RPS17;FAU;RPL39;RPS27A;RPL35;EEF1D;RPL8;RPL37;RPS27;RPL22;RPL36A;EIF2B3;RPL21;RPL10A;RPS18;EIF2B5;RPL26L1;PKP1;RPL24;EIF2B2;RPL15;MCTS1;RPSA;FTSJ1;PKM;RPL18A;RPS29;ALKBH3;EIF3I;EIF4A1;RPL30;RPS14;EIF3K;CNBP;RPLP0P6;RPL37A;RPL41;UBA52;RPS5;RPL38;RPL36;RPL10;RPS8;RPS2;YBX3;RPS12;RPLP0;EIF3CL;RPS3;RPS7;RPL4;RPL12;RPS25;RPL6;RPL9;RPS28;RPL5;RPL7A;RPS9;RPL32;RPS20;EIF4H;RPLP1;RPS26;RPLP2;RPS15A;RPL31;RPS3A;EIF2B4;DRG1;EIF2B1;MTOR;RPS21;RPS11;EIF3B;RPL34;RPL11;RPL13A;RPS6;RPL18;RPL26;RPS15;SMYD5;SLBP;EIF3G;RPS19;METTL3;RPS23;RBM24;RPL28;RPL13;AKT2;RACK1,HGS,15,"descriptive; model-level, source-confounded",GO:0002181,cytoplasmic translation
GO:0042254 ribosome biogenesis,3.0231355729455006e-24,3.676737483816318e-21,1.2790339772504933,0.48606391303194585,2.7004477684179578,304,ISG20L2;POP7;EXOSC4;ABT1;WDR74;BYSL;RRP36;NOP2;RPL35A;SART1;MRPS2;RPL7L1;EMG1;EIF4A3;RPS17;FAU;NHP2;SUV39H1;RPS27A;RPP30;RPL35;LSG1;TSR2;NOC2L;RPUSD2;DDX49;NOP16;NGRN;PNO1;RRP1;DDX47;EXOSC5;MRTO4;GRWD1;BOP1;NOP9;RPS27;IMP4;DDX56;RBM10;POP4;TRMT112;RPUSD1;EXOSC1;RPL26L1;RPL24;UTP14A;ZNF622;DKC1;RPSA;GNL3L;NSUN5;GTF3A;RAN;GEMIN4;PPAN;RPS14;CDKN2A;TSR3;UTP4;ZNF593;LAS1L;FBL;RPLP0P6;PA2G4;WBP11;URB2;NOP10;MPV17L2;IMP3;POP5;RPS5;RPL38;TRMT2B;RPS8;NOL7;MRPS7;DHX37;PIN4;RPS12;RPLP0;EIF6;DDX28;RPS7;NOC4L;REXO4;RPS25;EBNA1BP2;NSUN4;RPS28;RPL5;WDR46;DDX54;NOL6;RPL7A;EXOSC3;RPP25;ERAL1;RPS9;TBL3;RPP38;LSM6;RCC1L;RPS15A;MRM3;RRP8;AATF;NOP56;RPS3A;CINP;NOL9;NOP14;RPS21;C1QBP;NUDT16;RPS11;USP36;BUD23;RPL11;ERCC2;EXOSC2;RCL1;RPS6;PES1;RPP40;RPL26;MTG2;RPS15;RPS19;RPS23;PDCD11;PELP1;RPS19BP1;MCAT;RRP9;PIH1D1;FTSJ3;SURF6;UTP25;NAT10;PWP1;NOLC1;NPM3;RRP7A;SNU13;RBFA;NIP7;DDX31;SIRT7;METTL17;RPL27;RRS1;PAK1IP1;METTL5;NGDN;NUP88;MRM2;RPS24;MYBBP1A;DHX30;XRCC5;YTHDF2;GAR1,HGS,15,"descriptive; model-level, source-confounded",GO:0042254,ribosome biogenesis
GO:0009060 aerobic respiration,1.2160911297568663e-23,1.232508360008584e-20,1.2627398854791587,0.561140422884324,2.937271916823756,188,CYC1;COX7A2;COX7B;NDUFB9;SDHAF2;COX8A;NDUFA9;NDUFB11;NDUFS6;UQCC3;MFN2;NDUFS8;MDH2;NDUFB4;ATP5F1B;CHCHD2;ATP5MF;SDHC;COX5A;COX5B;NDUFS3;NDUFV1;SHMT2;OGDH;SLC25A33;PARK7;UQCC2;COX6A1;NDUFA8;NDUFB7;STOML2;NDUFS5;UQCRFS1P1;UQCRFS1;COX7A2L;NDUFA11;ATP5PF;NDUFB2;SDHB;ATP5ME;UQCRC1;ATP5PO;PDHA1;COX6B1;COX4I1;PPIF;NDUFA1;DLST;UQCRQ;NDUFA10;COA6;SUCLG1;AK4;NDUFS7;NDUFA13;IDH2;ARL2;UQCR10;CS;NDUFC2;ATP5MG;COQ9;NDUFB5;FH;UQCRH;NDUFS2;IDH3B;ATP5PB;NDUFAB1;PDHB;GHITM;NDUFA7;IDH3G;ATP5F1C;UQCR11;ATP5F1A;NDUFB8;VCP;NDUFV3;NDUFB10;MT-ND3;NDUFA2;NDUFB3;ATP5PD;ATP5F1E;CHCHD10;FXN;NDUFA3;NDUFB1;NUPR1;NDUFA12;SLC25A51;NDUFB6;ABCD1;COX7C;ADSL;DGUOK;NDUFC2-KCTD14;BID;TNF;DNAJC30;NDUFA4;NDUFAF1;RHOA;SURF1;CCNB1;BLOC1S1;COX10;UQCRB;ME3;ATP5F1D;BNIP3;IDH1,HGS,15,"descriptive; model-level, source-confounded",GO:0009060,aerobic respiration
GO:0006119 oxidative phosphorylation,3.7953948836877444e-23,3.2971137553864534e-20,1.2462327719164756,0.6124565563412097,3.0725112307884066,140,CYC1;COX7A2;COX7B;NDUFB9;SDHAF2;COX8A;NDUFA9;NDUFB11;NDUFS6;UQCC3;NDUFS8;NDUFB4;ATP5F1B;CHCHD2;ATP5MF;SDHC;COX5A;COX5B;NDUFS3;NDUFV1;SHMT2;SLC25A33;PARK7;UQCC2;COX6A1;NDUFA8;NDUFB7;STOML2;NDUFS5;UQCRFS1P1;UQCRFS1;COX7A2L;NDUFA11;ATP5PF;NDUFB2;SDHB;ATP5ME;UQCRC1;ATP5PO;COX6B1;COX4I1;PPIF;NDUFA1;UQCRQ;NDUFA10;COA6;AK4;NDUFS7;NDUFA13;UQCR10;NDUFC2;ATP5MG;COQ9;NDUFB5;UQCRH;NDUFS2;ATP5PB;NDUFAB1;GHITM;NDUFA7;ATP5F1C;UQCR11;ATP5F1A;NDUFB8;VCP;NDUFV3;NDUFB10;MT-ND3;NDUFA2;NDUFB3;ATP5PD;ATP5F1E;CHCHD10;FXN;NDUFA3;NDUFB1;NUPR1;NDUFA12;SLC25A51;NDUFB6;ABCD1;COX7C;DGUOK;NDUFC2-KCTD14;BID;TNF;DNAJC30;NDUFA4;NDUFAF1;RHOA;CCNB1;UQCRB;ATP5F1D,HGS,15,"descriptive; model-level, source-confounded",GO:0006119,oxidative phosphorylation
GO:0045333 cellular respiration,6.535760469122112e-22,4.967994926591446e-19,1.2125445676906186,0.509963099005083,2.742624412826952,229,CYC1;COX7A2;COX7B;NDUFB9;SDHAF2;COX8A;NDUFA9;PRELID1;NDUFB11;NDUFS6;UQCC3;MFN2;NDUFS8;MDH2;NDUFB4;ATP5F1B;CHCHD2;ATP5MF;SDHC;COX5A;COX5B;NDUFS3;NDUFV1;SHMT2;OGDH;SLC25A33;PARK7;UQCC2;COX6A1;NDUFA8;NDUFB7;STOML2;NDUFS5;UQCRFS1P1;UQCRFS1;COX7A2L;NDUFA11;ATP5PF;NDUFB2;SDHB;ATP5ME;UQCRC1;ATP5PO;PDHA1;CISD1;COX6B1;COX4I1;PPIF;NDUFA1;DLST;UQCRQ;NDUFA10;COA6;SUCLG1;AK4;SLC35A4;NDUFS7;NDUFA13;IDH2;ARL2;UQCR10;CS;NDUFC2;ATP5MG;COQ9;NDUFB5;FH;UQCRH;NDUFS2;IDH3B;ATP5PB;NDUFAB1;PDHB;GHITM;TRAP1;NDUFA7;IDH3G;ATP5F1C;UQCR11;ATP5F1A;NDUFB8;VCP;CYP1A2;NDUFV3;TREX1;NDUFB10;IFNLR1;MT-ND3;NDUFA2;IL10RB;NDUFB3;ATP5PD;ATP5F1E;CHCHD10;FXN;NDUFA3;NDUFB1;NUPR1;NDUFA12;SLC25A51;AIFM2;CHCHD4;NDUFB6;ABCD1;COX7C;ADSL;DGUOK;NDUFC2-KCTD14;BID;TNF;DNAJC30;NDUFA4;NDUFAF1;RHOA;SURF1;CCNB1;BLOC1S1;SCO2;ETFB;COX10;UQCRB;ME3;ATP5F1D;BNIP3;IDH1;HCCS;SLC25A13;CHCHD5;NDUFC1,HGS,15,"descriptive; model-level, source-confounded",GO:0045333,cellular respiration
GO:0015980 energy derivation by oxidation of organic compounds,9.624264407815177e-22,6.502794651547121e-19,1.2039752407526414,0.45335438016323304,2.53779637117208,324,CYC1;COX7A2;COX7B;NDUFB9;SDHAF2;COX8A;NDUFA9;PRELID1;NDUFB11;NDUFS6;UQCC3;MFN2;NDUFS8;MDH2;NDUFB4;NHLRC1;ATP5F1B;PPP1CA;GYG1;CHCHD2;ATP5MF;SDHC;AKT1;GSK3B;COX5A;COX5B;NDUFS3;NDUFV1;SHMT2;OGDH;SLC25A33;PARK7;PPP1R3F;UQCC2;COX6A1;NDUFA8;NDUFB7;STOML2;NDUFS5;UQCRFS1P1;UQCRFS1;COX7A2L;STK40;NDUFA11;ATP5PF;ATG3;NDUFB2;SDHB;WDR45B;ATP5ME;UQCRC1;ATP5PO;PDHA1;CISD1;COX6B1;COX4I1;PPIF;NDUFA1;DLST;WDR45;INPP5K;UQCRQ;NDUFA10;COA6;SUCLG1;AK4;SLC35A4;WIPI2;NDUFS7;NDUFA13;IGF1;IDH2;ARL2;UQCR10;CS;GCK;NDUFC2;ATP5MG;COQ9;NDUFB5;FH;UQCRH;NDUFS2;IDH3B;ATP5PB;MT3;NDUFAB1;PPP1R2;PDHB;GHITM;GRB10;GFPT2;TRAP1;NDUFA7;IDH3G;ATP5F1C;RUBCNL;UQCR11;ATP5F1A;PHKG2;NDUFB8;VCP;CYP1A2;NDUFV3;MTOR;TREX1;NDUFB10;IFNLR1;MT-ND3;NDUFA2;PTGES3;IL10RB;NDUFB3;ATP5PD;DYRK2;ATP5F1E;CHCHD10;FXN;NDUFA3;NDUFB1;NUPR1;NDUFA12;SLC25A51;AIFM2;CHCHD4;NDUFB6;ABCD1;COX7C;ADSL;AKT2;DGUOK;NDUFC2-KCTD14;GSK3A;IRS2;BID;TNF;DNAJC30;NDUFA4;NDUFAF1;IGF2;RHOA;SURF1;CCNB1;BLOC1S1;SCO2;ETFB;COX10;UQCRB;ME3;ATP5F1D;BNIP3;IDH1;TP53;HCCS;SLC25A13;CHCHD5;PYGB;NDUFC1,HGS,15,"descriptive; model-level, source-confounded",GO:0015980,energy derivation by oxidation of organic compounds
GO:0007005 mitochondrion organization,6.226991213639056e-21,3.4423939609217364e-18,1.1866509527928102,0.41565452761364685,2.387840268452239,422,COX7A2;JTB;HSD17B10;NDUFB9;SDHAF2;PARL;DMAC1;TIMM10;NDUFA9;PRELID1;CHCHD3;SIVA1;NDUFB11;UQCC3;MFN2;NDUFS8;NDUFB4;COX17;TIMMDC1;SSBP1;CHCHD2;MTX1;MTCH1;ATAD3A;PHB2;COA4;TOMM40;BAK1;AKT1;GSK3B;TMEM223;NDUFS3;TOMM5;DNAJC11;VDAC2;ACAD9;EYA2;SLC25A33;TOMM6;PARK7;UQCC2;NDUFA8;NDUFB7;STOML2;NDUFS5;UQCRFS1;HTRA2;COX7A2L;NDUFA11;TACO1;ATG3;RAB5IF;NDUFB2;HIGD2A;POLDIP2;MTCH2;NDUFAF5;SQSTM1;PEX5;HSPA1A;NAIF1;BAD;TIMM8A;SLC25A5;SUPV3L1;SHARPIN;PARP1;FAM162A;PPIF;NDUFA1;ALKBH7;TMEM11;NDUFA10;TIMM8B;SLIRP;ENDOG;FMC1;LMNA;CHCHD7;FIS1;NDUFAF4;NDUFS7;TWNK;NDUFA13;IGF1;COX14;SIRT5;MTFP1;PGAM5;BCL2L10;CHCHD6;RALA;NDUFAF8;ATPAF1;CEP89;ATAD3B;DNAJA3;ROMO1;NDUFC2;RAB32;NDUFAF6;NDUFB5;INF2;GCLM;NDUFS2;STMP1;NDUFAB1;TMEM177;GHITM;AFG3L2;SDHAF1;RCC1L;TIMM22;P2RX7;LONP1;SAMM50;TIMM13;NDUFB8;ECSIT;GABPB1;NDUFB10;CLUH;TOMM22;NDUFA2;TMEM186;NDUFB3;BCS1L;PRKACA;UCP2;GCLC;CHCHD10;FXN;MMP9;NDUFA3;UQCC1;MUL1;ZNF205;NDUFB1;PET100;SLC25A6;FOXRED1;SIRT4;NDUFA12;IMMT;PRMT6;CTCF;PISD;TMEM102;PIM2;AIFM2;CHCHD4;IFI27;NDUFB6;MIGA2;NDUFAF3;AGK;RTL10;BMF;ATAD3C;GSK3A;FZD9;BID;PSMD10;RAB38;FANCG;AURKA;NDUFAF1;APOO;COX16;ADCK1;CNP;MIEF1;COA1;SURF1;AIFM1;CLPP;SIRT7;SCO2;COX10;TIMM29;ATP5F1D;PLSCR3;BNIP3;TP53;TIMM50;TRIAP1;TIMM10B;NDUFC1;EDNRA;MGME1,HGS,15,"descriptive; model-level, source-confounded",GO:0007005,mitochondrion organization
