cell_line,subtype,HALLMARK_TNFA_SIGNALING_VIA_NFKB,HALLMARK_HYPOXIA,HALLMARK_CHOLESTEROL_HOMEOSTASIS,HALLMARK_MITOTIC_SPINDLE,HALLMARK_WNT_BETA_CATENIN_SIGNALING,HALLMARK_TGF_BETA_SIGNALING,HALLMARK_IL6_JAK_STAT3_SIGNALING,HALLMARK_DNA_REPAIR,HALLMARK_G2M_CHECKPOINT,HALLMARK_APOPTOSIS,HALLMARK_NOTCH_SIGNALING,HALLMARK_ADIPOGENESIS,HALLMARK_ESTROGEN_RESPONSE_EARLY,HALLMARK_ESTROGEN_RESPONSE_LATE,HALLMARK_ANDROGEN_RESPONSE,HALLMARK_MYOGENESIS,HALLMARK_PROTEIN_SECRETION,HALLMARK_INTERFERON_ALPHA_RESPONSE,HALLMARK_INTERFERON_GAMMA_RESPONSE,HALLMARK_APICAL_JUNCTION,HALLMARK_APICAL_SURFACE,HALLMARK_HEDGEHOG_SIGNALING,HALLMARK_COMPLEMENT,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,HALLMARK_PI3K_AKT_MTOR_SIGNALING,HALLMARK_MTORC1_SIGNALING,HALLMARK_E2F_TARGETS,HALLMARK_MYC_TARGETS_V1,HALLMARK_MYC_TARGETS_V2,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_XENOBIOTIC_METABOLISM,HALLMARK_FATTY_ACID_METABOLISM,HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK_GLYCOLYSIS,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,HALLMARK_P53_PATHWAY,HALLMARK_UV_RESPONSE_UP,HALLMARK_UV_RESPONSE_DN,HALLMARK_ANGIOGENESIS,HALLMARK_HEME_METABOLISM,HALLMARK_COAGULATION,HALLMARK_IL2_STAT5_SIGNALING,HALLMARK_BILE_ACID_METABOLISM,HALLMARK_PEROXISOME,HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_SPERMATOGENESIS,HALLMARK_KRAS_SIGNALING_UP,HALLMARK_KRAS_SIGNALING_DN,HALLMARK_PANCREAS_BETA_CELLS
OV1369-R2,HGS,0.2784231247879676,0.2983430880326944,0.3557636654441736,0.3318544428705845,0.23280718537414968,0.34370593659418036,0.20318817403702116,0.38496562029684367,0.36407506173460813,0.3062954901741224,0.2944935495118549,0.3349458320453724,0.26093280637333993,0.2390897083832092,0.30989985369159834,0.15804078543658517,0.3449675198138694,0.2734338614728292,0.22609983366905229,0.22398618350989297,0.21756807147314428,0.22883151382147093,0.1798530071184351,0.39392973681802934,0.29690117487026113,0.3895439438004138,0.3892761263571711,0.45954967763039756,0.4096300303398992,0.30624935601956116,0.13220965753040748,0.21065548433556502,0.290638183496326,0.4314009864917886,0.3227021362600334,0.3862956674869875,0.3106458359827934,0.313756446859789,0.27547191374323166,0.19369664676672427,0.23913433966114217,0.1501460060591907,0.23913397382338086,0.1313011701745278,0.26258132414848834,0.07615874629849695,0.05899223849155466,0.15199015845418273,-0.00987203483719079,-0.02704090173539425
OV1946,HGS,0.33187199625062513,0.29654719916016414,0.3203195263148432,0.33954328624208685,0.22702221513605447,0.31827062632577874,0.19960679668546777,0.3836157504474367,0.3581839674164795,0.3093162126980572,0.2678530334728033,0.3069868905397434,0.22899392422147713,0.1905489303259129,0.3100576510994866,0.11655403097937922,0.3762902730041635,0.3436411352670504,0.24957596364949797,0.23404910038674964,0.13498876256284587,0.18992278698382592,0.21970993778375647,0.40205137588565976,0.311833353963773,0.3890082354840614,0.3597580445187215,0.4604915664634962,0.40323670511774035,0.27951864797509907,0.16457499579619983,0.19875670730395534,0.28120581577447723,0.42850667002970677,0.3058152707435299,0.3920855647257089,0.2997732421416116,0.2987679015641844,0.29309153747330097,0.1679383101787275,0.25560877228151024,0.16099225734044353,0.2373274465818992,0.1673514317664443,0.25668465150479236,0.09658692541635827,0.05967683622045694,0.16149259313973108,-0.030696105869143397,-0.02684560013392112
OV2085,HGS,0.24873076251982673,0.2767195902670647,0.3440305624552181,0.3093830639089018,0.2545107886904763,0.31110676937962856,0.16311418951789647,0.3809346050320639,0.3311498421035175,0.2719526832204243,0.3024346234309624,0.33137082063771894,0.2607297048503191,0.2571447571780433,0.282599208415937,0.22765179483156894,0.3322486995424684,0.2456588004620056,0.20250948561956295,0.2374192870354801,0.15150754151256407,0.23826073883960397,0.1725112101339611,0.3991382289855957,0.3022363396542338,0.37356202644544156,0.35171225198968725,0.4394055806484449,0.40255954397745297,0.1985858755699581,0.1195511742615325,0.20191320219343978,0.2794000490915902,0.4285824785606188,0.29158245384004833,0.37522902443705697,0.32037486896399103,0.3084948905989604,0.21344392600707773,0.14784773754393798,0.24797717764064053,0.16176303634216904,0.21450433796085777,0.1607020547945206,0.2582176090162842,0.09259118936483413,0.08225531099560701,0.14169008030934593,0.06464665056639862,-3.055075051615619e-4
OV2295,HGS,0.23038932858953287,0.27446381159454303,0.3369515278358506,0.31958866775591366,0.25181095875850346,0.29938151001285984,0.14224984867532708,0.38430035815595043,0.3535415763570462,0.2702952662224959,0.28417974198047424,0.32444498793562804,0.28561891190800504,0.2783705277921805,0.2846491632926532,0.19134563888016154,0.3410307771272426,0.3298458778106894,0.24238645280288584,0.2422979373353511,0.17623180575214736,0.24427799165566288,0.19275979485454853,0.3889324306466204,0.3076577529857569,0.3787193925414779,0.37829986899597934,0.4497114571883789,0.3913582302752152,0.20637365132096663,0.09664004259850911,0.2022653391894509,0.3005733093904174,0.4324798217588701,0.31974789368859535,0.38561962892488233,0.3116971417444979,0.318640485920618,0.23507491507523037,0.11439444661422005,0.2610328547420486,0.13552796537049294,0.208205996493129,0.16276858101361869,0.27878917856697494,0.07094418779673506,0.05727832546764544,0.11615563173038068,0.04738789370443286,-0.011840857095028245
OV2295-R2,HGS,0.28832888766338205,0.26896846276891206,0.3687909253700282,0.33606918869221303,0.2638485863095238,0.3282767667745897,0.21039588461112368,0.3860485964415049,0.3722724111782246,0.28743246458764904,0.29842834728033474,0.31774759137162456,0.29364149283440844,0.28508252909517784,0.31389814078521006,0.17369045434554442,0.3447783890945403,0.35562091320628175,0.2690803619651282,0.24883442632139452,0.2135880401199336,0.21661257725951144,0.1951193879266857,0.39896846695739685,0.3073588112607595,0.39769763490326027,0.3962570158484293,0.45788006958654104,0.4241526582064038,0.23572302443785453,0.14469914802981887,0.19306349562206526,0.28657413188986836,0.4331759710778543,0.3257577172917382,0.38086286896641275,0.33312187947489313,0.33727160568256687,0.24357882043238732,0.10339058441357163,0.23342975571798397,0.1278789670182814,0.23861460428279901,0.13995042733335994,0.2653975691980891,0.08361679593094873,0.08232892365462874,0.14679998372041247,0.04737719086140568,0.009399587076614035
OV3133-R,HGS,0.2674896073281803,0.28112403439856215,0.3668892835925154,0.3200983322746579,0.2270999415391156,0.3185667944376217,0.2000814022378391,0.3782656679846069,0.35381364898142187,0.27733784502547454,0.2939016736401674,0.3397486523117057,0.28021910054473675,0.27551958087865547,0.30317723245929373,0.18111569252252913,0.35120589217195886,0.35432938160174365,0.27636300229058886,0.2472053136034975,0.21642593691815193,0.20114285182912095,0.17338658146964858,0.38611661736452074,0.3077897877992911,0.3850872944240673,0.37939237119542024,0.449636826652423,0.4009400363462752,0.20974612734224884,0.12771831735889239,0.20332189171164627,0.290593326414577,0.43890715206546715,0.3130783793545816,0.3673141904879609,0.327038072471984,0.31691348827328225,0.23306253300440583,0.1442908553255593,0.25324577720968555,0.1324890444773137,0.20669858554888054,0.18853513518910503,0.2633765592951406,0.10223997405945506,0.06723033632361974,0.1355921354946129,0.043776951624698635,-0.010419340438591607
OV3331,HGS,0.2435091833913845,0.30501653995870526,0.36029187580836997,0.3274125347183301,0.28565316751700676,0.32984495883625053,0.18030435124664235,0.3774860228273942,0.3543706615639586,0.2950580174682269,0.316993549511855,0.32081746735373007,0.29337880542902406,0.2845476742705668,0.3042355195472598,0.2232043410731318,0.33821322944379983,0.30596433195476813,0.23470256312706705,0.2684937783756516,0.223190595051469,0.27853564941385067,0.20679151953365849,0.3827930428064611,0.31240940907765957,0.3832586883681167,0.374623519128059,0.4458930044023438,0.39030230167408475,0.25898699470888686,0.1318767165517628,0.20389935109417234,0.29353648926229126,0.42980620480914755,0.3222538975677638,0.38782373106081103,0.31697738097547556,0.33594024749625706,0.25460229198357465,0.1744561612329285,0.24963288362565417,0.17256184883162717,0.2262490182605994,0.1715451395822516,0.2814154164355406,0.0772699120560626,0.09933386853241799,0.16208688258150317,0.09960833227595811,0.08229032978070427
OV4453,HGS,0.29315657400304784,0.3018287483045742,0.3704534751920099,0.347989478916505,0.30132533482142854,0.3451278536547042,0.19650323601992825,0.37894482888281966,0.37040064302356035,0.32612535692290456,0.3275793235704324,0.3231819370705147,0.29597878799201516,0.29334304891432295,0.32736991805543914,0.21004913872391406,0.3638785327809422,0.2870867797462695,0.24705481561495457,0.26887926685723895,0.24133728038800872,0.2491289900624275,0.21775629168768562,0.39330507354660316,0.3266404194234923,0.40500736492248524,0.39245540824679936,0.4562843772267635,0.3916960889251667,0.28164236808166854,0.16922117594305253,0.22881417583524966,0.2951518824902355,0.42714309736001344,0.33650270783159475,0.3867285144180743,0.34334969352482725,0.34731779771106874,0.27536767893313996,0.20280815463681046,0.254750742387697,0.18216658233103677,0.24563918998067436,0.18843479172490918,0.27699553227810814,0.11549389974002267,0.09898368259735746,0.1815150775597011,0.061682103874753036,0.020162797834942237
OV4485,HGS,0.23596832634432985,0.2720400372975891,0.3541122094889285,0.3104700462760097,0.2323142538265307,0.2828508842659786,0.15999778431778666,0.3805965271513163,0.3285374874043099,0.2705956763339119,0.29361488842398886,0.3229148621060963,0.2879395060344505,0.2690622046118426,0.28524986612626,0.16474780651569365,0.3287802245155179,0.24928510218148625,0.19039246290955736,0.24032775629168768,0.18951887026974923,0.19058534347548461,0.16838195728938965,0.382284519126183,0.29265955648547815,0.37901640766748523,0.3536740570144896,0.44122559352721646,0.3968303853321218,0.19517999748635328,0.10981755506978308,0.19915314449279253,0.2739676770634616,0.4295869065635334,0.3068442241040604,0.36650089388586626,0.3196322297927925,0.30505722328204554,0.22155729564854154,0.10753873049526674,0.242687885339271,0.11631282193504855,0.20326973262749015,0.16421133032469348,0.24584295463047767,0.07987669091062977,0.037625848727668276,0.12224709850854476,0.025299197272690255,-0.011534652084147057
OV866-2,HGS,0.2973903933815871,0.27253847647456697,0.3256652398933918,0.33784162100774584,0.25623272746598647,0.3529884551292388,0.1765527838120331,0.3864751380343814,0.35958150283596035,0.2961091904148704,0.2883830195258019,0.30848432197776443,0.2528466766080263,0.22995834249058844,0.2780798229055782,0.15940413048061264,0.3367731299075083,0.2573844636636301,0.21406886372977618,0.2383006838181716,0.19660631934614858,0.23843897041045947,0.20465332660725288,0.39383596108688357,0.29074931087676714,0.389584911404001,0.38250909498527474,0.45495003471320716,0.41396107021299544,0.3008987985448024,0.15253741382209518,0.19887177457797345,0.27013024343399983,0.42441693290734817,0.3159968137829364,0.37927272603010453,0.30702920621098106,0.32076294360065283,0.28799526312885715,0.17757598864277435,0.22533860998007604,0.1579916523944831,0.22733549765473948,0.16920154558888134,0.2495874667285869,0.08195219185023117,0.04303511723446918,0.15628960315970453,-0.024415790242302504,0.009473522682885926
