cell_line,subtype,site,pseudoalign,assigned_gene_counts,detected,n_processed_fragments
OV1369-R2,HGS,Mes-Masson,93.1,75689927,19767,81277987
OV1946,HGS,Mes-Masson,92.1,44634265,20074,48473350
OV2085,HGS,Mes-Masson,92.2,80843753,20470,87702508
OV2295,HGS,Mes-Masson,91.9,51222022,20174,55771839
OV2295-R2,HGS,Mes-Masson,90,87323766,19526,97022005
OV3133-R,HGS,Mes-Masson,91.2,54770710,19761,60039237
OV4453,HGS,Mes-Masson,89.6,76187258,21292,85022843
OV4485,HGS,Mes-Masson,92.5,48163017,19696,52095514
OV866-2,HGS,Mes-Masson,93,42852824,19121,46071271
TOV1369,HGS,Mes-Masson,93.1,61535827,19808,66105337
TOV3041G,HGS,Mes-Masson,92.8,80099441,20485,86334473
TOV3133G,HGS,Mes-Masson,89.3,57453527,20346,64323731
TOV3291G,HGS,Mes-Masson,92.4,41636739,19962,45079039
OV3331,HGS,Mes-Masson,93,55283262,20551,59483999
OV90,HGS,Mes-Masson,91.3,44541103,20284,48809689
TOV21G,CC,Mes-Masson,91.9,61577495,20573,66995559
TOV3392D,CC,Mes-Masson,92.3,48532613,18907,52608107
VOA10816,CC,Huntsman,86.6,49919245,20643,57682777
VOA12539,CC,Huntsman,89.3,69471725,20974,77763503
VOA295,CC,Huntsman,86.9,78284859,21057,90078690
VOA4841,CC,Huntsman,85.8,74036177,20912,86306230
VOA6861,CC,Huntsman,88,70551605,21208,80168321
TOV112D,EC,Mes-Masson,91.1,46746445,19841,51295373
VOA4395,EC,Huntsman,88.6,45085435,19686,50902395
TOV2414,MC,Mes-Masson,92.9,77534165,19582,83433019
VOA8762,MC,Huntsman,85.8,74784699,21788,87183902
VOA8771,MC,Huntsman,88.1,65755571,21476,74670331
VOA5217,MMMT,Huntsman,89.9,44122940,19788,49074831
VOA5436,MMMT,Huntsman,88.8,72729545,20464,81872979
BIN67,SCCOHT,Huntsman/Vanderhyden,87.9,44435821,20270,50544636
COV434,SCCOHT,Huntsman,89.1,46799596,20184,52550677
