cell_line,n_index_targets,n_unmapped,frac_targets_unmapped,frac_tpm_unmapped,frac_counts_unmapped,versioned_ids_match,lengths_match,n_alternative_locus_targets,frac_tpm_alternative_loci,frac_counts_alternative_loci,transcript_estimated_count_total,transcript_tpm_total,index_provenance,tx2gene_release,gene_estimated_count_total,gene_tpm_total,count_fraction_retained,tpm_fraction_retained
OV1369-R2,185299,0,0,0,0,TRUE,TRUE,17608,0.035086307781269414,0.034891039400911095,75693355.81943011,1000000.0853629763,All versioned IDs and sequence lengths match Ensembl release-93 GRCh38 cDNA FASTA,Ensembl 93; exact versioned mapping; all reference loci retained,75693355.8194288,1000000.0853629643,0.9999999999999827,0.999999999999988
OV1946,185299,0,0,0,0,TRUE,TRUE,17608,0.03660076675741314,0.03229728357306162,44643891.90623683,1000000.0159698223,All versioned IDs and sequence lengths match Ensembl release-93 GRCh38 cDNA FASTA,Ensembl 93; exact versioned mapping; all reference loci retained,44643891.906236425,1000000.0159698114,0.999999999999991,0.999999999999989
OV2085,185299,0,0,0,0,TRUE,TRUE,17608,0.035187728403174474,0.03605637832821532,80853226.47121255,999999.828401402,All versioned IDs and sequence lengths match Ensembl release-93 GRCh38 cDNA FASTA,Ensembl 93; exact versioned mapping; all reference loci retained,80853226.47121128,999999.8284013838,0.9999999999999843,0.9999999999999818
OV2295,185299,0,0,0,0,TRUE,TRUE,17608,0.034191259661127266,0.03496223629083527,51226617.1678421,1000000.0887164699,All versioned IDs and sequence lengths match Ensembl release-93 GRCh38 cDNA FASTA,Ensembl 93; exact versioned mapping; all reference loci retained,51226617.167841874,1000000.0887164655,0.9999999999999957,0.9999999999999956
OV2295-R2,185299,0,0,0,0,TRUE,TRUE,17608,0.0367626826186581,0.03762776436896138,87327259.89295076,999999.985504638,All versioned IDs and sequence lengths match Ensembl release-93 GRCh38 cDNA FASTA,Ensembl 93; exact versioned mapping; all reference loci retained,87327259.89295036,999999.9855046527,0.9999999999999954,1.0000000000000147
OV3133-R,185299,0,0,0,0,TRUE,TRUE,17608,0.03221099130181805,0.031194716475108047,54773757.01329676,999999.9661723797,All versioned IDs and sequence lengths match Ensembl release-93 GRCh38 cDNA FASTA,Ensembl 93; exact versioned mapping; all reference loci retained,54773757.013296336,999999.9661723804,0.9999999999999922,1.0000000000000007
OV4453,185299,0,0,0,0,TRUE,TRUE,17608,0.032051222435639855,0.033192306498832265,76195886.00847201,1000000.0481010282,All versioned IDs and sequence lengths match Ensembl release-93 GRCh38 cDNA FASTA,Ensembl 93; exact versioned mapping; all reference loci retained,76195886.00847192,1000000.0481010509,0.9999999999999988,1.0000000000000226
OV4485,185299,0,0,0,0,TRUE,TRUE,17608,0.03515224534548629,0.03280481522754746,48165635.36717963,1000000.0832067799,All versioned IDs and sequence lengths match Ensembl release-93 GRCh38 cDNA FASTA,Ensembl 93; exact versioned mapping; all reference loci retained,48165635.36718061,1000000.0832067748,1.0000000000000202,0.9999999999999949
OV866-2,185299,0,0,0,0,TRUE,TRUE,17608,0.0394918948009626,0.0392980634524152,42855065.815545425,1000000.0645525528,All versioned IDs and sequence lengths match Ensembl release-93 GRCh38 cDNA FASTA,Ensembl 93; exact versioned mapping; all reference loci retained,42855065.81554532,1000000.0645525584,0.9999999999999976,1.0000000000000056
TOV1369,185299,0,0,0,0,TRUE,TRUE,17608,0.036325223193099644,0.03682312724993974,61538620.67017646,1000000.0570542512,All versioned IDs and sequence lengths match Ensembl release-93 GRCh38 cDNA FASTA,Ensembl 93; exact versioned mapping; all reference loci retained,61538620.670177184,1000000.0570542497,1.0000000000000118,0.9999999999999984
TOV3041G,185299,0,0,0,0,TRUE,TRUE,17608,0.03526536531740561,0.0342836975333654,80103469.88636042,999999.9853193627,All versioned IDs and sequence lengths match Ensembl release-93 GRCh38 cDNA FASTA,Ensembl 93; exact versioned mapping; all reference loci retained,80103469.88636139,999999.9853193753,1.000000000000012,1.0000000000000127
