cell_line,subtype,subtype_status,source_site,rna_seq,rna_sample_id,rna_passage,rna_pseudoalign_pct,rna_status,proteomics,tmt_plex,tmt_channel,wes_cnv,wes_mut,wes_passage,wes_mut_note,n_omics,all_three,analysis_include,exclusion_reason,provenance,notes,site,file
OV1369-R2,HGS,consensus,Mes-Masson,Y,OV1369R2p69,p69,93.1,OK,Y,1,ch2,Y,Y,P66,NA,3,Y,Y,NA,generated,1369 family (w/ TOV1369); ConsensusOV:DIF,Mes-Masson,/Users/dpcook/Analysis/ovcan_human/judy_archive/data/rna_seq/OV1369R2p69/abundance.tsv
OV1946,HGS,consensus,Mes-Masson,Y,OV1946p64,p64,92.1,OK,Y,5,ch2,-,-,NA,NA,2,-,Y,NA,generated,ConsensusOV:MES,Mes-Masson,/Users/dpcook/Analysis/ovcan_human/judy_archive/data/rna_seq/OV1946p64/abundance.tsv
OV2085,HGS,consensus,Mes-Masson,Y,OV2085p68,p68,92.2,OK,Y,2,ch2,Y,Y,P64,NA,3,Y,Y,NA,generated,ConsensusOV:IMR,Mes-Masson,/Users/dpcook/Analysis/ovcan_human/judy_archive/data/rna_seq/OV2085p68/abundance.tsv
OV2295,HGS,consensus,Mes-Masson,Y,OV2295p64,p64,91.9,OK,Y,5,ch4,Y,Y,P61,NA,3,Y,Y,NA,generated,2295 family (OV2295/OV2295-R2/TOV2295-R); ConsensusOV:DIF,Mes-Masson,/Users/dpcook/Analysis/ovcan_human/judy_archive/data/rna_seq/OV2295p64/abundance.tsv
OV2295-R2,HGS,consensus,Mes-Masson,Y,OV2295R2p67,p67,90,OK,Y,3,ch2,Y,Y,P70,NA,3,Y,Y,NA,generated,2295 family (OV2295/OV2295-R2/TOV2295-R); ConsensusOV:IMR,Mes-Masson,/Users/dpcook/Analysis/ovcan_human/judy_archive/data/rna_seq/OV2295R2p67/abundance.tsv
OV3133-R,HGS,consensus,Mes-Masson,Y,OV3133Rp64,p64,91.2,OK,Y,1,ch3,Y,Y,P71,NA,3,Y,Y,NA,generated,3133 family (OV3133-R/OV3133-R2/TOV3133D/TOV3133G); ConsensusOV:DIF,Mes-Masson,/Users/dpcook/Analysis/ovcan_human/judy_archive/data/rna_seq/OV3133Rp64/abundance.tsv
OV4453,HGS,consensus,Mes-Masson,Y,OV4453p60,p60,89.6,OK,Y,4,ch2,-,-,NA,NA,2,-,Y,NA,generated,ConsensusOV:PRO,Mes-Masson,/Users/dpcook/Analysis/ovcan_human/judy_archive/data/rna_seq/OV4453p60/abundance.tsv
OV4485,HGS,consensus,Mes-Masson,Y,OV4485p60,p60,92.5,OK,Y,2,ch3,-,-,NA,NA,2,-,Y,NA,generated,ConsensusOV:DIF,Mes-Masson,/Users/dpcook/Analysis/ovcan_human/judy_archive/data/rna_seq/OV4485p60/abundance.tsv
OV866-2,HGS,consensus,Mes-Masson,Y,OV866-2p67,p67,93,OK,Y,1,ch4,-,-,NA,NA,2,-,Y,NA,generated,ConsensusOV:MES,Mes-Masson,/Users/dpcook/Analysis/ovcan_human/judy_archive/data/rna_seq/OV866-2p67/abundance.tsv
TOV1369,HGS,consensus,Mes-Masson,Y,TOV1369p65,p65,93.1,OK,Y,2,ch4,Y,Y,P65,NA,3,Y,Y,NA,generated,1369 family (w/ OV1369-R2); ConsensusOV:DIF; also inter-plex TMT bridge (plex3 ch10),Mes-Masson,/Users/dpcook/Analysis/ovcan_human/judy_archive/data/rna_seq/TOV1369p65/abundance.tsv
TOV3041G,HGS,consensus,Mes-Masson,Y,TOV3041Gp67,p67,92.8,OK,Y,3,ch4,-,-,NA,NA,2,-,Y,NA,generated,ConsensusOV:MES,Mes-Masson,/Users/dpcook/Analysis/ovcan_human/judy_archive/data/rna_seq/TOV3041Gp67/abundance.tsv
TOV3133G,HGS,consensus,Mes-Masson,Y,TOV3133Gp61,p61,89.3,OK,Y,4,ch4,Y,Y,P65,NA,3,Y,Y,NA,generated,3133 family (OV3133-R/OV3133-R2/TOV3133D/TOV3133G); ConsensusOV:DIF; also inter-plex TMT bridge (plex5 ch10),Mes-Masson,/Users/dpcook/Analysis/ovcan_human/judy_archive/data/rna_seq/TOV3133Gp61/abundance.tsv
TOV3291G,HGS,consensus,Mes-Masson,Y,TOV3291Gp62,p62,92.4,OK,Y,2,ch8,-,-,NA,NA,2,-,Y,NA,generated,3291 family (OV3291 vs TOV3291G - distinct OV/TOV isolates); ConsensusOV:MES,Mes-Masson,/Users/dpcook/Analysis/ovcan_human/judy_archive/data/rna_seq/TOV3291Gp62/abundance.tsv
