subtype,symbol,gene_id,log2FoldChange,padj,n_group,evidence
CC,MIOX,ENSG00000100253,7.366692088514053,3.5753815865383013e-14,7,"descriptive; model-level, source-confounded"
CC,SLC14A2,ENSG00000132874,4.941380288038974,2.8505391996870526e-11,7,"descriptive; model-level, source-confounded"
CC,GGT1,ENSG00000100031,4.381321215614481,1.2977951316375386e-10,7,"descriptive; model-level, source-confounded"
CC,AC256309.3,ENSG00000285078,24.624313202401723,1.830624117903165e-9,7,"descriptive; model-level, source-confounded"
CC,SLC12A3,ENSG00000070915,6.8143073890773325,5.675425281240647e-9,7,"descriptive; model-level, source-confounded"
CC,PADI3,ENSG00000142619,7.401833249256731,8.44508564873043e-9,7,"descriptive; model-level, source-confounded"
CC,VNN1,ENSG00000112299,6.358852442679194,1.028029600450573e-8,7,"descriptive; model-level, source-confounded"
CC,PCSK5,ENSG00000099139,4.0769908272718585,1.6133724814553693e-8,7,"descriptive; model-level, source-confounded"
CC,HYAL1,ENSG00000114378,5.165409913795464,2.5557533688380357e-8,7,"descriptive; model-level, source-confounded"
CC,HHIPL2,ENSG00000143512,5.171242696714579,3.940837895793134e-8,7,"descriptive; model-level, source-confounded"
CC,ENTPD3,ENSG00000168032,6.979899037530421,5.348205916115511e-8,7,"descriptive; model-level, source-confounded"
CC,CRYM,ENSG00000103316,6.500591339977733,8.767309871560003e-8,7,"descriptive; model-level, source-confounded"
CC,CYP2B6,ENSG00000197408,4.55531675960475,1.3224960253196983e-7,7,"descriptive; model-level, source-confounded"
CC,SCN7A,ENSG00000136546,4.986901045344727,1.7249350561028611e-7,7,"descriptive; model-level, source-confounded"
CC,DNAH5,ENSG00000039139,3.668206012028685,3.345361071775886e-7,7,"descriptive; model-level, source-confounded"
CC,TMEM233,ENSG00000224982,7.302069933380237,3.8346021028396524e-7,7,"descriptive; model-level, source-confounded"
CC,METTL25,ENSG00000127720,3.264693573836456,5.875009463018248e-7,7,"descriptive; model-level, source-confounded"
CC,C2CD4A,ENSG00000198535,5.666972676894989,9.023032374778199e-7,7,"descriptive; model-level, source-confounded"
CC,PSG5,ENSG00000204941,5.480787630905626,1.287370401453932e-6,7,"descriptive; model-level, source-confounded"
CC,AC099489.1,ENSG00000188897,2.726328126962795,1.3262035324034795e-6,7,"descriptive; model-level, source-confounded"
CC,AADACL3,ENSG00000188984,6.251754615010175,1.705568008982699e-6,7,"descriptive; model-level, source-confounded"
CC,SLC16A6,ENSG00000108932,3.6973113578572456,5.30738255241912e-6,7,"descriptive; model-level, source-confounded"
CC,INSL4,ENSG00000120211,4.147884346897751,1.3882720644998081e-5,7,"descriptive; model-level, source-confounded"
CC,CAPN14,ENSG00000214711,4.5727739372244,3.464126907944245e-5,7,"descriptive; model-level, source-confounded"
CC,ANGPT4,ENSG00000101280,3.138336852006512,3.899425946472045e-5,7,"descriptive; model-level, source-confounded"
CC,LYPD3,ENSG00000124466,3.6361388220859903,3.985553515218487e-5,7,"descriptive; model-level, source-confounded"
CC,EIF4E3,ENSG00000163412,3.373533654990846,4.3203446303025725e-5,7,"descriptive; model-level, source-confounded"
CC,AL109809.1,ENSG00000232528,2.882503526635346,5.630394387667498e-5,7,"descriptive; model-level, source-confounded"
CC,COL25A1,ENSG00000188517,6.45424250051157,7.396367137422866e-5,7,"descriptive; model-level, source-confounded"
CC,GNGT2,ENSG00000167083,4.302163883005763,7.459294922074832e-5,7,"descriptive; model-level, source-confounded"
CC,PTPN3,ENSG00000070159,1.5472484626079919,1.0882647656502935e-4,7,"descriptive; model-level, source-confounded"
CC,FKBP9P1,ENSG00000176826,4.837448995991736,1.311053820659595e-4,7,"descriptive; model-level, source-confounded"
CC,ANKRD20A19P,ENSG00000196593,3.9817240635240045,1.311053820659595e-4,7,"descriptive; model-level, source-confounded"
CC,SLC26A2,ENSG00000155850,2.533952708982037,1.5681232626998704e-4,7,"descriptive; model-level, source-confounded"
CC,XAGE3,ENSG00000171402,6.320670705010491,1.6562667960474492e-4,7,"descriptive; model-level, source-confounded"
CC,EFCAB10,ENSG00000185055,3.0086427112207534,1.7016349006595646e-4,7,"descriptive; model-level, source-confounded"
CC,SMIM32,ENSG00000271824,6.5340629370607,1.8213810376556812e-4,7,"descriptive; model-level, source-confounded"
CC,TRPC7,ENSG00000069018,5.431038087875872,2.0054511082574018e-4,7,"descriptive; model-level, source-confounded"
CC,GCM1,ENSG00000137270,3.9136462938696477,2.1321287594064863e-4,7,"descriptive; model-level, source-confounded"
CC,AGAP7P,ENSG00000264204,3.1755463045303376,2.1933450323112968e-4,7,"descriptive; model-level, source-confounded"
CC,BMS1P1,ENSG00000204177,1.583636864883381,2.254893433108999e-4,7,"descriptive; model-level, source-confounded"
CC,LRRC19,ENSG00000184434,3.1992309269643857,2.4222325438428983e-4,7,"descriptive; model-level, source-confounded"
CC,DPEP1,ENSG00000015413,6.325619124062815,2.500247861418929e-4,7,"descriptive; model-level, source-confounded"
CC,RHOB,ENSG00000143878,2.293008058516254,2.689392549374175e-4,7,"descriptive; model-level, source-confounded"
CC,AC091980.2,ENSG00000275038,5.385956997336278,3.000972963866325e-4,7,"descriptive; model-level, source-confounded"
CC,MRLN,ENSG00000227877,3.3985721995695313,3.636312235596223e-4,7,"descriptive; model-level, source-confounded"
