subtype,symbol,gene_id,log2FoldChange,padj,n_group,evidence
MC,MPIG6B,ENSG00000206396,8.450612001774967,1.0168239166464785e-10,3,"descriptive; model-level, source-confounded"
MC,C4BPB,ENSG00000123843,6.64838571256734,1.0197703752310799e-8,3,"descriptive; model-level, source-confounded"
MC,RHOXF1P3,ENSG00000282933,3.935635379211666,9.500412864541859e-8,3,"descriptive; model-level, source-confounded"
MC,HHLA2,ENSG00000114455,5.027555955066409,1.024493882567265e-7,3,"descriptive; model-level, source-confounded"
MC,APOD,ENSG00000189058,8.894496922350843,1.8399564124984602e-7,3,"descriptive; model-level, source-confounded"
MC,ART4,ENSG00000111339,5.863271556726249,2.053118239261231e-7,3,"descriptive; model-level, source-confounded"
MC,VRTN,ENSG00000133980,6.041471286166895,2.882482804693936e-7,3,"descriptive; model-level, source-confounded"
MC,COL2A1,ENSG00000139219,8.030677943018874,4.996733493373021e-7,3,"descriptive; model-level, source-confounded"
MC,GABRA4,ENSG00000109158,8.130350647573422,5.631131609186846e-7,3,"descriptive; model-level, source-confounded"
MC,TF,ENSG00000091513,3.3287311397368025,8.970511573557434e-7,3,"descriptive; model-level, source-confounded"
MC,MSMB,ENSG00000263639,9.336028349442135,2.21789450735238e-6,3,"descriptive; model-level, source-confounded"
MC,CCDC152,ENSG00000198865,4.874047797588793,2.9558623482356765e-6,3,"descriptive; model-level, source-confounded"
MC,UPK2,ENSG00000110375,6.427784010139794,5.787166325587802e-6,3,"descriptive; model-level, source-confounded"
MC,SPRR3,ENSG00000163209,9.828118651960713,1.1459013673868127e-5,3,"descriptive; model-level, source-confounded"
MC,DNASE1,ENSG00000213918,2.8248972533776375,1.773602281434858e-5,3,"descriptive; model-level, source-confounded"
MC,ATP13A4,ENSG00000127249,6.6639911791676285,3.0779487639820665e-5,3,"descriptive; model-level, source-confounded"
MC,LUZP2,ENSG00000187398,7.778806013562613,3.4999357719473436e-5,3,"descriptive; model-level, source-confounded"
MC,PAGE4,ENSG00000101951,9.67710252184379,4.1692109284664366e-5,3,"descriptive; model-level, source-confounded"
MC,CYP2W1,ENSG00000073067,6.001330882183961,4.938408167448338e-5,3,"descriptive; model-level, source-confounded"
MC,SLC22A9,ENSG00000149742,5.6958376811603895,1.0270419891933239e-4,3,"descriptive; model-level, source-confounded"
MC,ERVFRD-1,ENSG00000244476,5.4159544269106314,1.2125760858469606e-4,3,"descriptive; model-level, source-confounded"
MC,GLRA3,ENSG00000145451,3.9842784122281065,1.7304608908100518e-4,3,"descriptive; model-level, source-confounded"
MC,SLC39A5,ENSG00000139540,5.407637226953287,1.847684617689663e-4,3,"descriptive; model-level, source-confounded"
MC,PHACTR3,ENSG00000087495,5.135572151915279,1.8977024371657664e-4,3,"descriptive; model-level, source-confounded"
