subtype,symbol,gene_id,log2FoldChange,padj,n_group,evidence
MMMT,AQP1,ENSG00000240583,10.428528668578435,2.5284515013027424e-14,2,"descriptive; model-level, source-confounded"
MMMT,RPS9,ENSG00000274646,6.273368922765015,1.8061980368183376e-9,2,"descriptive; model-level, source-confounded"
MMMT,TMPRSS6,ENSG00000187045,7.15232045305846,1.6272035164581304e-8,2,"descriptive; model-level, source-confounded"
MMMT,FLT1,ENSG00000102755,6.781702099239835,1.813023287668115e-8,2,"descriptive; model-level, source-confounded"
MMMT,PYGM,ENSG00000068976,6.690900411563882,3.113805687619298e-8,2,"descriptive; model-level, source-confounded"
MMMT,WFDC1,ENSG00000103175,5.91565459764473,5.237575194075215e-8,2,"descriptive; model-level, source-confounded"
MMMT,FSHR,ENSG00000170820,8.584011558319064,1.4717612343619874e-7,2,"descriptive; model-level, source-confounded"
MMMT,COLEC12,ENSG00000158270,4.238733311407979,7.728366158635818e-7,2,"descriptive; model-level, source-confounded"
MMMT,PDGFRB,ENSG00000113721,7.461033528502836,1.8795223016315449e-6,2,"descriptive; model-level, source-confounded"
MMMT,LPAR6,ENSG00000139679,6.264086137477676,6.180103726171851e-6,2,"descriptive; model-level, source-confounded"
MMMT,COL14A1,ENSG00000187955,8.281862424590331,6.261337856861329e-6,2,"descriptive; model-level, source-confounded"
MMMT,RIMKLB,ENSG00000166532,4.02719279854566,1.096031673870275e-5,2,"descriptive; model-level, source-confounded"
MMMT,ADCYAP1R1,ENSG00000078549,7.88595491502827,1.4096532793660202e-5,2,"descriptive; model-level, source-confounded"
MMMT,LRRC19,ENSG00000184434,6.290993049700094,1.5626194507301923e-5,2,"descriptive; model-level, source-confounded"
MMMT,RIPOR3,ENSG00000042062,6.115404909080877,3.199271191337701e-5,2,"descriptive; model-level, source-confounded"
MMMT,NKAIN4,ENSG00000101198,7.570191051104294,3.4681700604640724e-5,2,"descriptive; model-level, source-confounded"
MMMT,CRB1,ENSG00000134376,3.910010541127197,6.231508943887412e-5,2,"descriptive; model-level, source-confounded"
MMMT,MOGAT3,ENSG00000106384,4.617829191288979,6.26327049592488e-5,2,"descriptive; model-level, source-confounded"
MMMT,MAP1LC3C,ENSG00000197769,5.38231668529263,7.500082503087399e-5,2,"descriptive; model-level, source-confounded"
MMMT,AP000356.3,ENSG00000284128,5.646821494039005,8.047983187309036e-5,2,"descriptive; model-level, source-confounded"
MMMT,CLDN15,ENSG00000106404,3.9179990148576023,1.1021954229583142e-4,2,"descriptive; model-level, source-confounded"
MMMT,RMND1,ENSG00000155906,2.240786757205196,1.1318454505459002e-4,2,"descriptive; model-level, source-confounded"
MMMT,TMEM130,ENSG00000166448,6.45180223859796,1.3352199924923083e-4,2,"descriptive; model-level, source-confounded"
MMMT,GPBAR1,ENSG00000179921,4.809302754264426,1.623070621722012e-4,2,"descriptive; model-level, source-confounded"
MMMT,CELSR1,ENSG00000075275,2.9057999358186617,1.9251926516909712e-4,2,"descriptive; model-level, source-confounded"
MMMT,FKBP11,ENSG00000134285,3.314877351621981,2.8771540005190574e-4,2,"descriptive; model-level, source-confounded"
MMMT,UXS1,ENSG00000115652,2.7277337383866507,3.3092945840802203e-4,2,"descriptive; model-level, source-confounded"
MMMT,CERS2,ENSG00000143418,1.7272321695840782,3.8250754342183284e-4,2,"descriptive; model-level, source-confounded"
MMMT,SLITRK2,ENSG00000185985,6.221729400397471,4.0251585476847696e-4,2,"descriptive; model-level, source-confounded"
MMMT,NFE4,ENSG00000230257,3.0844710004357605,7.493739898149669e-4,2,"descriptive; model-level, source-confounded"
MMMT,MSTO2P,ENSG00000203761,1.7611444894093378,7.810210892498336e-4,2,"descriptive; model-level, source-confounded"
MMMT,KDELR2,ENSG00000136240,1.7003066867264949,8.117427592616661e-4,2,"descriptive; model-level, source-confounded"
MMMT,LIN7A,ENSG00000111052,7.774390224851193,8.668807324975383e-4,2,"descriptive; model-level, source-confounded"
MMMT,SNAP91,ENSG00000065609,7.3936707836649855,9.468598320495777e-4,2,"descriptive; model-level, source-confounded"
MMMT,FAM196A,ENSG00000188916,5.508525682517618,0.0010383265732166048,2,"descriptive; model-level, source-confounded"
MMMT,PRODH2,ENSG00000250799,10.032629450935639,0.0010607492660274882,2,"descriptive; model-level, source-confounded"
MMMT,EBF3,ENSG00000108001,5.894768081980718,0.00128655338207517,2,"descriptive; model-level, source-confounded"
MMMT,CDHR1,ENSG00000148600,7.101381196306611,0.001307236167427555,2,"descriptive; model-level, source-confounded"
MMMT,SCN4B,ENSG00000177098,4.634553637653855,0.001360886242916923,2,"descriptive; model-level, source-confounded"
MMMT,ITM2B,ENSG00000136156,3.1732942304050145,0.001461916926161292,2,"descriptive; model-level, source-confounded"
MMMT,PSG4,ENSG00000243137,7.311840400843088,0.0014794764105486317,2,"descriptive; model-level, source-confounded"
MMMT,CRELD2,ENSG00000184164,2.061888846240853,0.0015042114978904436,2,"descriptive; model-level, source-confounded"
MMMT,ELFN1,ENSG00000225968,7.232267049409504,0.0015646036413599642,2,"descriptive; model-level, source-confounded"
MMMT,ANGPTL3,ENSG00000132855,9.49406718720899,0.001628801687570173,2,"descriptive; model-level, source-confounded"
MMMT,CTXND1,ENSG00000259417,4.522495525743441,0.00175241740381185,2,"descriptive; model-level, source-confounded"
MMMT,ENPP2,ENSG00000136960,6.34091700222172,0.002413726238476359,2,"descriptive; model-level, source-confounded"
MMMT,KCNMB2,ENSG00000197584,5.411522742872198,0.002516166069900224,2,"descriptive; model-level, source-confounded"
MMMT,PTPN1,ENSG00000196396,2.1054700142993403,0.0031266403910705544,2,"descriptive; model-level, source-confounded"
MMMT,MFF,ENSG00000168958,1.804862904608352,0.003134669676513012,2,"descriptive; model-level, source-confounded"
MMMT,UNC13C,ENSG00000137766,4.925960906915483,0.0035100198471414695,2,"descriptive; model-level, source-confounded"
MMMT,PDE5A,ENSG00000138735,3.58936737435621,0.003512932609502587,2,"descriptive; model-level, source-confounded"
MMMT,MMP28,ENSG00000271447,5.520018511883176,0.003512932609502587,2,"descriptive; model-level, source-confounded"
MMMT,FABP3,ENSG00000121769,4.978561510884077,0.0038062567030306953,2,"descriptive; model-level, source-confounded"
MMMT,NEK7,ENSG00000151414,3.663794329578028,0.0038062567030306953,2,"descriptive; model-level, source-confounded"
MMMT,CNTNAP5,ENSG00000155052,5.2823518243093,0.0038617671874217525,2,"descriptive; model-level, source-confounded"
MMMT,GRM4,ENSG00000124493,4.8391089383672385,0.003954242066389457,2,"descriptive; model-level, source-confounded"
MMMT,NAPSA,ENSG00000131400,5.012713748040496,0.004457339327669937,2,"descriptive; model-level, source-confounded"
MMMT,SLC17A9,ENSG00000101194,8.071982108103862,0.004538236260112967,2,"descriptive; model-level, source-confounded"
MMMT,PPP2R5A,ENSG00000066027,1.8278688789695912,0.004630268825375974,2,"descriptive; model-level, source-confounded"
MMMT,PLEKHH2,ENSG00000152527,4.187041514458188,0.005118323843241466,2,"descriptive; model-level, source-confounded"
MMMT,PIK3CB,ENSG00000051382,1.7157042771700997,0.005204660441885569,2,"descriptive; model-level, source-confounded"
MMMT,TMEM192,ENSG00000170088,1.8994292109419686,0.0054185979441216964,2,"descriptive; model-level, source-confounded"
MMMT,AC019117.3,ENSG00000283321,7.101106556486562,0.005422557590645886,2,"descriptive; model-level, source-confounded"
MMMT,TRIQK,ENSG00000205133,2.4423904114395265,0.006168397142017067,2,"descriptive; model-level, source-confounded"
