subtype,symbol,gene_id,log2FoldChange,padj,n_group,evidence
SCCOHT,FAM9C,ENSG00000187268,11.419790512847177,1.351225597321023e-30,2,"descriptive; model-level, source-confounded"
SCCOHT,GRM1,ENSG00000152822,8.537123862813166,9.071270119909313e-18,2,"descriptive; model-level, source-confounded"
SCCOHT,CCDC102B,ENSG00000150636,6.940058016578443,6.9684810535573286e-15,2,"descriptive; model-level, source-confounded"
SCCOHT,PCDH9,ENSG00000184226,9.636886403834954,9.998181097305256e-14,2,"descriptive; model-level, source-confounded"
SCCOHT,MMRN1,ENSG00000138722,12.58076259186064,2.771770257882006e-13,2,"descriptive; model-level, source-confounded"
SCCOHT,COL11A1,ENSG00000060718,12.314000749221076,4.96990382480264e-13,2,"descriptive; model-level, source-confounded"
SCCOHT,FSIP1,ENSG00000150667,9.40215276912087,8.093200635920493e-11,2,"descriptive; model-level, source-confounded"
SCCOHT,DSC1,ENSG00000134765,11.867156334575732,1.389312658557469e-10,2,"descriptive; model-level, source-confounded"
SCCOHT,ABCD2,ENSG00000173208,10.919548319149596,4.0178589989878425e-9,2,"descriptive; model-level, source-confounded"
SCCOHT,PRPH2,ENSG00000112619,8.257957631148631,4.200072421241856e-9,2,"descriptive; model-level, source-confounded"
SCCOHT,NR4A2,ENSG00000153234,5.532802241338214,4.664843510748308e-9,2,"descriptive; model-level, source-confounded"
SCCOHT,ZDHHC22,ENSG00000177108,7.8298591907177055,4.691127842172589e-9,2,"descriptive; model-level, source-confounded"
SCCOHT,CDH7,ENSG00000081138,7.084701041384225,4.786012276983567e-9,2,"descriptive; model-level, source-confounded"
SCCOHT,RAB8B,ENSG00000166128,5.658862640629905,6.9519014398083e-9,2,"descriptive; model-level, source-confounded"
SCCOHT,OR3A2,ENSG00000221882,9.108541412703866,8.09141259001665e-9,2,"descriptive; model-level, source-confounded"
SCCOHT,DOK6,ENSG00000206052,8.52672985352627,9.62285112862946e-9,2,"descriptive; model-level, source-confounded"
SCCOHT,AC116565.1,ENSG00000273238,8.485646162030829,1.6277143223087746e-8,2,"descriptive; model-level, source-confounded"
SCCOHT,CCDC73,ENSG00000186714,7.798662652293038,1.9099856009985138e-8,2,"descriptive; model-level, source-confounded"
SCCOHT,CCNYL2,ENSG00000182632,4.301940648100989,2.6165313715751556e-8,2,"descriptive; model-level, source-confounded"
SCCOHT,NR5A2,ENSG00000116833,7.171836264126306,5.3123422944622234e-8,2,"descriptive; model-level, source-confounded"
SCCOHT,MDM1,ENSG00000111554,4.962144331830159,7.717307876657594e-8,2,"descriptive; model-level, source-confounded"
SCCOHT,NTRK3,ENSG00000140538,5.845617010113347,9.811728002088671e-8,2,"descriptive; model-level, source-confounded"
SCCOHT,LAG3,ENSG00000089692,6.024529501595246,1.8630481209248634e-7,2,"descriptive; model-level, source-confounded"
SCCOHT,DSG1,ENSG00000134760,11.925746597571454,4.0348015866785906e-7,2,"descriptive; model-level, source-confounded"
SCCOHT,HEY1,ENSG00000164683,6.202335170369339,4.376963452384646e-7,2,"descriptive; model-level, source-confounded"
SCCOHT,STMN2,ENSG00000104435,12.583036314101532,5.748891300849993e-7,2,"descriptive; model-level, source-confounded"
SCCOHT,GATM,ENSG00000171766,6.937770377569695,8.777130077845835e-7,2,"descriptive; model-level, source-confounded"
SCCOHT,FGF5,ENSG00000138675,7.637981328215043,9.58758220647823e-7,2,"descriptive; model-level, source-confounded"
SCCOHT,SORBS1,ENSG00000095637,5.327650599977949,1.808739268693816e-6,2,"descriptive; model-level, source-confounded"
SCCOHT,UTF1,ENSG00000171794,7.736519926112843,2.095566287001254e-6,2,"descriptive; model-level, source-confounded"
SCCOHT,GCG,ENSG00000115263,10.168258286782715,2.138600445385269e-6,2,"descriptive; model-level, source-confounded"
SCCOHT,CHRNA1,ENSG00000138435,8.358105066398231,2.1919943414941227e-6,2,"descriptive; model-level, source-confounded"
SCCOHT,SYCE1,ENSG00000171772,6.536804770516637,2.2406919765733775e-6,2,"descriptive; model-level, source-confounded"
SCCOHT,AKAP6,ENSG00000151320,5.19069237776699,4.110849836908032e-6,2,"descriptive; model-level, source-confounded"
SCCOHT,FGD2,ENSG00000146192,5.459690204547318,4.404691288423675e-6,2,"descriptive; model-level, source-confounded"
SCCOHT,CFAP299,ENSG00000197826,5.263521576637404,4.433286356879346e-6,2,"descriptive; model-level, source-confounded"
SCCOHT,CDH19,ENSG00000071991,7.265187945196853,6.018287716852824e-6,2,"descriptive; model-level, source-confounded"
SCCOHT,SKIDA1,ENSG00000180592,5.407412736205242,6.877621466681263e-6,2,"descriptive; model-level, source-confounded"
SCCOHT,ZNF154,ENSG00000179909,4.284429975206708,7.3278754014821665e-6,2,"descriptive; model-level, source-confounded"
SCCOHT,CTNNA2,ENSG00000066032,7.538506051683034,8.170702325892511e-6,2,"descriptive; model-level, source-confounded"
SCCOHT,MDGA2,ENSG00000139915,5.413574813294849,9.480949575129478e-6,2,"descriptive; model-level, source-confounded"
SCCOHT,FBN2,ENSG00000138829,8.998615752830569,1.2992784620128149e-5,2,"descriptive; model-level, source-confounded"
SCCOHT,VGLL3,ENSG00000206538,6.070289292947769,1.74259310430856e-5,2,"descriptive; model-level, source-confounded"
SCCOHT,BMP3,ENSG00000152785,6.849826646481029,1.9405914022425165e-5,2,"descriptive; model-level, source-confounded"
SCCOHT,ARL4A,ENSG00000122644,3.558462911595295,2.448793708636731e-5,2,"descriptive; model-level, source-confounded"
SCCOHT,RPSAP12,ENSG00000240087,6.287162843260342,3.463793992212718e-5,2,"descriptive; model-level, source-confounded"
SCCOHT,NPIPA2,ENSG00000254852,5.270994130130141,3.7142176314788146e-5,2,"descriptive; model-level, source-confounded"
SCCOHT,GABRA2,ENSG00000151834,4.639280536299196,3.727092842662948e-5,2,"descriptive; model-level, source-confounded"
SCCOHT,LINC02495,ENSG00000249896,3.7071098949385073,3.8683572951751624e-5,2,"descriptive; model-level, source-confounded"
SCCOHT,SLITRK3,ENSG00000121871,8.181511824684009,3.9136041667613566e-5,2,"descriptive; model-level, source-confounded"
SCCOHT,SYPL2,ENSG00000143028,6.397878012917394,4.531042524126217e-5,2,"descriptive; model-level, source-confounded"
SCCOHT,CCDC114,ENSG00000105479,3.8982717776045517,4.758825645802408e-5,2,"descriptive; model-level, source-confounded"
SCCOHT,NKAIN2,ENSG00000188580,7.3984694704376235,5.302500257645202e-5,2,"descriptive; model-level, source-confounded"
SCCOHT,COL5A2,ENSG00000204262,6.942602227220477,6.13345896974216e-5,2,"descriptive; model-level, source-confounded"
SCCOHT,RAP1B,ENSG00000127314,2.9388335109225734,6.581829616190811e-5,2,"descriptive; model-level, source-confounded"
SCCOHT,CEND1,ENSG00000184524,5.907603565208436,6.70612206641143e-5,2,"descriptive; model-level, source-confounded"
SCCOHT,NPIPA3,ENSG00000278308,5.616834653639874,8.266938599410874e-5,2,"descriptive; model-level, source-confounded"
SCCOHT,USP32P2,ENSG00000233327,4.727535038055061,8.307631760925904e-5,2,"descriptive; model-level, source-confounded"
SCCOHT,SLITRK5,ENSG00000165300,5.653589882943426,8.699057460542889e-5,2,"descriptive; model-level, source-confounded"
SCCOHT,RPL24P8,ENSG00000236801,5.17783086400563,9.400135196850105e-5,2,"descriptive; model-level, source-confounded"
SCCOHT,HDAC9,ENSG00000048052,3.5602454749647396,9.54493900201006e-5,2,"descriptive; model-level, source-confounded"
SCCOHT,CGRRF1,ENSG00000100532,2.6488307429248943,9.919511690589194e-5,2,"descriptive; model-level, source-confounded"
SCCOHT,TMEM26,ENSG00000196932,8.160443430543237,1.070071868764073e-4,2,"descriptive; model-level, source-confounded"
SCCOHT,PDLIM5,ENSG00000163110,2.4895624613659324,1.077607451264277e-4,2,"descriptive; model-level, source-confounded"
SCCOHT,ENAH,ENSG00000154380,3.240503874931638,1.1823180369916518e-4,2,"descriptive; model-level, source-confounded"
SCCOHT,TEK,ENSG00000120156,6.851762679637345,1.2399359886944145e-4,2,"descriptive; model-level, source-confounded"
SCCOHT,HGF,ENSG00000019991,13.343920620126971,1.5920204972067918e-4,2,"descriptive; model-level, source-confounded"
SCCOHT,SERPINF1,ENSG00000132386,3.4242746934464665,1.6028967013328833e-4,2,"descriptive; model-level, source-confounded"
SCCOHT,DCDC1,ENSG00000170959,5.410214656192789,1.71141610985811e-4,2,"descriptive; model-level, source-confounded"
