cell_line,subtype,SMARCA4_tpm,SMARCA2_tpm,ARID1A_tpm,SMARCB1_tpm,SMARCA4_z,SMARCA2_z,ARID1A_z,SMARCB1_z,SMARCA4_rank,SMARCA2_rank,ARID1A_rank,SMARCB1_rank
VOA4841,CC,4.99,21.05,26.72,60.24,-3.19,0.69,0.48,-1.37,1,24,22,2
TOV112D,EC,11.9,0.35,51.78,150.08,-2.14,-1.51,1.65,0.9,2,4,30,26
COV434,SCCOHT,16.46,0.11,73.08,114.13,-1.72,-1.67,2.26,0.22,3,2,31,22
VOA10816,CC,31.46,12.35,13.01,48.5,-0.87,0.3,-0.75,-1.91,4,17,8,1
OV3133-R,HGS,32.52,2.48,6.7,62.38,-0.83,-0.77,-1.84,-1.28,5,7,1,5
OV2295,HGS,42.9,6.58,23.54,106.48,-0.45,-0.15,0.26,0.05,6,13,20,18
OV90,HGS,43.38,0.5,24.06,87.66,-0.44,-1.43,0.3,-0.44,7,5,21,8
OV4485,HGS,46.66,3.41,22.52,89.3,-0.34,-0.58,0.19,-0.39,8,10,17,11
TOV1369,HGS,50.99,5.27,13.5,150.47,-0.22,-0.3,-0.69,0.91,9,12,9,27
VOA8771,MC,53.08,21.24,27.5,109.23,-0.17,0.7,0.53,0.11,10,25,23,20
TOV3041G,HGS,57.55,15.95,16.32,171.13,-0.06,0.49,-0.37,1.23,11,21,13,28
VOA6861,CC,57.55,32.63,43.29,60.81,-0.06,1.03,1.33,-1.35,11,28,28,3
TOV3133G,HGS,59.2,1.87,15.35,105.69,-0.02,-0.92,-0.47,0.03,13,6,12,16
OV1369-R2,HGS,61.06,9.71,10.76,106.21,0.02,0.12,-1.07,0.04,14,15,5,17
TOV3392D,CC,64.81,5.03,7.52,202.98,0.1,-0.33,-1.65,1.66,15,11,2,30
OV1946,HGS,67.73,31.19,20.5,88.7,0.16,0.99,0.02,-0.41,16,27,14,10
VOA8762,MC,71.18,7.57,32.11,111.36,0.23,-0.05,0.8,0.16,17,14,26,21
TOV2414,MC,72.62,16.41,15.2,120.39,0.26,0.51,-0.49,0.35,18,22,11,24
OV3331,HGS,72.93,12.05,30.06,61.51,0.26,0.28,0.69,-1.32,19,16,25,4
TOV3291G,HGS,76.36,23.89,15.12,139.95,0.32,0.79,-0.5,0.73,20,26,10,25
OV2295-R2,HGS,81.68,2.97,11.4,337.25,0.42,-0.66,-0.97,2.93,21,9,6,31
VOA5217,MMMT,93.45,14.13,9.08,102.32,0.6,0.4,-1.35,-0.05,22,19,3,14
BIN67,SCCOHT,94.71,0.03,35.8,87.69,0.62,-1.73,1,-0.44,23,1,27,9
OV866-2,HGS,97.07,2.7,21.96,178.34,0.65,-0.72,0.14,1.33,24,8,16,29
TOV21G,CC,97.66,38,11.7,119.85,0.66,1.15,-0.93,0.34,25,29,7,23
VOA4395,EC,101.24,215.3,23.46,100.41,0.71,2.5,0.26,-0.1,26,31,19,13
VOA295,CC,103.52,16.87,22.71,90.25,0.74,0.53,0.2,-0.37,27,23,18,12
VOA5436,MMMT,104.76,42.92,9.26,73.35,0.75,1.24,-1.32,-0.88,28,30,4,6
OV2085,HGS,105.97,0.12,20.87,103.26,0.77,-1.66,0.05,-0.03,29,3,15,15
OV4453,HGS,129.09,14.74,29.83,107.66,1.04,0.43,0.67,0.07,30,20,24,19
VOA12539,CC,302.48,13.36,49.61,78.74,2.2,0.36,1.57,-0.71,31,18,29,7
