analysis,metric,value_31_lines,value_28_reps,delta,note,unit_31,unit_28
02 PCA,PC1 variance explained (%),20.63217,19.85821,-0.77396,NA,cell line (n=31),patient representative (n=28)
02 PCA,PC2 variance explained (%),10.38886,10.51348,0.12462,NA,cell line (n=31),patient representative (n=28)
02/17 PC confounder,PC1 R2 subtype,0.73381,0.78961,0.0558,NA,cell line (n=31),patient representative (n=28)
02/17 PC confounder,PC1 R2 site (3-level),0.31187,0.27216,-0.0397,NA,cell line (n=31),patient representative (n=28)
17A commonality,PC1 unique-subtype (commonality),0.42385,0.52013,0.09628,NA,cell line (n=31),patient representative (n=28)
17A commonality,PC1 unique-site (commonality),0.00191,0.00269,7.8e-4,NA,cell line (n=31),patient representative (n=28)
17A commonality,PC1 shared (commonality),0.30995,0.26947,-0.04048,NA,cell line (n=31),patient representative (n=28)
17A commonality,PC1 adjusted joint R2,0.65529,0.7196,0.06431,NA,cell line (n=31),patient representative (n=28)
02 silhouette,silhouette HGS,0.16061,0.14011,-0.0205,n: 15 -> 12,cell line (n=31),patient representative (n=28)
02 silhouette,silhouette CC,0.11915,0.10133,-0.01782,n: 7 -> 7,cell line (n=31),patient representative (n=28)
02 silhouette,silhouette EC,-0.01002,-0.0317,-0.02168,n: 2 -> 2,cell line (n=31),patient representative (n=28)
02 silhouette,silhouette MC,0.15871,0.14432,-0.01439,n: 3 -> 3,cell line (n=31),patient representative (n=28)
02 silhouette,silhouette MMMT,0.74351,0.72596,-0.01755,n: 2 -> 2,cell line (n=31),patient representative (n=28)
02 silhouette,silhouette SCCOHT,0.81944,0.79736,-0.02208,n: 2 -> 2,cell line (n=31),patient representative (n=28)
02 silhouette,silhouette ALL,0.22017,0.20739,-0.01278,n: 31 -> 28,cell line (n=31),patient representative (n=28)
03 DE,DE genes padj<0.05 (HGS one-vs-rest),7984,6421,-1563,n_group: 15 -> 12,cell line (n=31),patient representative (n=28)
03 DE,DE genes padj<0.05 (CC one-vs-rest),1288,839,-449,n_group: 7 -> 7,cell line (n=31),patient representative (n=28)
03 DE,DE genes padj<0.05 (EC one-vs-rest),1908,1808,-100,n_group: 2 -> 2,cell line (n=31),patient representative (n=28)
03 DE,DE genes padj<0.05 (MC one-vs-rest),565,592,27,n_group: 3 -> 3,cell line (n=31),patient representative (n=28)
03 DE,DE genes padj<0.05 (MMMT one-vs-rest),1419,1295,-124,n_group: 2 -> 2,cell line (n=31),patient representative (n=28)
03 DE,DE genes padj<0.05 (SCCOHT one-vs-rest),2258,2169,-89,n_group: 2 -> 2,cell line (n=31),patient representative (n=28)
03 signatures,up-signature genes padj<0.05 & log2FC>1 (HGS),2110,1654,-456,NA,cell line (n=31),patient representative (n=28)
03 signatures,up-signature genes padj<0.05 & log2FC>1 (CC),414,292,-122,NA,cell line (n=31),patient representative (n=28)
03 signatures,up-signature genes padj<0.05 & log2FC>1 (EC),284,276,-8,NA,cell line (n=31),patient representative (n=28)
03 signatures,up-signature genes padj<0.05 & log2FC>1 (MC),170,185,15,NA,cell line (n=31),patient representative (n=28)
03 signatures,up-signature genes padj<0.05 & log2FC>1 (MMMT),205,188,-17,NA,cell line (n=31),patient representative (n=28)
03 signatures,up-signature genes padj<0.05 & log2FC>1 (SCCOHT),301,297,-4,NA,cell line (n=31),patient representative (n=28)
03 GO recovery,GO recovery padj (HGS: DNA repair (HR/DSB)),0.0457,0.0646,0.0189,recovered (padj<0.05) -> suggestive (nominal p<0.05),cell line (n=31),patient representative (n=28)
03 GO recovery,GO recovery padj (CC: oxidative/glutathione/detox),0.0043,0.0047,4e-4,recovered (padj<0.05) -> recovered (padj<0.05),cell line (n=31),patient representative (n=28)
03 GO recovery,GO recovery padj (MC: glycan/oligosaccharide),0.119,0.15,0.031,suggestive (nominal p<0.05) -> suggestive (nominal p<0.05),cell line (n=31),patient representative (n=28)
03 GO recovery,GO recovery padj (MMMT: EMT / migration / ECM),0.447,0.569,0.122,not recovered -> not recovered,cell line (n=31),patient representative (n=28)
03 GO recovery,GO recovery padj (SCCOHT: cell cycle / mitosis),4e-5,5e-5,2e-5,recovered (padj<0.05) -> recovered (padj<0.05),cell line (n=31),patient representative (n=28)
