subtype,n,mean_sil,set
CC,7,0.11915167861065498,31 lines
EC,2,-0.0100242631893121,31 lines
HGS,15,0.16060676202505555,31 lines
MC,3,0.15871351985643165,31 lines
MMMT,2,0.7435078948100096,31 lines
SCCOHT,2,0.8194423506815509,31 lines
ALL,31,0.22016631305884546,31 lines
CC,7,0.10133309557316521,28 reps (HVG refit)
EC,2,-0.0317008700091958,28 reps (HVG refit)
HGS,12,0.1401066139893541,28 reps (HVG refit)
MC,3,0.1443186169059008,28 reps (HVG refit)
MMMT,2,0.7259597584091744,28 reps (HVG refit)
SCCOHT,2,0.7973594968724911,28 reps (HVG refit)
ALL,28,0.20738584493382312,28 reps (HVG refit)
CC,7,0.10828129871881231,28 reps (HVG fixed from 31)
EC,2,-0.011234816067889258,28 reps (HVG fixed from 31)
HGS,12,0.13595205486332324,28 reps (HVG fixed from 31)
MC,3,0.1400850918103273,28 reps (HVG fixed from 31)
MMMT,2,0.7316813085154379,28 reps (HVG fixed from 31)
SCCOHT,2,0.8028159748988036,28 reps (HVG fixed from 31)
ALL,28,0.20914906998268756,28 reps (HVG fixed from 31)
