modality,subtype,n,mean_sil,unit
RNA,HGS,15,0.1606,"cell line (per-line, NOT per-patient)"
RNA,CC,7,0.1192,"cell line (per-line, NOT per-patient)"
RNA,EC,2,-0.01,"cell line (per-line, NOT per-patient)"
RNA,MC,3,0.1587,"cell line (per-line, NOT per-patient)"
RNA,MMMT,2,0.7435,"cell line (per-line, NOT per-patient)"
RNA,SCCOHT,2,0.8194,"cell line (per-line, NOT per-patient)"
RNA,ALL,31,0.2202,"cell line (per-line, NOT per-patient)"
protein,HGS,15,0.1777,"cell line (per-line, NOT per-patient)"
protein,CC,7,-0.0035,"cell line (per-line, NOT per-patient)"
protein,EC,2,0.1278,"cell line (per-line, NOT per-patient)"
protein,MC,3,0.1408,"cell line (per-line, NOT per-patient)"
protein,MMMT,2,0.4095,"cell line (per-line, NOT per-patient)"
protein,SCCOHT,2,0.0284,"cell line (per-line, NOT per-patient)"
protein,ALL,31,0.1353,"cell line (per-line, NOT per-patient)"
