cell_line,subtype,source_site,patient_id,family,n_lines_in_family,patient_representative,has_rna,has_prot,has_wes_cnv,has_wes_maf,subtype_conflict,all_three,tmt_plex,tmt_channel,rna_passage,wes_passage,rna_pseudoalign_pct,rna_assigned_gene_counts_M,rna_sequenced_fragments_M,rna_genes_detected,prot_n_detected,prot_pct_missing,wes_n_coding,wes_indel_frac,wes_tstv,wes_is_hypermutator,msi_mmr_call,sbs_best_cosmic,fga_autosome,fga_withX_legacy,high_fga_flag,TP53,key_drivers,expression_consistent,expression_basis,genomics_consistent,swisnf_deficient,swisnf_tier3_only_calls,provisional_molecular_call,auth_flags,drivers_tier12,drivers_tier3,drivers_annotated,n_drivers_tier12,n_drivers_tier3,driver_context,consensusov_call,consensusov_prob_top,consensusov_margin,consensusov_call_inherited,consensusov_provenance,cellosaurus_accession,str_profile_documented,problematic_flag,current_stock_str_status,current_stock_mycoplasma_status
OV1369-R2,HGS,Mes-Masson,1369,1369,2,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Y,1,ch2,p69,P66,93.1,75.7,81.3,19767,7738,8.2,280,0.084,0.76,FALSE,no hypermutation signal,SBS5,0.859,0.742,TRUE,mut(G244C),TP53,consistent,absence of a competing CC/MC program (NOT a positive serous call),consistent,FALSE,NA,HGS (concordant),none,TP53,NA,TP53,1,0,NA,MES,0.372,0.08800000000000002,DIF,COMPUTED by scripts/18_external_benchmarking.R with consensusOV 1.30.0 on log2(TPM+1) Entrez-collapsed expression of the 15 HGSC RNA lines; seed 1234; concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults). Inherited labels from samples.csv `notes` retained for comparison.,CVCL_9T12,TRUE,NA,documentation pending author confirmation,documentation pending author confirmation
TOV1369,HGS,Mes-Masson,1369,1369,2,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,Y,2,ch4,p65,P65,93.1,61.5,66.1,19808,7758,7.9,321,0.06,0.7,FALSE,no hypermutation signal,SBS3,0.674,0.659,FALSE,mut(G244C),"NF1, TP53",consistent,absence of a competing CC/MC program (NOT a positive serous call),consistent,FALSE,NA,HGS (concordant),none,TP53,NF1,"NF1(T3), TP53",1,1,NA,DIF,0.738,0.596,DIF,COMPUTED by scripts/18_external_benchmarking.R with consensusOV 1.30.0 on log2(TPM+1) Entrez-collapsed expression of the 15 HGSC RNA lines; seed 1234; concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults). Inherited labels from samples.csv `notes` retained for comparison.,CVCL_9T17,TRUE,NA,documentation pending author confirmation,documentation pending author confirmation
OV2295,HGS,Mes-Masson,2295,2295,3,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Y,5,ch4,p64,P61,91.9,51.2,55.8,20174,7653,9.2,170,0.103,0.76,FALSE,no hypermutation signal,SBS5,0.396,0.428,FALSE,mut(I195T),"SMARCA2, TP53",consistent,absence of a competing CC/MC program (NOT a positive serous call),consistent,FALSE,SMARCA2,HGS (concordant),none,TP53,SMARCA2,"SMARCA2(T3), TP53",1,1,NA,DIF,0.456,0.15800000000000003,DIF,COMPUTED by scripts/18_external_benchmarking.R with consensusOV 1.30.0 on log2(TPM+1) Entrez-collapsed expression of the 15 HGSC RNA lines; seed 1234; concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults). Inherited labels from samples.csv `notes` retained for comparison.,CVCL_9T13,TRUE,NA,documentation pending author confirmation,documentation pending author confirmation
OV2295-R2,HGS,Mes-Masson,2295,2295,3,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,Y,3,ch2,p67,P70,90,87.3,97,19526,7562,10.3,272,0.135,0.6,FALSE,no hypermutation signal,SBS40,0.669,0.69,FALSE,mut(I195T),"ARID1A, TP53",consistent,absence of a competing CC/MC program (NOT a positive serous call),consistent,FALSE,NA,HGS (concordant),none,TP53,ARID1A,"ARID1A(T3), TP53",1,1,NA,IMR,0.368,0.118,IMR,COMPUTED by scripts/18_external_benchmarking.R with consensusOV 1.30.0 on log2(TPM+1) Entrez-collapsed expression of the 15 HGSC RNA lines; seed 1234; concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults). Inherited labels from samples.csv `notes` retained for comparison.,CVCL_9T14,TRUE,NA,documentation pending author confirmation,documentation pending author confirmation
TOV2295-R,HGS,Mes-Masson,2295,2295,3,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,-,NA,NA,NA,P57,NA,NA,NA,NA,NA,NA,190,0.084,0.76,FALSE,no hypermutation signal,SBS5,0.568,0.52,FALSE,mut(I195T),TP53,not assessed,not assessed (no RNA),consistent,FALSE,NA,HGS (genomics-supported),none,TP53,NA,TP53,1,0,NA,NA,NA,NA,NA,COMPUTED by scripts/18_external_benchmarking.R with consensusOV 1.30.0 on log2(TPM+1) Entrez-collapsed expression of the 15 HGSC RNA lines; seed 1234; concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults). Inherited labels from samples.csv `notes` retained for comparison.,CVCL_9T18,TRUE,NA,documentation pending author confirmation,documentation pending author confirmation
TOV3121D,HGS,Mes-Masson,3121,3121,2,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,-,NA,NA,NA,P68,NA,NA,NA,NA,NA,NA,158,0.147,1.03,FALSE,no hypermutation signal,SBS5,0.834,0.833,TRUE,mut(H214fs),TP53,not assessed,not assessed (no RNA),consistent,FALSE,NA,HGS (genomics-supported),none,TP53,NA,TP53,1,0,NA,NA,NA,NA,NA,COMPUTED by scripts/18_external_benchmarking.R with consensusOV 1.30.0 on log2(TPM+1) Entrez-collapsed expression of the 15 HGSC RNA lines; seed 1234; concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults). Inherited labels from samples.csv `notes` retained for comparison.,NA,FALSE,NA,documentation pending author confirmation,documentation pending author confirmation
TOV3121EP,HGS,Mes-Masson,3121,3121,2,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,-,NA,NA,NA,P68,NA,NA,NA,NA,NA,NA,206,0.111,0.68,FALSE,no hypermutation signal,SBS40,0.667,0.653,FALSE,mut(H214fs),TP53,not assessed,not assessed (no RNA),consistent,FALSE,NA,HGS (genomics-supported),none,TP53,NA,TP53,1,0,NA,NA,NA,NA,NA,COMPUTED by scripts/18_external_benchmarking.R with consensusOV 1.30.0 on log2(TPM+1) Entrez-collapsed expression of the 15 HGSC RNA lines; seed 1234; concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults). Inherited labels from samples.csv `notes` retained for comparison.,CVCL_A1SN,TRUE,NA,documentation pending author confirmation,documentation pending author confirmation
OV3133-R,HGS,Mes-Masson,3133,3133,4,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Y,1,ch3,p64,P71,91.2,54.8,60,19761,7738,8.2,186,0.101,0.84,FALSE,no hypermutation signal,SBS5,0.626,0.616,FALSE,mut(Q192*),"CDK12, TP53",consistent,absence of a competing CC/MC program (NOT a positive serous call),consistent,FALSE,NA,HGS (concordant),none,"CDK12, TP53",NA,"CDK12, TP53",2,0,NA,DIF,0.54,0.16800000000000004,DIF,COMPUTED by scripts/18_external_benchmarking.R with consensusOV 1.30.0 on log2(TPM+1) Entrez-collapsed expression of the 15 HGSC RNA lines; seed 1234; concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults). Inherited labels from samples.csv `notes` retained for comparison.,CVCL_9T15,TRUE,NA,documentation pending author confirmation,documentation pending author confirmation
OV3133-R2,HGS,Mes-Masson,3133,3133,4,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,-,NA,NA,NA,P58,NA,NA,NA,NA,NA,NA,166,0.094,0.82,FALSE,no hypermutation signal,SBS5,0.685,0.662,FALSE,mut(Q192*),"CDK12, TP53",not assessed,not assessed (no RNA),consistent,FALSE,NA,HGS (genomics-supported),none,"CDK12, TP53",NA,"CDK12, TP53",2,0,NA,NA,NA,NA,NA,COMPUTED by scripts/18_external_benchmarking.R with consensusOV 1.30.0 on log2(TPM+1) Entrez-collapsed expression of the 15 HGSC RNA lines; seed 1234; concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults). Inherited labels from samples.csv `notes` retained for comparison.,CVCL_9T16,TRUE,NA,documentation pending author confirmation,documentation pending author confirmation
TOV3133D,HGS,Mes-Masson,3133,3133,4,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,-,NA,NA,NA,P66,NA,NA,NA,NA,NA,NA,189,0.16,0.63,FALSE,no hypermutation signal,SBS5,0.605,0.583,FALSE,mut(Q192*),"BRCA2, CDK12, TP53",not assessed,not assessed (no RNA),consistent,FALSE,NA,HGS (genomics-supported),none,"CDK12, TP53",BRCA2,"BRCA2(T3), CDK12, TP53",2,1,NA,NA,NA,NA,NA,COMPUTED by scripts/18_external_benchmarking.R with consensusOV 1.30.0 on log2(TPM+1) Entrez-collapsed expression of the 15 HGSC RNA lines; seed 1234; concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults). Inherited labels from samples.csv `notes` retained for comparison.,CVCL_9T19,TRUE,NA,documentation pending author confirmation,documentation pending author confirmation
