assay,model,term,median_pct,mean_pct,q25_pct,q75_pct,n_features,n_features_input,n_features_dropped,n_samples,design
RNA,patient_dropped,subtype,7.099246508511673,15.455106883613997,0,25.79907244767319,22678,22678,0,31,"31 lines, 28 patient levels, 3 replicated patients (1369/2295/3133); site levels Huntsman=11, Huntsman/Vanderhyden=1, Mes-Masson=19"
RNA,patient_dropped,source_site,3.9215043852978635,14.744774157806425,0,25.626782724315106,22678,22678,0,31,"31 lines, 28 patient levels, 3 replicated patients (1369/2295/3133); site levels Huntsman=11, Huntsman/Vanderhyden=1, Mes-Masson=19"
RNA,patient_dropped,Residuals,72.22231710628016,69.80011895857969,51.93742211431953,92.032024702301,22678,22678,0,31,"31 lines, 28 patient levels, 3 replicated patients (1369/2295/3133); site levels Huntsman=11, Huntsman/Vanderhyden=1, Mes-Masson=19"
RNA,published_plus_passage_fixed,subtype,6.745045410083534,14.833520845087861,0,24.604887429998783,22677,22678,1,31,"31 lines, 28 patient levels, 3 replicated patients (1369/2295/3133); site levels Huntsman=11, Huntsman/Vanderhyden=1, Mes-Masson=19; passage added as a scaled FIXED covariate"
RNA,published_plus_passage_fixed,source_site,0,10.199472029098509,0,12.408595103320035,22677,22678,1,31,"31 lines, 28 patient levels, 3 replicated patients (1369/2295/3133); site levels Huntsman=11, Huntsman/Vanderhyden=1, Mes-Masson=19; passage added as a scaled FIXED covariate"
RNA,published_plus_passage_fixed,patient,25.06156372430761,29.465101017991007,6.930817931531151e-13,49.46089017680949,22677,22678,1,31,"31 lines, 28 patient levels, 3 replicated patients (1369/2295/3133); site levels Huntsman=11, Huntsman/Vanderhyden=1, Mes-Masson=19; passage added as a scaled FIXED covariate"
RNA,published_plus_passage_fixed,passage,4.618303602290854,9.155106895881321,0.9251750573173126,13.605913678525502,22677,22678,1,31,"31 lines, 28 patient levels, 3 replicated patients (1369/2295/3133); site levels Huntsman=11, Huntsman/Vanderhyden=1, Mes-Masson=19; passage added as a scaled FIXED covariate"
RNA,published_plus_passage_fixed,Residuals,30.48287057067998,36.346799211941274,11.91750018038567,56.571109560188695,22677,22678,1,31,"31 lines, 28 patient levels, 3 replicated patients (1369/2295/3133); site levels Huntsman=11, Huntsman/Vanderhyden=1, Mes-Masson=19; passage added as a scaled FIXED covariate"
protein,patient_dropped,subtype,9.688919529044222,17.335949349952884,0,30.00518647758496,6855,6855,0,31,"31 lines, 28 patient levels, 3 replicated patients (1369/2295/3133); site levels Huntsman=11, Huntsman/Vanderhyden=1, Mes-Masson=19; 5 TMT plexes"
protein,patient_dropped,source_site,6.187263587169726e-14,8.334448581442341,0,12.60017512414002,6855,6855,0,31,"31 lines, 28 patient levels, 3 replicated patients (1369/2295/3133); site levels Huntsman=11, Huntsman/Vanderhyden=1, Mes-Masson=19; 5 TMT plexes"
protein,patient_dropped,plex,0.47555455360855436,5.940394274971644,0,8.679286509958004,6855,6855,0,31,"31 lines, 28 patient levels, 3 replicated patients (1369/2295/3133); site levels Huntsman=11, Huntsman/Vanderhyden=1, Mes-Masson=19; 5 TMT plexes"
protein,patient_dropped,Residuals,70.92645240562871,68.38920779363313,51.90504480313067,87.3416167081637,6855,6855,0,31,"31 lines, 28 patient levels, 3 replicated patients (1369/2295/3133); site levels Huntsman=11, Huntsman/Vanderhyden=1, Mes-Masson=19; 5 TMT plexes"
