cell_line,wes_sample_id,recorded_wes_passage,mapping_status,source_file,source_sheet,source_row,source_sha256,provider_name,provider_library_name,run_type,library_source,capture_library_type,sequencing_type,adapter,provider_run,capture_bed_files,run_start_date,read_set_id,provider_number_of_reads,provider_number_of_cycles,read_configuration,provider_read_count_unit,mapping_note
OV1369-R2,OV1369_R2_P66,P66,name_and_passage_match,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,2,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804,OV1369(R2)_P66,OV1369.2_P66,PAIRED_END,gDNA,SeqCap Exome (Roche Nimblegen),Illumina HiSeq 4000 PE100,Illumina TruSeq LT,4316,SeqCap_EZ_Exome_v3.targets.bed;SeqCap_EZ_Exome_v3.probes.bed,2017-08-11,HI.4316.006.Index_4.OV1369-2_P66,"65,281,461",208,2 x 100 bp,provider-reported Number of Reads; not used as pipeline read denominator,
OV2085,OV2085_P64,P64,name_and_passage_match,mcgill_r004741_provenance/WES 2018 Mes-Masson.xlsx,HiSeqRead Tab,2,0db79e6f5115abace57df51634917e6677f055c21ac007ed15faaf761eae550f,OV2085_P64,OV2085_P64,PAIRED_END,gDNA,SeqCap Exome (Roche Nimblegen),Illumina HiSeq 4000 PE100,Illumina TruSeq LT,4706,SeqCap_EZ_Exome_v3.targets.bed;SeqCap_EZ_Exome_v3.probes.bed,2018-05-25,HI.4706.007.Index_9.OV2085_P64,"58,342,562",218,2 x 100 bp,provider-reported Number of Reads; not used as pipeline read denominator,
OV2295,OV2295_P61,P61,name_and_passage_match,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,3,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804,OV2295_P61,OV2295_P61,PAIRED_END,gDNA,SeqCap Exome (Roche Nimblegen),Illumina HiSeq 4000 PE100,Illumina TruSeq LT,4316,SeqCap_EZ_Exome_v3.targets.bed;SeqCap_EZ_Exome_v3.probes.bed,2017-08-11,HI.4316.005.Index_13.OV2295_P61,"57,756,188",208,2 x 100 bp,provider-reported Number of Reads; not used as pipeline read denominator,
OV2295-R2,OV2295_R2_P70,P70,name_and_passage_match,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,4,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804,OV2295(R2)_P70,OV2295.2_P70,PAIRED_END,gDNA,SeqCap Exome (Roche Nimblegen),Illumina HiSeq 4000 PE100,Illumina TruSeq LT,4316,SeqCap_EZ_Exome_v3.targets.bed;SeqCap_EZ_Exome_v3.probes.bed,2017-08-11,HI.4316.005.Index_6.OV2295-2_P70,"65,428,397",208,2 x 100 bp,provider-reported Number of Reads; not used as pipeline read denominator,
OV3133-R,OV3133_R_P71,P71,name_and_passage_match,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,5,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804,OV3133(R)_P71,OV3133_P71,PAIRED_END,gDNA,SeqCap Exome (Roche Nimblegen),Illumina HiSeq 4000 PE100,Illumina TruSeq LT,4316,SeqCap_EZ_Exome_v3.targets.bed;SeqCap_EZ_Exome_v3.probes.bed,2017-08-11,HI.4316.005.Index_18.OV3133_P71,"65,837,063",208,2 x 100 bp,provider-reported Number of Reads; not used as pipeline read denominator,
OV3133-R2,OV3133_R2_P58,P58,name_and_passage_match,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,6,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804,OV3133(R2)_P58,OV3133.2_P58,PAIRED_END,gDNA,SeqCap Exome (Roche Nimblegen),Illumina HiSeq 4000 PE100,Illumina TruSeq LT,4316,SeqCap_EZ_Exome_v3.targets.bed;SeqCap_EZ_Exome_v3.probes.bed,2017-08-11,HI.4316.006.Index_14.OV3133-2_P58,"69,326,021",208,2 x 100 bp,provider-reported Number of Reads; not used as pipeline read denominator,
OV3291,OV3291_P46,P46,name_and_passage_match,mcgill_r004741_provenance/WES 2018 Mes-Masson.xlsx,HiSeqRead Tab,3,0db79e6f5115abace57df51634917e6677f055c21ac007ed15faaf761eae550f,OV3291_P46,OV3291_P46,PAIRED_END,gDNA,SeqCap Exome (Roche Nimblegen),Illumina HiSeq 4000 PE100,Illumina TruSeq LT,4706,SeqCap_EZ_Exome_v3.targets.bed;SeqCap_EZ_Exome_v3.probes.bed,2018-05-25,HI.4706.007.Index_8.OV3291_P46,"58,967,358",218,2 x 100 bp,provider-reported Number of Reads; not used as pipeline read denominator,
OV3331,OV3331_P54,P54,name_and_passage_match,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,7,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804,OV3331_P54,OV3331_P54,PAIRED_END,gDNA,SeqCap Exome (Roche Nimblegen),Illumina HiSeq 4000 PE100,Illumina TruSeq LT,4316,SeqCap_EZ_Exome_v3.targets.bed;SeqCap_EZ_Exome_v3.probes.bed,2017-08-11,HI.4316.006.Index_5.OV3331_P54,"60,139,298",208,2 x 100 bp,provider-reported Number of Reads; not used as pipeline read denominator,
OV90,OV90_P63,P63,name_and_passage_match,mcgill_r004741_provenance/WES 2018 Mes-Masson.xlsx,HiSeqRead Tab,4,0db79e6f5115abace57df51634917e6677f055c21ac007ed15faaf761eae550f,OV90_P63,OV90_P63,PAIRED_END,gDNA,SeqCap Exome (Roche Nimblegen),Illumina HiSeq 4000 PE100,Illumina TruSeq LT,4706,SeqCap_EZ_Exome_v3.targets.bed;SeqCap_EZ_Exome_v3.probes.bed,2018-05-25,HI.4706.008.Index_22.OV90_P63,"59,224,256",218,2 x 100 bp,provider-reported Number of Reads; not used as pipeline read denominator,
TOV112D,TOV112D_P83,P83,name_and_passage_match,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,8,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804,TOV112D_P83,TOV112D_P83,PAIRED_END,gDNA,SeqCap Exome (Roche Nimblegen),Illumina HiSeq 4000 PE100,Illumina TruSeq LT,4316,SeqCap_EZ_Exome_v3.targets.bed;SeqCap_EZ_Exome_v3.probes.bed,2017-08-11,HI.4316.007.Index_8.TOV112D_P83,"62,823,621",208,2 x 100 bp,provider-reported Number of Reads; not used as pipeline read denominator,
