cell_line,field,value,source_file,source_sheet,source_cell,source_sha256
OV1369-R2,provider_name,OV1369(R2)_P66,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,A2,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
OV1369-R2,provider_library_name,OV1369.2_P66,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,B2,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
OV1369-R2,run_type,PAIRED_END,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,J2,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
OV1369-R2,library_source,gDNA,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,O2,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
OV1369-R2,capture_library_type,SeqCap Exome (Roche Nimblegen),mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,P2,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
OV1369-R2,sequencing_type,Illumina HiSeq 4000 PE100,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,Q2,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
OV1369-R2,adapter,Illumina TruSeq LT,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,T2,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
OV1369-R2,provider_run,4316,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,X2,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
OV1369-R2,capture_bed_files,SeqCap_EZ_Exome_v3.targets.bed;SeqCap_EZ_Exome_v3.probes.bed,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,AC2,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
OV1369-R2,run_start_date,2017-08-11,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,AD2,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
OV1369-R2,read_set_id,HI.4316.006.Index_4.OV1369-2_P66,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,AE2,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
OV1369-R2,provider_number_of_reads,"65,281,461",mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,AH2,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
OV1369-R2,provider_number_of_cycles,208,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,AI2,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
OV2085,provider_name,OV2085_P64,mcgill_r004741_provenance/WES 2018 Mes-Masson.xlsx,HiSeqRead Tab,A2,0db79e6f5115abace57df51634917e6677f055c21ac007ed15faaf761eae550f
OV2085,provider_library_name,OV2085_P64,mcgill_r004741_provenance/WES 2018 Mes-Masson.xlsx,HiSeqRead Tab,B2,0db79e6f5115abace57df51634917e6677f055c21ac007ed15faaf761eae550f
OV2085,run_type,PAIRED_END,mcgill_r004741_provenance/WES 2018 Mes-Masson.xlsx,HiSeqRead Tab,J2,0db79e6f5115abace57df51634917e6677f055c21ac007ed15faaf761eae550f
OV2085,library_source,gDNA,mcgill_r004741_provenance/WES 2018 Mes-Masson.xlsx,HiSeqRead Tab,O2,0db79e6f5115abace57df51634917e6677f055c21ac007ed15faaf761eae550f
OV2085,capture_library_type,SeqCap Exome (Roche Nimblegen),mcgill_r004741_provenance/WES 2018 Mes-Masson.xlsx,HiSeqRead Tab,P2,0db79e6f5115abace57df51634917e6677f055c21ac007ed15faaf761eae550f
OV2085,sequencing_type,Illumina HiSeq 4000 PE100,mcgill_r004741_provenance/WES 2018 Mes-Masson.xlsx,HiSeqRead Tab,Q2,0db79e6f5115abace57df51634917e6677f055c21ac007ed15faaf761eae550f
OV2085,adapter,Illumina TruSeq LT,mcgill_r004741_provenance/WES 2018 Mes-Masson.xlsx,HiSeqRead Tab,T2,0db79e6f5115abace57df51634917e6677f055c21ac007ed15faaf761eae550f
OV2085,provider_run,4706,mcgill_r004741_provenance/WES 2018 Mes-Masson.xlsx,HiSeqRead Tab,X2,0db79e6f5115abace57df51634917e6677f055c21ac007ed15faaf761eae550f
OV2085,capture_bed_files,SeqCap_EZ_Exome_v3.targets.bed;SeqCap_EZ_Exome_v3.probes.bed,mcgill_r004741_provenance/WES 2018 Mes-Masson.xlsx,HiSeqRead Tab,AC2,0db79e6f5115abace57df51634917e6677f055c21ac007ed15faaf761eae550f
OV2085,run_start_date,2018-05-25,mcgill_r004741_provenance/WES 2018 Mes-Masson.xlsx,HiSeqRead Tab,AD2,0db79e6f5115abace57df51634917e6677f055c21ac007ed15faaf761eae550f
OV2085,read_set_id,HI.4706.007.Index_9.OV2085_P64,mcgill_r004741_provenance/WES 2018 Mes-Masson.xlsx,HiSeqRead Tab,AE2,0db79e6f5115abace57df51634917e6677f055c21ac007ed15faaf761eae550f
OV2085,provider_number_of_reads,"58,342,562",mcgill_r004741_provenance/WES 2018 Mes-Masson.xlsx,HiSeqRead Tab,AH2,0db79e6f5115abace57df51634917e6677f055c21ac007ed15faaf761eae550f
OV2085,provider_number_of_cycles,218,mcgill_r004741_provenance/WES 2018 Mes-Masson.xlsx,HiSeqRead Tab,AI2,0db79e6f5115abace57df51634917e6677f055c21ac007ed15faaf761eae550f
OV2295,provider_name,OV2295_P61,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,A3,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
OV2295,provider_library_name,OV2295_P61,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,B3,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
OV2295,run_type,PAIRED_END,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,J3,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
OV2295,library_source,gDNA,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,O3,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
OV2295,capture_library_type,SeqCap Exome (Roche Nimblegen),mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,P3,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
OV2295,sequencing_type,Illumina HiSeq 4000 PE100,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,Q3,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
