arm,reported_direction,log2_threshold,arm_majority_frac,n_patients,n_patients_gain,n_patients_loss,pct_patients_gain,pct_patients_loss,pct_patients_reported,n_lines,pct_lines_gain,pct_lines_loss,is_headline
13q,loss,0.2,0.3,11,4,8,36,73,73,18,22,67,FALSE
17p,loss,0.2,0.3,11,1,8,9,73,73,18,17,67,FALSE
19q,gain,0.2,0.3,11,8,1,73,9,73,18,67,11,FALSE
20q,gain,0.2,0.3,11,10,0,91,0,91,18,83,0,FALSE
3q,gain,0.2,0.3,11,9,1,82,9,82,18,89,6,FALSE
8q,gain,0.2,0.3,11,9,2,82,18,82,18,83,11,FALSE
13q,loss,0.2,0.4,11,3,9,27,82,82,18,17,72,FALSE
17p,loss,0.2,0.4,11,0,9,0,82,82,18,0,83,FALSE
19q,gain,0.2,0.4,11,6,2,55,18,55,18,50,17,FALSE
20q,gain,0.2,0.4,11,10,0,91,0,91,18,83,0,FALSE
3q,gain,0.2,0.4,11,9,1,82,9,82,18,83,6,FALSE
8q,gain,0.2,0.4,11,9,2,82,18,82,18,78,11,FALSE
13q,loss,0.1,0.5,11,4,8,36,73,73,18,22,56,FALSE
17p,loss,0.1,0.5,11,0,9,0,82,82,18,0,83,FALSE
19q,gain,0.1,0.5,11,6,4,55,36,55,18,50,28,FALSE
20q,gain,0.1,0.5,11,11,0,100,0,100,18,94,0,FALSE
3q,gain,0.1,0.5,11,9,1,82,9,82,18,83,6,FALSE
8q,gain,0.1,0.5,11,8,3,73,27,73,18,78,17,FALSE
13q,loss,0.15,0.5,11,3,8,27,73,73,18,17,56,FALSE
17p,loss,0.15,0.5,11,0,9,0,82,82,18,0,83,FALSE
19q,gain,0.15,0.5,11,6,2,55,18,55,18,44,17,FALSE
20q,gain,0.15,0.5,11,11,0,100,0,100,18,89,0,FALSE
3q,gain,0.15,0.5,11,9,1,82,9,82,18,83,6,FALSE
8q,gain,0.15,0.5,11,8,3,73,27,73,18,67,17,FALSE
13q,loss,0.2,0.5,11,3,7,27,64,64,18,17,50,TRUE
17p,loss,0.2,0.5,11,0,9,0,82,82,18,0,83,TRUE
19q,gain,0.2,0.5,11,6,2,55,18,55,18,44,17,TRUE
20q,gain,0.2,0.5,11,10,0,91,0,91,18,78,0,TRUE
3q,gain,0.2,0.5,11,9,1,82,9,82,18,83,6,TRUE
8q,gain,0.2,0.5,11,8,2,73,18,73,18,67,11,TRUE
13q,loss,0.25,0.5,11,3,6,27,55,55,18,17,44,FALSE
17p,loss,0.25,0.5,11,0,8,0,73,73,18,0,78,FALSE
19q,gain,0.25,0.5,11,5,1,45,9,45,18,33,11,FALSE
20q,gain,0.25,0.5,11,10,0,91,0,91,18,78,0,FALSE
3q,gain,0.25,0.5,11,8,1,73,9,73,18,72,6,FALSE
8q,gain,0.25,0.5,11,8,2,73,18,73,18,67,11,FALSE
13q,loss,0.3,0.5,11,2,6,18,55,55,18,11,44,FALSE
17p,loss,0.3,0.5,11,0,8,0,73,73,18,0,72,FALSE
19q,gain,0.3,0.5,11,4,1,36,9,36,18,22,6,FALSE
20q,gain,0.3,0.5,11,9,0,82,0,82,18,61,0,FALSE
3q,gain,0.3,0.5,11,7,1,64,9,64,18,67,6,FALSE
8q,gain,0.3,0.5,11,7,2,64,18,64,18,56,11,FALSE
13q,loss,0.4,0.5,11,2,5,18,45,45,18,11,39,FALSE
17p,loss,0.4,0.5,11,0,6,0,55,55,18,0,61,FALSE
19q,gain,0.4,0.5,11,4,0,36,0,36,18,22,0,FALSE
20q,gain,0.4,0.5,11,7,0,64,0,64,18,44,0,FALSE
3q,gain,0.4,0.5,11,7,0,64,0,64,18,67,0,FALSE
8q,gain,0.4,0.5,11,6,1,55,9,55,18,50,6,FALSE
13q,loss,0.2,0.6,11,2,5,18,45,45,18,11,39,FALSE
17p,loss,0.2,0.6,11,0,7,0,64,64,18,0,72,FALSE
19q,gain,0.2,0.6,11,4,2,36,18,36,18,28,17,FALSE
20q,gain,0.2,0.6,11,10,0,91,0,91,18,67,0,FALSE
3q,gain,0.2,0.6,11,9,0,82,0,82,18,83,0,FALSE
8q,gain,0.2,0.6,11,7,2,64,18,64,18,56,11,FALSE
13q,loss,0.2,0.7,11,1,5,9,45,45,18,6,39,FALSE
17p,loss,0.2,0.7,11,0,6,0,55,55,18,0,56,FALSE
19q,gain,0.2,0.7,11,2,1,18,9,18,18,17,11,FALSE
20q,gain,0.2,0.7,11,8,0,73,0,73,18,50,0,FALSE
3q,gain,0.2,0.7,11,9,0,82,0,82,18,78,0,FALSE
8q,gain,0.2,0.7,11,7,1,64,9,64,18,50,6,FALSE
