cohort,bin_group,metric,n,n_primary_verified,minimum,median,maximum,unit,minimum_samples,maximum_samples,definition,source_ids
cnv_reference_exomes,target,length_weighted_mean_depth_x,5,5,75.84901811798208,92.39773501496865,95.72237620442272,x,SRR4039089,SRR4039097,sum(bin_length_bp * supplied_depth) / sum(bin_length_bp); rounded CNN means,CNVC005;CNVC007;CNVC009;CNVC011;CNVC013
cnv_reference_exomes,target,unweighted_mean_bin_depth_x,5,5,79.46739116568834,96.33294017995783,102.12622357885367,x,SRR4039089,SRR4039087,arithmetic mean of supplied bin depths; each bin has equal weight,CNVC005;CNVC007;CNVC009;CNVC011;CNVC013
cnv_reference_exomes,target,median_bin_depth_x,5,5,28.6885,47.1673,72.6337,x,SRR4039087,SRR4039096,median of supplied bin means; not median per-base depth,CNVC005;CNVC007;CNVC009;CNVC011;CNVC013
cnv_reference_exomes,target,zero_depth_bins,5,5,31560,41795,48010,bins,SRR4039089,SRR4039088,bins with supplied depth exactly zero,CNVC005;CNVC007;CNVC009;CNVC011;CNVC013
cnv_reference_exomes,target,zero_depth_bin_fraction,5,5,0.10864962561321972,0.1438850159221964,0.1652810052500215,fraction,SRR4039089,SRR4039088,zero-depth bins / all bins,CNVC005;CNVC007;CNVC009;CNVC011;CNVC013
cnv_reference_exomes,target,bp_in_zero_depth_bins,5,5,7161334,9475321,10867183,bp,SRR4039089,SRR4039088,sum of lengths of whole bins with zero mean depth,CNVC005;CNVC007;CNVC009;CNVC011;CNVC013
cnv_reference_exomes,target,fraction_bp_in_zero_depth_bins,5,5,0.11275196767883591,0.14918464732109898,0.1710988855394812,fraction,SRR4039089,SRR4039088,bp in zero-depth whole bins / summed bin bp; does not count zero-depth bases inside positive-mean bins,CNVC005;CNVC007;CNVC009;CNVC011;CNVC013
cnv_reference_exomes,target,positive_depth_bins,5,5,242465,248680,258915,bins,SRR4039088,SRR4039089,bins with mean depth >0; does not imply every base has coverage,CNVC005;CNVC007;CNVC009;CNVC011;CNVC013
cnv_reference_exomes,target,reference_retained_bins,5,5,204706,204706,204706,bins,SRR4039087;SRR4039088;SRR4039089;SRR4039096;SRR4039097,SRR4039087;SRR4039088;SRR4039089;SRR4039096;SRR4039097,bins passing pooled-reference mask reconstructed and previously reconciled to archived CNR coordinates,CNVC005;CNVC007;CNVC009;CNVC011;CNVC013
cnv_reference_exomes,target,zero_depth_reference_retained_bins,5,5,288,1884,4357,bins,SRR4039089,SRR4039088,zero-depth bins among reference-mask-passing bins,CNVC005;CNVC007;CNVC009;CNVC011;CNVC013
cnv_reference_exomes,target,positive_depth_reference_retained_bins,5,5,200349,202822,204418,bins,SRR4039088,SRR4039089,positive-depth bins among reference-mask-passing bins,CNVC005;CNVC007;CNVC009;CNVC011;CNVC013
cnv_reference_exomes,target,reference_retained_length_weighted_mean_depth_x,5,5,98.3748218546416,120.78702854219338,124.70230903612834,x,SRR4039089,SRR4039097,length-weighted depth across reference-mask-passing bins only,CNVC005;CNVC007;CNVC009;CNVC011;CNVC013
cnv_reference_exomes,antitarget,length_weighted_mean_depth_x,5,5,0.4519326019686067,0.5875317724456518,0.632582977621854,x,SRR4039089,SRR4039087,sum(bin_length_bp * supplied_depth) / sum(bin_length_bp); rounded CNN means,CNVC006;CNVC008;CNVC010;CNVC012;CNVC014
cnv_reference_exomes,antitarget,unweighted_mean_bin_depth_x,5,5,0.514401890022946,0.6500644633618207,0.6825361074862442,x,SRR4039089,SRR4039087,arithmetic mean of supplied bin depths; each bin has equal weight,CNVC006;CNVC008;CNVC010;CNVC012;CNVC014
cnv_reference_exomes,antitarget,median_bin_depth_x,5,5,0.27914,0.337466,0.381653,x,SRR4039089,SRR4039087,median of supplied bin means; not median per-base depth,CNVC006;CNVC008;CNVC010;CNVC012;CNVC014
cnv_reference_exomes,antitarget,zero_depth_bins,5,5,1038,1076,1115,bins,SRR4039089,SRR4039088,bins with supplied depth exactly zero,CNVC006;CNVC008;CNVC010;CNVC012;CNVC014
cnv_reference_exomes,antitarget,zero_depth_bin_fraction,5,5,0.024304010864220658,0.02519375307312276,0.026106909550680183,fraction,SRR4039089,SRR4039088,zero-depth bins / all bins,CNVC006;CNVC008;CNVC010;CNVC012;CNVC014
cnv_reference_exomes,antitarget,bp_in_zero_depth_bins,5,5,149820041,150437867,150783922,bp,SRR4039089,SRR4039088,sum of lengths of whole bins with zero mean depth,CNVC006;CNVC008;CNVC010;CNVC012;CNVC014
cnv_reference_exomes,antitarget,fraction_bp_in_zero_depth_bins,5,5,0.05806114052748809,0.05830057232825456,0.05843468221002425,fraction,SRR4039089,SRR4039088,bp in zero-depth whole bins / summed bin bp; does not count zero-depth bases inside positive-mean bins,CNVC006;CNVC008;CNVC010;CNVC012;CNVC014
cnv_reference_exomes,antitarget,positive_depth_bins,5,5,41594,41633,41671,bins,SRR4039088,SRR4039089,bins with mean depth >0; does not imply every base has coverage,CNVC006;CNVC008;CNVC010;CNVC012;CNVC014
cnv_reference_exomes,antitarget,reference_retained_bins,5,5,40923,40923,40923,bins,SRR4039087;SRR4039088;SRR4039089;SRR4039096;SRR4039097,SRR4039087;SRR4039088;SRR4039089;SRR4039096;SRR4039097,bins passing pooled-reference mask reconstructed and previously reconciled to archived CNR coordinates,CNVC006;CNVC008;CNVC010;CNVC012;CNVC014
cnv_reference_exomes,antitarget,zero_depth_reference_retained_bins,5,5,5,32,50,bins,SRR4039089,SRR4039088,zero-depth bins among reference-mask-passing bins,CNVC006;CNVC008;CNVC010;CNVC012;CNVC014
cnv_reference_exomes,antitarget,positive_depth_reference_retained_bins,5,5,40873,40891,40918,bins,SRR4039088,SRR4039089,positive-depth bins among reference-mask-passing bins,CNVC006;CNVC008;CNVC010;CNVC012;CNVC014
cnv_reference_exomes,antitarget,reference_retained_length_weighted_mean_depth_x,5,5,0.4122610805051471,0.5389336564029678,0.5824901343812824,x,SRR4039089,SRR4039087,length-weighted depth across reference-mask-passing bins only,CNVC006;CNVC008;CNVC010;CNVC012;CNVC014
baseline_models,target,length_weighted_mean_depth_x,23,23,78.64423795988303,89.86776319385591,98.66731858031979,x,TOV2414_P65,OV3133_R2_P58,sum(bin_length_bp * supplied_depth) / sum(bin_length_bp); rounded CNN means,CNVC015;CNVC017;CNVC019;CNVC021;CNVC023;CNVC025;CNVC027;CNVC029;CNVC031;CNVC033;CNVC035;CNVC037;CNVC039;CNVC041;CNVC043;CNVC045;CNVC047;CNVC049;CNVC051;CNVC053;CNVC055;CNVC057;CNVC059
baseline_models,target,unweighted_mean_bin_depth_x,23,23,80.40374854174628,92.64239215194794,102.03427498059985,x,TOV2414_P65,OV3133_R2_P58,arithmetic mean of supplied bin depths; each bin has equal weight,CNVC015;CNVC017;CNVC019;CNVC021;CNVC023;CNVC025;CNVC027;CNVC029;CNVC031;CNVC033;CNVC035;CNVC037;CNVC039;CNVC041;CNVC043;CNVC045;CNVC047;CNVC049;CNVC051;CNVC053;CNVC055;CNVC057;CNVC059
baseline_models,target,median_bin_depth_x,23,23,58.3512,65.3712,76.5263,x,TOV2929D_P57,TOV21G_P59,median of supplied bin means; not median per-base depth,CNVC015;CNVC017;CNVC019;CNVC021;CNVC023;CNVC025;CNVC027;CNVC029;CNVC031;CNVC033;CNVC035;CNVC037;CNVC039;CNVC041;CNVC043;CNVC045;CNVC047;CNVC049;CNVC051;CNVC053;CNVC055;CNVC057;CNVC059
baseline_models,target,zero_depth_bins,23,23,1420,1517,1695,bins,OV90_P63,OV2295_P61,bins with supplied depth exactly zero,CNVC015;CNVC017;CNVC019;CNVC021;CNVC023;CNVC025;CNVC027;CNVC029;CNVC031;CNVC033;CNVC035;CNVC037;CNVC039;CNVC041;CNVC043;CNVC045;CNVC047;CNVC049;CNVC051;CNVC053;CNVC055;CNVC057;CNVC059
baseline_models,target,zero_depth_bin_fraction,23,23,0.00488854462518289,0.005222480420001722,0.005835269816679577,fraction,OV90_P63,OV2295_P61,zero-depth bins / all bins,CNVC015;CNVC017;CNVC019;CNVC021;CNVC023;CNVC025;CNVC027;CNVC029;CNVC031;CNVC033;CNVC035;CNVC037;CNVC039;CNVC041;CNVC043;CNVC045;CNVC047;CNVC049;CNVC051;CNVC053;CNVC055;CNVC057;CNVC059
baseline_models,target,bp_in_zero_depth_bins,23,23,294024,316789,351232,bp,OV90_P63,OV2295_P61,sum of lengths of whole bins with zero mean depth,CNVC015;CNVC017;CNVC019;CNVC021;CNVC023;CNVC025;CNVC027;CNVC029;CNVC031;CNVC033;CNVC035;CNVC037;CNVC039;CNVC041;CNVC043;CNVC045;CNVC047;CNVC049;CNVC051;CNVC053;CNVC055;CNVC057;CNVC059
baseline_models,target,fraction_bp_in_zero_depth_bins,23,23,0.004629275012840072,0.004987699650513542,0.005529989120989594,fraction,OV90_P63,OV2295_P61,bp in zero-depth whole bins / summed bin bp; does not count zero-depth bases inside positive-mean bins,CNVC015;CNVC017;CNVC019;CNVC021;CNVC023;CNVC025;CNVC027;CNVC029;CNVC031;CNVC033;CNVC035;CNVC037;CNVC039;CNVC041;CNVC043;CNVC045;CNVC047;CNVC049;CNVC051;CNVC053;CNVC055;CNVC057;CNVC059
baseline_models,target,positive_depth_bins,23,23,288780,288958,289055,bins,OV2295_P61,OV90_P63,bins with mean depth >0; does not imply every base has coverage,CNVC015;CNVC017;CNVC019;CNVC021;CNVC023;CNVC025;CNVC027;CNVC029;CNVC031;CNVC033;CNVC035;CNVC037;CNVC039;CNVC041;CNVC043;CNVC045;CNVC047;CNVC049;CNVC051;CNVC053;CNVC055;CNVC057;CNVC059
baseline_models,target,reference_retained_bins,23,23,204706,204706,204706,bins,OV1369_R2_P66;OV2085_P64;OV2295_P61;OV2295_R2_P70;OV3133_R2_P58;OV3133_R_P71;OV3291_P46;OV3331_P54;OV90_P63;TOV112D_P83;TOV1369_P65;TOV21G_P59;TOV2295_R_P57;TOV2414_P65;TOV2835EP_P64;TOV2881EP_P64;TOV2929D_P57;TOV3121D_P68;TOV3121EP_P68;TOV3133D_P66;TOV3133G_P65;TOV3392D_P69;TOV81D_P23,OV1369_R2_P66;OV2085_P64;OV2295_P61;OV2295_R2_P70;OV3133_R2_P58;OV3133_R_P71;OV3291_P46;OV3331_P54;OV90_P63;TOV112D_P83;TOV1369_P65;TOV21G_P59;TOV2295_R_P57;TOV2414_P65;TOV2835EP_P64;TOV2881EP_P64;TOV2929D_P57;TOV3121D_P68;TOV3121EP_P68;TOV3133D_P66;TOV3133G_P65;TOV3392D_P69;TOV81D_P23,bins passing pooled-reference mask reconstructed and previously reconciled to archived CNR coordinates,CNVC015;CNVC017;CNVC019;CNVC021;CNVC023;CNVC025;CNVC027;CNVC029;CNVC031;CNVC033;CNVC035;CNVC037;CNVC039;CNVC041;CNVC043;CNVC045;CNVC047;CNVC049;CNVC051;CNVC053;CNVC055;CNVC057;CNVC059
baseline_models,target,zero_depth_reference_retained_bins,23,23,642,673,793,bins,TOV81D_P23,TOV1369_P65,zero-depth bins among reference-mask-passing bins,CNVC015;CNVC017;CNVC019;CNVC021;CNVC023;CNVC025;CNVC027;CNVC029;CNVC031;CNVC033;CNVC035;CNVC037;CNVC039;CNVC041;CNVC043;CNVC045;CNVC047;CNVC049;CNVC051;CNVC053;CNVC055;CNVC057;CNVC059
baseline_models,target,positive_depth_reference_retained_bins,23,23,203913,204033,204064,bins,TOV1369_P65,TOV81D_P23,positive-depth bins among reference-mask-passing bins,CNVC015;CNVC017;CNVC019;CNVC021;CNVC023;CNVC025;CNVC027;CNVC029;CNVC031;CNVC033;CNVC035;CNVC037;CNVC039;CNVC041;CNVC043;CNVC045;CNVC047;CNVC049;CNVC051;CNVC053;CNVC055;CNVC057;CNVC059
baseline_models,target,reference_retained_length_weighted_mean_depth_x,23,23,81.4074920378975,100.0956978492472,110.39085101589545,x,OV90_P63,OV3133_R2_P58,length-weighted depth across reference-mask-passing bins only,CNVC015;CNVC017;CNVC019;CNVC021;CNVC023;CNVC025;CNVC027;CNVC029;CNVC031;CNVC033;CNVC035;CNVC037;CNVC039;CNVC041;CNVC043;CNVC045;CNVC047;CNVC049;CNVC051;CNVC053;CNVC055;CNVC057;CNVC059
baseline_models,antitarget,length_weighted_mean_depth_x,23,23,1.2631068843325446e-05,1.9369591358166398e-05,2.9205798014599496e-05,x,TOV2414_P65,OV2085_P64,sum(bin_length_bp * supplied_depth) / sum(bin_length_bp); rounded CNN means,CNVC016;CNVC018;CNVC020;CNVC022;CNVC024;CNVC026;CNVC028;CNVC030;CNVC032;CNVC034;CNVC036;CNVC038;CNVC040;CNVC042;CNVC044;CNVC046;CNVC048;CNVC050;CNVC052;CNVC054;CNVC056;CNVC058;CNVC060
