bin_group,reference_mask_retained,positive_normal_count,n_normals,bins,bp,pooled_reference_zero_depth_bins,reference_source_id
target,False,0,5,23406,5305223,23406,CNVC003
target,False,1,5,9143,2082881,9143,CNVC003
target,False,2,5,8120,1843572,8120,CNVC003
target,False,3,5,5369,1219355,534,CNVC003
target,False,4,5,7665,1724487,3,CNVC003
target,False,5,5,32066,6609185,0,CNVC003
target,True,0,5,0,0,0,CNVC003
target,True,1,5,0,0,0,CNVC003
target,True,2,5,0,0,0,CNVC003
target,True,3,5,3355,752648,0,CNVC003
target,True,4,5,5478,1207257,0,CNVC003
target,True,5,5,195873,42769441,0,CNVC003
antitarget,False,0,5,1016,149504805,1016,CNVC003
antitarget,False,1,5,10,123213,10,CNVC003
antitarget,False,2,5,10,152097,9,CNVC003
antitarget,False,3,5,24,364113,0,CNVC003
antitarget,False,4,5,44,707542,0,CNVC003
antitarget,False,5,5,682,19906001,0,CNVC003
antitarget,True,0,5,0,0,0,CNVC003
antitarget,True,1,5,0,0,0,CNVC003
antitarget,True,2,5,0,0,0,CNVC003
antitarget,True,3,5,18,212998,0,CNVC003
antitarget,True,4,5,113,1547928,0,CNVC003
antitarget,True,5,5,40792,2407865354,0,CNVC003
