sample_id,cohort,cell_line,patient_id,bin_group,source_id,n_bins,summed_bin_bp,interval_union_bp,length_weighted_mean_depth_x,unweighted_mean_bin_depth_x,median_bin_depth_x,minimum_bin_depth_x,maximum_bin_depth_x,zero_depth_bins,positive_depth_bins,zero_depth_bin_fraction,bp_in_zero_depth_bins,fraction_bp_in_zero_depth_bins,reference_retained_bins,reference_retained_bp,zero_depth_reference_retained_bins,positive_depth_reference_retained_bins,bp_in_zero_depth_reference_retained_bins,reference_retained_length_weighted_mean_depth_x,maximum_abs_log2_depth_rounding_difference,coordinates_sha256,coordinates_and_genes_sha256,status
SRR4039087,cnv_reference_exomes,,,target,CNVC005,290475,63514049,63514049,95.46733222106747,102.12622357885367,28.6885,0.0,6522.06,41795,248680,0.1438850159221964,9475321,0.14918464732109898,204706,44729346,1884,202822,416836,122.04655793027017,5.5021441299984986e-05,23d8246024818ac5efda0744a22c7e97cd4ebd08003a62fee26a16f4fb69c465,2177970ffdbc933e488067f812e3ae4760310bd9a40fadf4e2fa5389480d955d,validated_primary_coverage_cnn
SRR4039087,cnv_reference_exomes,,,antitarget,CNVC006,42709,2580384051,2580384051,0.632582977621854,0.6825361074862442,0.381653,0.0,181.655,1076,41633,0.02519375307312276,150437867,0.05830057232825456,40923,2409626280,28,40895,380236,0.5824901343812824,1.1553613044945621e-05,cdc8a0c3473943fb2c8ecf5e6bd0ede43f92b4411b716279f427442b7197fa54,2e5e6be663829a6f409ddf49a44032842ff2dea1a523e5423707efacd451fa21,validated_primary_coverage_cnn
SRR4039088,cnv_reference_exomes,,,target,CNVC007,290475,63514049,63514049,83.75094144333116,88.75091680059265,30.875,0.0,5442.94,48010,242465,0.1652810052500215,10867183,0.1710988855394812,204706,44729346,4357,200349,970632,108.8153042356231,5.5471790295413825e-05,23d8246024818ac5efda0744a22c7e97cd4ebd08003a62fee26a16f4fb69c465,2177970ffdbc933e488067f812e3ae4760310bd9a40fadf4e2fa5389480d955d,validated_primary_coverage_cnn
SRR4039088,cnv_reference_exomes,,,antitarget,CNVC008,42709,2580384051,2580384051,0.5388954583575943,0.5793090976630219,0.334702,0.0,211.711,1115,41594,0.026106909550680183,150783922,0.05843468221002425,40923,2409626280,50,40873,608701,0.49422368723988275,4.108923856094293e-05,cdc8a0c3473943fb2c8ecf5e6bd0ede43f92b4411b716279f427442b7197fa54,2e5e6be663829a6f409ddf49a44032842ff2dea1a523e5423707efacd451fa21,validated_primary_coverage_cnn
SRR4039089,cnv_reference_exomes,,,target,CNVC009,290475,63514049,63514049,75.84901811798208,79.46739116568834,61.1901,0.0,8862.08,31560,258915,0.10864962561321972,7161334,0.11275196767883591,204706,44729346,288,204418,64129,98.3748218546416,5.594094058913868e-05,23d8246024818ac5efda0744a22c7e97cd4ebd08003a62fee26a16f4fb69c465,2177970ffdbc933e488067f812e3ae4760310bd9a40fadf4e2fa5389480d955d,validated_primary_coverage_cnn
SRR4039089,cnv_reference_exomes,,,antitarget,CNVC010,42709,2580384051,2580384051,0.4519326019686067,0.514401890022946,0.27914,0.0,181.631,1038,41671,0.024304010864220658,149820041,0.05806114052748809,40923,2409626280,5,40918,66212,0.4122610805051471,1.0765994006511903e-05,cdc8a0c3473943fb2c8ecf5e6bd0ede43f92b4411b716279f427442b7197fa54,2e5e6be663829a6f409ddf49a44032842ff2dea1a523e5423707efacd451fa21,validated_primary_coverage_cnn
SRR4039096,cnv_reference_exomes,,,target,CNVC011,290475,63514049,63514049,92.39773501496865,96.33294017995783,72.6337,0.0,9602.78,40929,249546,0.14090369222824684,9283199,0.14615977324953727,204706,44729346,1557,203149,346759,120.78702854219338,5.51559336834373e-05,23d8246024818ac5efda0744a22c7e97cd4ebd08003a62fee26a16f4fb69c465,2177970ffdbc933e488067f812e3ae4760310bd9a40fadf4e2fa5389480d955d,validated_primary_coverage_cnn
SRR4039096,cnv_reference_exomes,,,antitarget,CNVC012,42709,2580384051,2580384051,0.5875317724456518,0.6647665392834765,0.337466,0.0,246.4,1072,41637,0.025100095998501486,150332956,0.058259915202056874,40923,2409626280,34,40889,534867,0.5389336564029678,2.9517777447196636e-05,cdc8a0c3473943fb2c8ecf5e6bd0ede43f92b4411b716279f427442b7197fa54,2e5e6be663829a6f409ddf49a44032842ff2dea1a523e5423707efacd451fa21,validated_primary_coverage_cnn
SRR4039097,cnv_reference_exomes,,,target,CNVC013,290475,63514049,63514049,95.72237620442272,101.8527312259032,47.1673,0.0,9372.35,46259,244216,0.15925294775798263,10477068,0.16495670115441705,204706,44729346,4102,200604,914197,124.70230903612834,5.575375048039177e-05,23d8246024818ac5efda0744a22c7e97cd4ebd08003a62fee26a16f4fb69c465,2177970ffdbc933e488067f812e3ae4760310bd9a40fadf4e2fa5389480d955d,validated_primary_coverage_cnn
SRR4039097,cnv_reference_exomes,,,antitarget,CNVC014,42709,2580384051,2580384051,0.5969002058843889,0.6500644633618207,0.367871,0.0,282.251,1090,41619,0.02552155283429722,150508074,0.05832778029366296,40923,2409626280,32,40891,383908,0.5477752403407571,1.1499831198413801e-05,cdc8a0c3473943fb2c8ecf5e6bd0ede43f92b4411b716279f427442b7197fa54,2e5e6be663829a6f409ddf49a44032842ff2dea1a523e5423707efacd451fa21,validated_primary_coverage_cnn
