source_id,path,role,size_bytes,sha256,archive_member_sha256,archive_member_checksum_verified
CNVC001,reports/audit_2026-09-05/wes_cluster_models.csv,23-model sample aliases and patient origin,3296,1a9007cc96c53dfdebe98f595f90b2eaaede4e3f891f6e7100c0c2340c797ed3,,False
CNVC002,normals/intervals_sorted.target.bed,CNVkit split target design,13941386,2177970ffdbc933e488067f812e3ae4760310bd9a40fadf4e2fa5389480d955d,2177970ffdbc933e488067f812e3ae4760310bd9a40fadf4e2fa5389480d955d,True
CNVC003,normals/reference.cnn,Pooled empirical CNVkit reference; not a sixth sample,26875054,848c052274264ac544897977648860455ac742d89bc1de5edc7ece1ca185eeda,848c052274264ac544897977648860455ac742d89bc1de5edc7ece1ca185eeda,True
CNVC004,data/cluster_wes_retrieval/2026-09-05/ovcan_human_wes_handoff_2026-09-05/recovery/qc_metrics.tsv,September 5 reported-only normal depth summaries,560684,085f494b937b7575c1b14d8b78f57b9365cff63cd8e093e08c7f3d6d2cda601c,,False
CNVC005,normals/SRR4039087.sorted.targetcoverage.cnn,cnv_reference_exomes target primary bin depth,18164074,1e12a7b4427c7c1173bdcf4f00ee26d17cb3983ac87522e469770f1fa363f162,1e12a7b4427c7c1173bdcf4f00ee26d17cb3983ac87522e469770f1fa363f162,True
CNVC006,normals/SRR4039087.sorted.antitargetcoverage.cnn,cnv_reference_exomes antitarget primary bin depth,2240395,42eb9e52469bf4997f52c67a629e3fec17d1af9eaef73592c572c708bb7a1ee2,42eb9e52469bf4997f52c67a629e3fec17d1af9eaef73592c572c708bb7a1ee2,True
CNVC007,normals/SRR4039088.sorted.targetcoverage.cnn,cnv_reference_exomes target primary bin depth,18104285,d4a99f14b7a9e470cd2873a1bd5cf10fe7d7bfb5e64c838e6063e8e93cfacdad,d4a99f14b7a9e470cd2873a1bd5cf10fe7d7bfb5e64c838e6063e8e93cfacdad,True
CNVC008,normals/SRR4039088.sorted.antitargetcoverage.cnn,cnv_reference_exomes antitarget primary bin depth,2238125,89eee053527c5ba0442b9001472438b3aa6c2e2d0cfe3e0df2aa8b8255af23ef,89eee053527c5ba0442b9001472438b3aa6c2e2d0cfe3e0df2aa8b8255af23ef,True
CNVC009,normals/SRR4039089.sorted.targetcoverage.cnn,cnv_reference_exomes target primary bin depth,18234526,26317acb4ef31e79c3a39177b56d2ee32e990dbe69f6adbdb57592d0e97b72a3,26317acb4ef31e79c3a39177b56d2ee32e990dbe69f6adbdb57592d0e97b72a3,True
CNVC010,normals/SRR4039089.sorted.antitargetcoverage.cnn,cnv_reference_exomes antitarget primary bin depth,2236552,c2856f6225dcbd352a37c29bc55d35e4abbecc43ffee5d276c4fb55099bae19f,c2856f6225dcbd352a37c29bc55d35e4abbecc43ffee5d276c4fb55099bae19f,True
CNVC011,normals/SRR4039096.sorted.targetcoverage.cnn,cnv_reference_exomes target primary bin depth,18160247,2bd1229de933bda1c54d7d3438bcc7c44169381c83e2f8dbb488237c5ccc49b2,2bd1229de933bda1c54d7d3438bcc7c44169381c83e2f8dbb488237c5ccc49b2,True
CNVC012,normals/SRR4039096.sorted.antitargetcoverage.cnn,cnv_reference_exomes antitarget primary bin depth,2235992,8b27f59686941b9f3bf6680fa3e9790eb9f1e8e4b8509ecae22dca9a335f68fc,8b27f59686941b9f3bf6680fa3e9790eb9f1e8e4b8509ecae22dca9a335f68fc,True
CNVC013,normals/SRR4039097.sorted.targetcoverage.cnn,cnv_reference_exomes target primary bin depth,18114164,796281ccf50c05345ddeb3dd2b0b333f5012ed24a6c1512b03ed58e29320dfab,796281ccf50c05345ddeb3dd2b0b333f5012ed24a6c1512b03ed58e29320dfab,True
CNVC014,normals/SRR4039097.sorted.antitargetcoverage.cnn,cnv_reference_exomes antitarget primary bin depth,2239403,5ed8facec5265a81cbc6b3306a02ab037b952d6a87e8cbdb6c3f358fec68a5a4,5ed8facec5265a81cbc6b3306a02ab037b952d6a87e8cbdb6c3f358fec68a5a4,True
CNVC015,models/OV1369_R2_P66.targetcoverage.cnn,baseline_models target primary bin depth,18501417,47b10700303c1bc3b3d836f35ff6f90068d624e285d08cd6760fba6d066da1ca,47b10700303c1bc3b3d836f35ff6f90068d624e285d08cd6760fba6d066da1ca,True
CNVC016,models/OV1369_R2_P66.antitargetcoverage.cnn,baseline_models antitarget primary bin depth,1745733,d37e487792274f3230a79791653fa2fae343a1ca3acf71e6a719f8c354453b15,d37e487792274f3230a79791653fa2fae343a1ca3acf71e6a719f8c354453b15,True
CNVC017,models/OV2085_P64.targetcoverage.cnn,baseline_models target primary bin depth,18502083,fd2cd05886f8bb15fda26a9cefe713f4c28772e9885ea02766be2828be01daaa,fd2cd05886f8bb15fda26a9cefe713f4c28772e9885ea02766be2828be01daaa,True
