cell_line,subtype,n_segments,total_assessed_mb,fga_0.2,fga_0.3,frac_gain,frac_loss,n_segments_auto,total_assessed_autosome_mb,fga_auto_0.2,fga_auto_0.3,frac_gain_auto,frac_loss_auto,chrX_median_log2c,chrX_frac_altered,patient_id,n_lines_in_family,patient_representative,high_fga_flag
TOV3392D,CC,177,2815.981447,0.7173708424649291,0.5929243386098204,0.29816490690820946,0.4192059355567196,163,2665.977671,0.687532304541946,0.5842557257487248,0.2586754861083756,0.42885681843357043,0.8466597922473105,1,TOV3392D,1,TRUE,FALSE
TOV21G,CC,131,2821.38296,0.12714032518293794,0.10976795968172999,0.1136908627958822,0.013449462387055744,123,2670.560257,0.07802371897575948,0.059281432270636834,0.06381468403616702,0.014209034939592453,0.6464213821175415,0.9968293964337717,TOV21G,1,TRUE,FALSE
TOV112D,EC,133,2819.011655,0.2681420751344854,0.23545003115639832,0.24304543465961653,0.025096640474868842,123,2668.301198,0.23275812320794828,0.225296299926932,0.22376361763339433,0.008994505574553956,0.2419655517249936,0.8946085008553852,TOV112D,1,TRUE,FALSE
OV1369-R2,HGS,274,2803.479207,0.7417492442275853,0.6466098180695371,0.27243075393353544,0.4693184902940498,258,2652.975301,0.8591733609961716,0.5894901887742829,0.4982874211085616,0.36088593988761,0.40299535060958996,0.987469647465495,1369,2,TRUE,TRUE
TOV3121D,HGS,150,2817.135935,0.8331446952345947,0.6517264410955732,0.3596066857881318,0.47353800944646285,144,2666.284987,0.8343284419506053,0.6711374323167953,0.35189684320118025,0.48243159874942504,-0.10711848079402864,0.34402203425330813,3121,2,TRUE,TRUE
TOV2929D,HGS,220,2814.416815,0.8195247611182284,0.5840531225649318,0.41402383676420723,0.4055009243540211,211,2664.180747,0.7678335545752669,0.6644409423021779,0.36272365344887764,0.4051099011263893,-1.2195186255096526,0.872983956156254,TOV2929D,1,TRUE,TRUE
OV3133-R2,HGS,506,2788.151916,0.6624135422468852,0.5627310574421369,0.36181558085517174,0.3005979613917135,485,2639.591956,0.6852308660392054,0.5835198491565641,0.3690045049523556,0.31622636108684976,0.08972299817506015,0.30692237666192157,3133,4,FALSE,FALSE
OV2085,HGS,343,2789.252846,0.694132539033358,0.6028747119184619,0.25771950005567906,0.43641303897767897,314,2639.994382,0.6809400755762669,0.5708185416130935,0.2555122490408391,0.4254278265354278,-0.29933981134071114,0.9684798779652456,OV2085,1,TRUE,FALSE
TOV1369,HGS,307,2794.694726,0.6587243822637107,0.5612396403828187,0.26627965196940084,0.3924447302943098,290,2643.985122,0.6738048687098475,0.5707634061338716,0.27662921130461643,0.39717565740523103,0.0908965008041915,0.39415874916637694,1369,2,FALSE,FALSE
OV2295-R2,HGS,209,2812.657904,0.6895271640542888,0.537016745211685,0.35803601979745064,0.3314911442568381,205,2661.815244,0.6686283073221441,0.49362353377520896,0.3727407960550398,0.29588751126710433,-0.3232293635769471,1,2295,3,FALSE,FALSE
OV3291,HGS,468,2782.290085,0.6823913039247308,0.5776747366010183,0.3063388744383927,0.37605242948633805,456,2631.661827,0.6683377312977227,0.5758099591114372,0.28218037415792935,0.3861573571397933,0.7280925010971385,1,3291,2,FALSE,FALSE
TOV3121EP,HGS,158,2816.958315,0.6534260103170891,0.6345542706406715,0.2595310516691121,0.393894958647977,151,2666.148484,0.6668640578984347,0.6430352488950124,0.2728055197843962,0.3940585381140385,-0.21341404202905628,0.3817122704686275,3121,2,FALSE,FALSE
OV3133-R,HGS,452,2791.932155,0.6163246527743794,0.5289402961871041,0.3303055815122413,0.28601907126213816,436,2641.26584,0.6264178016249966,0.5400061998303056,0.3302643708896792,0.2961534307353174,0.14114635013805957,0.3416180584226806,3133,4,TRUE,FALSE
TOV2835EP,HGS,207,2807.935923,0.621557974918219,0.5569362014960767,0.20485503792602036,0.41670293699219857,194,2658.729249,0.6119860510851137,0.5446188488521796,0.2139720053156868,0.3980140457694269,-0.7899219604396867,0.7921210816615348,TOV2835EP,1,TRUE,FALSE
