cell_line,sample_id,source_cnr,resolved_source_cnr,source_cnr_sha256,target_cnr_sha256,target_cnr_scratch_path,cns_path,cns_sha256,target_cnr_bins,positive_depth_target_bins,contributing_target_bins,segments,archived_cns_source,archived_cns_sha256,log_scratch_path,elapsed_seconds
OV1369-R2,OV1369_R2_P66,judy_archive/data/cnvkit wes - new/All samples/OV1369_R2_P66_new/OV1369_R2_P66.cnr,/Users/dpcook/Analysis/ovcan_human/judy_archive/data/cnvkit wes - new/All samples/OV1369_R2_P66_new/OV1369_R2_P66.cnr,6592582eb3f33b934fa34b3cc207b78f40d906e05d4b5956895170b814937883,13704ad8f979bfe7332b7810b28ce733f380c42c9300a3d7c94176a59e287117,tmp/wes_cnv_target_only_2026-09-06/OV1369-R2.targetonly.cnr,output/wes_cnv_target_only/OV1369-R2.cns,7869856ed9acf9b50650c8716462dc2b8a1609c79b3612ce8951cd415da24284,204706,203927,203927,285,judy_archive/data/cnvkit wes - new/All samples/OV1369_R2_P66_new/OV1369_R2_P66.cns,8db5ae3d3f19553a5bf3a4368965a47ae1a67264112c849a60c0da91ae63cfda,tmp/wes_cnv_target_only_2026-09-06/OV1369-R2.targetonly.log,11.254049791023135
OV2085,OV2085_P64,judy_archive/data/cnvkit wes - new/All samples/OV2085_P64_new/OV2085_P64.cnr,/Users/dpcook/Analysis/ovcan_human/judy_archive/data/cnvkit wes - new/All samples/OV2085_P64_new/OV2085_P64.cnr,f77f13fbf2eec08d767f069f5ad02d2196a13b2c592ee93826dc89e0af148990,a7c48bea5703ffa494a9fef6783ab4becdc3548326940009772a76c34f85f8dd,tmp/wes_cnv_target_only_2026-09-06/OV2085.targetonly.cnr,output/wes_cnv_target_only/OV2085.cns,5aa4bcc1c6e51feafc4fe8c04d5aa95461b6e40d3296d8bb66079d3bb305b6d4,204706,204028,204028,355,judy_archive/data/cnvkit wes - new/All samples/OV2085_P64_new/OV2085_P64.cns,c53983fed37622ea9718b4fb362d1d5e7fd25bf3a3edbeb1836b8d69f7ee9c5a,tmp/wes_cnv_target_only_2026-09-06/OV2085.targetonly.log,11.221065832767636
OV2295,OV2295_P61,judy_archive/data/cnvkit wes - new/All samples/OV2295_P61_new/OV2295_P61.cnr,/Users/dpcook/Analysis/ovcan_human/judy_archive/data/cnvkit wes - new/All samples/OV2295_P61_new/OV2295_P61.cnr,e0fdda8e7d744067f11ce8dab639cd4596eaeb5afcc1a4403d28efb4fdba18bb,d6c595a1ab01ea520565e35ff82269810ee6d89f47dcd010f19c005f1a1f5f91,tmp/wes_cnv_target_only_2026-09-06/OV2295.targetonly.cnr,output/wes_cnv_target_only/OV2295.cns,4aa5f3ae4cff10ae57a7841a0ed5bc712edab79db80ed43b33ffb1a585dc4ec1,204706,203984,203984,200,judy_archive/data/cnvkit wes - new/All samples/OV2295_P61_new/OV2295_P61.cns,0b1e02d7a2ea899f48476cca446bc43c2424424e0f41897b0609cdbb3a340bd5,tmp/wes_cnv_target_only_2026-09-06/OV2295.targetonly.log,11.035388249903917
OV2295-R2,OV2295_R2_P70,judy_archive/data/cnvkit wes - new/All samples/OV2295_R2_P70_new/OV2295_R2_P70.cnr,/Users/dpcook/Analysis/ovcan_human/judy_archive/data/cnvkit wes - new/All samples/OV2295_R2_P70_new/OV2295_R2_P70.cnr,c030d116172c7d7d622bda2bc42cff0dd6ef0a09a5551a49818d8535f6bcb56e,521ae55d7531893410a882967d001587dc37376dd6b82d29409f1df17b1464e7,tmp/wes_cnv_target_only_2026-09-06/OV2295-R2.targetonly.cnr,output/wes_cnv_target_only/OV2295-R2.cns,064b83590cbe68544eeb6f6dbf992fb4341c49c6789eea8640e3ba36df666e40,204706,204037,204037,221,judy_archive/data/cnvkit wes - new/All samples/OV2295_R2_P70_new/OV2295_R2_P70.cns,3a70d92c21bc0f568ed7d35a602835be1d985405c0553cb30b71909f84cebc68,tmp/wes_cnv_target_only_2026-09-06/OV2295-R2.targetonly.log,11.17605624999851
OV3133-R,OV3133_R_P71,judy_archive/data/cnvkit wes - new/All samples/OV3133_R_P71_new/OV3133_R_P71.cnr,/Users/dpcook/Analysis/ovcan_human/judy_archive/data/cnvkit wes - new/All samples/OV3133_R_P71_new/OV3133_R_P71.cnr,c35ecc0fc6743759bcadf79f2f87247030e56b571f7d0b3f4135d3ac51c1da11,e41397bf7351224afae092c6cab63449ebaf4ecacafe48e8b0830e2b017cc3b9,tmp/wes_cnv_target_only_2026-09-06/OV3133-R.targetonly.cnr,output/wes_cnv_target_only/OV3133-R.cns,adee942b18ee2b1161f42b8ff11251110d65ce301f38b1c19dd94d86802920da,204706,204033,204033,463,judy_archive/data/cnvkit wes - new/All samples/OV3133_R_P71_new/OV3133_R_P71.cns,9290874b743c48afbe383ea9abf2196605df28b06c5e1f6d3e375ca3f72435c8,tmp/wes_cnv_target_only_2026-09-06/OV3133-R.targetonly.log,11.593445250298828
OV3133-R2,OV3133_R2_P58,judy_archive/data/cnvkit wes - new/OV3133_R2_P58_new/OV3133_R2_P58.cnr,/Users/dpcook/Analysis/ovcan_human/judy_archive/data/cnvkit wes - new/OV3133_R2_P58_new/OV3133_R2_P58.cnr,8e5bb742f296d726d7251c9644a78602461930d6178dca52d395ab63a18615d4,adbc0a8152abccd69c09e237fb3ff48e431e5bc9120e383060bad71bfc2cda3b,tmp/wes_cnv_target_only_2026-09-06/OV3133-R2.targetonly.cnr,output/wes_cnv_target_only/OV3133-R2.cns,72e942126c92298c0f14733ec298305cae480dffb4bd0948273a28a6a4265d9e,204706,204033,204033,517,judy_archive/data/cnvkit wes - new/OV3133_R2_P58_new/OV3133_R2_P58.cns,390588a9e2ed7fc8d35009c8b2229d777c49f5a0ac99ab51891e7ce9f94893eb,tmp/wes_cnv_target_only_2026-09-06/OV3133-R2.targetonly.log,11.445606040768325
OV3291,OV3291_P46,judy_archive/data/cnvkit wes - new/OV3291_P46_new/OV3291_P46.cnr,/Users/dpcook/Analysis/ovcan_human/judy_archive/data/cnvkit wes - new/OV3291_P46_new/OV3291_P46.cnr,cd970e62866bf472e4e70a74fe30b98ba961e1e873b1932f40e45a6ede6740db,e629620b5d7bbacf139d5218a08bd1880621f699b4cfcdfe75ebcc8cd6a02ee5,tmp/wes_cnv_target_only_2026-09-06/OV3291.targetonly.cnr,output/wes_cnv_target_only/OV3291.cns,99d476a8334619ca6f912157bedf9fae286149d73ea4a81ebad13d4a977b88c6,204706,204061,204061,480,judy_archive/data/cnvkit wes - new/OV3291_P46_new/OV3291_P46.cns,ca96c881a84d3b7e5d51958276087af07e7256d50fcdbd90294998fee1e66a91,tmp/wes_cnv_target_only_2026-09-06/OV3291.targetonly.log,10.88941266713664
OV3331,OV3331_P54,judy_archive/data/cnvkit wes - new/All samples/OV3331_P54_new/OV3331_P54.cnr,/Users/dpcook/Analysis/ovcan_human/judy_archive/data/cnvkit wes - new/All samples/OV3331_P54_new/OV3331_P54.cnr,8ec384a3b641262c80464b65f9ff3c1fbe4591a8fc2e0199c14816e44f0d0357,59813ef240c5684eed6f48d5096c1192a8cf6550883201be22dad052de434b0d,tmp/wes_cnv_target_only_2026-09-06/OV3331.targetonly.cnr,output/wes_cnv_target_only/OV3331.cns,f012ffdb3e7dae00dbe861f88152c83fcbc8a6b5f3f738909f33b671b3651d43,204706,203961,203961,234,judy_archive/data/cnvkit wes - new/All samples/OV3331_P54_new/OV3331_P54.cns,3c224c864908f988485f36dd07f638b4d84eae2d0b3ea3c855195fb7b54ca857,tmp/wes_cnv_target_only_2026-09-06/OV3331.targetonly.log,10.534432041924447
OV90,OV90_P63,judy_archive/data/cnvkit wes - new/All samples/OV90_P63_new/OV90_P63.cnr,/Users/dpcook/Analysis/ovcan_human/judy_archive/data/cnvkit wes - new/All samples/OV90_P63_new/OV90_P63.cnr,6f90c24bb229ffd2082efb7cb95d40d5ee10f46700f6fb7668d52cb482d63deb,a7b1326e1fe263fe02af1579306bec36737d0b479f6b690ad23b2ec3a6efecc6,tmp/wes_cnv_target_only_2026-09-06/OV90.targetonly.cnr,output/wes_cnv_target_only/OV90.cns,c627a89f81fa1f1f9b4d9d20ad6c783c930bdb1d30732c00b501c88bae7e244c,204706,204029,204029,205,judy_archive/data/cnvkit wes - new/All samples/OV90_P63_new/OV90_P63.cns,5a0dfeee44875cce110dfd358231853d2837cf5db87c631b51a051f27d337aa0,tmp/wes_cnv_target_only_2026-09-06/OV90.targetonly.log,10.82377545768395
TOV112D,TOV112D_P83,judy_archive/data/cnvkit wes - new/All samples/TOV112D_P83_new/TOV112D_P83.cnr,/Users/dpcook/Analysis/ovcan_human/judy_archive/data/cnvkit wes - new/All samples/TOV112D_P83_new/TOV112D_P83.cnr,8c77565e8f5fa28fd545f20ad6168494ea04ae5dc4668b0ea436e2fba941daa7,63225b4da0218ab825da8f8e61f80380687b7ca12513fe046904680bdc77f8df,tmp/wes_cnv_target_only_2026-09-06/TOV112D.targetonly.cnr,output/wes_cnv_target_only/TOV112D.cns,66516103f733ad22e61bb2d5deeff802fd808de4c5fbfea029925894cabed04e,204706,204013,204013,145,judy_archive/data/cnvkit wes - new/All samples/TOV112D_P83_new/TOV112D_P83.cns,0850746dbb15a9e46b9f8a7151d998fcd50abae74aaf2dceae40001de4441eec,tmp/wes_cnv_target_only_2026-09-06/TOV112D.targetonly.log,10.648898208048195
TOV1369,TOV1369_P65,judy_archive/data/cnvkit wes - new/All samples/TOV1369_P65_new/TOV1369_P65.cnr,/Users/dpcook/Analysis/ovcan_human/judy_archive/data/cnvkit wes - new/All samples/TOV1369_P65_new/TOV1369_P65.cnr,7defb72bc889e9ee6b6e5ad12312e593376e3222a6c3465831c29c379c8559a4,2d302428de485d09a9b01e6eccc2c5d9bd374bb861cd5d32d4950a063bf462ce,tmp/wes_cnv_target_only_2026-09-06/TOV1369.targetonly.cnr,output/wes_cnv_target_only/TOV1369.cns,6e3b4ef31d3b57d84c5a227f867bef186644a38a9644cac80d8cc2ca500c1d62,204706,203913,203913,318,judy_archive/data/cnvkit wes - new/All samples/TOV1369_P65_new/TOV1369_P65.cns,2d8933c59fa21051ca1d911b973d7c607cecf06eb6401f8c02d20c070e04ae6c,tmp/wes_cnv_target_only_2026-09-06/TOV1369.targetonly.log,10.717319458257407
TOV21G,TOV21G_P59,judy_archive/data/cnvkit wes - new/All samples/TOV21G_P59_new/TOV21G_P59.cnr,/Users/dpcook/Analysis/ovcan_human/judy_archive/data/cnvkit wes - new/All samples/TOV21G_P59_new/TOV21G_P59.cnr,71735f53193e3461d691761cbf80084eae9d82a2b87d7da8c3c510d012f1a7e2,c8b4324f1c937c59b332b0fcf6fd4cbc1aa136beafa12e34eda79643c70c04ec,tmp/wes_cnv_target_only_2026-09-06/TOV21G.targetonly.cnr,output/wes_cnv_target_only/TOV21G.cns,634642de25316ddb84f463a94fbb0c2930a26ec1972269edfb3408fa39562088,204706,204062,204062,143,judy_archive/data/cnvkit wes - new/All samples/TOV21G_P59_new/TOV21G_P59.cns,308e5100cf9affc7d331229c81e2b252fbaeccc3492350e8e4787f915e1be7d1,tmp/wes_cnv_target_only_2026-09-06/TOV21G.targetonly.log,10.647713375277817
