cell_line,subtype,load_rank,n_coding,n_indel,indel_frac,tstv,is_hypermutator,mmr_enzyme_hit,epcam_hit,mmr_genes_hit,mmr_variants,mmr_any_truncating,pole_hit,pold1_hit,mmr_panel_hit,has_pole_exo,mmr_note,ew_pass_snv,ew_pass_indel,ew_pass_indel_frac,n_snv_used,cos_mmr_d,cos_mmr_d_sig,cos_pole,cos_pole_sig,cos_clock,cos_clock_sig,cos_margin_mmrd_vs_clock,cos_margin_mmrd_vs_pole,cos_mmr_d_ge_075,best_cosmic,top3_cosmic,sbs_call,cosmic_source,cosmic_genome,mutationalpatterns_version,msi_mmr_call
TOV21G,CC,1,1416,392,0.27860696517412936,2.717948717948718,TRUE,FALSE,TRUE,EPCAM(truncating),EPCAM p.2_3fs [Frame_Shift_Ins; VAF NA (indel); ClinVar -],TRUE,FALSE,FALSE,TRUE,FALSE,"MMR-PANEL HIT — REPORT, DO NOT OMIT: EPCAM p.2_3fs (Frame_Shift_Ins). EPCAM is on this panel as an INDIRECT MMR mechanism (3'-end deletions silence MSH2 in cis); this call is a 5' frameshift near the start codon, which truncates EPCAM itself and does NOT invoke that mechanism. TUMOUR-ONLY WES, no matched normal => GERMLINE CANNOT BE EXCLUDED (EPCAM/Lynch germline deletions exist). The variant is novel in dbSNP, carries no VAF support (indel representations do not join the VCF), and sits in the panel's one hypermutator, where passenger risk is elevated. Requires MMR IHC / MSI-PCR and germline testing before any mechanistic claim.",2418,1022,0.29709302325581394,2417,0.8765484058520572,SBS6,0.31518264617032926,SBS10c,0.6514579638796552,SBS5,0.22509044197240202,0.5613657596817279,TRUE,SBS6,SBS6;SBS44;SBS15,MMR-d/MSI-like,COSMIC_v3.2,GRCh38,3.18.0,candidate MMR-d / MSI-high
TOV2929D,HGS,2,413,54,0.13466334164588528,0.5701357466063348,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,no retained coding candidate in the MMR / proofreading panel,883,137,0.13431372549019607,883,0.5928312882241557,SBS44,0.46778690897242503,SBS10c,0.8014485916532851,SBS40,-0.20861730342912943,0.12504437925173062,FALSE,SBS40,SBS40;SBS5;SBS3,clock/indeterminate,COSMIC_v3.2,GRCh38,3.18.0,no hypermutation signal
TOV1369,HGS,3,321,19,0.06031746031746032,0.7011494252873564,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,no retained coding candidate in the MMR / proofreading panel,688,46,0.06267029972752043,686,0.601689307251135,SBS6,0.3475907023304433,SBS10c,0.7530536271210072,SBS40,-0.1513643198698722,0.2540986049206917,FALSE,SBS3,SBS3;SBS40;SBS5,clock/indeterminate,COSMIC_v3.2,GRCh38,3.18.0,no hypermutation signal
OV1369-R2,HGS,4,280,23,0.08394160583941605,0.7552447552447552,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,no retained coding candidate in the MMR / proofreading panel,596,76,0.1130952380952381,594,0.6954203235866785,SBS6,0.35832506738978614,SBS10c,0.7354146004926982,SBS5,-0.039994276906019754,0.33709525619689235,FALSE,SBS5,SBS5;SBS3;SBS40,clock/indeterminate,COSMIC_v3.2,GRCh38,3.18.0,no hypermutation signal
OV2295-R2,HGS,5,272,36,0.13533834586466165,0.5972222222222222,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,no retained coding candidate in the MMR / proofreading panel,572,70,0.10903426791277258,572,0.5085821096439466,SBS6,0.38653779447546127,SBS10c,0.7781899743651396,SBS40,-0.269607864721193,0.1220443151684853,FALSE,SBS40,SBS40;SBS3;SBS94,clock/indeterminate,COSMIC_v3.2,GRCh38,3.18.0,no hypermutation signal
TOV81D,LGS,6,264,48,0.1867704280155642,0.6328125,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,no retained coding candidate in the MMR / proofreading panel,612,135,0.18072289156626506,608,0.6075387805783788,SBS44,0.4212884988544047,SBS10c,0.8247148923265339,SBS5,-0.2171761117481551,0.18625028172397412,FALSE,SBS5,SBS5;SBS40;SBS3,clock/indeterminate,COSMIC_v3.2,GRCh38,3.18.0,no hypermutation signal
TOV2835EP,HGS,7,252,36,0.14754098360655737,0.7777777777777778,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,no retained coding candidate in the MMR / proofreading panel,516,84,0.14,514,0.5974729164232188,SBS6,0.4896706535528903,SBS10c,0.7538128821632815,SBS5,-0.1563399657400627,0.10780226287032846,FALSE,SBS5,SBS5;SBS40;SBS3,clock/indeterminate,COSMIC_v3.2,GRCh38,3.18.0,no hypermutation signal
OV90,HGS,8,240,19,0.08333333333333333,0.9904761904761905,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,no retained coding candidate in the MMR / proofreading panel,586,43,0.06836248012718601,583,0.691362738972732,SBS6,0.3635235120089704,SBS10c,0.8070191465408201,SBS5,-0.11565640756808804,0.32783922696376167,FALSE,SBS5,SBS5;SBS40;SBS3,clock/indeterminate,COSMIC_v3.2,GRCh38,3.18.0,no hypermutation signal
TOV2881EP,HGS,9,240,14,0.059322033898305086,0.7209302325581395,FALSE,FALSE,FALSE,MSH3(missense),MSH3 p.Y334F [Missense_Mutation; VAF 0.649; ClinVar uncertain_significance],FALSE,FALSE,FALSE,TRUE,FALSE,MMR-PANEL HIT — secondary/proofreading gene: MSH3 p.Y334F [Missense_Mutation; VAF 0.649; ClinVar uncertain_significance]. Tumour-only WES => germline cannot be excluded; not an established MMR-loss mechanism on its own.,563,46,0.0755336617405583,559,0.5796451403321707,SBS6,0.45538812776183957,SBS10c,0.7632747321008371,SBS5,-0.18362959176866633,0.12425701257033117,FALSE,SBS5,SBS5;SBS40;SBS3,clock/indeterminate,COSMIC_v3.2,GRCh38,3.18.0,no hypermutation signal
OV2085,HGS,10,207,18,0.08955223880597014,1.010989010989011,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,no retained coding candidate in the MMR / proofreading panel,476,40,0.07751937984496124,476,0.6584143067839169,SBS6,0.3551549354000042,SBS10b,0.7850286190052017,SBS5,-0.12661431222128483,0.3032593713839127,FALSE,SBS5,SBS5;SBS40;SBS3,clock/indeterminate,COSMIC_v3.2,GRCh38,3.18.0,no hypermutation signal
OV3291,HGS,11,207,13,0.0663265306122449,0.8484848484848485,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,no retained coding candidate in the MMR / proofreading panel,430,32,0.06926406926406926,430,0.5910714773391454,SBS44,0.41817695997879095,SBS10c,0.7647135991588787,SBS5,-0.17364212181973326,0.1728945173603545,FALSE,SBS5,SBS5;SBS40;SBS3,clock/indeterminate,COSMIC_v3.2,GRCh38,3.18.0,no hypermutation signal
TOV3121EP,HGS,12,206,22,0.1111111111111111,0.6761904761904762,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,no retained coding candidate in the MMR / proofreading panel,401,51,0.11283185840707964,400,0.5909184847725979,SBS6,0.43618831018637727,SBS10c,0.725380124901725,SBS40,-0.1344616401291271,0.15473017458622063,FALSE,SBS40,SBS40;SBS5;SBS3,clock/indeterminate,COSMIC_v3.2,GRCh38,3.18.0,no hypermutation signal
TOV3392D,CC,13,196,16,0.08376963350785341,0.9230769230769231,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,no retained coding candidate in the MMR / proofreading panel,430,49,0.1022964509394572,427,0.6678225195103956,SBS6,0.40319937494443164,SBS10c,0.7418700267523197,SBS5,-0.0740475072419241,0.264623144565964,FALSE,SBS5,SBS5;SBS40;SBS6,clock/indeterminate,COSMIC_v3.2,GRCh38,3.18.0,no hypermutation signal
TOV3133G,HGS,14,191,26,0.14130434782608695,0.6989247311827957,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,no retained coding candidate in the MMR / proofreading panel,432,65,0.13078470824949698,430,0.584066881843542,SBS6,0.40533603866296336,SBS10c,0.7929264044723573,SBS5,-0.20885952262881524,0.1787308431805787,FALSE,SBS5,SBS5;SBS40;SBS3,clock/indeterminate,COSMIC_v3.2,GRCh38,3.18.0,no hypermutation signal
TOV2295-R,HGS,15,190,15,0.08379888268156424,0.7634408602150538,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,no retained coding candidate in the MMR / proofreading panel,418,47,0.1010752688172043,418,0.5352973782207238,SBS6,0.3605059558772251,SBS10c,0.768840458065632,SBS5,-0.23354307984490819,0.17479142234349865,FALSE,SBS5,SBS5;SBS40;SBS3,clock/indeterminate,COSMIC_v3.2,GRCh38,3.18.0,no hypermutation signal
TOV3133D,HGS,16,189,29,0.16022099447513813,0.6344086021505376,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,no retained coding candidate in the MMR / proofreading panel,413,65,0.13598326359832635,411,0.5335784591752786,SBS6,0.3820667442127075,SBS10c,0.7359489379623468,SBS5,-0.20237047878706826,0.1515117149625711,FALSE,SBS5,SBS5;SBS40;SBS94,clock/indeterminate,COSMIC_v3.2,GRCh38,3.18.0,no hypermutation signal
OV3133-R,HGS,17,186,18,0.10112359550561797,0.8390804597701149,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,no retained coding candidate in the MMR / proofreading panel,438,56,0.11336032388663968,437,0.5410762436884086,SBS6,0.39767746760782774,SBS10c,0.7758489028928052,SBS5,-0.2347726592043966,0.14339877608058083,FALSE,SBS5,SBS5;SBS40;SBS3,clock/indeterminate,COSMIC_v3.2,GRCh38,3.18.0,no hypermutation signal
OV2295,HGS,18,170,17,0.10303030303030303,0.7619047619047619,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,no retained coding candidate in the MMR / proofreading panel,404,61,0.13118279569892474,403,0.5654457449088899,SBS6,0.3556097062573409,SBS10c,0.7507824468957753,SBS5,-0.18533670198688545,0.20983603865154898,FALSE,SBS5,SBS5;SBS3;SBS40,clock/indeterminate,COSMIC_v3.2,GRCh38,3.18.0,no hypermutation signal
OV3133-R2,HGS,19,166,15,0.09433962264150944,0.8227848101265823,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,no retained coding candidate in the MMR / proofreading panel,396,62,0.13537117903930132,395,0.6281290718864233,SBS6,0.4362073155232192,SBS10c,0.7952125769903043,SBS5,-0.16708350510388104,0.19192175636320413,FALSE,SBS5,SBS5;SBS40;SBS3,clock/indeterminate,COSMIC_v3.2,GRCh38,3.18.0,no hypermutation signal
TOV3121D,HGS,20,158,22,0.14666666666666667,1.0317460317460319,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,no retained coding candidate in the MMR / proofreading panel,317,46,0.12672176308539945,316,0.6357143846744407,SBS6,0.3705652403241691,SBS10c,0.7791791719392616,SBS5,-0.14346478726482081,0.26514914435027165,FALSE,SBS5,SBS5;SBS40;SBS92,clock/indeterminate,COSMIC_v3.2,GRCh38,3.18.0,no hypermutation signal
OV3331,HGS,21,155,24,0.16,1.2105263157894737,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,no retained coding candidate in the MMR / proofreading panel,306,55,0.1523545706371191,303,0.6605951527303263,SBS6,0.30672014086089455,SBS10c,0.7149486084113109,SBS5,-0.0543534556809846,0.35387501186943177,FALSE,SBS5,SBS5;SBS6;SBS92,clock/indeterminate,COSMIC_v3.2,GRCh38,3.18.0,no hypermutation signal
TOV2414,MC,22,142,11,0.07857142857142857,0.9253731343283582,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,no retained coding candidate in the MMR / proofreading panel,386,22,0.05392156862745098,386,0.6663157541007052,SBS6,0.3805903772744256,SBS10c,0.7648417877521253,SBS5,-0.0985260336514201,0.28572537682627963,FALSE,SBS5,SBS5;SBS40;SBS6,clock/indeterminate,COSMIC_v3.2,GRCh38,3.18.0,no hypermutation signal
TOV112D,EC,23,133,12,0.09302325581395349,0.9180327868852459,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,no retained coding candidate in the MMR / proofreading panel,337,31,0.08423913043478261,336,0.6243972500994739,SBS6,0.3751829978194665,SBS10c,0.7346547114991576,SBS5,-0.11025746139968373,0.24921425228000738,FALSE,SBS5,SBS5;SBS40;SBS6,clock/indeterminate,COSMIC_v3.2,GRCh38,3.18.0,no hypermutation signal
