load_rank,cell_line,subtype,patient_id,family,n_family_maf_lines,is_wes_patient_rep,n_coding,n_snv,n_ins,n_del,n_indel,indel_frac,n_mnv,n_ts,n_tv,tstv,ts_frac,fold_over_median,robust_z,is_hypermutator
1,TOV21G,CC,TOV21G,NA,1,TRUE,1416,1015,54,338,392,0.27860696517412936,9,742,273,2.717948717948718,0.7310344827586207,6.87378640776699,20.403345474167004,TRUE
2,TOV2929D,HGS,TOV2929D,NA,1,TRUE,413,347,14,40,54,0.13466334164588528,12,126,221,0.5701357466063348,0.3631123919308357,2.004854368932039,3.4904896802913803,FALSE
3,TOV1369,HGS,1369,1369,2,FALSE,321,296,2,17,19,0.06031746031746032,6,122,174,0.7011494252873564,0.41216216216216217,1.558252427184466,1.9391609334952113,FALSE
4,OV1369-R2,HGS,1369,1369,2,TRUE,280,251,5,18,23,0.08394160583941605,6,108,143,0.7552447552447552,0.4302788844621514,1.3592233009708738,1.2478079050317012,FALSE
5,OV2295-R2,HGS,2295,2295,3,FALSE,272,230,10,26,36,0.13533834586466165,6,86,144,0.5972222222222222,0.3739130434782609,1.3203883495145632,1.112909753136382,FALSE
6,TOV81D,LGS,TOV81D,NA,1,TRUE,264,209,21,27,48,0.1867704280155642,7,81,128,0.6328125,0.3875598086124402,1.2815533980582525,0.9780116012410631,FALSE
7,TOV2835EP,HGS,TOV2835EP,NA,1,TRUE,252,208,3,33,36,0.14754098360655737,8,91,117,0.7777777777777778,0.4375,1.2233009708737863,0.7756643733980845,FALSE
8,OV90,HGS,OV90,NA,1,TRUE,240,209,7,12,19,0.08333333333333333,12,104,105,0.9904761904761905,0.49760765550239233,1.1650485436893203,0.5733171455551059,FALSE
9,TOV2881EP,HGS,TOV2881EP,NA,1,TRUE,240,222,5,9,14,0.059322033898305086,4,93,129,0.7209302325581395,0.4189189189189189,1.1650485436893203,0.5733171455551059,FALSE
10,OV2085,HGS,OV2085,NA,1,TRUE,207,183,3,15,18,0.08955223880597014,6,92,91,1.010989010989011,0.5027322404371585,1.0048543689320388,0.01686226898691488,FALSE
11,OV3291,HGS,3291,3291,1,TRUE,207,183,3,10,13,0.0663265306122449,11,84,99,0.8484848484848485,0.45901639344262296,1.0048543689320388,0.01686226898691488,FALSE
12,TOV3121EP,HGS,3121,3121,2,FALSE,206,176,5,17,22,0.1111111111111111,8,71,105,0.6761904761904762,0.4034090909090909,1,0,FALSE
13,TOV3392D,CC,TOV3392D,NA,1,TRUE,196,175,4,12,16,0.08376963350785341,5,84,91,0.9230769230769231,0.48,0.9514563106796117,-0.1686226898691488,FALSE
14,TOV3133G,HGS,3133,3133,4,FALSE,191,158,6,20,26,0.14130434782608695,7,65,93,0.6989247311827957,0.41139240506329117,0.9271844660194175,-0.25293403480372323,FALSE
15,TOV2295-R,HGS,2295,2295,3,FALSE,190,164,0,15,15,0.08379888268156424,11,71,93,0.7634408602150538,0.4329268292682927,0.9223300970873787,-0.26979630379063807,FALSE
16,TOV3133D,HGS,3133,3133,4,FALSE,189,152,6,23,29,0.16022099447513813,8,59,93,0.6344086021505376,0.3881578947368421,0.9174757281553398,-0.28665857277755297,FALSE
17,OV3133-R,HGS,3133,3133,4,TRUE,186,160,6,12,18,0.10112359550561797,8,73,87,0.8390804597701149,0.45625,0.9029126213592233,-0.3372453797382976,FALSE
18,OV2295,HGS,2295,2295,3,TRUE,170,148,1,16,17,0.10303030303030303,5,64,84,0.7619047619047619,0.43243243243243246,0.8252427184466019,-0.6070416835289357,FALSE
19,OV3133-R2,HGS,3133,3133,4,FALSE,166,144,4,11,15,0.09433962264150944,7,65,79,0.8227848101265823,0.4513888888888889,0.8058252427184466,-0.6744907594765952,FALSE
20,TOV3121D,HGS,3121,3121,2,TRUE,158,128,4,18,22,0.14666666666666667,8,65,63,1.0317460317460319,0.5078125,0.7669902912621359,-0.8093889113719143,FALSE
21,OV3331,HGS,OV3331,NA,1,TRUE,155,126,2,22,24,0.16,5,69,57,1.2105263157894737,0.5476190476190477,0.7524271844660194,-0.859975718332659,FALSE
22,TOV2414,MC,TOV2414,NA,1,TRUE,142,129,1,10,11,0.07857142857142857,2,62,67,0.9253731343283582,0.4806201550387597,0.6893203883495146,-1.0791852151625523,FALSE
23,TOV112D,EC,TOV112D,NA,1,TRUE,133,117,2,10,12,0.09302325581395349,4,56,61,0.9180327868852459,0.47863247863247865,0.6456310679611651,-1.2309456360447864,FALSE
