cell_line,patient_id,wes_sample_id,stage,depth_x,fraction_ge_depth,fraction_decimal_places,target_summed_bp,source_id
OV1369-R2,1369,OV1369_R2_P66,md,0,1.0,2,63709951,WQC0020
OV1369-R2,1369,OV1369_R2_P66,md,1,0.99,2,63709951,WQC0020
OV1369-R2,1369,OV1369_R2_P66,md,2,0.99,2,63709951,WQC0020
OV1369-R2,1369,OV1369_R2_P66,md,3,0.98,2,63709951,WQC0020
OV1369-R2,1369,OV1369_R2_P66,md,4,0.98,2,63709951,WQC0020
OV1369-R2,1369,OV1369_R2_P66,md,5,0.98,2,63709951,WQC0020
OV1369-R2,1369,OV1369_R2_P66,md,6,0.97,2,63709951,WQC0020
OV1369-R2,1369,OV1369_R2_P66,md,7,0.97,2,63709951,WQC0020
OV1369-R2,1369,OV1369_R2_P66,md,8,0.96,2,63709951,WQC0020
OV1369-R2,1369,OV1369_R2_P66,md,9,0.96,2,63709951,WQC0020
OV1369-R2,1369,OV1369_R2_P66,md,10,0.95,2,63709951,WQC0020
OV1369-R2,1369,OV1369_R2_P66,md,11,0.94,2,63709951,WQC0020
OV1369-R2,1369,OV1369_R2_P66,md,12,0.94,2,63709951,WQC0020
OV1369-R2,1369,OV1369_R2_P66,md,13,0.93,2,63709951,WQC0020
OV1369-R2,1369,OV1369_R2_P66,md,14,0.92,2,63709951,WQC0020
OV1369-R2,1369,OV1369_R2_P66,md,15,0.91,2,63709951,WQC0020
OV1369-R2,1369,OV1369_R2_P66,md,16,0.91,2,63709951,WQC0020
OV1369-R2,1369,OV1369_R2_P66,md,17,0.9,2,63709951,WQC0020
OV1369-R2,1369,OV1369_R2_P66,md,18,0.89,2,63709951,WQC0020
OV1369-R2,1369,OV1369_R2_P66,md,19,0.88,2,63709951,WQC0020
OV1369-R2,1369,OV1369_R2_P66,md,20,0.87,2,63709951,WQC0020
OV1369-R2,1369,OV1369_R2_P66,md,21,0.86,2,63709951,WQC0020
OV1369-R2,1369,OV1369_R2_P66,md,22,0.85,2,63709951,WQC0020
OV1369-R2,1369,OV1369_R2_P66,md,23,0.84,2,63709951,WQC0020
OV1369-R2,1369,OV1369_R2_P66,md,24,0.83,2,63709951,WQC0020
OV1369-R2,1369,OV1369_R2_P66,md,25,0.82,2,63709951,WQC0020
OV1369-R2,1369,OV1369_R2_P66,md,26,0.81,2,63709951,WQC0020
OV1369-R2,1369,OV1369_R2_P66,md,27,0.8,2,63709951,WQC0020
OV1369-R2,1369,OV1369_R2_P66,md,28,0.79,2,63709951,WQC0020
OV1369-R2,1369,OV1369_R2_P66,md,29,0.78,2,63709951,WQC0020
OV1369-R2,1369,OV1369_R2_P66,md,30,0.77,2,63709951,WQC0020
OV1369-R2,1369,OV1369_R2_P66,md,31,0.76,2,63709951,WQC0020
OV1369-R2,1369,OV1369_R2_P66,md,32,0.75,2,63709951,WQC0020
OV1369-R2,1369,OV1369_R2_P66,md,33,0.73,2,63709951,WQC0020
OV1369-R2,1369,OV1369_R2_P66,md,34,0.72,2,63709951,WQC0020
OV1369-R2,1369,OV1369_R2_P66,md,35,0.71,2,63709951,WQC0020
OV1369-R2,1369,OV1369_R2_P66,md,36,0.7,2,63709951,WQC0020
OV1369-R2,1369,OV1369_R2_P66,md,37,0.69,2,63709951,WQC0020
OV1369-R2,1369,OV1369_R2_P66,md,38,0.68,2,63709951,WQC0020
OV1369-R2,1369,OV1369_R2_P66,md,39,0.67,2,63709951,WQC0020
OV1369-R2,1369,OV1369_R2_P66,md,40,0.66,2,63709951,WQC0020
OV1369-R2,1369,OV1369_R2_P66,md,41,0.65,2,63709951,WQC0020
OV1369-R2,1369,OV1369_R2_P66,md,42,0.64,2,63709951,WQC0020
OV1369-R2,1369,OV1369_R2_P66,md,43,0.63,2,63709951,WQC0020
OV1369-R2,1369,OV1369_R2_P66,md,44,0.62,2,63709951,WQC0020
OV1369-R2,1369,OV1369_R2_P66,md,45,0.61,2,63709951,WQC0020
OV1369-R2,1369,OV1369_R2_P66,md,46,0.6,2,63709951,WQC0020
OV1369-R2,1369,OV1369_R2_P66,md,47,0.59,2,63709951,WQC0020
OV1369-R2,1369,OV1369_R2_P66,md,48,0.58,2,63709951,WQC0020
OV1369-R2,1369,OV1369_R2_P66,md,49,0.57,2,63709951,WQC0020
OV1369-R2,1369,OV1369_R2_P66,md,50,0.56,2,63709951,WQC0020
OV1369-R2,1369,OV1369_R2_P66,md,51,0.55,2,63709951,WQC0020
OV1369-R2,1369,OV1369_R2_P66,md,52,0.54,2,63709951,WQC0020
OV1369-R2,1369,OV1369_R2_P66,md,53,0.53,2,63709951,WQC0020
OV1369-R2,1369,OV1369_R2_P66,md,54,0.53,2,63709951,WQC0020
OV1369-R2,1369,OV1369_R2_P66,md,55,0.52,2,63709951,WQC0020
OV1369-R2,1369,OV1369_R2_P66,md,56,0.51,2,63709951,WQC0020
OV1369-R2,1369,OV1369_R2_P66,md,57,0.5,2,63709951,WQC0020
OV1369-R2,1369,OV1369_R2_P66,md,58,0.49,2,63709951,WQC0020
OV1369-R2,1369,OV1369_R2_P66,md,59,0.48,2,63709951,WQC0020
OV1369-R2,1369,OV1369_R2_P66,md,60,0.47,2,63709951,WQC0020
OV1369-R2,1369,OV1369_R2_P66,md,61,0.47,2,63709951,WQC0020
OV1369-R2,1369,OV1369_R2_P66,md,62,0.46,2,63709951,WQC0020
OV1369-R2,1369,OV1369_R2_P66,md,63,0.45,2,63709951,WQC0020
OV1369-R2,1369,OV1369_R2_P66,md,64,0.44,2,63709951,WQC0020
OV1369-R2,1369,OV1369_R2_P66,md,65,0.43,2,63709951,WQC0020
OV1369-R2,1369,OV1369_R2_P66,md,66,0.43,2,63709951,WQC0020
OV1369-R2,1369,OV1369_R2_P66,md,67,0.42,2,63709951,WQC0020
OV1369-R2,1369,OV1369_R2_P66,md,68,0.41,2,63709951,WQC0020
OV1369-R2,1369,OV1369_R2_P66,md,69,0.41,2,63709951,WQC0020
OV1369-R2,1369,OV1369_R2_P66,md,70,0.4,2,63709951,WQC0020
OV1369-R2,1369,OV1369_R2_P66,md,71,0.39,2,63709951,WQC0020
OV1369-R2,1369,OV1369_R2_P66,md,72,0.38,2,63709951,WQC0020
OV1369-R2,1369,OV1369_R2_P66,md,73,0.38,2,63709951,WQC0020
OV1369-R2,1369,OV1369_R2_P66,md,74,0.37,2,63709951,WQC0020
