cohort,metric,n,n_primary_verified,minimum,median,maximum,minimum_models,maximum_models,status,source_ids,unit,denominator,alignment_stage,notes
baseline_models,fastp_reads_before,23,23,111671640,125534004,138652042,TOV2414,OV3133-R2,validated_recovered_reports,WQC0011,read ends (R1+R2),both reads from each paired fragment,fastp,
baseline_models,fastp_pairs_before,23,23,55835820,62767002,69326021,TOV2414,OV3133-R2,validated_recovered_reports,WQC0011,paired fragments,R1+R2 count divided by two; paired-end balance verified,fastp,
baseline_models,fastp_reads_after,23,23,108382950,123188938,136781554,TOV2414,OV3133-R2,validated_recovered_reports,WQC0011,read ends (R1+R2),both reads from each paired fragment,fastp,
baseline_models,fastp_pairs_after,23,23,54191475,61594469,68390777,TOV2414,OV3133-R2,validated_recovered_reports,WQC0011,paired fragments,R1+R2 count divided by two; paired-end balance verified,fastp,
baseline_models,fastp_read_retention_fraction,23,23,0.9701125265545327,0.9856299432342495,0.9887504509128556,TOV3392D,OV1369-R2,validated_recovered_reports,WQC0011,fraction,fastp reads before filtering (R1+R2),fastp,
baseline_models,fastp_bases_after,23,23,10838295000,12318893800,13678155400,TOV2414,OV3133-R2,validated_recovered_reports,WQC0011,bases,both mates after fastp filtering,fastp,
baseline_models,fastp_q30_bases_after,23,23,9573493912,11192875598,12572648431,TOV2414,OV3133-R2,validated_recovered_reports,WQC0011,bases,bases after filtering with Phred quality >=30,fastp,
baseline_models,fastp_q30_fraction_after,23,23,0.8813330739801274,0.9196756315416982,0.930489356061147,TOV2881EP,TOV3133G,validated_recovered_reports,WQC0011,fraction,all bases after fastp filtering,fastp,Recomputed from integer base counts; source q30_rate is rounded to six decimals.
baseline_models,fastp_gc_fraction_after,23,23,0.421606,0.435285,0.47134,TOV2929D,OV90,validated_recovered_reports,WQC0011,fraction,all bases after fastp filtering,fastp,Source precision six decimals.
baseline_models,fastp_read1_mean_length_after,23,23,99,100,100,TOV81D,OV1369-R2;OV2085;OV2295;OV2295-R2;OV3133-R;OV3133-R2;OV3291;OV3331;OV90;TOV112D;TOV1369;TOV21G;TOV2295-R;TOV2414;TOV2835EP;TOV2881EP;TOV2929D;TOV3121D;TOV3121EP;TOV3133D;TOV3133G;TOV3392D,validated_recovered_reports,WQC0011,bp,read1 after fastp filtering,fastp,
