cell_line,patient_id,histotype,wes_sample_id,wes_passage,input_lane,target_bed_source_id,target_summed_bp,target_union_bp,fastp_source_id,fastp_record_key,fastp_original_report,fastp_reads_before,fastp_pairs_before,fastp_reads_after,fastp_pairs_after,fastp_read_retention_fraction,fastp_bases_after,fastp_q30_bases_after,fastp_q30_fraction_after,fastp_gc_fraction_after,fastp_read1_mean_length_after,fastp_read2_mean_length_after,md_samtools_source_id,md_primary_reads,md_mapped_reads,md_unmapped_reads,md_properly_paired_reads,md_mq0_reads,md_duplicate_reads,md_supplementary_alignments,md_mapped_fraction,md_properly_paired_fraction,md_mq0_fraction_of_mapped,md_mosdepth_summary_source_id,md_mosdepth_distribution_source_id,mosdepth_md_target_denominator_bp,mosdepth_md_target_omitted_no_read_contig_bp,mosdepth_md_target_depth_sum,mosdepth_md_mean_target_depth_x,mosdepth_md_fraction_target_ge_1x,mosdepth_md_fraction_target_ge_10x,mosdepth_md_fraction_target_ge_20x,mosdepth_md_fraction_target_ge_30x,mosdepth_md_fraction_target_ge_50x,mosdepth_md_fraction_target_ge_100x,recal_samtools_source_id,recal_primary_reads,recal_mapped_reads,recal_unmapped_reads,recal_properly_paired_reads,recal_mq0_reads,recal_duplicate_reads,recal_supplementary_alignments,recal_mapped_fraction,recal_properly_paired_fraction,recal_mq0_fraction_of_mapped,recal_mosdepth_summary_source_id,recal_mosdepth_distribution_source_id,mosdepth_recal_target_denominator_bp,mosdepth_recal_target_omitted_no_read_contig_bp,mosdepth_recal_target_depth_sum,mosdepth_recal_mean_target_depth_x,mosdepth_recal_fraction_target_ge_1x,mosdepth_recal_fraction_target_ge_10x,mosdepth_recal_fraction_target_ge_20x,mosdepth_recal_fraction_target_ge_30x,mosdepth_recal_fraction_target_ge_50x,mosdepth_recal_fraction_target_ge_100x,recal_primary_read_retention_fraction,recal_primary_reads_not_retained,picard_source_id,picard_examined_mapped_read_ends,picard_duplicate_read_ends,picard_duplication_fraction,contamination_source_id,gatk_contamination_fraction,gatk_contamination_reported_error
OV1369-R2,1369,HGS,OV1369_R2_P66,P66,6,WQC0006,63709951,63514049,WQC0011,OV1369_R2_P66-6,/project/6090753/active/ovcan_gq_analysis/work/d6/49a5b349bc12975c15f725b0a7a04d/27/OV1369_R2_P66-6.fastp.json,130562922,65281461,129094148,64547074,0.9887504509128556,12909414800,11926131302,0.9238320626276568,0.430971,100,100,WQC0018,129094148,129050201,43947,128048344,18091465,25523028,538640,0.9996595740342932,0.9918989046660737,0.14018935933311719,WQC0019,WQC0020,63709951,0,5377679883,84.40879012762072,0.99,0.95,0.87,0.77,0.56,0.24,WQC0021,95340485,95339246,1239,94936396,11940331,19200034,66494,0.9999870044713953,0.9957616221482406,0.12524045973680137,WQC0022,WQC0023,63709444,507,5377793783,84.4112496571152,0.99,0.95,0.87,0.77,0.56,0.24,0.7385345228817034,33753663,WQC0024,129050201,25523028,0.197776,WQC0025,0.004492365865977324,0.0014274079589085605
OV2085,OV2085,HGS,OV2085_P64,P64,7,WQC0006,63709951,63514049,WQC0011,OV2085_P64-7,/project/6090753/active/ovcan_gq_analysis/work/d6/49a5b349bc12975c15f725b0a7a04d/26/OV2085_P64-7.fastp.json,116685124,58342562,113508306,56754153,0.9727744386679488,11350830600,10385722908,0.914974707489688,0.449834,100,100,WQC0026,113508306,113397095,111211,112081162,14830760,16907627,508251,0.999020239100388,0.9874269641553809,0.13078606643318333,WQC0027,WQC0028,63709951,0,4790745411,75.19618734285324,0.99,0.96,0.9,0.79,0.55,0.19,WQC0029,77400292,77397996,2296,76948820,8845548,11639441,38571,0.9999703360292233,0.9941670504292154,0.1142865249379325,WQC0030,WQC0031,63709444,507,4790844342,75.19833860110285,0.99,0.96,0.9,0.79,0.55,0.19,0.6818909974746694,36108014,WQC0032,113397095,16907627,0.149101,WQC0033,0.0039035532372166996,0.001224962585545167
OV2295,2295,HGS,OV2295_P61,P61,5,WQC0006,63709951,63514049,WQC0011,OV2295_P61-5,/project/6090753/active/ovcan_gq_analysis/work/d6/49a5b349bc12975c15f725b0a7a04d/29/OV2295_P61-5.fastp.json,115512376,57756188,113903904,56951952,0.9860753275475868,11390390400,10522307605,0.9237881438198993,0.431953,100,100,WQC0034,113903904,113845650,58254,112896828,13955311,24477769,460876,0.9994885688904921,0.9911585471205623,0.1225809769631075,WQC0035,WQC0036,63709951,0,4741555671,74.42409853682041,0.99,0.95,0.86,0.75,0.53,0.2,WQC0037,84110114,84108671,1443,83738122,9125181,18488326,51100,0.9999828439181523,0.9955773214146398,0.10849274981410656,WQC0038,WQC0039,63709444,507,4741650275,74.42617573306714,0.99,0.95,0.86,0.75,0.53,0.2,0.7384304755700033,29793790,WQC0040,113845650,24477769,0.215008,WQC0041,0.0037675920478241988,0.0005505720905382974
OV2295-R2,2295,HGS,OV2295_R2_P70,P70,5,WQC0006,63709951,63514049,WQC0011,OV2295_R2_P70-5,/project/6090753/active/ovcan_gq_analysis/work/d6/49a5b349bc12975c15f725b0a7a04d/28/OV2295_R2_P70-5.fastp.json,130856794,65428397,129124494,64562247,0.9867618642712582,12912449400,11938543190,0.9245761838183854,0.436533,100,100,WQC0042,129124494,129045267,79227,127903802,15896854,30628646,592792,0.999386429347789,0.9905463947064915,0.12318819875819235,WQC0043,WQC0044,63709951,0,5174724093,81.22316862243387,0.99,0.95,0.87,0.77,0.57,0.23,WQC0045,96219942,96218608,1334,95768747,10438726,23333478,63352,0.9999861359301173,0.9953107953442749,0.10848968008350318,WQC0046,WQC0047,63709444,507,5174836925,81.22558603713446,0.99,0.95,0.87,0.77,0.57,0.23,0.7451718804024897,32904552,WQC0048,129045267,30628646,0.237348,WQC0049,0.0045907653999520725,0.0008709792830901564
OV3133-R,3133,HGS,OV3133_R_P71,P71,5,WQC0006,63709951,63514049,WQC0011,OV3133_R_P71-5,/project/6090753/active/ovcan_gq_analysis/work/d6/49a5b349bc12975c15f725b0a7a04d/30/OV3133_R_P71-5.fastp.json,131674126,65837063,130092362,65046181,0.9879872830900734,13009236200,11983049271,0.921118587346427,0.442618,100,100,WQC0050,130092362,130058016,34346,128979420,16762521,31212239,468632,0.9997359875747356,0.9914449858324503,0.1288849508514723,WQC0051,WQC0052,63709951,0,5297137194,83.14458119737057,0.99,0.96,0.89,0.79,0.58,0.24,WQC0053,97326285,97325055,1230,96890430,10839068,23845738,61901,0.9999873620985328,0.9955217133788677,0.11136975982186705,WQC0054,WQC0055,63709444,507,5297260104,83.14717208958848,0.99,0.96,0.89,0.79,0.58,0.24,0.748132200105645,32766077,WQC0056,130058016,31212239,0.239987,WQC0057,0.0015181893314937939,0.00034708654402606067
OV3133-R2,3133,HGS,OV3133_R2_P58,P58,6,WQC0006,63709951,63514049,WQC0011,OV3133_R2_P58-6,/project/6090753/active/ovcan_gq_analysis/work/d6/49a5b349bc12975c15f725b0a7a04d/31/OV3133_R2_P58-6.fastp.json,138652042,69326021,136781554,68390777,0.9865094810504125,13678155400,12572648431,0.9191771889797362,0.430875,100,100,WQC0058,136781554,136759731,21823,135578352,17664293,28126373,525529,0.9998404536330974,0.991203477626815,0.12916296976337283,WQC0059,WQC0060,63709951,0,5654257663,88.74999233636203,0.99,0.95,0.88,0.78,0.58,0.27,WQC0061,100500654,100499281,1373,100039223,11281345,21150814,61828,0.9999863383973601,0.9954086766440345,0.11225299213832186,WQC0062,WQC0063,63709444,507,5654389982,88.75277552257401,0.99,0.95,0.88,0.78,0.58,0.27,0.7347529769986383,36280900,WQC0064,136759731,28126373,0.205663,WQC0065,0.0013868997151307986,0.0007052164085015738
OV3291,3291,HGS,OV3291_P46,P46,7,WQC0006,63709951,63514049,WQC0011,OV3291_P46-7,/project/6090753/active/ovcan_gq_analysis/work/d6/49a5b349bc12975c15f725b0a7a04d/35/OV3291_P46-7.fastp.json,117934716,58967358,115531530,57765765,0.9796227431454535,11553153000,10641740652,0.9211113755699418,0.453183,100,100,WQC0066,115531530,115399237,132293,114302202,14961655,17958428,497517,0.9988549186529426,0.9893593722856436,0.12965124717419058,WQC0067,WQC0068,63709951,0,4856536288,76.22884983854406,0.99,0.96,0.91,0.81,0.57,0.19,WQC0069,79842967,79841184,1783,79467524,8910208,12572625,45206,0.9999776686655445,0.9952977323600712,0.1115991466258817,WQC0070,WQC0071,63709444,507,4856651576,76.23126605845124,0.99,0.96,0.91,0.81,0.57,0.19,0.6910924403061225,35688563,WQC0072,115399237,17958428,0.15562,WQC0073,0.004884553576225901,0.0010510352677481922
OV3331,OV3331,HGS,OV3331_P54,P54,6,WQC0006,63709951,63514049,WQC0011,OV3331_P54-6,/project/6090753/active/ovcan_gq_analysis/work/d6/49a5b349bc12975c15f725b0a7a04d/39/OV3331_P54-6.fastp.json,120278596,60139298,118674270,59337135,0.9866615835788439,11867427000,10914183421,0.9196756315416982,0.42813,100,100,WQC0074,118674270,118613410,60860,117764730,16400564,22567680,450965,0.9994871676901825,0.9923358281453932,0.13826905406395448,WQC0075,WQC0076,63709951,0,4996921698,78.43235820413675,0.99,0.94,0.85,0.73,0.52,0.21,WQC0077,86796029,86794593,1436,86462492,10673740,16857586,54365,0.9999834554643047,0.996157232031894,0.12297701540002613,WQC0078,WQC0079,63706108,3843,4997022633,78.43867393374587,0.99,0.94,0.85,0.73,0.52,0.21,0.7313803489164079,31878241,WQC0080,118613410,22567680,0.190262,WQC0081,0.0026676910600337196,0.0007461616481431997
OV90,OV90,HGS,OV90_P63,P63,8,WQC0006,63709951,63514049,WQC0011,OV90_P63-8,/project/6090753/active/ovcan_gq_analysis/work/d6/49a5b349bc12975c15f725b0a7a04d/46/OV90_P63-8.fastp.json,118448512,59224256,115550550,57775275,0.9755339940446023,11555055000,10669940136,0.923400203287652,0.47134,100,100,WQC0082,115550550,115520178,30372,114316558,18429860,24540266,677358,0.9997371539988342,0.9893207604810189,0.15953801594730924,WQC0083,WQC0084,63709951,0,4515507784,70.87602035669435,0.99,0.97,0.91,0.8,0.53,0.13,WQC0085,80953459,80951179,2280,80563075,11174440,17585793,64277,0.9999718356691837,0.9951776736309687,0.13803924955805771,WQC0086,WQC0087,63709444,507,4515586835,70.87782519338892,0.99,0.97,0.91,0.8,0.53,0.13,0.7005891274424916,34597091,WQC0088,115520178,24540266,0.212433,WQC0089,0.001982510747686391,0.0004344892347752393
TOV112D,TOV112D,EC,TOV112D_P83,P83,7,WQC0006,63709951,63514049,WQC0011,TOV112D_P83-7,/project/6090753/active/ovcan_gq_analysis/work/d6/49a5b349bc12975c15f725b0a7a04d/41/TOV112D_P83-7.fastp.json,125647242,62823621,123841684,61920842,0.9856299432342495,12384168400,11472298807,0.9263681206886689,0.429803,100,100,WQC0090,123841684,123786150,55534,122102530,17813542,24476850,484099,0.9995515726352687,0.9859566347628154,0.14390577621163594,WQC0091,WQC0092,63709951,0,5135532322,80.6080092888472,0.99,0.95,0.88,0.78,0.57,0.22,WQC0093,93320952,93318902,2050,92629201,11846058,18925933,67744,0.9999780328001797,0.9925873988083619,0.1269416779035827,WQC0094,WQC0095,63709402,549,5135650705,80.61056207998939,0.99,0.95,0.88,0.78,0.57,0.22,0.7535504119921367,30520732,WQC0096,123786150,24476850,0.197735,WQC0097,0.002750233426062037,0.0008564218662260358
