source_id,role,model_or_reference,project_path,bundle_relative_path,sha256,bytes,original_cluster_path,inventory_sha256,inventory_hash_match,availability
WQC0001,canonical patient mapping,,metadata/line_family_map.csv,,71bc6988ad666da65d4551d48f6640b985bcf905e5a3c5172086b623d3237048,3378,,,,present
WQC0002,audited WES model/sample/passages,,reports/audit_2026-09-05/wes_cluster_models.csv,,1a9007cc96c53dfdebe98f595f90b2eaaede4e3f891f6e7100c0c2340c797ed3,3296,,,,present
WQC0003,audited 23-model variant input manifest,,output/wes_input_manifest.csv,,da2fd3e2c6473dec5d3cff4494ca85f658fd53f52046c78d980ad80f78c2034d,6973,,,,present
WQC0004,Sarek input samplesheet,,data/cluster_wes_retrieval/2026-09-05/ovcan_human_wes_handoff_2026-09-05/scratch_archive_extract/samplesheet.csv,scratch_archive_extract/samplesheet.csv,bb760df4c001967ca73afd00df957eb58cf2c44968458293bf6492b31924d03a,3247,/project/6090753/active/ovcan_gq_analysis/ovcan.tar.gz::ovcan/samplesheet.csv,bb760df4c001967ca73afd00df957eb58cf2c44968458293bf6492b31924d03a,True,present
WQC0005,cluster recovery checksum inventory,,data/cluster_wes_retrieval/2026-09-05/ovcan_human_wes_handoff_2026-09-05/recovery/file_inventory.tsv,recovery/file_inventory.tsv,1d2f67455e57d0feac01e8b4a633f57eaea53f0e299d83fbfe3aa7b469fccd37,1402140,,,,present
WQC0006,mosdepth --by BED; overlaps retained,,data/cluster_wes_retrieval/2026-09-05/ovcan_human_wes_handoff_2026-09-05/scratch_archive_extract/intervals_sorted.bed,scratch_archive_extract/intervals_sorted.bed,a6dea4882ab9518a33b268145d7dbcfba9cf3fac43a6b87a2727a46b91ee30d4,12069837,/project/6090753/active/ovcan_gq_analysis/ovcan.tar.gz::ovcan/intervals_sorted.bed,a6dea4882ab9518a33b268145d7dbcfba9cf3fac43a6b87a2727a46b91ee30d4,True,present
WQC0007,"CNVkit target bins, distinct from mosdepth BED",,data/cluster_wes_retrieval/2026-09-05/ovcan_human_wes_handoff_2026-09-05/scratch_archive_extract/intervals_sorted.target.bed,scratch_archive_extract/intervals_sorted.target.bed,2177970ffdbc933e488067f812e3ae4760310bd9a40fadf4e2fa5389480d955d,13941386,/project/6090753/active/ovcan_gq_analysis/ovcan.tar.gz::ovcan/intervals_sorted.target.bed,2177970ffdbc933e488067f812e3ae4760310bd9a40fadf4e2fa5389480d955d,True,present
WQC0008,executed mosdepth command; representative md task,,data/cluster_wes_retrieval/2026-09-05/ovcan_human_wes_handoff_2026-09-05/sarek_3.5.1_run/task_evidence/oct23_MOSDEPTH_TOV2929D_P57.8a_9b1aebff5685ee50f2b444b1aeb329/.command.sh,sarek_3.5.1_run/task_evidence/oct23_MOSDEPTH_TOV2929D_P57.8a_9b1aebff5685ee50f2b444b1aeb329/.command.sh,6f4abc0a169677e56f72f827fb45d28bfcdcd3a175e48655613e4aabc80ef0a4,401,/project/6090753/active/ovcan_gq_analysis/work/8a/9b1aebff5685ee50f2b444b1aeb329/.command.sh,6f4abc0a169677e56f72f827fb45d28bfcdcd3a175e48655613e4aabc80ef0a4,True,present
WQC0009,executed mosdepth version,,data/cluster_wes_retrieval/2026-09-05/ovcan_human_wes_handoff_2026-09-05/sarek_3.5.1_run/task_evidence/oct23_MOSDEPTH_TOV2929D_P57.8a_9b1aebff5685ee50f2b444b1aeb329/versions.yml,sarek_3.5.1_run/task_evidence/oct23_MOSDEPTH_TOV2929D_P57.8a_9b1aebff5685ee50f2b444b1aeb329/versions.yml,9ca59478b66feee92551853c77011f40fe0bd37d8c4a7e14fe8c5ed7b328cf24,96,/project/6090753/active/ovcan_gq_analysis/work/8a/9b1aebff5685ee50f2b444b1aeb329/versions.yml,9ca59478b66feee92551853c77011f40fe0bd37d8c4a7e14fe8c5ed7b328cf24,True,present
WQC0010,executed ApplyBQSR command showing interval restriction,,data/cluster_wes_retrieval/2026-09-05/ovcan_human_wes_handoff_2026-09-05/sarek_3.5.1_run/task_evidence/oct23_GATK4_APPLYBQSR_TOV3133G_P65.e6_837d6187fe22af3b4a1bc2231f1341/.command.sh,sarek_3.5.1_run/task_evidence/oct23_GATK4_APPLYBQSR_TOV3133G_P65.e6_837d6187fe22af3b4a1bc2231f1341/.command.sh,e57d85a79613fb2ce505c66d8749f99464818ab9ee7e56f1cd60737f460d9c82,549,/project/6090753/active/ovcan_gq_analysis/work/e6/837d6187fe22af3b4a1bc2231f1341/.command.sh,e57d85a79613fb2ce505c66d8749f99464818ab9ee7e56f1cd60737f460d9c82,True,present
