cell_line,sample_id,antitarget_bins,original_target_bins,original_target_depth_zero,target_bins_in_cnr,positive_target_bins_in_cnr,reference_rule_coordinate_set_matches_cnr,antitarget_depth_zero,antitarget_depth_positive,positive_antitargets_in_cnr,positive_depth_bins_in_cnr,total_segment_probes,antitarget_source,antitarget_sha256,cnr_source,cnr_sha256,target_source,target_sha256,cns_source,cns_sha256
OV1369-R2,OV1369_R2_P66,42709,290475,1645,204706,203927,True,42705,4,4,203931,203931,judy_archive/data/cnvkit wes - new/All samples/OV1369_R2_P66_new/OV1369_R2_P66.antitargetcoverage.cnn,d37e487792274f3230a79791653fa2fae343a1ca3acf71e6a719f8c354453b15,judy_archive/data/cnvkit wes - new/All samples/OV1369_R2_P66_new/OV1369_R2_P66.cnr,6592582eb3f33b934fa34b3cc207b78f40d906e05d4b5956895170b814937883,judy_archive/data/cnvkit wes - new/All samples/OV1369_R2_P66_new/OV1369_R2_P66.targetcoverage.cnn,47b10700303c1bc3b3d836f35ff6f90068d624e285d08cd6760fba6d066da1ca,judy_archive/data/cnvkit wes - new/All samples/OV1369_R2_P66_new/OV1369_R2_P66.cns,8db5ae3d3f19553a5bf3a4368965a47ae1a67264112c849a60c0da91ae63cfda
OV2085,OV2085_P64,42709,290475,1569,204706,204028,True,42705,4,4,204032,204032,judy_archive/data/cnvkit wes - new/All samples/OV2085_P64_new/OV2085_P64.antitargetcoverage.cnn,7dd950f692215cecbc9906762ebdce68393aa0ed6c55b89f000ec9319af24bdd,judy_archive/data/cnvkit wes - new/All samples/OV2085_P64_new/OV2085_P64.cnr,f77f13fbf2eec08d767f069f5ad02d2196a13b2c592ee93826dc89e0af148990,judy_archive/data/cnvkit wes - new/All samples/OV2085_P64_new/OV2085_P64.targetcoverage.cnn,fd2cd05886f8bb15fda26a9cefe713f4c28772e9885ea02766be2828be01daaa,judy_archive/data/cnvkit wes - new/All samples/OV2085_P64_new/OV2085_P64.cns,c53983fed37622ea9718b4fb362d1d5e7fd25bf3a3edbeb1836b8d69f7ee9c5a
OV2295,OV2295_P61,42709,290475,1695,204706,203984,True,42705,4,4,203988,203988,judy_archive/data/cnvkit wes - new/All samples/OV2295_P61_new/OV2295_P61.antitargetcoverage.cnn,5d487c7ced96e97b3a35d0360d69d39e9eeee186592bb0df4049e3b580a8f6ee,judy_archive/data/cnvkit wes - new/All samples/OV2295_P61_new/OV2295_P61.cnr,e0fdda8e7d744067f11ce8dab639cd4596eaeb5afcc1a4403d28efb4fdba18bb,judy_archive/data/cnvkit wes - new/All samples/OV2295_P61_new/OV2295_P61.targetcoverage.cnn,5ecbfccfc2914eb9d135c1ceba612196489ff86999701a47e634ee7590d3acac,judy_archive/data/cnvkit wes - new/All samples/OV2295_P61_new/OV2295_P61.cns,0b1e02d7a2ea899f48476cca446bc43c2424424e0f41897b0609cdbb3a340bd5
OV2295-R2,OV2295_R2_P70,42709,290475,1525,204706,204037,True,42705,4,4,204041,204041,judy_archive/data/cnvkit wes - new/All samples/OV2295_R2_P70_new/OV2295_R2_P70.antitargetcoverage.cnn,a99db128ac72c3a33f0484c36fe0ea6793966c23a2072f3b2fa7e4cf856d2aa5,judy_archive/data/cnvkit wes - new/All samples/OV2295_R2_P70_new/OV2295_R2_P70.cnr,c030d116172c7d7d622bda2bc42cff0dd6ef0a09a5551a49818d8535f6bcb56e,judy_archive/data/cnvkit wes - new/All samples/OV2295_R2_P70_new/OV2295_R2_P70.targetcoverage.cnn,0eb5149e3c9d85d0f04509742fdc912c5ea67be39a88564ada64d0c930e883ca,judy_archive/data/cnvkit wes - new/All samples/OV2295_R2_P70_new/OV2295_R2_P70.cns,3a70d92c21bc0f568ed7d35a602835be1d985405c0553cb30b71909f84cebc68
OV3133-R,OV3133_R_P71,42709,290475,1492,204706,204033,True,42705,4,4,204037,204037,judy_archive/data/cnvkit wes - new/All samples/OV3133_R_P71_new/OV3133_R_P71.antitargetcoverage.cnn,20c9242cffde9f201523d65ef9f6129bdf89cf9eb2d2b827a6ff724935c668e2,judy_archive/data/cnvkit wes - new/All samples/OV3133_R_P71_new/OV3133_R_P71.cnr,c35ecc0fc6743759bcadf79f2f87247030e56b571f7d0b3f4135d3ac51c1da11,judy_archive/data/cnvkit wes - new/All samples/OV3133_R_P71_new/OV3133_R_P71.targetcoverage.cnn,39b3cf80e7137f201618acce256d5602defde6e9926dc3f9f8255813580c1f16,judy_archive/data/cnvkit wes - new/All samples/OV3133_R_P71_new/OV3133_R_P71.cns,9290874b743c48afbe383ea9abf2196605df28b06c5e1f6d3e375ca3f72435c8
OV3133-R2,OV3133_R2_P58,42709,290475,1491,204706,204033,True,42705,4,4,204037,204037,judy_archive/data/cnvkit wes - new/OV3133_R2_P58_new/OV3133_R2_P58.antitargetcoverage.cnn,c35a2ed597e546381ff13c815daae0c25688f37e81959cf012654c7dec38f08f,judy_archive/data/cnvkit wes - new/OV3133_R2_P58_new/OV3133_R2_P58.cnr,8e5bb742f296d726d7251c9644a78602461930d6178dca52d395ab63a18615d4,judy_archive/data/cnvkit wes - new/OV3133_R2_P58_new/OV3133_R2_P58.targetcoverage.cnn,ac070c20cf5af208cc12041b6b6bf806177fa2bd798fb6ca420cf30e07d158bb,judy_archive/data/cnvkit wes - new/OV3133_R2_P58_new/OV3133_R2_P58.cns,390588a9e2ed7fc8d35009c8b2229d777c49f5a0ac99ab51891e7ce9f94893eb
OV3291,OV3291_P46,42709,290475,1462,204706,204061,True,42705,4,4,204065,204065,judy_archive/data/cnvkit wes - new/OV3291_P46_new/OV3291_P46.antitargetcoverage.cnn,fd882a1a054ae1041590012f072085f743e28546e8c8a945a01b00fee2aea58a,judy_archive/data/cnvkit wes - new/OV3291_P46_new/OV3291_P46.cnr,cd970e62866bf472e4e70a74fe30b98ba961e1e873b1932f40e45a6ede6740db,judy_archive/data/cnvkit wes - new/OV3291_P46_new/OV3291_P46.targetcoverage.cnn,e2326f217cb5eef134a5a951abe7926af4b6e2a935a1d2305c393f1833986b9e,judy_archive/data/cnvkit wes - new/OV3291_P46_new/OV3291_P46.cns,ca96c881a84d3b7e5d51958276087af07e7256d50fcdbd90294998fee1e66a91
OV3331,OV3331_P54,42709,290475,1665,204706,203961,True,42705,4,4,203965,203965,judy_archive/data/cnvkit wes - new/All samples/OV3331_P54_new/OV3331_P54.antitargetcoverage.cnn,f4065890a1315a124138b79fb2fd8d56a11f311e41456ed94c04c439c56286cc,judy_archive/data/cnvkit wes - new/All samples/OV3331_P54_new/OV3331_P54.cnr,8ec384a3b641262c80464b65f9ff3c1fbe4591a8fc2e0199c14816e44f0d0357,judy_archive/data/cnvkit wes - new/All samples/OV3331_P54_new/OV3331_P54.targetcoverage.cnn,07822d8a3d34205b3a42cd5a8634e0247f1a6ba8a37fc6ffff6275dd84cb1bdf,judy_archive/data/cnvkit wes - new/All samples/OV3331_P54_new/OV3331_P54.cns,3c224c864908f988485f36dd07f638b4d84eae2d0b3ea3c855195fb7b54ca857
OV90,OV90_P63,42709,290475,1420,204706,204029,True,42705,4,4,204033,204033,judy_archive/data/cnvkit wes - new/All samples/OV90_P63_new/OV90_P63.antitargetcoverage.cnn,ec1137448e506cd47bb883a78e2db3b6eb61c9b0c14b8daaaf5975dd31da93f1,judy_archive/data/cnvkit wes - new/All samples/OV90_P63_new/OV90_P63.cnr,6f90c24bb229ffd2082efb7cb95d40d5ee10f46700f6fb7668d52cb482d63deb,judy_archive/data/cnvkit wes - new/All samples/OV90_P63_new/OV90_P63.targetcoverage.cnn,29100f7de5be32f5ce9451a1228f0792089437742259dbecc690cdae90172aa3,judy_archive/data/cnvkit wes - new/All samples/OV90_P63_new/OV90_P63.cns,5a0dfeee44875cce110dfd358231853d2837cf5db87c631b51a051f27d337aa0
TOV112D,TOV112D_P83,42709,290475,1513,204706,204013,True,42705,4,4,204017,204017,judy_archive/data/cnvkit wes - new/All samples/TOV112D_P83_new/TOV112D_P83.antitargetcoverage.cnn,84a289656fbf03850ddd2a44dc184630a662f59d9f28de4a0c889a57e6f05fd1,judy_archive/data/cnvkit wes - new/All samples/TOV112D_P83_new/TOV112D_P83.cnr,8c77565e8f5fa28fd545f20ad6168494ea04ae5dc4668b0ea436e2fba941daa7,judy_archive/data/cnvkit wes - new/All samples/TOV112D_P83_new/TOV112D_P83.targetcoverage.cnn,175d943434f76c7f05d3a197bf283aa9367b299f5348bb7c8a87265a0611447f,judy_archive/data/cnvkit wes - new/All samples/TOV112D_P83_new/TOV112D_P83.cns,0850746dbb15a9e46b9f8a7151d998fcd50abae74aaf2dceae40001de4441eec
TOV1369,TOV1369_P65,42709,290475,1667,204706,203913,True,42705,4,4,203917,203917,judy_archive/data/cnvkit wes - new/All samples/TOV1369_P65_new/TOV1369_P65.antitargetcoverage.cnn,dd4845e45755072b747567bba95e8c7e3d7d0ea749c6e0726ec057620d1a3158,judy_archive/data/cnvkit wes - new/All samples/TOV1369_P65_new/TOV1369_P65.cnr,7defb72bc889e9ee6b6e5ad12312e593376e3222a6c3465831c29c379c8559a4,judy_archive/data/cnvkit wes - new/All samples/TOV1369_P65_new/TOV1369_P65.targetcoverage.cnn,74244528aa46587f333c50d36f649deba628c1239edcaef8e849b931e99c9009,judy_archive/data/cnvkit wes - new/All samples/TOV1369_P65_new/TOV1369_P65.cns,2d8933c59fa21051ca1d911b973d7c607cecf06eb6401f8c02d20c070e04ae6c
TOV21G,TOV21G_P59,42709,290475,1430,204706,204062,True,42705,4,4,204066,204066,judy_archive/data/cnvkit wes - new/All samples/TOV21G_P59_new/TOV21G_P59.antitargetcoverage.cnn,1ac5749964de62edc4fad6e03f013f24687f86daafdbbfbad44e8575dd6835e3,judy_archive/data/cnvkit wes - new/All samples/TOV21G_P59_new/TOV21G_P59.cnr,71735f53193e3461d691761cbf80084eae9d82a2b87d7da8c3c510d012f1a7e2,judy_archive/data/cnvkit wes - new/All samples/TOV21G_P59_new/TOV21G_P59.targetcoverage.cnn,fdc8f11e44bf95c79eadb9595bbca7becbbe19c5685700d41c14b5b62fc1dc09,judy_archive/data/cnvkit wes - new/All samples/TOV21G_P59_new/TOV21G_P59.cns,308e5100cf9affc7d331229c81e2b252fbaeccc3492350e8e4787f915e1be7d1
TOV2295-R,TOV2295_R_P57,42709,290475,1541,204706,204035,True,42705,4,4,204039,204039,judy_archive/data/cnvkit wes - new/20251208 - new samples/TOV2295_R_P57_new/TOV2295_R_P57.antitargetcoverage.cnn,c4751feb16fe60084c33779bef7177eb2be2998407cb223eb247fc0a41f75621,judy_archive/data/cnvkit wes - new/20251208 - new samples/TOV2295_R_P57_new/TOV2295_R_P57.cnr,9af1782172c9e10be57ae2cd37ea094212e0130fd964064ccabff9d4937c1bac,judy_archive/data/cnvkit wes - new/20251208 - new samples/TOV2295_R_P57_new/TOV2295_R_P57.targetcoverage.cnn,e98a2b474cecfa6c6de4f2bebd5abb53f4b0e6d3eabb8f0203b011b92667a882,judy_archive/data/cnvkit wes - new/20251208 - new samples/TOV2295_R_P57_new/TOV2295_R_P57.cns,4f16127f4af49e1f0ac261b5b3f69efecbec3834ebd9a3016f950d789e3e4923
TOV2414,TOV2414_P65,42709,290475,1517,204706,204042,True,42705,4,4,204046,204046,judy_archive/data/cnvkit wes - new/All samples/TOV2414_P65_new/TOV2414_P65.antitargetcoverage.cnn,3eec861e06b42834e2a97fb98d2fb37ffbb61ae1f874a22d41fdb3768c310b27,judy_archive/data/cnvkit wes - new/All samples/TOV2414_P65_new/TOV2414_P65.cnr,f2a9b6ff1406dcbb5766730a0d5d13c72052e71f8b9d8e471e46698580b56c1c,judy_archive/data/cnvkit wes - new/All samples/TOV2414_P65_new/TOV2414_P65.targetcoverage.cnn,1d22616db9431203ee9d0dfd3aebe5239b238aa7d4a1fee957564be51f1153d4,judy_archive/data/cnvkit wes - new/All samples/TOV2414_P65_new/TOV2414_P65.cns,22932b67e79434715631fb3d512b203f1cf7512cffb690e559c01515e24f4cc7
TOV2835EP,TOV2835EP_P64,42709,290475,1600,204706,203956,True,42705,4,4,203960,203960,judy_archive/data/cnvkit wes - new/TOV2835EP_P64_new/TOV2835EP_P64.antitargetcoverage.cnn,72e4212f2d24aa2ecb482f6ed95b8cf7fd10a57276b05873bf070fe20f7fdc39,judy_archive/data/cnvkit wes - new/TOV2835EP_P64_new/TOV2835EP_P64.cnr,65d79c8e363c84b17e491cca1db4a28e22b055fa92b82165c0fc785244da485b,judy_archive/data/cnvkit wes - new/TOV2835EP_P64_new/TOV2835EP_P64.targetcoverage.cnn,467a3d8108225002a4f0adab3b300807e6c1a096e64d1d40be2ceddf59ef55fc,judy_archive/data/cnvkit wes - new/TOV2835EP_P64_new/TOV2835EP_P64.cns,e21c77422908205d41e201b2ef5b23ec82cb0e9223362deab76d7af2e503396e
TOV2881EP,TOV2881EP_P64,42709,290475,1512,204706,204036,True,42705,4,4,204040,204040,judy_archive/data/cnvkit wes - new/20251208 - new samples/TOV2881EP_P64_new/TOV2881EP_P64.antitargetcoverage.cnn,53fc7dead06cbf756870c559a9916640096d007cf08f0e11325106591b4bb75c,judy_archive/data/cnvkit wes - new/20251208 - new samples/TOV2881EP_P64_new/TOV2881EP_P64.cnr,95fb29083a2e1bfa1d75d728f35eaa7cb45b0b6aaff28db1b8b7553c920ea611,judy_archive/data/cnvkit wes - new/20251208 - new samples/TOV2881EP_P64_new/TOV2881EP_P64.targetcoverage.cnn,5fe9cebc22f80d86b6e93c997ac3f83f1a77350e9432a89b4d62250c8e2131f8,judy_archive/data/cnvkit wes - new/20251208 - new samples/TOV2881EP_P64_new/TOV2881EP_P64.cns,7c8d5b300c1f366e28eafdc29f15f9ec3c2f4b9be7bff7064dccd064b2462793
TOV2929D,TOV2929D_P57,42709,290475,1603,204706,204011,True,42705,4,4,204015,204015,judy_archive/data/cnvkit wes - new/20251208 - new samples/TOV2929D_P57_new/TOV2929D_P57.antitargetcoverage.cnn,c86e8ae8b4f0263b95472ae7fb1bb58a2d1dc3fe348941e0f143bf11c4009a10,judy_archive/data/cnvkit wes - new/20251208 - new samples/TOV2929D_P57_new/TOV2929D_P57.cnr,e144674db27560f8ff4790debc50cf0c7a9e77261978790f7eb8388d4b725ebf,judy_archive/data/cnvkit wes - new/20251208 - new samples/TOV2929D_P57_new/TOV2929D_P57.targetcoverage.cnn,4c23d6d613ec8b5254477b4af07e986fc16775d23402fd3ac607764d3df2fc48,judy_archive/data/cnvkit wes - new/20251208 - new samples/TOV2929D_P57_new/TOV2929D_P57.cns,2d888765435c2887e9b856b210730ac53cebc1b5da26e816dc3f61d8181f3965
TOV3121D,TOV3121D_P68,42709,290475,1623,204706,203959,True,42705,4,4,203963,203963,judy_archive/data/cnvkit wes - new/TOV3121D_P68_new/TOV3121D_P68.antitargetcoverage.cnn,de9f2bfe3db450f220ce501017548d8f534ca4e359764af29e1be2e0e5472f17,judy_archive/data/cnvkit wes - new/TOV3121D_P68_new/TOV3121D_P68.cnr,0481e72c8039383eedaff86a07dfa8c855e6b40c2f58ddd41d2a9036b3a83c04,judy_archive/data/cnvkit wes - new/TOV3121D_P68_new/TOV3121D_P68.targetcoverage.cnn,e8950fc2a5191c8e402b9c328a19442c95ef767d35265325863da65c149b2166,judy_archive/data/cnvkit wes - new/TOV3121D_P68_new/TOV3121D_P68.cns,01bfa6611f54fa505de5d2b78974c16499aadfd5471155825b200a2ff37f26c8
TOV3121EP,TOV3121EP_P68,42709,290475,1587,204706,203988,True,42705,4,4,203992,203992,judy_archive/data/cnvkit wes - new/TOV3121EP_P68_new/TOV3121EP_P68.antitargetcoverage.cnn,0d6137268911f3d48c214faa38389a416d37899eb633db939cc2e0f060c3e393,judy_archive/data/cnvkit wes - new/TOV3121EP_P68_new/TOV3121EP_P68.cnr,fe5e352e1fa556287e37352b9182bf287c356cdd82888c81f7cc81f1026e3f8b,judy_archive/data/cnvkit wes - new/TOV3121EP_P68_new/TOV3121EP_P68.targetcoverage.cnn,6b62f8387f4c2c58e20385c6b64ecf52e352a7e076a66b8e0ce28bb49e1c5552,judy_archive/data/cnvkit wes - new/TOV3121EP_P68_new/TOV3121EP_P68.cns,e0c6eeb2cd95a45d27672e3016e6529101c603fb4a7fe56dd434f3c749e04e3f
